estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
LogisticRegressionElastic,FOXI2,MMP26,PDE4B,SLC18A3,0.9811946902654868,0.9690265486725663,0.9933628318584071,0.9931972789115646,0.980963045912654,0.98995124911896,0.9626744969903586,0.9737661182747888
LogisticRegressionElastic,CLRN1,VSTM2B,WDR8,ZNF135,0.9834070796460177,0.9800884955752213,0.9867256637168141,0.9866369710467706,0.9833518312985571,0.994434763881275,0.9668354550447553,0.9813912272928668
LogisticRegressionElastic,CLRN1,VSTM2B,WDR8,ZNF334,0.9800884955752213,0.9668141592920354,0.9933628318584071,0.9931818181818182,0.9798206278026906,0.9938327198684314,0.9605155518740182,0.9719750889679717
LogisticRegressionElastic,CLRN1,VSTM2B,WDR8,ZNF793,0.9778761061946902,0.9579646017699115,0.9977876106194691,0.9976958525345622,0.9774266365688488,0.993695669198841,0.9565109653249878,0.9656556645851917
LogisticRegressionElastic,MIR124-3,PDE4B,UNC5D,UNCX,0.9712389380530974,0.9424778761061947,1.0,1.0,0.9703872437357631,0.9771223275119428,0.9440409891108218,0.9534467323187108
LogisticRegressionElastic,MIR124-3,PTPN5,UNC5D,UNCX,0.9668141592920354,0.9336283185840708,1.0,1.0,0.965675057208238,0.9757909781502077,0.9356915475727939,0.9461883408071748
LogisticRegressionElastic,CLRN1,LRRFIP1,PIGB,PODN,0.9834070796460177,0.9712389380530974,0.995575221238938,0.9954648526077098,0.9832026875699887,0.9959765839141671,0.9671005866316935,0.9759893285904847
LogisticRegressionElastic,SIRPG,LRRFIP1,PIGB,PODN,0.9823008849557522,0.9690265486725663,0.995575221238938,0.9954545454545455,0.9820627802690582,0.9960059519147937,0.9649418908227463,0.9741992882562277
LogisticRegressionElastic,B3GALT1,CLRN1,FOXI2,PODN,0.9834070796460177,0.9712389380530974,0.995575221238938,0.9954648526077098,0.9832026875699887,0.9947333385543112,0.9671005866316935,0.9759893285904847
LogisticRegressionElastic,B3GALT1,EFS,FOXI2,PODN,0.9712389380530974,0.9579646017699115,0.9845132743362832,0.9840909090909091,0.9708520179372198,0.9903085597932493,0.9428101960791053,0.9630782918149465
LogisticRegressionElastic,B3GALT1,SIRPG,FOXI2,PODN,0.9723451327433629,0.9557522123893806,0.9889380530973452,0.988558352402746,0.9718785151856018,0.9938425092019736,0.9452108892542259,0.9621380846325167
LogisticRegressionElastic,CD40,CMTM3,LRRFIP1,TMEM196,0.9557522123893806,0.9203539823008849,0.9911504424778761,0.9904761904761905,0.9541284403669724,0.970431318035868,0.9137973410336265,0.933572710951526
LogisticRegressionElastic,CD40,KRTAP24-1,LRRFIP1,TMEM196,0.9701327433628318,0.9491150442477876,0.9911504424778761,0.9907621247113164,0.9694915254237287,0.9925160545070091,0.9410973019006197,0.9571619812583669
LogisticRegressionElastic,OR10J5,CMTM3,LRRFIP1,TMEM196,0.9834070796460177,0.9690265486725663,0.9977876106194691,0.9977220956719818,0.9831649831649831,0.9934166731928891,0.9672142812446899,0.9746328437917222
LogisticRegressionElastic,OR10J5,KRTAP24-1,LRRFIP1,TMEM196,0.9845132743362832,0.9690265486725663,1.0,1.0,0.9842696629213482,0.9942879238781425,0.9694917034663725,0.9750667853962599
LogisticRegressionElastic,KRTAP24-1,MMP26,OR10J5,ZNF793,0.9856194690265486,0.9778761061946902,0.9933628318584071,0.9932584269662922,0.9855072463768115,0.996309421254601,0.9713554293362956,0.9809143364403018
LogisticRegressionElastic,CD40,KRTAP24-1,LRRFIP1,MMP26,0.9690265486725663,0.9557522123893806,0.9823008849557522,0.9818181818181818,0.968609865470852,0.9929321011825515,0.9383838571303772,0.9608540925266904
LogisticRegressionElastic,OR10J5,KRTAP24-1,LRRFIP1,MMP26,0.9623893805309734,0.9292035398230089,0.995575221238938,0.995260663507109,0.9610983981693364,0.9937837732007206,0.9268224333777911,0.9417040358744394
LogisticRegressionElastic,CLSTN2,KRTAP24-1,LRRFIP1,OR10J5,0.9623893805309734,0.9491150442477876,0.9756637168141593,0.975,0.9618834080717488,0.9911944944788159,0.9251048402841926,0.9541814946619217
LogisticRegressionElastic,MIR124-3,KRTAP24-1,LRRFIP1,OR10J5,0.9745575221238938,0.9623893805309734,0.9867256637168141,0.9863945578231292,0.9742441209406495,0.9940725585402146,0.9493962280663536,0.967096487327701
LogisticRegressionElastic,KRTAP24-1,LRRFIP1,MIR124-3,OR10J5,0.9745575221238938,0.9623893805309734,0.9867256637168141,0.9863945578231292,0.9742441209406495,0.9940725585402146,0.9493962280663536,0.967096487327701
