estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
Voting,FOXI2,MMP26,PDE4B,SLC18A3,0.9933628318584071,0.9867256637168141,1.0,1.0,0.9933184855233852,0.9999608426658313,0.9868126096871456,0.9893522626441882
Voting,CLRN1,VSTM2B,WDR8,ZNF135,0.9944690265486725,0.9889380530973452,1.0,1.0,0.9944382647385984,0.9999804213329156,0.9889985651787376,0.991130820399113
Voting,CLRN1,VSTM2B,WDR8,ZNF334,0.9933628318584071,0.9867256637168141,1.0,1.0,0.9933184855233852,0.9999706319993735,0.9868126096871456,0.9893522626441882
Voting,CLRN1,VSTM2B,WDR8,ZNF793,0.9944690265486725,0.9889380530973452,1.0,1.0,0.9944382647385984,0.9999902106664579,0.9889985651787376,0.991130820399113
Voting,MIR124-3,PDE4B,UNC5D,UNCX,0.9834070796460177,0.9668141592920354,1.0,1.0,0.983127109111361,1.0,0.9673469756536224,0.9732739420935412
Voting,MIR124-3,PTPN5,UNC5D,UNCX,0.9845132743362832,0.9690265486725663,1.0,1.0,0.9842696629213482,0.9999608426658314,0.9694917034663725,0.9750667853962599
Voting,CLRN1,LRRFIP1,PIGB,PODN,0.9944690265486725,0.9889380530973452,1.0,1.0,0.9944382647385984,0.9999853159996868,0.9889985651787376,0.991130820399113
Voting,SIRPG,LRRFIP1,PIGB,PODN,0.9933628318584071,0.9867256637168141,1.0,1.0,0.9933184855233852,0.9999804213329158,0.9868126096871456,0.9893522626441882
Voting,B3GALT1,CLRN1,FOXI2,PODN,0.9933628318584071,0.9889380530973452,0.9977876106194691,0.9977678571428571,0.9933333333333333,0.9998727386639518,0.9867643035329243,0.9906914893617021
Voting,B3GALT1,EFS,FOXI2,PODN,0.9922566371681416,0.9845132743362832,1.0,1.0,0.992196209587514,0.999887422664265,0.9846313577554704,0.98757212605415
Voting,B3GALT1,SIRPG,FOXI2,PODN,0.9911504424778761,0.9823008849557522,1.0,1.0,0.9910714285714286,0.9999314746652048,0.9824547782490285,0.9857904085257548
Voting,CD40,CMTM3,LRRFIP1,TMEM196,0.9834070796460177,0.9668141592920354,1.0,1.0,0.983127109111361,0.9998776333307229,0.9673469756536224,0.9732739420935412
Voting,CD40,KRTAP24-1,LRRFIP1,TMEM196,0.9900442477876106,0.9867256637168141,0.9933628318584071,0.9933184855233853,0.9900110987791343,0.9999021066645783,0.9801100837181387,0.9880372175454142
Voting,OR10J5,CMTM3,LRRFIP1,TMEM196,0.9944690265486725,0.9889380530973452,1.0,1.0,0.9944382647385984,1.0,0.9889985651787376,0.991130820399113
Voting,OR10J5,KRTAP24-1,LRRFIP1,TMEM196,0.9944690265486725,0.9889380530973452,1.0,1.0,0.9944382647385984,0.9999902106664579,0.9889985651787376,0.991130820399113
Voting,KRTAP24-1,MMP26,OR10J5,ZNF793,0.9933628318584071,0.9867256637168141,1.0,1.0,0.9933184855233852,0.9999804213329158,0.9868126096871456,0.9893522626441882
Voting,CD40,KRTAP24-1,LRRFIP1,MMP26,0.9944690265486725,0.9889380530973452,1.0,1.0,0.9944382647385984,0.9999167906648916,0.9889985651787376,0.991130820399113
Voting,OR10J5,KRTAP24-1,LRRFIP1,MMP26,0.9933628318584071,0.9889380530973452,0.9977876106194691,0.9977678571428571,0.9933333333333333,0.9999461586655181,0.9867643035329243,0.9906914893617021
Voting,CLSTN2,KRTAP24-1,LRRFIP1,OR10J5,0.9911504424778761,0.9823008849557522,1.0,1.0,0.9910714285714286,0.9998482653300963,0.9824547782490285,0.9857904085257548
Voting,MIR124-3,KRTAP24-1,LRRFIP1,OR10J5,0.9911504424778761,0.9823008849557522,1.0,1.0,0.9910714285714286,0.9999657373326024,0.9824547782490285,0.9857904085257548
Voting,KRTAP24-1,LRRFIP1,MIR124-3,OR10J5,0.9911504424778761,0.9823008849557522,1.0,1.0,0.9910714285714286,0.9999657373326024,0.9824547782490285,0.9857904085257548
