estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
RandomForest,AFF3,BMP4,IL2RA,SNORA24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022222222222222223, 0.1111111111111111, 0.17777777777777778, 0.2222222222222222, 1.0]","[0.0, 0.9585365853658536, 0.973170731707317, 0.975609756097561, 0.9804878048780488, 0.9878048780487805, 0.9975609756097561, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.96666667 0.93333333 0.91333333 0.9
 0.86666667 0.8        0.56666667 0.2        0.1        0.06666667
 0.        ]"
RandomForest,AFF3,BMP4,IL2RA,SNORA26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.13333333333333333, 0.15555555555555556, 0.24444444444444444, 0.26666666666666666, 1.0]","[0.0, 0.9609756097560975, 0.975609756097561, 0.9780487804878049, 0.9829268292682927, 0.9902439024390244, 0.9926829268292683, 0.9975609756097561, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.96666667 0.93333333 0.91333333 0.9
 0.86666667 0.78       0.76666667 0.28       0.2        0.16666667
 0.1        0.06666667 0.        ]"
RandomForest,AFF3,BMP4,JPH2,SNORA24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28888888888888886, 1.0]","[0.0, 0.9317073170731708, 0.9365853658536586, 0.9414634146341463, 0.9658536585365853, 0.975609756097561, 1.0, 1.0, 1.0]","[       inf 1.         0.996      0.98666667 0.98       0.96
 0.75       0.01       0.        ]"
RandomForest,AFF3,BMP4,JPH2,SNORA26,"[0.0, 0.0, 0.0, 0.0, 0.022222222222222223, 0.15555555555555556, 1.0]","[0.0, 0.9682926829268292, 0.9926829268292683, 1.0, 1.0, 1.0, 1.0]",[inf 1.  0.9 0.8 0.5 0.1 0. ]
RandomForest,AFF3,BMP4,KCNK16,SNORA24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13333333333333333, 0.2222222222222222, 1.0]","[0.0, 0.9658536585365853, 0.9804878048780488, 0.9878048780487805, 0.9926829268292683, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.95 0.9  0.88 0.7  0.15 0.05 0.  ]
RandomForest,AFF3,BMP4,KCNK16,SNORA26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.13333333333333333, 0.2222222222222222, 0.24444444444444444, 1.0]","[0.0, 0.9609756097560975, 0.9707317073170731, 0.9780487804878049, 0.9902439024390244, 0.9926829268292683, 0.9975609756097561, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.96666667 0.91333333 0.9        0.81333333
 0.78       0.65666667 0.44666667 0.2        0.1        0.05
 0.        ]"
RandomForest,AFF3,BMP4,RFFL,SNORA24,"[0.0, 0.0, 0.0, 0.0, 0.022222222222222223, 0.15555555555555556, 1.0]","[0.0, 0.9878048780487805, 0.9951219512195122, 1.0, 1.0, 1.0, 1.0]",[inf 1.  0.9 0.7 0.3 0.1 0. ]
RandomForest,AFF3,BMP4,RFFL,SNORA26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.044444444444444446, 0.13333333333333333, 0.15555555555555556, 1.0]","[0.0, 0.975609756097561, 0.9926829268292683, 0.9975609756097561, 1.0, 1.0, 1.0, 1.0, 1.0]",[inf 1.  0.9 0.8 0.7 0.3 0.2 0.1 0. ]
RandomForest,AFF3,BMP4,SPRED2,SNORA24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13333333333333333, 0.28888888888888886, 1.0]","[0.0, 0.9341463414634147, 0.9414634146341463, 0.9512195121951219, 0.9707317073170731, 0.9780487804878049, 0.9878048780487805, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.98       0.96       0.95       0.91
 0.9        0.70666667 0.15       0.1        0.        ]"
RandomForest,AFF3,BMP4,SPRED2,SNORA26,"[0.0, 0.0, 0.0, 0.0, 0.022222222222222223, 0.1111111111111111, 0.13333333333333333, 0.2222222222222222, 1.0]","[0.0, 0.9780487804878049, 0.9902439024390244, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[inf 1.  0.9 0.7 0.5 0.3 0.2 0.1 0. ]
