estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
Voting,AFF3,BMP4,IL2RA,SNORA24,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99983155 0.81406217 0.00112898]
Voting,AFF3,BMP4,IL2RA,SNORA26,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[           inf 9.99950111e-01 6.77881683e-01 3.63799373e-04]
Voting,AFF3,BMP4,JPH2,SNORA24,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99984448 0.89335482 0.00129907]
Voting,AFF3,BMP4,JPH2,SNORA26,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99984471 0.90873014 0.00104539]
Voting,AFF3,BMP4,KCNK16,SNORA24,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99984218 0.76118778 0.00118062]
Voting,AFF3,BMP4,KCNK16,SNORA26,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[           inf 9.99888960e-01 7.67632129e-01 4.32271561e-04]
Voting,AFF3,BMP4,RFFL,SNORA24,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99981247 0.74131667 0.00194005]
Voting,AFF3,BMP4,RFFL,SNORA26,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99984356 0.62837371 0.00124951]
Voting,AFF3,BMP4,SPRED2,SNORA24,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99988182 0.70098928 0.00115598]
Voting,AFF3,BMP4,SPRED2,SNORA26,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[           inf 9.99911778e-01 7.63903446e-01 9.60119260e-04]
Voting,AFF3,CNTN6,IL2RA,SNORA24,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99984727 0.75528667 0.00181661]
Voting,AFF3,CNTN6,IL2RA,SNORA26,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99996303 0.6389924  0.00192984]
Voting,AFF3,CNTN6,JPH2,SNORA24,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99983771 0.80247443 0.00179696]
Voting,AFF3,CNTN6,JPH2,SNORA26,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99993531 0.73119631 0.0016316 ]
Voting,AFF3,CNTN6,KCNK16,SNORA24,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99985765 0.69119514 0.00150599]
Voting,AFF3,CNTN6,KCNK16,SNORA26,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99996127 0.61630888 0.01044019]
Voting,AFF3,CNTN6,RFFL,SNORA24,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99978885 0.76745785 0.0028163 ]
Voting,AFF3,CNTN6,RFFL,SNORA26,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99984874 0.84111953 0.00171854]
