estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
SVM,AARS2,ABCA4,ASB18,C8orf85,"[0.0, 0.0, 0.0, 0.022222222222222223, 0.022222222222222223, 0.044444444444444446, 0.044444444444444446, 0.06666666666666667, 0.06666666666666667, 0.1111111111111111, 0.1111111111111111, 0.2, 0.2, 0.4444444444444444, 0.4444444444444444, 0.5111111111111111, 0.5111111111111111, 0.6222222222222222, 0.6222222222222222, 0.7333333333333333, 0.7333333333333333, 1.0]","[0.0, 0.0024390243902439024, 0.35853658536585364, 0.35853658536585364, 0.44390243902439025, 0.44390243902439025, 0.948780487804878, 0.948780487804878, 0.9707317073170731, 0.9707317073170731, 0.9829268292682927, 0.9829268292682927, 0.9878048780487805, 0.9878048780487805, 0.9902439024390244, 0.9902439024390244, 0.9926829268292683, 0.9926829268292683, 0.9951219512195122, 0.9951219512195122, 1.0, 1.0]","[       inf 0.99999482 0.98809985 0.98808064 0.98559151 0.98541991
 0.96513159 0.96261484 0.89668659 0.86245944 0.66255595 0.54663324
 0.4806418  0.20266136 0.18788993 0.12850735 0.1193435  0.11188629
 0.10982295 0.07230594 0.06407938 0.01907575]"
SVM,ACTL9,ABCA4,ASB18,C8orf85,"[0.0, 0.0, 0.0, 0.022222222222222223, 0.022222222222222223, 0.044444444444444446, 0.044444444444444446, 0.06666666666666667, 0.06666666666666667, 0.08888888888888889, 0.08888888888888889, 0.17777777777777778, 0.17777777777777778, 0.2222222222222222, 0.2222222222222222, 0.4666666666666667, 0.4666666666666667, 0.5333333333333333, 0.5333333333333333, 0.7777777777777778, 0.7777777777777778, 0.9555555555555556, 0.9555555555555556, 1.0]","[0.0, 0.0024390243902439024, 0.8609756097560975, 0.8609756097560975, 0.9048780487804878, 0.9048780487804878, 0.9658536585365853, 0.9658536585365853, 0.975609756097561, 0.975609756097561, 0.9829268292682927, 0.9829268292682927, 0.9878048780487805, 0.9878048780487805, 0.9902439024390244, 0.9902439024390244, 0.9926829268292683, 0.9926829268292683, 0.9951219512195122, 0.9951219512195122, 0.9975609756097561, 0.9975609756097561, 1.0, 1.0]","[       inf 1.         0.97574985 0.9737333  0.92659939 0.92496226
 0.74709682 0.74264582 0.67782981 0.64370987 0.61487408 0.56986044
 0.48453953 0.43324611 0.43055645 0.31309475 0.31084342 0.24372131
 0.2224595  0.15484965 0.12462324 0.02452586 0.01925859 0.00936048]"
SVM,ISG20,ABCA4,ASB18,C8orf85,"[0.0, 0.0, 0.0, 0.022222222222222223, 0.022222222222222223, 0.044444444444444446, 0.044444444444444446, 0.06666666666666667, 0.06666666666666667, 0.08888888888888889, 0.08888888888888889, 0.1111111111111111, 0.1111111111111111, 0.15555555555555556, 0.15555555555555556, 0.17777777777777778, 0.17777777777777778, 0.2, 0.2, 0.4, 0.4, 0.5111111111111111, 0.5111111111111111, 0.6444444444444445, 0.6444444444444445, 0.9333333333333333, 0.9333333333333333, 1.0]","[0.0, 0.0024390243902439024, 0.8902439024390244, 0.8902439024390244, 0.9219512195121952, 0.9219512195121952, 0.948780487804878, 0.948780487804878, 0.9609756097560975, 0.9609756097560975, 0.9634146341463414, 0.9634146341463414, 0.973170731707317, 0.973170731707317, 0.9804878048780488, 0.9804878048780488, 0.9853658536585366, 0.9853658536585366, 0.9902439024390244, 0.9902439024390244, 0.9926829268292683, 0.9926829268292683, 0.9951219512195122, 0.9951219512195122, 0.9975609756097561, 0.9975609756097561, 1.0, 1.0]","[       inf 1.         0.94677406 0.9398997  0.92146578 0.91157901
 0.86149196 0.8439211  0.76540947 0.75822647 0.72181467 0.71656983
 0.64673308 0.63935329 0.57817505 0.57678861 0.55081331 0.48761779
 0.48187996 0.28680615 0.27931427 0.20450767 0.18049501 0.12982111
 0.12959197 0.03895825 0.03175482 0.00965299]"
SVM,AARS2,ABCA4,ADAMTS16,ASB18,"[0.0, 0.0, 0.0, 0.022222222222222223, 0.022222222222222223, 0.044444444444444446, 0.044444444444444446, 0.08888888888888889, 0.08888888888888889, 0.4222222222222222, 0.4222222222222222, 0.4888888888888889, 0.4888888888888889, 1.0]","[0.0, 0.0024390243902439024, 0.9658536585365853, 0.9658536585365853, 0.9780487804878049, 0.9780487804878049, 0.9926829268292683, 0.9926829268292683, 0.9951219512195122, 0.9951219512195122, 0.9975609756097561, 0.9975609756097561, 1.0, 1.0]","[       inf 0.99999975 0.93498044 0.91083285 0.86674117 0.80125533
 0.644866   0.57395371 0.47350458 0.07159681 0.07139258 0.07092401
 0.05283339 0.00471822]"
SVM,HK2,ABCA4,ADAMTS16,ASB18,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[           inf 1.00000000e+00 2.42401531e-01 5.98139891e-04]
SVM,ISG20,ABCA4,ADAMTS16,ASB18,"[0.0, 0.0, 0.0, 0.022222222222222223, 0.022222222222222223, 0.044444444444444446, 0.044444444444444446, 0.5555555555555556, 0.5555555555555556, 1.0]","[0.0, 0.0024390243902439024, 0.9878048780487805, 0.9878048780487805, 0.9902439024390244, 0.9902439024390244, 0.9975609756097561, 0.9975609756097561, 1.0, 1.0]","[           inf 1.00000000e+00 9.36260844e-01 9.21607360e-01
 9.15067656e-01 8.69250631e-01 8.47861244e-01 6.16930357e-02
 3.17470045e-02 8.55807988e-04]"
SVM,AARS2,ABCA4,ADAMTS16,C20orf118,"[0.0, 0.0, 0.0, 0.022222222222222223, 0.022222222222222223, 0.044444444444444446, 0.044444444444444446, 0.06666666666666667, 0.06666666666666667, 0.4888888888888889, 0.4888888888888889, 0.5555555555555556, 0.5555555555555556, 1.0]","[0.0, 0.0024390243902439024, 0.9829268292682927, 0.9829268292682927, 0.9878048780487805, 0.9878048780487805, 0.9902439024390244, 0.9902439024390244, 0.9951219512195122, 0.9951219512195122, 0.9975609756097561, 0.9975609756097561, 1.0, 1.0]","[       inf 1.         0.88966551 0.8553543  0.81141041 0.68291779
 0.60841756 0.55193765 0.50785618 0.10364727 0.07464599 0.06603888
 0.06011785 0.00512832]"
SVM,AARS2,ABCA4,ADAMTS8,C20orf118,"[0.0, 0.0, 0.0, 0.022222222222222223, 0.022222222222222223, 0.06666666666666667, 0.06666666666666667, 0.08888888888888889, 0.08888888888888889, 0.1111111111111111, 0.1111111111111111, 0.13333333333333333, 0.13333333333333333, 0.2, 0.2, 0.2222222222222222, 0.2222222222222222, 0.24444444444444444, 0.24444444444444444, 0.28888888888888886, 0.28888888888888886, 0.35555555555555557, 0.35555555555555557, 0.4444444444444444, 0.4444444444444444, 0.6222222222222222, 0.6222222222222222, 0.6888888888888889, 0.6888888888888889, 0.8666666666666667, 0.8666666666666667, 1.0]","[0.0, 0.0024390243902439024, 0.9292682926829269, 0.9292682926829269, 0.9341463414634147, 0.9341463414634147, 0.9463414634146341, 0.9463414634146341, 0.9536585365853658, 0.9536585365853658, 0.9560975609756097, 0.9560975609756097, 0.973170731707317, 0.973170731707317, 0.975609756097561, 0.975609756097561, 0.9780487804878049, 0.9780487804878049, 0.9829268292682927, 0.9829268292682927, 0.9878048780487805, 0.9878048780487805, 0.9902439024390244, 0.9902439024390244, 0.9926829268292683, 0.9926829268292683, 0.9951219512195122, 0.9951219512195122, 0.9975609756097561, 0.9975609756097561, 1.0, 1.0]","[       inf 0.99998837 0.93292903 0.93142688 0.92821662 0.91965072
 0.88712351 0.88614138 0.87920758 0.87395233 0.86860901 0.86561863
 0.79187477 0.74445632 0.72474802 0.72015278 0.72014546 0.66264678
 0.63528743 0.47715401 0.43523439 0.38348112 0.35110456 0.19023837
 0.16645807 0.10989637 0.10634984 0.10016222 0.07684843 0.049064
 0.0472526  0.0185477 ]"
SVM,C1orf106,ABCA4,ADAMTS16,C20orf118,"[0.0, 0.0, 0.0, 0.022222222222222223, 0.022222222222222223, 0.28888888888888886, 0.28888888888888886, 1.0]","[0.0, 0.0024390243902439024, 0.9926829268292683, 0.9926829268292683, 0.9975609756097561, 0.9975609756097561, 1.0, 1.0]","[       inf 1.         0.73230304 0.72388054 0.57584391 0.19926797
 0.16673473 0.00188997]"
SVM,C1orf106,ABCA4,ADAMTS8,C20orf118,"[0.0, 0.0, 0.0, 0.022222222222222223, 0.022222222222222223, 0.044444444444444446, 0.044444444444444446, 0.06666666666666667, 0.06666666666666667, 0.17777777777777778, 0.17777777777777778, 0.2222222222222222, 0.2222222222222222, 0.5111111111111111, 0.5111111111111111, 1.0]","[0.0, 0.0024390243902439024, 0.9365853658536586, 0.9365853658536586, 0.9878048780487805, 0.9878048780487805, 0.9902439024390244, 0.9902439024390244, 0.9926829268292683, 0.9926829268292683, 0.9951219512195122, 0.9951219512195122, 0.9975609756097561, 0.9975609756097561, 1.0, 1.0]","[       inf 0.99999999 0.89925875 0.87762364 0.55242237 0.5332353
 0.52188637 0.52083024 0.50548315 0.36613997 0.36228634 0.33104845
 0.31011898 0.22488425 0.21623698 0.0312871 ]"
