estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
Voting,AARS2,ABCA4,ASB18,C8orf85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ACTL9,ABCA4,ASB18,C8orf85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ISG20,ABCA4,ASB18,C8orf85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AARS2,ABCA4,ADAMTS16,ASB18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,HK2,ABCA4,ADAMTS16,ASB18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ISG20,ABCA4,ADAMTS16,ASB18,0.9978021978021978,0.9975609756097561,1.0,1.0,0.9987789987789988,1.0,0.9878637899246671,0.9980478282088824
Voting,AARS2,ABCA4,ADAMTS16,C20orf118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AARS2,ABCA4,ADAMTS8,C20orf118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,C1orf106,ABCA4,ADAMTS16,C20orf118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,C1orf106,ABCA4,ADAMTS8,C20orf118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ISG20,ABCA4,ADAMTS16,C20orf118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ISG20,ABCA4,ADAMTS8,C20orf118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AARS2,ABCA4,ADAMTS16,ASB18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,CLIP4,ABCA4,ADAMTS16,ASB18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ISG20,ABCA4,ADAMTS16,ASB18,0.9978021978021978,0.9975609756097561,1.0,1.0,0.9987789987789988,1.0,0.9878637899246671,0.9980478282088824
