estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
Voting,AARS2,ABCA4,ASB18,C8orf85,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99993191 0.59478678 0.00801614]
Voting,ACTL9,ABCA4,ASB18,C8orf85,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99983088 0.58712065 0.00373652]
Voting,ISG20,ABCA4,ASB18,C8orf85,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99991045 0.5632237  0.00749606]
Voting,AARS2,ABCA4,ADAMTS16,ASB18,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99994686 0.50969135 0.00158271]
Voting,HK2,ABCA4,ADAMTS16,ASB18,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99976866 0.67929998 0.00245668]
Voting,ISG20,ABCA4,ADAMTS16,ASB18,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[           inf 9.99950754e-01 4.82033190e-01 7.52434512e-04]
Voting,AARS2,ABCA4,ADAMTS16,C20orf118,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99989281 0.50115812 0.00183895]
Voting,AARS2,ABCA4,ADAMTS8,C20orf118,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99987598 0.59398205 0.00833457]
Voting,C1orf106,ABCA4,ADAMTS16,C20orf118,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[           inf 9.99919949e-01 5.41384270e-01 8.96752733e-04]
Voting,C1orf106,ABCA4,ADAMTS8,C20orf118,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99997449 0.63659214 0.00665038]
Voting,ISG20,ABCA4,ADAMTS16,C20orf118,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99993967 0.60376049 0.00125363]
Voting,ISG20,ABCA4,ADAMTS8,C20orf118,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99983121 0.62145637 0.00800825]
Voting,AARS2,ABCA4,ADAMTS16,ASB18,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.99994686 0.50969135 0.00158271]
Voting,CLIP4,ABCA4,ADAMTS16,ASB18,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[       inf 0.9999182  0.58893343 0.00149082]
Voting,ISG20,ABCA4,ADAMTS16,ASB18,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0024390243902439024, 1.0, 1.0]",[           inf 9.99950754e-01 4.82033190e-01 7.52434512e-04]
