selection_model,train_model,features,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
SVM,XGBoost,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,RandomForest,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,SVM,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,DecisionTree,20,0.9545454545454547,1.0,0.909090909090909,0.9166666666666666,0.9565217391304348,0.9545454545454545,0.9128709291752768,0.9821428571428573
SVM,XGBoost,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,RandomForest,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,SVM,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,DecisionTree,21,0.909090909090909,1.0,0.8181818181818181,0.8461538461538461,0.9166666666666666,0.909090909090909,0.8320502943378438,0.9649122807017543
SVM,XGBoost,22,0.9545454545454547,1.0,0.909090909090909,0.9166666666666666,0.9565217391304348,1.0,0.9128709291752768,0.9821428571428573
SVM,RandomForest,22,0.9545454545454547,1.0,0.909090909090909,0.9166666666666666,0.9565217391304348,1.0,0.9128709291752768,0.9821428571428573
SVM,SVM,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,DecisionTree,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,XGBoost,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,RandomForest,23,0.9545454545454547,1.0,0.909090909090909,0.9166666666666666,0.9565217391304348,1.0,0.9128709291752768,0.9821428571428573
SVM,SVM,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,DecisionTree,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,XGBoost,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,RandomForest,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,SVM,24,0.9545454545454547,1.0,0.909090909090909,0.9166666666666666,0.9565217391304348,1.0,0.9128709291752768,0.9821428571428573
SVM,DecisionTree,24,0.990909090909091,0.9818181818181818,1.0,1.0,0.9904761904761905,0.9991735537190083,0.9825741858350554,0.9851851851851852
SVM,XGBoost,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,RandomForest,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,SVM,25,0.9545454545454547,1.0,0.909090909090909,0.9166666666666666,0.9565217391304348,1.0,0.9128709291752768,0.9821428571428573
SVM,DecisionTree,25,0.9545454545454547,1.0,0.909090909090909,0.9166666666666666,0.9565217391304348,0.9545454545454545,0.9128709291752768,0.9821428571428573
DecisionTree,XGBoost,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,RandomForest,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,SVM,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,DecisionTree,20,0.9545454545454547,1.0,0.909090909090909,0.9166666666666666,0.9565217391304348,0.9545454545454545,0.9128709291752768,0.9821428571428573
DecisionTree,XGBoost,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,RandomForest,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,SVM,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,DecisionTree,21,0.9545454545454547,1.0,0.909090909090909,0.9166666666666666,0.9565217391304348,0.9545454545454545,0.9128709291752768,0.9821428571428573
DecisionTree,XGBoost,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,RandomForest,22,0.9545454545454547,1.0,0.909090909090909,0.9166666666666666,0.9565217391304348,1.0,0.9128709291752768,0.9821428571428573
DecisionTree,SVM,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,DecisionTree,22,0.9545454545454547,1.0,0.909090909090909,0.9166666666666666,0.9565217391304348,0.9545454545454545,0.9128709291752768,0.9821428571428573
DecisionTree,XGBoost,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,RandomForest,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,SVM,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,DecisionTree,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,XGBoost,24,0.9545454545454547,1.0,0.909090909090909,0.9166666666666666,0.9565217391304348,1.0,0.9128709291752768,0.9821428571428573
DecisionTree,RandomForest,24,0.9545454545454547,1.0,0.909090909090909,0.9166666666666666,0.9565217391304348,1.0,0.9128709291752768,0.9821428571428573
DecisionTree,SVM,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,DecisionTree,24,0.9545454545454547,1.0,0.909090909090909,0.9166666666666666,0.9565217391304348,0.9545454545454545,0.9128709291752768,0.9821428571428573
DecisionTree,XGBoost,25,0.9545454545454547,1.0,0.909090909090909,0.9166666666666666,0.9565217391304348,1.0,0.9128709291752768,0.9821428571428573
DecisionTree,RandomForest,25,0.9545454545454547,1.0,0.909090909090909,0.9166666666666666,0.9565217391304348,1.0,0.9128709291752768,0.9821428571428573
DecisionTree,SVM,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,DecisionTree,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,XGBoost,20,0.909090909090909,1.0,0.8181818181818181,0.8461538461538461,0.9166666666666666,1.0,0.8320502943378438,0.9649122807017543
RandomForest,RandomForest,20,0.9545454545454547,1.0,0.909090909090909,0.9166666666666666,0.9565217391304348,1.0,0.9128709291752768,0.9821428571428573
RandomForest,SVM,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,DecisionTree,20,0.909090909090909,1.0,0.8181818181818181,0.8461538461538461,0.9166666666666666,0.909090909090909,0.8320502943378438,0.9649122807017543
