selection_model,train_model,features,fpr,tpr,threshold
SVM,XGBoost,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 1.0]","[0.0, 0.925, 0.9625, 0.9875, 1.0, 1.0, 1.0]",[      inf 0.5049178 0.5039578 0.5020076 0.5000466 0.4971268 0.495204 ]
SVM,RandomForest,20,"[0.0, 0.0, 0.0, 0.0, 0.36363636363636365, 1.0]","[0.0, 0.925, 0.95, 1.0, 1.0, 1.0]",[  inf 1.    0.975 0.825 0.025 0.   ]
SVM,SVM,20,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0125, 1.0, 1.0]",[           inf 9.99999879e-01 9.86525893e-01 2.20355175e-04]
SVM,DecisionTree,20,"[0.0, 0.09090909090909091, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
SVM,XGBoost,21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2727272727272727, 1.0]","[0.0, 0.925, 0.9625, 0.9875, 1.0, 1.0, 1.0]","[       inf 0.5472415  0.5456367  0.54105866 0.51773727 0.46190384
 0.45275614]"
SVM,RandomForest,21,"[0.0, 0.0, 0.0, 0.09090909090909091, 0.2727272727272727, 1.0]","[0.0, 0.9875, 1.0, 1.0, 1.0, 1.0]",[inf 1.  0.8 0.3 0.1 0. ]
SVM,SVM,21,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0125, 1.0, 1.0]",[           inf 9.99999862e-01 9.86005412e-01 2.57217164e-04]
SVM,DecisionTree,21,"[0.0, 0.18181818181818182, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
SVM,XGBoost,22,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2727272727272727, 0.45454545454545453, 0.5454545454545454, 1.0]","[0.0, 0.925, 0.9625, 0.9875, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.50491756 0.50399506 0.50378096 0.5015193  0.49602166
 0.49561557 0.4955256  0.49509427]"
SVM,RandomForest,22,"[0.0, 0.0, 0.0, 0.0, 0.45454545454545453, 1.0]","[0.0, 0.9375, 0.9625, 1.0, 1.0, 1.0]",[ inf 1.   0.98 0.8  0.02 0.  ]
SVM,SVM,22,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0125, 1.0, 1.0]",[           inf 9.99999829e-01 9.85224597e-01 2.77009969e-04]
SVM,DecisionTree,22,"[0.0, 0.0, 1.0]","[0.0, 0.9875, 1.0]",[inf  1.  0.]
SVM,XGBoost,23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45454545454545453, 1.0]","[0.0, 0.725, 0.7625, 0.8, 0.825, 0.8375, 0.8875, 0.9125, 0.9375, 1.0, 1.0, 1.0]","[       inf 0.99414057 0.99335194 0.9919424  0.9917064  0.9910617
 0.99046564 0.98772264 0.9858213  0.8192396  0.0083582  0.00687202]"
SVM,RandomForest,23,"[0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.36363636363636365, 1.0]","[0.0, 0.9625, 0.9875, 0.9875, 1.0, 1.0, 1.0, 1.0]",[inf 1.  0.9 0.7 0.6 0.2 0.1 0. ]
SVM,SVM,23,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0125, 1.0, 1.0]",[           inf 9.99999877e-01 9.84118919e-01 2.32023601e-04]
SVM,DecisionTree,23,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
