estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
RandomForest,AARS2,ADAMTS16,ASB18,CA14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.18181818181818182, 0.36363636363636365, 1.0]","[0.0, 0.9, 0.9375, 0.9875, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.95 0.9  0.85 0.3  0.05 0.  ]
RandomForest,AARS2,ADAMTS16,ASB18,KCNK16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5454545454545454, 1.0]","[0.0, 0.8625, 0.9125, 0.925, 0.95, 0.975, 1.0, 1.0, 1.0]","[       inf 1.         0.925      0.825      0.81666667 0.7
 0.675      0.03928571 0.        ]"
RandomForest,AARS2,ADAMTS8,ASB18,CA14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2727272727272727, 0.2727272727272727, 0.36363636363636365, 0.36363636363636365, 0.5454545454545454, 1.0]","[0.0, 0.8125, 0.875, 0.9125, 0.975, 0.975, 0.9875, 0.9875, 1.0, 1.0, 1.0]",[ inf 1.   0.98 0.96 0.5  0.34 0.32 0.1  0.08 0.02 0.  ]
RandomForest,AARS2,ADAMTS8,ASB18,KCNK16,"[0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 0.18181818181818182, 0.18181818181818182, 0.2727272727272727, 0.45454545454545453, 1.0]","[0.0, 0.85, 0.9, 0.9125, 0.9125, 0.9375, 0.95, 0.95, 0.95, 1.0]","[       inf 1.         0.9        0.8        0.66666667 0.5
 0.35       0.2        0.1        0.        ]"
RandomForest,ACTL9,ADAMTS16,ASB18,CA14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 0.45454545454545453, 0.5454545454545454, 1.0]","[0.0, 0.8375, 0.85, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0]",[  inf 1.    0.99  0.98  0.875 0.08  0.06  0.04  0.   ]
RandomForest,ACTL9,ADAMTS16,ASB18,KCNK16,"[0.0, 0.0, 0.0, 0.36363636363636365, 1.0]","[0.0, 0.9125, 1.0, 1.0, 1.0]",[       inf 1.         0.77666667 0.06666667 0.        ]
RandomForest,ACTL9,ADAMTS8,ASB18,CA14,"[0.0, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.2727272727272727, 0.36363636363636365, 1.0]","[0.0, 0.875, 0.8875, 0.95, 0.975, 0.9875, 0.9875, 1.0, 1.0]","[       inf 1.         0.93333333 0.9        0.8        0.725
 0.4        0.1        0.        ]"
RandomForest,ACTL9,ADAMTS8,ASB18,KCNK16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18181818181818182, 0.18181818181818182, 0.45454545454545453, 0.45454545454545453, 0.6363636363636364, 1.0]","[0.0, 0.8125, 0.875, 0.8875, 0.9375, 0.9625, 0.9625, 0.975, 0.975, 0.9875, 0.9875, 1.0]",[ inf 1.   0.98 0.96 0.86 0.58 0.34 0.32 0.24 0.04 0.02 0.  ]
RandomForest,AARS2,ABCA4,ADAMTS16,ASB18,"[0.0, 0.0, 0.0, 0.0, 0.18181818181818182, 0.45454545454545453, 1.0]","[0.0, 0.95, 0.9875, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.95 0.9  0.1  0.05 0.  ]
RandomForest,AARS2,HLA-DQA2,ADAMTS16,ASB18,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5454545454545454, 1.0]","[0.0, 0.875, 0.925, 0.95, 0.9625, 0.9875, 1.0, 1.0, 1.0]",[ inf 1.   0.98 0.92 0.88 0.84 0.78 0.02 0.  ]
RandomForest,AARS2,KCNK16,ADAMTS16,ASB18,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5454545454545454, 1.0]","[0.0, 0.8625, 0.9125, 0.925, 0.95, 0.975, 1.0, 1.0, 1.0]","[       inf 1.         0.925      0.825      0.81666667 0.7
 0.675      0.03928571 0.        ]"
RandomForest,AARS2,ABCA4,ASB18,C1QTNF4,"[0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.18181818181818182, 0.36363636363636365, 0.5454545454545454, 0.6363636363636364, 0.6363636363636364, 1.0]","[0.0, 0.775, 0.8375, 0.9125, 0.9125, 0.925, 0.925, 0.95, 0.95, 0.95, 0.9625, 0.975, 1.0]",[ inf 1.   0.98 0.86 0.84 0.76 0.34 0.3  0.24 0.1  0.04 0.02 0.  ]
RandomForest,AARS2,KCNK16,ASB18,C1QTNF4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2727272727272727, 0.2727272727272727, 0.45454545454545453, 0.45454545454545453, 1.0]","[0.0, 0.8, 0.825, 0.8625, 0.875, 0.9, 0.9375, 0.9375, 0.95, 0.95, 0.9625, 1.0]",[ inf 1.   0.98 0.96 0.94 0.9  0.68 0.28 0.24 0.08 0.04 0.  ]
RandomForest,ACTL9,ABCA4,ASB18,C1QTNF4,"[0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.2727272727272727, 0.2727272727272727, 0.45454545454545453, 0.6363636363636364, 0.6363636363636364, 0.7272727272727273, 1.0]","[0.0, 0.8625, 0.8875, 0.9125, 0.9125, 0.95, 0.9625, 0.9625, 0.975, 0.975, 0.975, 0.9875, 0.9875, 1.0]",[ inf 1.   0.98 0.9  0.66 0.58 0.54 0.5  0.28 0.26 0.08 0.06 0.04 0.  ]
RandomForest,ACTL9,KCNK16,ASB18,C1QTNF4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2727272727272727, 0.2727272727272727, 0.45454545454545453, 0.6363636363636364, 1.0]","[0.0, 0.8125, 0.8375, 0.875, 0.8875, 0.925, 0.9625, 0.9625, 0.975, 0.975, 0.975, 1.0]",[ inf 1.   0.98 0.96 0.88 0.86 0.7  0.4  0.26 0.14 0.02 0.  ]
RandomForest,ADAM28,ABCA4,ASB18,C1QTNF4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18181818181818182, 0.18181818181818182, 0.36363636363636365, 0.5454545454545454, 0.5454545454545454, 0.6363636363636364, 0.6363636363636364, 1.0]","[0.0, 0.7375, 0.7875, 0.8, 0.825, 0.925, 0.925, 0.95, 0.95, 0.95, 0.9625, 0.9625, 0.975, 1.0]","[       inf 1.         0.99       0.98       0.96       0.79
 0.47666667 0.44       0.24666667 0.08       0.072      0.06
 0.02       0.        ]"
RandomForest,ADAM28,KCNK16,ASB18,C1QTNF4,"[0.0, 0.0, 0.0, 0.0, 0.2727272727272727, 0.5454545454545454, 1.0]","[0.0, 0.775, 0.8625, 0.95, 0.95, 0.9625, 1.0]",[ inf 1.   0.98 0.58 0.32 0.02 0.  ]
RandomForest,AARS2,ABCA4,ASB18,COTL1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.18181818181818182, 0.45454545454545453, 1.0]","[0.0, 0.825, 0.8375, 0.875, 0.8875, 0.9, 0.9125, 0.925, 0.9375, 0.9375, 1.0]",[ inf 1.   0.95 0.9  0.85 0.8  0.7  0.6  0.4  0.1  0.  ]
RandomForest,AARS2,KCNK16,ASB18,COTL1,"[0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.18181818181818182, 0.2727272727272727, 0.2727272727272727, 0.36363636363636365, 0.36363636363636365, 0.45454545454545453, 1.0]","[0.0, 0.8, 0.8625, 0.8875, 0.8875, 0.9125, 0.9125, 0.9375, 0.9375, 0.95, 0.95, 0.9625, 0.9625, 1.0]",[ inf 1.   0.98 0.72 0.7  0.56 0.52 0.46 0.32 0.1  0.08 0.04 0.02 0.  ]
