estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
Voting,AARS2,ADAMTS16,ASB18,CA14,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0125, 1.0, 1.0]",[           inf 9.99930844e-01 8.72828778e-01 2.82616281e-04]
Voting,AARS2,ADAMTS16,ASB18,KCNK16,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0125, 1.0, 1.0]",[       inf 0.99982807 0.7960546  0.00154553]
Voting,AARS2,ADAMTS8,ASB18,CA14,"[0.0, 0.0, 0.0, 0.36363636363636365, 0.36363636363636365, 0.45454545454545453, 0.45454545454545453, 1.0]","[0.0, 0.0125, 0.975, 0.975, 0.9875, 0.9875, 1.0, 1.0]","[           inf 9.99975383e-01 4.89803262e-01 1.44578750e-01
 1.31685524e-01 5.81410745e-02 4.03741127e-02 4.03953940e-04]"
Voting,AARS2,ADAMTS8,ASB18,KCNK16,"[0.0, 0.0, 0.0, 0.18181818181818182, 0.18181818181818182, 0.2727272727272727, 0.2727272727272727, 0.7272727272727273, 0.7272727272727273, 0.9090909090909091, 0.9090909090909091, 1.0, 1.0]","[0.0, 0.0125, 0.9125, 0.9125, 0.9375, 0.9375, 0.9625, 0.9625, 0.975, 0.975, 0.9875, 0.9875, 1.0]","[       inf 0.99991947 0.8394416  0.65007562 0.26964388 0.18200678
 0.05323118 0.01201246 0.01175168 0.00454403 0.00362911 0.00325467
 0.00179955]"
Voting,ACTL9,ADAMTS16,ASB18,CA14,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0125, 1.0, 1.0]",[           inf 9.99848157e-01 8.91013231e-01 4.42383731e-04]
Voting,ACTL9,ADAMTS16,ASB18,KCNK16,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0125, 1.0, 1.0]",[           inf 9.99826371e-01 7.80278679e-01 8.72915643e-04]
Voting,ACTL9,ADAMTS8,ASB18,CA14,"[0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 1.0]","[0.0, 0.0125, 0.9875, 0.9875, 1.0, 1.0]","[           inf 9.99947801e-01 7.00089492e-01 6.75744573e-01
 6.32371579e-01 5.36359719e-04]"
Voting,ACTL9,ADAMTS8,ASB18,KCNK16,"[0.0, 0.0, 0.0, 0.18181818181818182, 0.18181818181818182, 0.45454545454545453, 0.45454545454545453, 1.0, 1.0]","[0.0, 0.0125, 0.9625, 0.9625, 0.975, 0.975, 0.9875, 0.9875, 1.0]","[       inf 0.99981158 0.71347124 0.33789862 0.11973215 0.07825209
 0.01943158 0.00376859 0.00337402]"
Voting,AARS2,ABCA4,ADAMTS16,ASB18,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0125, 1.0, 1.0]",[           inf 9.99939039e-01 8.00717781e-01 6.20095807e-04]
Voting,AARS2,HLA-DQA2,ADAMTS16,ASB18,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0125, 1.0, 1.0]",[           inf 9.99893737e-01 8.03607986e-01 9.91581138e-04]
Voting,AARS2,KCNK16,ADAMTS16,ASB18,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0125, 1.0, 1.0]",[       inf 0.99982807 0.7960546  0.00154553]
Voting,AARS2,ABCA4,ASB18,C1QTNF4,"[0.0, 0.0, 0.0, 0.36363636363636365, 0.36363636363636365, 0.5454545454545454, 0.5454545454545454, 0.6363636363636364, 0.6363636363636364, 0.7272727272727273, 0.7272727272727273, 1.0]","[0.0, 0.0125, 0.925, 0.925, 0.95, 0.95, 0.9625, 0.9625, 0.9875, 0.9875, 1.0, 1.0]","[       inf 0.99994364 0.83416403 0.34674258 0.06955752 0.05232269
 0.0341546  0.02371482 0.00764136 0.00700621 0.0033593  0.00155062]"
Voting,AARS2,KCNK16,ASB18,C1QTNF4,"[0.0, 0.0, 0.0, 0.2727272727272727, 0.2727272727272727, 0.36363636363636365, 0.36363636363636365, 0.5454545454545454, 0.5454545454545454, 0.8181818181818182, 0.8181818181818182, 0.9090909090909091, 0.9090909090909091, 1.0]","[0.0, 0.0125, 0.9375, 0.9375, 0.95, 0.95, 0.9625, 0.9625, 0.975, 0.975, 0.9875, 0.9875, 1.0, 1.0]","[       inf 0.99984726 0.74492939 0.54160929 0.0702161  0.06769306
 0.03654069 0.01638238 0.00836427 0.00432965 0.00394106 0.00383299
 0.00348227 0.0019776 ]"
