selection_model,train_model,features,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
SVM,XGBoost,20,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
SVM,RandomForest,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,SVM,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,DecisionTree,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,XGBoost,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,RandomForest,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,SVM,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,DecisionTree,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,XGBoost,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,RandomForest,22,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0
SVM,SVM,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,DecisionTree,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,XGBoost,23,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0
SVM,RandomForest,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,SVM,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,DecisionTree,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,XGBoost,24,0.996969696969697,0.9939393939393939,1.0,1.0,0.9969604863221885,1.0,0.9939576486092935,0.9951456310679612
SVM,RandomForest,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,SVM,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,DecisionTree,24,0.996969696969697,0.9939393939393939,1.0,1.0,0.9969604863221885,0.999981634527089,0.9939576486092935,0.9951456310679612
SVM,XGBoost,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,RandomForest,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,SVM,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,DecisionTree,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,XGBoost,20,0.996969696969697,0.9939393939393939,1.0,1.0,0.9969604863221885,1.0,0.9939576486092935,0.9951456310679612
DecisionTree,RandomForest,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,SVM,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,DecisionTree,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,XGBoost,21,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
DecisionTree,RandomForest,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,SVM,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,DecisionTree,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,XGBoost,22,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
DecisionTree,RandomForest,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,SVM,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,DecisionTree,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,XGBoost,23,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
DecisionTree,RandomForest,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,SVM,23,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,0.9999908172635446,0.996974274456213,0.9975742874469374
DecisionTree,DecisionTree,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,XGBoost,24,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
DecisionTree,RandomForest,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,SVM,24,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
DecisionTree,DecisionTree,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,XGBoost,25,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
DecisionTree,RandomForest,25,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0
DecisionTree,SVM,25,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
DecisionTree,DecisionTree,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,XGBoost,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,RandomForest,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,SVM,20,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
RandomForest,DecisionTree,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,XGBoost,21,0.9954545454545455,0.990909090909091,1.0,1.0,0.995433789954338,0.9999816345270891,0.9909500401039308,0.9927140255009108
RandomForest,RandomForest,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,SVM,21,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
RandomForest,DecisionTree,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,XGBoost,22,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
