estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
SVM,BMP4,KCNK16,NOD2,SNORD115-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,BMP4,KCNK16,RPLP1,SNORD115-10,0.9954545454545455,0.990909090909091,1.0,1.0,0.995433789954338,0.9997428833792471,0.9909500401039308,0.9927140255009108
SVM,BMP4,KCNK16,TGM6,SNORD115-10,0.996969696969697,0.9939393939393939,1.0,1.0,0.9969604863221885,0.9999357208448117,0.9939576486092935,0.9951456310679612
SVM,BMP4,SLC45A4,NOD2,SNORD115-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,BMP4,SLC45A4,RPLP1,SNORD115-10,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,0.9992929292929292,0.996974274456213,0.9975742874469374
SVM,BMP4,SLC45A4,TGM6,SNORD115-10,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,0.9997245179063361,0.996974274456213,0.9975742874469374
SVM,BMP4,SLC6A11,NOD2,SNORD115-10,0.996969696969697,0.9939393939393939,1.0,1.0,0.9969604863221885,0.9999540863177226,0.9939576486092935,0.9951456310679612
SVM,BMP4,SLC6A11,RPLP1,SNORD115-10,0.996969696969697,0.9939393939393939,1.0,1.0,0.9969604863221885,0.9991184573002756,0.9939576486092935,0.9951456310679612
SVM,BMP4,SLC6A11,TGM6,SNORD115-10,0.9954545454545455,0.990909090909091,1.0,1.0,0.995433789954338,0.9999357208448117,0.9909500401039308,0.9927140255009108
SVM,C1QTNF4,KCNK16,NOD2,SNORD115-10,0.9954545454545455,0.990909090909091,1.0,1.0,0.995433789954338,0.9999449035812672,0.9909500401039308,0.9927140255009108
SVM,C1QTNF4,KCNK16,RPLP1,SNORD115-10,0.996969696969697,0.9939393939393939,1.0,1.0,0.9969604863221885,0.9970707070707071,0.9939576486092935,0.9951456310679612
SVM,C1QTNF4,KCNK16,TGM6,SNORD115-10,0.9939393939393939,0.9878787878787879,1.0,1.0,0.9939024390243903,0.9968870523415978,0.9879513673210928,0.9902794653705953
SVM,C1QTNF4,SLC45A4,NOD2,SNORD115-10,0.996969696969697,0.9939393939393939,1.0,1.0,0.9969604863221885,0.9998163452708908,0.9939576486092935,0.9951456310679612
SVM,C1QTNF4,SLC45A4,RPLP1,SNORD115-10,0.9954545454545455,0.990909090909091,1.0,1.0,0.995433789954338,0.9994306703397613,0.9909500401039308,0.9927140255009108
SVM,C1QTNF4,SLC45A4,TGM6,SNORD115-10,0.9939393939393939,0.9878787878787879,1.0,1.0,0.9939024390243903,0.9998071625344354,0.9879513673210928,0.9902794653705953
SVM,C1QTNF4,SLC6A11,NOD2,SNORD115-10,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,0.999485766758494,0.996974274456213,0.9975742874469374
SVM,C1QTNF4,SLC6A11,RPLP1,SNORD115-10,0.9939393939393939,0.9878787878787879,1.0,1.0,0.9939024390243903,0.9969972451790633,0.9879513673210928,0.9902794653705953
SVM,C1QTNF4,SLC6A11,TGM6,SNORD115-10,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,0.9970431588613407,0.996974274456213,0.9975742874469374
SVM,COTL1,KCNK16,NOD2,SNORD115-10,0.9863636363636363,0.9878787878787879,0.9848484848484849,0.9848942598187311,0.9863842662632376,0.9981910009182737,0.9727317389071257,0.9872804360993336
SVM,COTL1,KCNK16,RPLP1,SNORD115-10,0.9939393939393939,0.9878787878787879,1.0,1.0,0.9939024390243903,0.9969146005509641,0.9879513673210928,0.9902794653705953
SVM,COTL1,KCNK16,TGM6,SNORD115-10,0.9954545454545455,0.990909090909091,1.0,1.0,0.995433789954338,0.9971166207529845,0.9909500401039308,0.9927140255009108
SVM,COTL1,SLC45A4,NOD2,SNORD115-10,0.990909090909091,0.9878787878787879,0.9939393939393939,0.9939024390243902,0.9908814589665653,0.9998163452708907,0.9818362138701557,0.9890776699029126
SVM,COTL1,SLC45A4,RPLP1,SNORD115-10,0.9954545454545455,0.990909090909091,1.0,1.0,0.995433789954338,0.9993112947658402,0.9909500401039308,0.9927140255009108
SVM,COTL1,SLC45A4,TGM6,SNORD115-10,0.9954545454545455,0.990909090909091,1.0,1.0,0.995433789954338,0.9999449035812672,0.9909500401039308,0.9927140255009108
SVM,COTL1,SLC6A11,NOD2,SNORD115-10,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,0.9996235078053259,0.996974274456213,0.9975742874469374
SVM,COTL1,SLC6A11,RPLP1,SNORD115-10,0.996969696969697,0.9939393939393939,1.0,1.0,0.9969604863221885,0.9970064279155189,0.9939576486092935,0.9951456310679612
SVM,COTL1,SLC6A11,TGM6,SNORD115-10,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,0.9971717171717172,0.996974274456213,0.9975742874469374
