estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
Voting,BMP4,KCNK16,NOD2,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[           inf 9.99788550e-01 6.37737663e-01 6.23274207e-04]
Voting,BMP4,KCNK16,RPLP1,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[           inf 9.99737915e-01 6.42950129e-01 9.37165952e-04]
Voting,BMP4,KCNK16,TGM6,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[           inf 9.99802582e-01 6.41538577e-01 9.66230719e-04]
Voting,BMP4,SLC45A4,NOD2,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[           inf 9.99936380e-01 5.54973592e-01 6.97322871e-04]
Voting,BMP4,SLC45A4,RPLP1,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[           inf 9.99780156e-01 4.65795143e-01 7.73099682e-04]
Voting,BMP4,SLC45A4,TGM6,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[           inf 9.99838932e-01 4.60870528e-01 7.04841836e-04]
Voting,BMP4,SLC6A11,NOD2,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[           inf 9.99712884e-01 6.54501119e-01 5.79872916e-04]
Voting,BMP4,SLC6A11,RPLP1,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[           inf 9.99717631e-01 6.47594459e-01 7.51753633e-04]
Voting,BMP4,SLC6A11,TGM6,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[           inf 9.99712794e-01 6.71494220e-01 7.10113497e-04]
Voting,C1QTNF4,KCNK16,NOD2,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[           inf 9.99816164e-01 5.53106845e-01 4.74473560e-04]
Voting,C1QTNF4,KCNK16,RPLP1,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[       inf 0.9998164  0.51786663 0.00115454]
Voting,C1QTNF4,KCNK16,TGM6,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[       inf 0.99987724 0.49855754 0.00120087]
Voting,C1QTNF4,SLC45A4,NOD2,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[           inf 9.99922544e-01 6.68909835e-01 1.49394295e-04]
Voting,C1QTNF4,SLC45A4,RPLP1,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[           inf 9.99916375e-01 5.89026020e-01 3.94262743e-04]
Voting,C1QTNF4,SLC45A4,TGM6,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[           inf 9.99856963e-01 5.73496662e-01 5.58598449e-04]
Voting,C1QTNF4,SLC6A11,NOD2,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[           inf 9.99781117e-01 4.79276752e-01 6.18634912e-04]
Voting,C1QTNF4,SLC6A11,RPLP1,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[       inf 0.99982807 0.46735376 0.00101411]
Voting,C1QTNF4,SLC6A11,TGM6,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[       inf 0.99981096 0.45553665 0.0012745 ]
Voting,COTL1,KCNK16,NOD2,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[       inf 0.99992478 0.51420784 0.00103174]
Voting,COTL1,KCNK16,RPLP1,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[           inf 9.99877806e-01 5.02124662e-01 8.76284321e-04]
Voting,COTL1,KCNK16,TGM6,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[       inf 0.9998428  0.47723848 0.00194281]
Voting,COTL1,SLC45A4,NOD2,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[           inf 9.99921142e-01 5.54445330e-01 3.02460961e-04]
Voting,COTL1,SLC45A4,RPLP1,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[           inf 9.99888256e-01 6.15761773e-01 3.84743545e-04]
Voting,COTL1,SLC45A4,TGM6,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[           inf 9.99846071e-01 5.56635396e-01 5.18206965e-04]
Voting,COTL1,SLC6A11,NOD2,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[           inf 9.99838937e-01 4.62880821e-01 8.78072239e-04]
Voting,COTL1,SLC6A11,RPLP1,SNORD115-10,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0030303030303030303, 1.0, 1.0]",[       inf 0.9998317  0.45622149 0.00118776]
