estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
XGBoost,BMP4,KCNK16,NOD2,SNORD115-10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00909090909090909, 0.015151515151515152, 0.02727272727272727, 0.04242424242424243, 0.05454545454545454, 0.06060606060606061, 0.08787878787878788, 0.10909090909090909, 0.11515151515151516, 0.12121212121212122, 0.12424242424242424, 0.1303030303030303, 0.14545454545454545, 0.1484848484848485, 0.22727272727272727, 0.23636363636363636, 0.2636363636363636, 0.27575757575757576, 0.28484848484848485, 0.3242424242424242, 0.32727272727272727, 0.4666666666666667, 0.5363636363636364, 0.5393939393939394, 0.6212121212121212, 0.6727272727272727, 1.0]","[0.0, 0.8454545454545455, 0.8484848484848485, 0.8696969696969697, 0.8787878787878788, 0.8818181818181818, 0.9272727272727272, 0.9454545454545454, 0.9575757575757575, 0.9666666666666667, 0.9727272727272728, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.994825   0.99314356 0.9892936  0.9885788  0.9876181
 0.9874543  0.9741243  0.9635889  0.9598443  0.9586852  0.6233122
 0.05599188 0.04668899 0.01735732 0.01418017 0.01291115 0.0118258
 0.01161178 0.01142805 0.01074777 0.01061075 0.00958161 0.00950451
 0.00946666 0.00912533 0.00908501 0.00898243 0.008932   0.00875732
 0.00865841 0.00861577 0.00860978 0.00851661 0.00826814 0.00820925
 0.00817471 0.00812878 0.00775045]"
XGBoost,BMP4,KCNK16,RPLP1,SNORD115-10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006060606060606061, 0.00909090909090909, 0.015151515151515152, 0.021212121212121213, 0.03333333333333333, 0.04242424242424243, 0.05454545454545454, 1.0]","[0.0, 0.8424242424242424, 0.896969696969697, 0.9030303030303031, 0.906060606060606, 0.9121212121212121, 0.9363636363636364, 0.9575757575757575, 0.9727272727272728, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9314619  0.92305344 0.9206723  0.9030382  0.902
 0.89075667 0.86756    0.8627429  0.2924632  0.26346627 0.18605785
 0.15823273 0.11905191 0.08697334 0.08359998 0.08083422 0.07368602]"
XGBoost,BMP4,KCNK16,TGM6,SNORD115-10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006060606060606061, 0.006060606060606061, 0.015151515151515152, 0.051515151515151514, 0.05757575757575758, 1.0]","[0.0, 0.7787878787878788, 0.7818181818181819, 0.9151515151515152, 0.9212121212121213, 0.9242424242424242, 0.9363636363636364, 0.9454545454545454, 0.9636363636363636, 0.9666666666666667, 0.9848484848484849, 0.996969696969697, 0.996969696969697, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9962387  0.9940686  0.97809863 0.9724335  0.9646516
 0.95949286 0.9303208  0.8991593  0.85606897 0.8348599  0.3113433
 0.2694427  0.08279289 0.0445071  0.0266377  0.02374783 0.01499141]"
XGBoost,BMP4,SLC45A4,NOD2,SNORD115-10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006060606060606061, 0.00909090909090909, 0.015151515151515152, 0.021212121212121213, 0.045454545454545456, 0.05454545454545454, 0.07878787878787878, 0.18181818181818182, 1.0]","[0.0, 0.6363636363636364, 0.706060606060606, 0.7090909090909091, 0.7272727272727273, 0.803030303030303, 0.9242424242424242, 0.9333333333333333, 0.9393939393939394, 0.9454545454545454, 0.9515151515151515, 0.9606060606060606, 0.9757575757575757, 0.9848484848484849, 0.996969696969697, 0.996969696969697, 0.996969696969697, 0.996969696969697, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.99661165 0.9947408  0.9940063  0.9930341  0.99176335
 0.99075294 0.8693153  0.855474   0.8495402  0.8236825  0.76975113
 0.76574326 0.75025386 0.54352796 0.24587928 0.078784   0.06155147
 0.04935479 0.03230678 0.02454502 0.0223466  0.02081067 0.01856055]"
XGBoost,BMP4,SLC45A4,RPLP1,SNORD115-10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006060606060606061, 0.006060606060606061, 0.00909090909090909, 0.015151515151515152, 0.021212121212121213, 0.030303030303030304, 0.045454545454545456, 0.05757575757575758, 0.06060606060606061, 0.06666666666666667, 0.0696969696969697, 0.08181818181818182, 0.09090909090909091, 0.10606060606060606, 0.10909090909090909, 0.13333333333333333, 0.15151515151515152, 0.15757575757575756, 0.1606060606060606, 0.17272727272727273, 0.17575757575757575, 0.18181818181818182, 0.18484848484848485, 0.20606060606060606, 0.20909090909090908, 0.21515151515151515, 0.23939393939393938, 0.24848484848484848, 0.25757575757575757, 0.2606060606060606, 0.26666666666666666, 0.27575757575757576, 0.30303030303030304, 0.3181818181818182, 0.3303030303030303, 0.3393939393939394, 0.3424242424242424, 0.3484848484848485, 0.36363636363636365, 0.38181818181818183, 0.396969696969697, 0.42424242424242425, 0.4303030303030303, 0.44242424242424244, 0.4484848484848485, 0.4575757575757576, 0.46060606060606063, 0.4818181818181818, 0.4909090909090909, 0.5121212121212121, 0.5212121212121212, 0.5454545454545454, 0.5545454545454546, 0.5575757575757576, 0.5636363636363636, 0.5909090909090909, 0.6242424242424243, 0.6848484848484848, 0.7242424242424242, 0.7727272727272727, 1.0]","[0.0, 0.6878787878787879, 0.7, 0.703030303030303, 0.7121212121212122, 0.7696969696969697, 0.7757575757575758, 0.7818181818181819, 0.7848484848484848, 0.8181818181818182, 0.8242424242424242, 0.8272727272727273, 0.8606060606060606, 0.8666666666666667, 0.8787878787878788, 0.8848484848484849, 0.8909090909090909, 0.8939393939393939, 0.9151515151515152, 0.9181818181818182, 0.9272727272727272, 0.9333333333333333, 0.9454545454545454, 0.9515151515151515, 0.9545454545454546, 0.9606060606060606, 0.9666666666666667, 0.9727272727272728, 0.9818181818181818, 0.996969696969697, 0.996969696969697, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.99493366 0.9945381  0.99449736 0.99403185 0.9923954
 0.9910458  0.9908206  0.99076873 0.99063146 0.9898561  0.9898239
 0.98887    0.98791784 0.9870907  0.985658   0.98525316 0.9851243
 0.98411614 0.9828909  0.981153   0.9772593  0.9607441  0.9583465
 0.9508799  0.9507134  0.93845564 0.93502736 0.9186573  0.64037025
 0.18366921 0.0682017  0.04231444 0.04201011 0.03280384 0.03274934
 0.02735912 0.02401882 0.02400248 0.02392565 0.02354917 0.02235667
 0.02232116 0.02137354 0.02103778 0.02080658 0.01943806 0.01928779
 0.01896377 0.01893153 0.01814079 0.01791663 0.01790658 0.01765387
 0.01713387 0.01707795 0.01673495 0.01602542 0.0156907  0.01547259
 0.01541309 0.01439173 0.01411283 0.01378797 0.01240104 0.01238077
 0.01237157 0.01199373 0.01186106 0.0113442  0.01094575 0.01064047
 0.0105431  0.01037232 0.01035521 0.01033669 0.01022695 0.0102022
 0.00988857 0.00979484 0.00975442 0.00966733 0.00949368 0.00942012
 0.00939673 0.00935327 0.00892589 0.00886251 0.00880224 0.00877195
 0.00831144]"
XGBoost,BMP4,SLC45A4,TGM6,SNORD115-10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006060606060606061, 0.012121212121212121, 0.012121212121212121, 0.024242424242424242, 0.03333333333333333, 0.03939393939393939, 0.048484848484848485, 0.05454545454545454, 0.06060606060606061, 0.0696969696969697, 0.07575757575757576, 0.1, 0.10606060606060606, 0.11515151515151516, 0.12121212121212122, 0.13333333333333333, 0.13636363636363635, 0.15454545454545454, 0.18181818181818182, 0.18787878787878787, 0.19090909090909092, 0.2, 0.20606060606060606, 0.21515151515151515, 0.22121212121212122, 0.22424242424242424, 0.23636363636363636, 0.30303030303030304, 0.31212121212121213, 0.3151515151515151, 0.3242424242424242, 0.3393939393939394, 0.3424242424242424, 0.35454545454545455, 0.3575757575757576, 0.36363636363636365, 0.36666666666666664, 0.39090909090909093, 0.40606060606060607, 0.41515151515151516, 0.41818181818181815, 0.42727272727272725, 0.43636363636363634, 0.45151515151515154, 0.45454545454545453, 0.4666666666666667, 0.4727272727272727, 0.48787878787878786, 0.49393939393939396, 0.503030303030303, 0.5212121212121212, 0.5333333333333333, 0.5363636363636364, 0.5484848484848485, 0.5515151515151515, 0.5575757575757576, 0.5666666666666667, 0.5727272727272728, 0.6090909090909091, 0.7424242424242424, 0.7818181818181819, 1.0]","[0.0, 0.706060606060606, 0.7696969696969697, 0.7727272727272727, 0.7818181818181819, 0.8272727272727273, 0.8363636363636363, 0.8454545454545455, 0.8878787878787879, 0.8939393939393939, 0.9212121212121213, 0.9484848484848485, 0.9545454545454546, 0.9757575757575757, 0.9818181818181818, 0.996969696969697, 0.996969696969697, 0.996969696969697, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9944312  0.9940361  0.9939859  0.9934437  0.99293363
 0.9916829  0.9914588  0.9904129  0.9889972  0.9888946  0.9489186
 0.9486843  0.9059099  0.89777243 0.74872947 0.17150116 0.08069982
 0.05433261 0.02917451 0.02834213 0.02274605 0.02105999 0.01884907
 0.01857633 0.01853698 0.01848938 0.01800546 0.01702974 0.01674277
 0.0160407  0.01594435 0.01583497 0.01570691 0.01568847 0.01516461
 0.0148066  0.01479195 0.01457454 0.01438415 0.01423907 0.01408171
 0.01322137 0.01320827 0.01309942 0.0128512  0.01266921 0.01240063
 0.01213825 0.01211405 0.01207486 0.01173755 0.0116448  0.0114082
 0.01139687 0.01137254 0.01133572 0.01131692 0.01091873 0.01069879
 0.01052635 0.01047973 0.0103987  0.01038836 0.01021492 0.00990312
 0.00983727 0.00977138 0.00976166 0.00975144 0.00972807 0.00958853
 0.00930297 0.00916281 0.00913126 0.00912218 0.00904669 0.00856222]"
XGBoost,BMP4,SLC6A11,NOD2,SNORD115-10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024242424242424242, 1.0]","[0.0, 0.906060606060606, 0.9121212121212121, 0.9272727272727272, 0.9545454545454546, 0.9606060606060606, 0.9757575757575757, 1.0, 1.0, 1.0]","[       inf 0.9313204  0.92535776 0.9170235  0.90820634 0.90271556
 0.86128604 0.5143681  0.07806846 0.07010699]"
XGBoost,BMP4,SLC6A11,RPLP1,SNORD115-10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006060606060606061, 0.021212121212121213, 0.03939393939393939, 0.048484848484848485, 0.05454545454545454, 0.10303030303030303, 0.10909090909090909, 0.1303030303030303, 0.22121212121212122, 1.0]","[0.0, 0.8363636363636363, 0.8424242424242424, 0.8454545454545455, 0.8757575757575757, 0.9, 0.906060606060606, 0.9121212121212121, 0.9151515151515152, 0.9333333333333333, 0.9363636363636364, 0.9424242424242424, 0.9515151515151515, 0.9606060606060606, 0.9727272727272728, 0.9818181818181818, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9316975  0.9264117  0.92370075 0.9161908  0.91376406
 0.9005095  0.900402   0.89856297 0.89010495 0.8866526  0.8787849
 0.8533657  0.85005844 0.8327562  0.82836616 0.40795112 0.24594179
 0.09407409 0.09252978 0.09012592 0.08822903 0.08210068 0.08197914
 0.08172341 0.07978012 0.07384703]"
XGBoost,BMP4,SLC6A11,TGM6,SNORD115-10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006060606060606061, 0.006060606060606061, 0.024242424242424242, 0.030303030303030304, 1.0]","[0.0, 0.8424242424242424, 0.9151515151515152, 0.9393939393939394, 0.9424242424242424, 0.9606060606060606, 0.9757575757575757, 0.9818181818181818, 0.9878787878787879, 0.9939393939393939, 0.996969696969697, 0.996969696969697, 1.0, 1.0, 1.0, 1.0]","[       inf 0.50973547 0.50951695 0.50907063 0.50876963 0.5068648
 0.5063018  0.5056224  0.50433147 0.5029907  0.4994762  0.49758562
 0.49642467 0.49103567 0.4909151  0.49037856]"
XGBoost,C1QTNF4,KCNK16,NOD2,SNORD115-10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006060606060606061, 0.006060606060606061, 0.006060606060606061, 0.00909090909090909, 0.03333333333333333, 1.0]","[0.0, 0.8242424242424242, 0.8787878787878788, 0.8818181818181818, 0.8878787878787879, 0.9393939393939394, 0.9727272727272728, 0.9757575757575757, 0.9878787878787879, 0.996969696969697, 0.996969696969697, 0.996969696969697, 1.0]","[       inf 0.5096372  0.5087968  0.5070132  0.506773   0.5042608
 0.5034201  0.5005551  0.49731877 0.49647808 0.49299815 0.49194184
 0.49110144]"
