estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
SVM,AARS2,ADAMTS16,ASB18,CA14,0.9939393939393939,0.9878787878787879,1.0,1.0,0.9939024390243903,0.9997520661157024,0.9879513673210928,0.9902794653705953
SVM,AARS2,ADAMTS16,ASB18,KCNK16,0.9863636363636363,0.9727272727272728,1.0,1.0,0.9861751152073733,0.996831955922865,0.9730892327362669,0.9780621572212067
SVM,AARS2,ADAMTS8,ASB18,CA14,0.990909090909091,0.9818181818181818,1.0,1.0,0.9908256880733944,0.9996602387511478,0.9819805060619656,0.9854014598540147
SVM,AARS2,ADAMTS8,ASB18,KCNK16,0.9878787878787879,0.9757575757575757,1.0,1.0,0.9877300613496933,0.9951515151515151,0.9760444261884247,0.9805115712545677
SVM,ACTL9,ADAMTS16,ASB18,CA14,0.996969696969697,0.9939393939393939,1.0,1.0,0.9969604863221885,0.9998163452708908,0.9939576486092935,0.9951456310679612
SVM,ACTL9,ADAMTS16,ASB18,KCNK16,0.9924242424242424,0.9848484848484849,1.0,1.0,0.9923664122137404,0.998595041322314,0.9849615493669504,0.9878419452887538
SVM,ACTL9,ADAMTS8,ASB18,CA14,0.9893939393939394,0.9787878787878788,1.0,1.0,0.9892802450229708,0.9994674012855831,0.9790081579301413,0.9829580036518564
SVM,ACTL9,ADAMTS8,ASB18,KCNK16,0.9848484848484849,0.9696969696969697,1.0,1.0,0.9846153846153847,0.9948484848484849,0.9701425001453319,0.975609756097561
SVM,AARS2,ABCA4,ADAMTS16,ASB18,0.9939393939393939,0.9878787878787879,1.0,1.0,0.9939024390243903,0.9982828282828283,0.9879513673210928,0.9902794653705953
SVM,AARS2,HLA-DQA2,ADAMTS16,ASB18,0.990909090909091,0.9818181818181818,1.0,1.0,0.9908256880733944,0.9975298438934803,0.9819805060619656,0.9854014598540147
SVM,AARS2,KCNK16,ADAMTS16,ASB18,0.9863636363636363,0.9727272727272728,1.0,1.0,0.9861751152073733,0.996831955922865,0.9730892327362669,0.9780621572212067
SVM,AARS2,ABCA4,ASB18,C1QTNF4,0.9863636363636363,0.9727272727272728,1.0,1.0,0.9861751152073733,0.9966850321395776,0.9730892327362669,0.9780621572212067
SVM,AARS2,KCNK16,ASB18,C1QTNF4,0.990909090909091,0.9818181818181818,1.0,1.0,0.9908256880733944,0.9942240587695133,0.9819805060619656,0.9854014598540147
SVM,ACTL9,ABCA4,ASB18,C1QTNF4,0.9878787878787879,0.9757575757575757,1.0,1.0,0.9877300613496933,0.9943709825528007,0.9760444261884247,0.9805115712545677
SVM,ACTL9,KCNK16,ASB18,C1QTNF4,0.9863636363636363,0.9727272727272728,1.0,1.0,0.9861751152073733,0.992653810835629,0.9730892327362669,0.9780621572212067
SVM,ADAM28,ABCA4,ASB18,C1QTNF4,0.9893939393939394,0.9787878787878788,1.0,1.0,0.9892802450229708,0.9938659320477502,0.9790081579301413,0.9829580036518564
SVM,ADAM28,KCNK16,ASB18,C1QTNF4,0.9878787878787879,0.9757575757575757,1.0,1.0,0.9877300613496933,0.9924609733700643,0.9760444261884247,0.9805115712545677
SVM,AARS2,ABCA4,ASB18,COTL1,0.9878787878787879,0.9818181818181818,0.9939393939393939,0.9938650306748467,0.9878048780487805,0.9956565656565657,0.9758292646545763,0.9842041312272176
SVM,AARS2,KCNK16,ASB18,COTL1,0.9818181818181818,0.9787878787878788,0.9848484848484849,0.9847560975609756,0.9817629179331308,0.9937373737373737,0.9636540617614492,0.9799757281553397
