estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
Voting,AARS2,ADAMTS16,ASB18,CA14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AARS2,ADAMTS16,ASB18,KCNK16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AARS2,ADAMTS8,ASB18,CA14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AARS2,ADAMTS8,ASB18,KCNK16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ACTL9,ADAMTS16,ASB18,CA14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ACTL9,ADAMTS16,ASB18,KCNK16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ACTL9,ADAMTS8,ASB18,CA14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ACTL9,ADAMTS8,ASB18,KCNK16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AARS2,ABCA4,ADAMTS16,ASB18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AARS2,HLA-DQA2,ADAMTS16,ASB18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AARS2,KCNK16,ADAMTS16,ASB18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AARS2,ABCA4,ASB18,C1QTNF4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AARS2,KCNK16,ASB18,C1QTNF4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ACTL9,ABCA4,ASB18,C1QTNF4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ACTL9,KCNK16,ASB18,C1QTNF4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ADAM28,ABCA4,ASB18,C1QTNF4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ADAM28,KCNK16,ASB18,C1QTNF4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AARS2,ABCA4,ASB18,COTL1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AARS2,KCNK16,ASB18,COTL1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
