estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
DecisionTree,AFF3,BMP4,IL2RA,SNORA24,"[0.0, 1.0]","[0.0, 1.0]",[inf  1.]
DecisionTree,AFF3,BMP4,IL2RA,SNORA26,"[0.0, 0.5526315789473685, 0.618421052631579, 0.875, 0.993421052631579, 1.0]","[0.0, 0.9090909090909091, 0.922077922077922, 0.974025974025974, 1.0, 1.0]",[       inf 1.         0.75       0.66666667 0.33333333 0.        ]
DecisionTree,AFF3,BMP4,JPH2,SNORA24,"[0.0, 0.9210526315789473, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,BMP4,JPH2,SNORA26,"[0.0, 0.631578947368421, 1.0]","[0.0, 0.9090909090909091, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,BMP4,KCNK16,SNORA24,"[0.0, 0.7302631578947368, 0.9671052631578947, 1.0]","[0.0, 0.8311688311688312, 1.0, 1.0]",[       inf 1.         0.66666667 0.        ]
DecisionTree,AFF3,BMP4,KCNK16,SNORA26,"[0.0, 0.7697368421052632, 0.9342105263157895, 1.0, 1.0]","[0.0, 0.9090909090909091, 0.974025974025974, 0.987012987012987, 1.0]",[       inf 1.         0.66666667 0.33333333 0.        ]
DecisionTree,AFF3,BMP4,RFFL,SNORA24,"[0.0, 1.0]","[0.0, 1.0]",[inf  1.]
DecisionTree,AFF3,BMP4,RFFL,SNORA26,"[0.0, 0.8947368421052632, 0.9013157894736842, 1.0]","[0.0, 0.974025974025974, 0.987012987012987, 1.0]",[inf 1.  0.5 0. ]
DecisionTree,AFF3,BMP4,SPRED2,SNORA24,"[0.0, 0.9802631578947368, 0.9868421052631579, 1.0]","[0.0, 0.987012987012987, 0.987012987012987, 1.0]",[inf 1.  0.5 0. ]
DecisionTree,AFF3,BMP4,SPRED2,SNORA26,"[0.0, 0.9671052631578947, 0.9802631578947368, 0.9868421052631579, 1.0]","[0.0, 1.0, 1.0, 1.0, 1.0]",[       inf 1.         0.66666667 0.5        0.        ]
DecisionTree,AFF3,CNTN6,IL2RA,SNORA24,"[0.0, 0.8157894736842105, 1.0]","[0.0, 0.948051948051948, 1.0]",[       inf 1.         0.66666667]
DecisionTree,AFF3,CNTN6,IL2RA,SNORA26,"[0.0, 0.8947368421052632, 0.993421052631579, 1.0]","[0.0, 0.948051948051948, 0.987012987012987, 1.0]",[       inf 1.         0.66666667 0.        ]
DecisionTree,AFF3,CNTN6,JPH2,SNORA24,"[0.0, 0.875, 1.0]","[0.0, 0.974025974025974, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,CNTN6,JPH2,SNORA26,"[0.0, 0.8881578947368421, 1.0]","[0.0, 0.961038961038961, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,CNTN6,KCNK16,SNORA24,"[0.0, 0.8552631578947368, 1.0]","[0.0, 0.961038961038961, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,CNTN6,KCNK16,SNORA26,"[0.0, 0.9605263157894737, 1.0]","[0.0, 0.961038961038961, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,CNTN6,RFFL,SNORA24,"[0.0, 0.8355263157894737, 1.0]","[0.0, 0.961038961038961, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,CNTN6,RFFL,SNORA26,"[0.0, 0.9210526315789473, 0.9342105263157895, 0.9473684210526315, 1.0]","[0.0, 0.961038961038961, 0.974025974025974, 0.974025974025974, 1.0]",[       inf 1.         0.66666667 0.5        0.        ]
DecisionTree,AFF3,CNTN6,SPRED2,SNORA24,"[0.0, 1.0]","[0.0, 1.0]",[inf  1.]
DecisionTree,AFF3,CNTN6,SPRED2,SNORA26,"[0.0, 0.993421052631579, 1.0]","[0.0, 0.987012987012987, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,HTRA3,IL2RA,SNORA24,"[0.0, 1.0]","[0.0, 1.0]",[inf  1.]
DecisionTree,AFF3,HTRA3,IL2RA,SNORA26,"[0.0, 0.9144736842105263, 1.0]","[0.0, 0.974025974025974, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,HTRA3,JPH2,SNORA24,"[0.0, 1.0]","[0.0, 1.0]",[inf  1.]
DecisionTree,AFF3,HTRA3,JPH2,SNORA26,"[0.0, 1.0]","[0.0, 1.0]",[inf  1.]
DecisionTree,AFF3,HTRA3,KCNK16,SNORA24,"[0.0, 1.0]","[0.0, 1.0]",[inf  1.]
DecisionTree,AFF3,HTRA3,KCNK16,SNORA26,"[0.0, 1.0]","[0.0, 1.0]",[inf  1.]
DecisionTree,AFF3,HTRA3,RFFL,SNORA24,"[0.0, 1.0]","[0.0, 1.0]",[inf  1.]
DecisionTree,AFF3,HTRA3,RFFL,SNORA26,"[0.0, 1.0]","[0.0, 1.0]",[inf  1.]
DecisionTree,AFF3,HTRA3,SPRED2,SNORA24,"[0.0, 1.0]","[0.0, 1.0]",[inf  1.]
DecisionTree,AFF3,HTRA3,SPRED2,SNORA26,"[0.0, 1.0, 1.0]","[0.0, 0.987012987012987, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,KCNQ1DN,IL2RA,SNORA24,"[0.0, 0.9868421052631579, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,KCNQ1DN,IL2RA,SNORA26,"[0.0, 1.0]","[0.0, 1.0]",[inf  1.]
DecisionTree,AFF3,KCNQ1DN,JPH2,SNORA24,"[0.0, 0.9539473684210527, 1.0]","[0.0, 0.974025974025974, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,KCNQ1DN,JPH2,SNORA26,"[0.0, 0.9736842105263158, 1.0]","[0.0, 0.987012987012987, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,KCNQ1DN,KCNK16,SNORA24,"[0.0, 0.9210526315789473, 1.0]","[0.0, 0.961038961038961, 1.0]",[ inf 1.   0.75]
DecisionTree,AFF3,KCNQ1DN,KCNK16,SNORA26,"[0.0, 1.0]","[0.0, 1.0]",[inf  1.]
DecisionTree,AFF3,KCNQ1DN,RFFL,SNORA24,"[0.0, 0.9473684210526315, 1.0]","[0.0, 0.987012987012987, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,KCNQ1DN,RFFL,SNORA26,"[0.0, 0.8618421052631579, 1.0]","[0.0, 0.974025974025974, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,KCNQ1DN,SPRED2,SNORA24,"[0.0, 1.0, 1.0]","[0.0, 0.987012987012987, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,KCNQ1DN,SPRED2,SNORA26,"[0.0, 1.0]","[0.0, 1.0]",[inf  1.]
DecisionTree,AFF3,NMB,IL2RA,SNORA24,"[0.0, 0.8289473684210527, 1.0]","[0.0, 0.948051948051948, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,NMB,IL2RA,SNORA26,"[0.0, 0.8618421052631579, 1.0]","[0.0, 0.948051948051948, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,NMB,JPH2,SNORA24,"[0.0, 0.1118421052631579, 1.0]","[0.0, 0.42857142857142855, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,NMB,JPH2,SNORA26,"[0.0, 0.8947368421052632, 1.0]","[0.0, 0.961038961038961, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,NMB,KCNK16,SNORA24,"[0.0, 0.8355263157894737, 1.0]","[0.0, 0.9090909090909091, 1.0]",[inf  1.  0.]
DecisionTree,AFF3,NMB,KCNK16,SNORA26,"[0.0, 0.8355263157894737, 0.8486842105263158, 0.9407894736842105, 1.0]","[0.0, 0.9090909090909091, 0.922077922077922, 0.987012987012987, 1.0]",[       inf 1.         0.33333333 0.2        0.        ]
DecisionTree,AFF3,NMB,RFFL,SNORA24,"[0.0, 0.24342105263157895, 1.0]","[0.0, 0.6363636363636364, 1.0]",[inf  1.  0.]
