estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
RandomForest,AFF3,BMP4,IL2RA,SNORA24,"[0.0, 0.8947368421052632, 0.8947368421052632, 0.9276315789473685, 0.9539473684210527, 0.9671052631578947, 0.9868421052631579, 1.0]","[0.0, 0.974025974025974, 0.987012987012987, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.96666667 0.96666667 0.9        0.8
 0.7        0.6       ]"
RandomForest,AFF3,BMP4,IL2RA,SNORA26,"[0.0, 0.8289473684210527, 0.8552631578947368, 0.8618421052631579, 0.9210526315789473, 0.9605263157894737, 0.9736842105263158, 0.9736842105263158, 1.0]","[0.0, 0.961038961038961, 0.974025974025974, 0.974025974025974, 0.987012987012987, 0.987012987012987, 0.987012987012987, 1.0, 1.0]","[       inf 1.         0.96666667 0.96666667 0.9        0.8
 0.7        0.66666667 0.        ]"
RandomForest,AFF3,BMP4,JPH2,SNORA24,"[0.0, 0.24342105263157895, 0.2894736842105263, 0.29605263157894735, 0.29605263157894735, 0.3026315789473684, 0.3092105263157895, 0.3092105263157895, 0.3092105263157895, 0.3157894736842105, 0.3157894736842105, 0.32894736842105265, 0.3815789473684211, 0.40131578947368424, 0.4144736842105263, 0.5328947368421053, 0.5394736842105263, 0.5460526315789473, 0.5592105263157895, 0.5657894736842105, 0.5789473684210527, 0.5789473684210527, 0.5921052631578947, 0.5921052631578947, 0.6052631578947368, 0.6118421052631579, 0.6381578947368421, 0.6578947368421053, 0.6776315789473685, 0.6842105263157895, 0.7171052631578947, 0.756578947368421, 0.7631578947368421, 0.7763157894736842, 0.7894736842105263, 0.8486842105263158, 0.875, 0.881578947368421, 0.8947368421052632, 0.9144736842105263, 0.9407894736842105, 0.9539473684210527, 0.9605263157894737, 0.9671052631578947, 0.9868421052631579, 1.0]","[0.0, 0.6103896103896104, 0.7012987012987013, 0.7012987012987013, 0.7142857142857143, 0.7272727272727273, 0.7272727272727273, 0.7532467532467533, 0.7662337662337663, 0.7792207792207793, 0.8311688311688312, 0.8571428571428571, 0.8701298701298701, 0.8961038961038961, 0.8961038961038961, 0.8961038961038961, 0.8961038961038961, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.922077922077922, 0.922077922077922, 0.935064935064935, 0.935064935064935, 0.948051948051948, 0.948051948051948, 0.948051948051948, 0.948051948051948, 0.948051948051948, 0.948051948051948, 0.948051948051948, 0.948051948051948, 0.948051948051948, 0.948051948051948, 0.961038961038961, 0.961038961038961, 0.961038961038961, 0.974025974025974, 0.974025974025974, 0.974025974025974, 0.987012987012987, 0.987012987012987, 1.0, 1.0, 1.0]","[       inf 1.         0.98       0.97333333 0.95833333 0.95
 0.94666667 0.94       0.93833333 0.92666667 0.92       0.90833333
 0.9        0.89       0.88       0.875      0.87       0.86
 0.855      0.85       0.84333333 0.84       0.83       0.82333333
 0.81       0.8        0.795      0.76333333 0.75       0.71
 0.7        0.66       0.65       0.64       0.62766667 0.62
 0.61       0.59       0.58       0.57       0.56       0.52
 0.5        0.46       0.45       0.4       ]"
RandomForest,AFF3,BMP4,JPH2,SNORA26,"[0.0, 0.35526315789473684, 0.48026315789473684, 0.5723684210526315, 0.6907894736842105, 0.7171052631578947, 0.7960526315789473, 0.8618421052631579, 0.881578947368421, 0.9276315789473685, 0.9407894736842105, 1.0]","[0.0, 0.8181818181818182, 0.9090909090909091, 0.922077922077922, 0.948051948051948, 0.948051948051948, 0.961038961038961, 0.987012987012987, 1.0, 1.0, 1.0, 1.0]",[inf 1.  0.9 0.8 0.7 0.6 0.5 0.4 0.3 0.2 0.1 0. ]
RandomForest,AFF3,BMP4,KCNK16,SNORA24,"[0.0, 0.7828947368421053, 0.8552631578947368, 0.868421052631579, 0.8947368421052632, 0.9078947368421053, 0.9539473684210527, 0.9671052631578947, 1.0]","[0.0, 0.8961038961038961, 0.961038961038961, 0.974025974025974, 0.974025974025974, 0.974025974025974, 0.987012987012987, 1.0, 1.0]","[       inf 1.         0.96666667 0.9        0.86666667 0.8
 0.7        0.6        0.4       ]"
RandomForest,AFF3,BMP4,KCNK16,SNORA26,"[0.0, 0.7105263157894737, 0.7236842105263158, 0.75, 0.75, 0.7697368421052632, 0.7763157894736842, 0.7894736842105263, 0.8486842105263158, 0.875, 0.8881578947368421, 0.8947368421052632, 0.9078947368421053, 0.9144736842105263, 0.9210526315789473, 0.9276315789473685, 0.9473684210526315, 1.0]","[0.0, 0.8441558441558441, 0.8701298701298701, 0.8701298701298701, 0.8831168831168831, 0.8831168831168831, 0.8831168831168831, 0.9090909090909091, 0.935064935064935, 0.974025974025974, 0.974025974025974, 0.974025974025974, 0.974025974025974, 0.974025974025974, 0.987012987012987, 0.987012987012987, 1.0, 1.0]","[       inf 1.         0.96666667 0.95       0.90666667 0.9
 0.86666667 0.8        0.70666667 0.7        0.6        0.56666667
 0.50666667 0.5        0.4        0.3        0.2        0.1       ]"
RandomForest,AFF3,BMP4,RFFL,SNORA24,"[0.0, 0.5592105263157895, 0.6513157894736842, 0.7171052631578947, 0.9473684210526315, 1.0]","[0.0, 0.9090909090909091, 0.935064935064935, 0.948051948051948, 0.987012987012987, 1.0]",[inf 1.  0.9 0.8 0.7 0.6]
RandomForest,AFF3,BMP4,RFFL,SNORA26,"[0.0, 0.2894736842105263, 0.40789473684210525, 0.506578947368421, 0.6381578947368421, 0.8092105263157895, 0.8355263157894737, 0.8947368421052632, 0.9342105263157895, 0.9868421052631579, 1.0]","[0.0, 0.8311688311688312, 0.8571428571428571, 0.9090909090909091, 0.948051948051948, 0.974025974025974, 0.974025974025974, 0.987012987012987, 1.0, 1.0, 1.0]",[inf 1.  0.9 0.8 0.7 0.5 0.4 0.3 0.2 0.1 0. ]
RandomForest,AFF3,BMP4,SPRED2,SNORA24,"[0.0, 0.9144736842105263, 0.9276315789473685, 0.9342105263157895, 0.9671052631578947, 0.9802631578947368, 0.9868421052631579, 0.9868421052631579, 0.993421052631579, 1.0]","[0.0, 0.8831168831168831, 0.9090909090909091, 0.922077922077922, 0.948051948051948, 0.961038961038961, 0.961038961038961, 0.974025974025974, 0.974025974025974, 1.0]","[       inf 1.         0.98       0.95       0.93333333 0.9
 0.825      0.8        0.5        0.4       ]"
RandomForest,AFF3,BMP4,SPRED2,SNORA26,"[0.0, 0.875, 0.9605263157894737, 0.9802631578947368, 0.9868421052631579, 0.9868421052631579, 1.0]","[0.0, 0.9090909090909091, 0.961038961038961, 0.987012987012987, 0.987012987012987, 1.0, 1.0]",[inf 1.  0.9 0.8 0.6 0.5 0.2]
