estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
DecisionTree,AARS2,ABCA4,ASB18,C8orf85,"[0.0, 1.0]","[0.0, 1.0]",[inf  1.]
DecisionTree,ACTL9,ABCA4,ASB18,C8orf85,"[0.0, 0.9210526315789473, 1.0]","[0.0, 0.935064935064935, 1.0]",[inf  1.  0.]
DecisionTree,ISG20,ABCA4,ASB18,C8orf85,"[0.0, 0.8092105263157895, 0.8157894736842105, 1.0]","[0.0, 0.922077922077922, 0.922077922077922, 1.0]",[       inf 1.         0.66666667 0.        ]
DecisionTree,AARS2,ABCA4,ADAMTS16,ASB18,"[0.0, 0.42105263157894735, 1.0]","[0.0, 0.07792207792207792, 1.0]",[inf  1.  0.]
DecisionTree,HK2,ABCA4,ADAMTS16,ASB18,"[0.0, 0.9342105263157895, 1.0]","[0.0, 0.974025974025974, 1.0]",[inf  1.  0.]
DecisionTree,ISG20,ABCA4,ADAMTS16,ASB18,"[0.0, 0.993421052631579, 1.0]","[0.0, 0.3246753246753247, 1.0]",[inf  1.  0.]
DecisionTree,AARS2,ABCA4,ADAMTS16,C20orf118,"[0.0, 0.006578947368421052, 0.5921052631578947, 1.0]","[0.0, 0.15584415584415584, 0.6363636363636364, 1.0]",[ inf 1.   0.25 0.  ]
DecisionTree,AARS2,ABCA4,ADAMTS8,C20orf118,"[0.0, 0.9868421052631579, 1.0]","[0.0, 0.974025974025974, 1.0]",[inf  1.  0.]
DecisionTree,C1orf106,ABCA4,ADAMTS16,C20orf118,"[0.0, 0.013157894736842105, 0.9210526315789473, 0.9276315789473685, 1.0]","[0.0, 0.025974025974025976, 0.974025974025974, 0.974025974025974, 1.0]",[       inf 1.         0.66666667 0.33333333 0.        ]
DecisionTree,C1orf106,ABCA4,ADAMTS8,C20orf118,"[0.0, 1.0, 1.0]","[0.0, 0.987012987012987, 1.0]",[ inf 1.   0.75]
DecisionTree,ISG20,ABCA4,ADAMTS16,C20orf118,"[0.0, 0.006578947368421052, 0.5526315789473685, 0.5526315789473685, 0.7697368421052632, 1.0]","[0.0, 0.025974025974025976, 0.8701298701298701, 0.9090909090909091, 0.922077922077922, 1.0]",[       inf 1.         0.75       0.33333333 0.25       0.        ]
DecisionTree,ISG20,ABCA4,ADAMTS8,C20orf118,"[0.0, 0.993421052631579, 0.993421052631579, 1.0]","[0.0, 0.961038961038961, 0.974025974025974, 1.0]",[inf 1.  0.5 0. ]
DecisionTree,AARS2,ABCA4,ADAMTS16,ASB18,"[0.0, 0.42105263157894735, 1.0]","[0.0, 0.07792207792207792, 1.0]",[inf  1.  0.]
DecisionTree,CLIP4,ABCA4,ADAMTS16,ASB18,"[0.0, 0.9407894736842105, 1.0]","[0.0, 0.935064935064935, 1.0]",[inf  1.  0.]
DecisionTree,ISG20,ABCA4,ADAMTS16,ASB18,"[0.0, 0.993421052631579, 1.0]","[0.0, 0.3246753246753247, 1.0]",[inf  1.  0.]
