estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
XGBoost,AARS2,ABCA4,ASB18,C8orf85,"[0.0, 0.006578947368421052, 0.006578947368421052, 0.03289473684210526, 0.039473684210526314, 0.17763157894736842, 0.17763157894736842, 0.18421052631578946, 0.25, 0.28289473684210525, 0.4473684210526316, 0.45394736842105265, 0.5131578947368421, 0.7631578947368421, 1.0]","[0.0, 0.36363636363636365, 0.37662337662337664, 0.5194805194805194, 0.5584415584415584, 0.6883116883116883, 0.7012987012987013, 0.7012987012987013, 0.7272727272727273, 0.7402597402597403, 0.8051948051948052, 0.8181818181818182, 0.8311688311688312, 0.8961038961038961, 1.0]","[       inf 0.52385443 0.5209177  0.51973796 0.5191871  0.5174765
 0.51710635 0.5163934  0.5137764  0.5109704  0.51041895 0.5076226
 0.50726783 0.5067163  0.50391936]"
XGBoost,ACTL9,ABCA4,ASB18,C8orf85,"[0.0, 0.8355263157894737, 0.8421052631578947, 0.8486842105263158, 0.8618421052631579, 0.868421052631579, 0.8947368421052632, 0.9013157894736842, 0.9078947368421053, 0.9210526315789473, 0.9276315789473685, 0.9539473684210527, 1.0]","[0.0, 0.922077922077922, 0.935064935064935, 0.935064935064935, 0.935064935064935, 0.935064935064935, 0.935064935064935, 0.935064935064935, 0.961038961038961, 0.961038961038961, 0.961038961038961, 1.0, 1.0]","[       inf 0.5048832  0.5047873  0.5041971  0.50400096 0.5034748
 0.5032749  0.50322664 0.50239253 0.50145525 0.4993773  0.4968496
 0.49622333]"
XGBoost,ISG20,ABCA4,ASB18,C8orf85,"[0.0, 0.4868421052631579, 0.506578947368421, 0.5131578947368421, 0.5197368421052632, 0.5197368421052632, 0.5328947368421053, 0.5460526315789473, 0.6052631578947368, 0.6118421052631579, 0.625, 0.8026315789473685, 0.8223684210526315, 0.8421052631578947, 0.9013157894736842, 1.0]","[0.0, 0.8051948051948052, 0.8181818181818182, 0.8181818181818182, 0.8311688311688312, 0.8441558441558441, 0.8441558441558441, 0.8441558441558441, 0.8701298701298701, 0.8701298701298701, 0.8701298701298701, 0.922077922077922, 0.935064935064935, 0.935064935064935, 0.935064935064935, 1.0]","[       inf 0.52334744 0.5227895  0.5221914  0.5183897  0.5169156
 0.51575696 0.51141953 0.51028794 0.50963616 0.5076498  0.50701547
 0.50332296 0.50004816 0.4994137  0.49444747]"
XGBoost,AARS2,ABCA4,ADAMTS16,ASB18,"[0.0, 0.07236842105263158, 0.09868421052631579, 0.10526315789473684, 0.1118421052631579, 0.11842105263157894, 0.13815789473684212, 0.14473684210526316, 0.14473684210526316, 0.1513157894736842, 0.23684210526315788, 0.23684210526315788, 0.25, 0.4473684210526316, 0.47368421052631576, 0.506578947368421, 0.6710526315789473, 0.6842105263157895, 0.7039473684210527, 1.0]","[0.0, 0.012987012987012988, 0.012987012987012988, 0.012987012987012988, 0.06493506493506493, 0.06493506493506493, 0.09090909090909091, 0.1038961038961039, 0.11688311688311688, 0.11688311688311688, 0.6883116883116883, 0.7012987012987013, 0.7012987012987013, 0.7012987012987013, 0.7012987012987013, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 1.0]","[       inf 0.92099273 0.9153323  0.8537595  0.8377587  0.7211414
 0.6338417  0.60407555 0.49422085 0.48503205 0.48189288 0.4447223
 0.39578053 0.38748348 0.2953233  0.26032665 0.21888614 0.18312009
 0.16480593 0.13086149]"
XGBoost,HK2,ABCA4,ADAMTS16,ASB18,"[0.0, 0.5592105263157895, 0.5592105263157895, 0.6513157894736842, 0.6513157894736842, 0.6578947368421053, 0.8223684210526315, 0.875, 0.875, 0.9342105263157895, 0.9473684210526315, 1.0]","[0.0, 0.0, 0.025974025974025976, 0.025974025974025976, 0.07792207792207792, 0.09090909090909091, 0.19480519480519481, 0.19480519480519481, 0.935064935064935, 0.974025974025974, 0.974025974025974, 1.0]","[       inf 0.9951755  0.9927557  0.9908668  0.9803668  0.9676762
 0.9168908  0.85895044 0.8354653  0.630079   0.24568316 0.0834925 ]"
XGBoost,ISG20,ABCA4,ADAMTS16,ASB18,"[0.0, 0.006578947368421052, 0.013157894736842105, 0.09210526315789473, 0.11842105263157894, 0.11842105263157894, 0.125, 0.13157894736842105, 0.19078947368421054, 0.19736842105263158, 0.19736842105263158, 0.21052631578947367, 0.2236842105263158, 0.24342105263157895, 0.25, 0.27631578947368424, 0.28289473684210525, 0.28289473684210525, 0.2894736842105263, 0.2894736842105263, 0.3026315789473684, 0.32894736842105265, 0.3355263157894737, 0.4276315789473684, 0.4407894736842105, 0.4473684210526316, 0.46710526315789475, 0.46710526315789475, 0.48026315789473684, 0.5526315789473685, 0.7039473684210527, 0.7105263157894737, 0.7368421052631579, 0.7368421052631579, 0.875, 0.881578947368421, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.012987012987012988, 0.012987012987012988, 0.06493506493506493, 0.06493506493506493, 0.07792207792207792, 0.07792207792207792, 0.1038961038961039, 0.1038961038961039, 0.1038961038961039, 0.11688311688311688, 0.12987012987012986, 0.12987012987012986, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.16883116883116883, 0.16883116883116883, 0.18181818181818182, 0.18181818181818182, 0.19480519480519481, 0.19480519480519481, 0.2077922077922078, 0.2077922077922078, 0.22077922077922077, 0.23376623376623376, 0.2597402597402597, 0.2597402597402597, 0.2727272727272727, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2987012987012987, 0.3246753246753247, 0.3246753246753247, 0.35064935064935066, 0.36363636363636365, 0.4155844155844156, 0.4675324675324675, 0.5584415584415584, 0.5844155844155844, 0.5974025974025974, 0.6363636363636364, 0.7792207792207793, 0.7922077922077922, 0.8831168831168831, 0.9090909090909091, 0.935064935064935, 0.961038961038961, 1.0]","[       inf 0.98978525 0.98870033 0.988458   0.9521105  0.92261666
 0.91701555 0.8720267  0.85551196 0.8440468  0.8416283  0.8219915
 0.8164803  0.7941347  0.7797209  0.7505273  0.7303705  0.6418296
 0.6380094  0.6355934  0.62831414 0.6281013  0.6100225  0.6098057
 0.6078038  0.6065786  0.60645485 0.5877932  0.58553535 0.58531415
 0.5684367  0.5643013  0.5629103  0.56246686 0.5493119  0.545957
 0.52398735 0.505177   0.4700892  0.42041168 0.3339081  0.33121035
 0.31461525 0.30342162 0.2961996  0.2851362  0.28222635 0.26777187
 0.1444329  0.08792756 0.06512927]"
XGBoost,AARS2,ABCA4,ADAMTS16,C20orf118,"[0.0, 0.006578947368421052, 0.006578947368421052, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.34210526315789475, 0.34210526315789475, 0.34868421052631576, 0.35526315789473684, 0.375, 0.3815789473684211, 0.3815789473684211, 0.3881578947368421, 0.4144736842105263, 0.506578947368421, 0.506578947368421, 0.5328947368421053, 0.5328947368421053, 0.5657894736842105, 0.5657894736842105, 0.5657894736842105, 0.7828947368421053, 0.9539473684210527, 0.9539473684210527, 0.9736842105263158, 0.9736842105263158, 0.9736842105263158, 0.9736842105263158, 0.993421052631579, 1.0]","[0.0, 0.012987012987012988, 0.03896103896103896, 0.05194805194805195, 0.07792207792207792, 0.09090909090909091, 0.11688311688311688, 0.12987012987012986, 0.16883116883116883, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.19480519480519481, 0.19480519480519481, 0.19480519480519481, 0.2077922077922078, 0.22077922077922077, 0.22077922077922077, 0.5324675324675324, 0.5324675324675324, 0.6103896103896104, 0.8181818181818182, 0.8571428571428571, 0.8701298701298701, 0.9090909090909091, 0.9090909090909091, 0.922077922077922, 0.961038961038961, 0.974025974025974, 1.0, 1.0]","[       inf 0.98994887 0.8649244  0.7525951  0.7387377  0.32439175
 0.28877866 0.26342314 0.24995644 0.24657048 0.24580285 0.22637324
 0.19736265 0.18952675 0.18714057 0.16978627 0.1588501  0.14252111
 0.12272085 0.11355815 0.11239431 0.10853172 0.10492744 0.10492588
 0.09865408 0.09487153 0.08219259 0.06395848 0.06336053 0.06237522
 0.05829314 0.0546386 ]"
XGBoost,AARS2,ABCA4,ADAMTS8,C20orf118,"[0.0, 0.7236842105263158, 0.7236842105263158, 0.7236842105263158, 0.8026315789473685, 0.8223684210526315, 0.9473684210526315, 0.9605263157894737, 0.9868421052631579, 1.0, 1.0]","[0.0, 0.7012987012987013, 0.7272727272727273, 0.7532467532467533, 0.8311688311688312, 0.8571428571428571, 0.922077922077922, 0.935064935064935, 0.974025974025974, 0.987012987012987, 1.0]","[       inf 0.5096905  0.50922906 0.5083068  0.50716674 0.50608027
 0.505832   0.50320923 0.49959812 0.49826315 0.4963247 ]"
XGBoost,C1orf106,ABCA4,ADAMTS16,C20orf118,"[0.0, 0.0, 0.013157894736842105, 0.013157894736842105, 0.14473684210526316, 0.16447368421052633, 0.17763157894736842, 0.17763157894736842, 0.21052631578947367, 0.2236842105263158, 0.2631578947368421, 0.26973684210526316, 0.32894736842105265, 0.4473684210526316, 0.5131578947368421, 0.5131578947368421, 0.5263157894736842, 0.5263157894736842, 0.5394736842105263, 0.5460526315789473, 0.5460526315789473, 0.5526315789473685, 0.5657894736842105, 0.5657894736842105, 0.6052631578947368, 0.6052631578947368, 0.618421052631579, 0.6644736842105263, 0.6710526315789473, 0.7171052631578947, 0.7171052631578947, 0.743421052631579, 0.8223684210526315, 0.8289473684210527, 0.8421052631578947, 0.8421052631578947, 0.8552631578947368, 0.8552631578947368, 0.8552631578947368, 0.8618421052631579, 0.9078947368421053, 0.9078947368421053, 0.9078947368421053, 0.9210526315789473, 0.9539473684210527, 0.9802631578947368, 0.9802631578947368, 1.0]","[0.0, 0.012987012987012988, 0.012987012987012988, 0.025974025974025976, 0.025974025974025976, 0.025974025974025976, 0.025974025974025976, 0.03896103896103896, 0.03896103896103896, 0.03896103896103896, 0.03896103896103896, 0.03896103896103896, 0.05194805194805195, 0.05194805194805195, 0.06493506493506493, 0.07792207792207792, 0.07792207792207792, 0.1038961038961039, 0.1038961038961039, 0.15584415584415584, 0.16883116883116883, 0.16883116883116883, 0.16883116883116883, 0.22077922077922077, 0.22077922077922077, 0.5714285714285714, 0.5844155844155844, 0.5844155844155844, 0.5844155844155844, 0.5844155844155844, 0.6493506493506493, 0.6493506493506493, 0.6493506493506493, 0.6493506493506493, 0.6623376623376623, 0.7532467532467533, 0.7532467532467533, 0.8051948051948052, 0.9090909090909091, 0.9090909090909091, 0.922077922077922, 0.961038961038961, 0.974025974025974, 0.974025974025974, 0.974025974025974, 0.974025974025974, 1.0, 1.0]","[       inf 0.98992246 0.9447668  0.9396375  0.9289534  0.90545833
 0.89753914 0.896393   0.8932419  0.8753016  0.87518436 0.8700853
 0.8623643  0.8571746  0.8568271  0.85537565 0.8457512  0.8341034
 0.8273915  0.82065135 0.8191434  0.8177991  0.8146779  0.8137984
 0.809464   0.8045436  0.80228657 0.7932871  0.7766893  0.76249343
 0.7550202  0.75441056 0.7329705  0.7243901  0.72000104 0.71616423
 0.6873618  0.6831942  0.66717714 0.66691285 0.6504936  0.6213754
 0.6196805  0.6037596  0.5185459  0.4203095  0.3085394  0.18530312]"
XGBoost,C1orf106,ABCA4,ADAMTS8,C20orf118,"[0.0, 0.875, 1.0]","[0.0, 0.935064935064935, 1.0]",[       inf 0.93028164 0.9129473 ]
