estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
XGBoost,BMP4,KCNK16,NOD2,SNORD115-10,0.859375,0.8125,0.90625,0.8985714285714288,0.8528809788654058,0.96796875,0.7228037351085861,0.8280864704915338
XGBoost,BMP4,KCNK16,RPLP1,SNORD115-10,0.859375,0.8125,0.90625,0.8985714285714288,0.8528809788654058,0.96875,0.7228037351085861,0.8280864704915338
XGBoost,BMP4,KCNK16,TGM6,SNORD115-10,0.89375,0.8125,0.975,0.9714285714285715,0.8845977011494253,0.91328125,0.7986736935284885,0.8398268398268399
XGBoost,BMP4,SLC45A4,NOD2,SNORD115-10,0.84375,0.75,0.9375,0.9252747252747253,0.8279802955665024,0.87421875,0.7008554350820523,0.7792733582207266
XGBoost,BMP4,SLC45A4,RPLP1,SNORD115-10,0.796875,0.6875,0.90625,0.8826923076923077,0.7723681809888706,0.907421875,0.6096176257628654,0.7190100250626567
XGBoost,BMP4,SLC45A4,TGM6,SNORD115-10,0.875,0.8125,0.9375,0.9304761904761906,0.8670522803114571,0.9091796875,0.7567607500235078,0.8333881308564852
XGBoost,BMP4,SLC6A11,NOD2,SNORD115-10,0.8625,0.75,0.975,0.9692307692307693,0.8453201970443349,0.934765625,0.7447232972542321,0.7853725222146275
XGBoost,BMP4,SLC6A11,RPLP1,SNORD115-10,0.89375,0.8125,0.975,0.9714285714285715,0.8845977011494253,0.945703125,0.7986736935284885,0.8398268398268399
XGBoost,BMP4,SLC6A11,TGM6,SNORD115-10,0.89375,0.8125,0.975,0.9714285714285715,0.8845977011494253,0.9396484375,0.7986736935284885,0.8398268398268399
XGBoost,C1QTNF4,KCNK16,NOD2,SNORD115-10,0.925,0.875,0.975,0.9733333333333334,0.9212903225806451,0.965625,0.8547868935771961,0.8928919182083739
XGBoost,C1QTNF4,KCNK16,RPLP1,SNORD115-10,0.95625,0.9375,0.975,0.975,0.9556451612903226,0.99140625,0.9136018619766345,0.944620253164557
XGBoost,C1QTNF4,KCNK16,TGM6,SNORD115-10,0.925,0.875,0.975,0.9733333333333334,0.9212903225806451,0.98125,0.8547868935771961,0.8928919182083739
XGBoost,C1QTNF4,SLC45A4,NOD2,SNORD115-10,0.95625,0.9375,0.975,0.975,0.9556451612903226,0.965625,0.9136018619766345,0.944620253164557
XGBoost,C1QTNF4,SLC45A4,RPLP1,SNORD115-10,0.909375,0.875,0.94375,0.9408333333333335,0.9064247311827958,0.97109375,0.8212475256251256,0.8872403440441416
XGBoost,C1QTNF4,SLC45A4,TGM6,SNORD115-10,0.940625,0.9375,0.94375,0.9444852941176471,0.9407074780058651,0.9634765625,0.8817764451666144,0.9387160103141117
XGBoost,C1QTNF4,SLC6A11,NOD2,SNORD115-10,0.921875,0.875,0.96875,0.9666666666666668,0.9182795698924732,0.986328125,0.8480043410494458,0.8917559234014932
XGBoost,C1QTNF4,SLC6A11,RPLP1,SNORD115-10,0.921875,0.875,0.96875,0.9666666666666668,0.9182795698924732,0.958984375,0.8480043410494458,0.8917559234014932
XGBoost,C1QTNF4,SLC6A11,TGM6,SNORD115-10,0.921875,0.875,0.96875,0.9666666666666668,0.9182795698924732,0.98125,0.8480043410494458,0.8917559234014932
XGBoost,COTL1,KCNK16,NOD2,SNORD115-10,0.878125,0.8125,0.94375,0.9376190476190477,0.8700407860585834,0.97421875,0.7638848746085135,0.8344703819387362
XGBoost,COTL1,KCNK16,RPLP1,SNORD115-10,0.89375,0.8125,0.975,0.9714285714285715,0.8845977011494253,0.948828125,0.7986736935284885,0.8398268398268399
XGBoost,COTL1,KCNK16,TGM6,SNORD115-10,0.89375,0.8125,0.975,0.9714285714285715,0.8845977011494253,0.965625,0.7986736935284885,0.8398268398268399
XGBoost,COTL1,SLC45A4,NOD2,SNORD115-10,0.871875,0.8125,0.93125,0.9252380952380953,0.8644493882091211,0.978515625,0.7504684294435555,0.832360677297386
XGBoost,COTL1,SLC45A4,RPLP1,SNORD115-10,0.89375,0.8125,0.975,0.9714285714285715,0.8845977011494253,0.956640625,0.7986736935284885,0.8398268398268399
XGBoost,COTL1,SLC45A4,TGM6,SNORD115-10,0.89375,0.8125,0.975,0.9714285714285715,0.8845977011494253,0.91796875,0.7986736935284885,0.8398268398268399
XGBoost,COTL1,SLC6A11,NOD2,SNORD115-10,0.921875,0.875,0.96875,0.9666666666666668,0.9182795698924732,0.91875,0.8480043410494458,0.8917559234014932
XGBoost,COTL1,SLC6A11,RPLP1,SNORD115-10,0.9125,0.875,0.95,0.9475000000000001,0.9094354838709678,0.9443359375,0.8280300781528759,0.8883763388510226
XGBoost,COTL1,SLC6A11,TGM6,SNORD115-10,0.88125,0.8125,0.95,0.9438095238095239,0.8728364849833147,0.922265625,0.7705930971909924,0.8355252342594115
