estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
SVM,AARS2,ADAMTS16,ASB18,CA14,0.8913043478260869,0.75,0.9666666666666667,0.9230769230769231,0.8275862068965517,0.9666666666666666,0.7580697689987212,0.7792207792207793
SVM,AARS2,ADAMTS16,ASB18,KCNK16,0.9565217391304348,0.875,1.0,1.0,0.9333333333333333,0.98125,0.90571104663684,0.8974358974358975
SVM,AARS2,ADAMTS8,ASB18,CA14,0.782608695652174,0.625,0.8666666666666667,0.7142857142857143,0.6666666666666666,0.8145833333333334,0.5089233500149862,0.6410256410256411
SVM,AARS2,ADAMTS8,ASB18,KCNK16,0.8043478260869565,0.625,0.9,0.7692307692307693,0.6896551724137931,0.8145833333333333,0.5553301796153424,0.6493506493506493
SVM,ACTL9,ADAMTS16,ASB18,CA14,0.9565217391304348,0.875,1.0,1.0,0.9333333333333333,0.9666666666666666,0.90571104663684,0.8974358974358975
SVM,ACTL9,ADAMTS16,ASB18,KCNK16,0.9565217391304348,0.875,1.0,1.0,0.9333333333333333,0.9895833333333334,0.90571104663684,0.8974358974358975
SVM,ACTL9,ADAMTS8,ASB18,CA14,0.8478260869565217,0.75,0.9,0.8,0.7741935483870969,0.8895833333333333,0.6604006604009905,0.7594936708860759
SVM,ACTL9,ADAMTS8,ASB18,KCNK16,0.8695652173913043,0.75,0.9333333333333333,0.8571428571428571,0.7999999999999999,0.9020833333333333,0.7073171983259131,0.7692307692307692
SVM,AARS2,ABCA4,ADAMTS16,ASB18,0.9130434782608695,0.75,1.0,1.0,0.8571428571428571,0.9854166666666667,0.8134892168199607,0.7894736842105263
SVM,AARS2,HLA-DQA2,ADAMTS16,ASB18,0.8913043478260869,0.8125,0.9333333333333333,0.8666666666666667,0.8387096774193549,0.95625,0.75776742443447,0.8227848101265824
SVM,AARS2,KCNK16,ADAMTS16,ASB18,0.9565217391304348,0.875,1.0,1.0,0.9333333333333333,0.98125,0.90571104663684,0.8974358974358975
SVM,AARS2,ABCA4,ASB18,C1QTNF4,0.8478260869565217,0.6875,0.9333333333333333,0.8461538461538461,0.7586206896551724,0.85,0.6566999743070319,0.7142857142857142
SVM,AARS2,KCNK16,ASB18,C1QTNF4,0.8043478260869565,0.625,0.9,0.7692307692307693,0.6896551724137931,0.8208333333333333,0.5553301796153424,0.6493506493506493
SVM,ACTL9,ABCA4,ASB18,C1QTNF4,0.8913043478260869,0.8125,0.9333333333333333,0.8666666666666667,0.8387096774193549,0.91875,0.75776742443447,0.8227848101265824
SVM,ACTL9,KCNK16,ASB18,C1QTNF4,0.9130434782608695,0.8125,0.9666666666666667,0.9285714285714286,0.8666666666666666,0.9333333333333333,0.8065141224813765,0.8333333333333334
SVM,ADAM28,ABCA4,ASB18,C1QTNF4,0.8478260869565217,0.6875,0.9333333333333333,0.8461538461538461,0.7586206896551724,0.9145833333333333,0.6566999743070319,0.7142857142857142
SVM,ADAM28,KCNK16,ASB18,C1QTNF4,0.8478260869565217,0.6875,0.9333333333333333,0.8461538461538461,0.7586206896551724,0.9375,0.6566999743070319,0.7142857142857142
SVM,AARS2,ABCA4,ASB18,COTL1,0.8043478260869565,0.5,0.9666666666666667,0.8888888888888888,0.64,0.7875000000000001,0.5602802101751533,0.5479452054794521
SVM,AARS2,KCNK16,ASB18,COTL1,0.7608695652173914,0.625,0.8333333333333334,0.6666666666666666,0.6451612903225806,0.8291666666666667,0.46566713233403184,0.6329113924050632
