estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
SVM,AARS2,ADAMTS16,ASB18,CA14,0.85625,0.75,0.9625,0.953846153846154,0.8394088669950739,0.965625,0.7297866112606066,0.7833219412166781
SVM,AARS2,ADAMTS16,ASB18,KCNK16,0.9375,0.875,1.0,1.0,0.9333333333333333,0.98046875,0.881917103688197,0.8974358974358976
SVM,AARS2,ADAMTS8,ASB18,CA14,0.74375,0.625,0.8625,0.8260905760905761,0.7102536033570516,0.808203125,0.5044585690690895,0.6562989641937012
SVM,AARS2,ADAMTS8,ASB18,KCNK16,0.759375,0.625,0.89375,0.8599067599067599,0.7227906193423435,0.803515625,0.5407059224997994,0.6605955921745396
SVM,ACTL9,ADAMTS16,ASB18,CA14,0.9375,0.875,1.0,1.0,0.9333333333333333,0.96328125,0.881917103688197,0.8974358974358976
SVM,ACTL9,ADAMTS16,ASB18,KCNK16,0.9375,0.875,1.0,1.0,0.9333333333333333,0.99140625,0.881917103688197,0.8974358974358976
SVM,ACTL9,ADAMTS8,ASB18,CA14,0.809375,0.75,0.86875,0.8523076923076921,0.7975973303670745,0.8765625,0.6236702481667609,0.7682823505608315
SVM,ACTL9,ADAMTS8,ASB18,KCNK16,0.834375,0.75,0.91875,0.9032967032967034,0.8193103448275861,0.89296875,0.6789215039959624,0.776223776223776
SVM,AARS2,ABCA4,ADAMTS16,ASB18,0.875,0.75,1.0,1.0,0.857142857142857,0.986328125,0.7745966692414834,0.7894736842105264
SVM,AARS2,HLA-DQA2,ADAMTS16,ASB18,0.88125,0.8125,0.95,0.9438095238095239,0.8728364849833147,0.955078125,0.7705930971909924,0.8355252342594115
SVM,AARS2,KCNK16,ADAMTS16,ASB18,0.9375,0.875,1.0,1.0,0.9333333333333333,0.98046875,0.881917103688197,0.8974358974358976
SVM,AARS2,ABCA4,ASB18,C1QTNF4,0.80625,0.6875,0.925,0.9051282051282051,0.7806969531107463,0.848046875,0.6320107773095902,0.7218546365914787
SVM,AARS2,KCNK16,ASB18,C1QTNF4,0.759375,0.625,0.89375,0.8572261072261071,0.7224046706805327,0.82109375,0.5396014333409823,0.6605491000227842
SVM,ACTL9,ABCA4,ASB18,C1QTNF4,0.8625,0.8125,0.9125,0.903809523809524,0.8554838709677417,0.9125,0.7290960556885385,0.8291139240506329
SVM,ACTL9,KCNK16,ASB18,C1QTNF4,0.88125,0.8125,0.95,0.9428571428571428,0.8726436781609195,0.930859375,0.7701771951884658,0.8354978354978355
SVM,ADAM28,ABCA4,ASB18,C1QTNF4,0.809375,0.6875,0.93125,0.912179487179487,0.7834063127166575,0.910546875,0.6392948710785605,0.7227944862155389
SVM,ADAM28,KCNK16,ASB18,C1QTNF4,0.809375,0.6875,0.93125,0.912179487179487,0.7834063127166575,0.933984375,0.6392948710785605,0.7227944862155389
SVM,AARS2,ABCA4,ASB18,COTL1,0.73125,0.5,0.9625,0.9333333333333333,0.6506666666666666,0.771875,0.5228602873557551,0.5509893455098935
SVM,AARS2,KCNK16,ASB18,COTL1,0.721875,0.625,0.81875,0.7786380286380287,0.6926290822842548,0.81796875,0.4536879255474835,0.6502716581663951
