estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
XGBoost,AARS2,ADAMTS16,ASB18,CA14,0.890625,0.8125,0.96875,0.9642857142857144,0.8816091954022987,0.95546875,0.7915495689434828,0.8387445887445887
XGBoost,AARS2,ADAMTS16,ASB18,KCNK16,0.890625,0.8125,0.96875,0.9642857142857144,0.8816091954022987,0.962109375,0.7915495689434828,0.8387445887445887
XGBoost,AARS2,ADAMTS8,ASB18,CA14,0.728125,0.5625,0.89375,0.8486363636363636,0.6751135531135533,0.869921875,0.48660101788595006,0.6025186578070499
XGBoost,AARS2,ADAMTS8,ASB18,KCNK16,0.728125,0.5625,0.89375,0.8486363636363636,0.6751135531135533,0.8486328125,0.48660101788595006,0.6025186578070499
XGBoost,ACTL9,ADAMTS16,ASB18,CA14,0.90625,0.8125,1.0,1.0,0.8965517241379308,0.9513671875,0.827170191868511,0.8441558441558443
XGBoost,ACTL9,ADAMTS16,ASB18,KCNK16,0.9375,0.875,1.0,1.0,0.9333333333333333,0.9806640625,0.881917103688197,0.8974358974358976
XGBoost,ACTL9,ADAMTS8,ASB18,CA14,0.790625,0.75,0.83125,0.8178571428571427,0.7820967741935484,0.90859375,0.583777246327802,0.7624391431353456
XGBoost,ACTL9,ADAMTS8,ASB18,KCNK16,0.809375,0.75,0.86875,0.8523076923076921,0.7975973303670745,0.91171875,0.6236702481667609,0.7682823505608315
XGBoost,AARS2,ABCA4,ADAMTS16,ASB18,0.890625,0.8125,0.96875,0.9642857142857144,0.8816091954022987,0.96484375,0.7915495689434828,0.8387445887445887
XGBoost,AARS2,HLA-DQA2,ADAMTS16,ASB18,0.890625,0.8125,0.96875,0.9642857142857144,0.8816091954022987,0.965234375,0.7915495689434828,0.8387445887445887
XGBoost,AARS2,KCNK16,ADAMTS16,ASB18,0.890625,0.8125,0.96875,0.9642857142857144,0.8816091954022987,0.962109375,0.7915495689434828,0.8387445887445887
XGBoost,AARS2,ABCA4,ASB18,C1QTNF4,0.7625,0.625,0.9,0.8689976689976688,0.7256396221913464,0.8859375,0.5489102561997444,0.6614964930754405
XGBoost,AARS2,KCNK16,ASB18,C1QTNF4,0.728125,0.5625,0.89375,0.8486363636363636,0.6751135531135533,0.827734375,0.48660101788595006,0.6025186578070499
XGBoost,ACTL9,ABCA4,ASB18,C1QTNF4,0.896875,0.875,0.91875,0.9158333333333333,0.8947580645161288,0.92734375,0.7948641048874862,0.8827531645569622
XGBoost,ACTL9,KCNK16,ASB18,C1QTNF4,0.921875,0.875,0.96875,0.9666666666666668,0.9182795698924732,0.9390625,0.8480043410494458,0.8917559234014932
XGBoost,ADAM28,ABCA4,ASB18,C1QTNF4,0.78125,0.6875,0.875,0.8504578754578753,0.7593632548804964,0.90078125,0.5744383414251557,0.7143830730672837
XGBoost,ADAM28,KCNK16,ASB18,C1QTNF4,0.71875,0.625,0.8125,0.7747918747918747,0.6906427482623256,0.8423828125,0.44755905123456435,0.649482141220982
XGBoost,AARS2,ABCA4,ASB18,COTL1,0.74375,0.5625,0.925,0.8872727272727273,0.6875897435897437,0.76796875,0.5250790790112176,0.6065309144761198
XGBoost,AARS2,KCNK16,ASB18,COTL1,0.696875,0.5,0.89375,0.8337373737373737,0.6235213675213674,0.7150390625,0.4319452177784534,0.5428417458554444
