estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
XGBoost,AARS2,ADAMTS16,ASB18,CA14,"[0.0, 0.0, 0.0, 0.13333333333333333, 0.13333333333333333, 0.3, 0.3, 1.0]","[0.0, 0.125, 0.8125, 0.8125, 0.875, 0.875, 1.0, 1.0]","[       inf 0.9856478  0.76190287 0.28651232 0.2668073  0.1909389
 0.16588551 0.03507463]"
XGBoost,AARS2,ADAMTS16,ASB18,KCNK16,"[0.0, 0.0, 0.0, 0.03333333333333333, 0.03333333333333333, 0.16666666666666666, 0.16666666666666666, 0.43333333333333335, 0.43333333333333335, 1.0]","[0.0, 0.25, 0.8125, 0.8125, 0.875, 0.875, 0.9375, 0.9375, 1.0, 1.0]","[       inf 0.9866692  0.8381498  0.7268681  0.48983464 0.18624794
 0.17548342 0.10649844 0.10443932 0.01546126]"
XGBoost,AARS2,ADAMTS8,ASB18,CA14,"[0.0, 0.0, 0.0, 0.03333333333333333, 0.03333333333333333, 0.06666666666666667, 0.06666666666666667, 0.1, 0.1, 0.16666666666666666, 0.16666666666666666, 0.23333333333333334, 0.23333333333333334, 0.26666666666666666, 0.26666666666666666, 0.4666666666666667, 0.4666666666666667, 0.5, 0.5, 1.0]","[0.0, 0.125, 0.375, 0.375, 0.4375, 0.4375, 0.5625, 0.5625, 0.6875, 0.6875, 0.75, 0.75, 0.8125, 0.8125, 0.875, 0.875, 0.9375, 0.9375, 1.0, 1.0]","[       inf 0.9835141  0.9628377  0.87767684 0.80296326 0.719212
 0.6023554  0.57499284 0.49106234 0.42326295 0.35199812 0.34677535
 0.33331436 0.32192218 0.30933282 0.26659957 0.26445058 0.2601402
 0.24442206 0.04155502]"
XGBoost,AARS2,ADAMTS8,ASB18,KCNK16,"[0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.1, 0.1, 0.16666666666666666, 0.16666666666666666, 0.2, 0.2, 0.23333333333333334, 0.23333333333333334, 0.3, 0.43333333333333335, 0.43333333333333335, 0.5, 0.6, 0.7, 0.7666666666666667, 0.8333333333333334, 0.8666666666666667, 0.9333333333333333, 1.0]","[0.0, 0.0625, 0.1875, 0.375, 0.375, 0.4375, 0.4375, 0.625, 0.625, 0.75, 0.75, 0.8125, 0.8125, 0.875, 0.875, 0.875, 0.9375, 0.9375, 0.9375, 0.9375, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.983916   0.9828703  0.9644917  0.8640542  0.8151069
 0.7215319  0.499546   0.42783532 0.40029135 0.37413472 0.37269008
 0.35291052 0.34994316 0.31126317 0.27457204 0.26215312 0.24548846
 0.24355401 0.22998479 0.2288932  0.21414013 0.20128529 0.199607
 0.18553509]"
XGBoost,ACTL9,ADAMTS16,ASB18,CA14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.2, 0.3333333333333333, 0.3333333333333333, 0.4, 0.43333333333333335, 0.4666666666666667, 0.5666666666666667, 0.6333333333333333, 0.7666666666666667, 0.8333333333333334, 1.0]","[0.0, 0.125, 0.1875, 0.375, 0.875, 0.875, 0.875, 0.875, 0.9375, 0.9375, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9927806  0.9919716  0.98919487 0.48535687 0.18506189
 0.18128844 0.12552224 0.10398761 0.09852266 0.08810937 0.08351675
 0.08153375 0.07725485 0.06639871 0.06133439 0.02075362]"
XGBoost,ACTL9,ADAMTS16,ASB18,KCNK16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.13333333333333333, 0.16666666666666666, 0.16666666666666666, 0.6333333333333333, 0.7, 0.7666666666666667, 0.8333333333333334, 1.0]","[0.0, 0.0625, 0.375, 0.5, 0.875, 0.875, 0.9375, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.98762673 0.98669827 0.97811514 0.5374763  0.19851522
 0.15736668 0.1335744  0.07467636 0.072011   0.05051725 0.04856564
 0.03350897]"
XGBoost,ACTL9,ADAMTS8,ASB18,CA14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03333333333333333, 0.03333333333333333, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.23333333333333334, 0.3, 0.3, 0.43333333333333335, 0.43333333333333335, 0.7, 0.8333333333333334, 0.9333333333333333, 1.0]","[0.0, 0.0625, 0.125, 0.25, 0.4375, 0.625, 0.625, 0.6875, 0.6875, 0.75, 0.75, 0.8125, 0.8125, 0.8125, 0.9375, 0.9375, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9918377  0.9857685  0.98226535 0.98137236 0.92586255
 0.844018   0.82016516 0.67385864 0.64502573 0.52189904 0.43086824
 0.3057756  0.29272115 0.26218605 0.11899711 0.11073566 0.05937509
 0.05356155 0.04073381 0.03464734]"
XGBoost,ACTL9,ADAMTS8,ASB18,KCNK16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.2, 0.2, 0.7333333333333333, 0.7333333333333333, 1.0]","[0.0, 0.25, 0.3125, 0.4375, 0.75, 0.75, 0.8125, 0.8125, 0.9375, 0.9375, 1.0, 1.0]","[       inf 0.98371637 0.97114235 0.95934844 0.80382943 0.5008927
 0.39915776 0.27943593 0.2209543  0.11525848 0.11339436 0.0441855 ]"
XGBoost,AARS2,ABCA4,ADAMTS16,ASB18,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.2, 0.2, 1.0]","[0.0, 0.25, 0.8125, 0.8125, 0.875, 0.875, 1.0, 1.0]","[       inf 0.98766625 0.723947   0.22459805 0.16844581 0.12308773
 0.11850049 0.01260587]"
XGBoost,AARS2,HLA-DQA2,ADAMTS16,ASB18,"[0.0, 0.0, 0.0, 0.13333333333333333, 0.13333333333333333, 0.2, 0.2, 0.23333333333333334, 0.23333333333333334, 0.4666666666666667, 0.5333333333333333, 1.0]","[0.0, 0.3125, 0.8125, 0.8125, 0.875, 0.875, 0.9375, 0.9375, 1.0, 1.0, 1.0, 1.0]","[       inf 0.5220916  0.5062892  0.4916646  0.49160677 0.4893804
 0.4890429  0.48874182 0.48841012 0.48751962 0.487469   0.48602134]"
