Model,Features,f1_score,AUC,Sensitivity,Specificity,Precision,Test Accuracy,J-index,Incorrect Predictions
SVM,15,0.8518518518518519,0.8497150997150997,0.8846153846153846,0.8148148148148148,0.8214285714285714,0.8490566037735849,0.6182873730043541,8.0
Decision Tree,15,0.7407407407407408,0.7364672364672364,0.7692307692307693,0.7037037037037037,0.7142857142857143,0.7358490566037735,0.27431059506531197,14.0
Random Forest,15,0.8,0.7934472934472935,0.8461538461538461,0.7407407407407407,0.7586206896551724,0.7924528301886793,0.4847605224963716,11.0
XGBoost,15,0.7924528301886792,0.7927350427350428,0.8076923076923077,0.7777777777777778,0.7777777777777778,0.7924528301886793,0.4078374455732947,11.0
SVM,20,0.8148148148148148,0.811965811965812,0.8461538461538461,0.7777777777777778,0.7857142857142857,0.8113207547169812,0.5036284470246737,10.0
Decision Tree,20,0.7083333333333333,0.7343304843304843,0.6538461538461539,0.8148148148148148,0.7727272727272727,0.7358490566037735,0.04354136429608113,14.0
Random Forest,20,0.7777777777777779,0.7742165242165241,0.8076923076923077,0.7407407407407407,0.75,0.7735849056603774,0.3889695210449928,12.0
XGBoost,20,0.7924528301886792,0.7927350427350428,0.8076923076923077,0.7777777777777778,0.7777777777777778,0.7924528301886793,0.4078374455732947,11.0
SVM,25,0.7924528301886792,0.7927350427350428,0.8076923076923077,0.7777777777777778,0.7777777777777778,0.7924528301886793,0.4078374455732947,11.0
Decision Tree,25,0.6122448979591837,0.6403133903133903,0.5769230769230769,0.7037037037037037,0.6521739130434783,0.6415094339622641,-0.20464441219158203,19.0
Random Forest,25,0.8,0.7934472934472935,0.8461538461538461,0.7407407407407407,0.7586206896551724,0.7924528301886793,0.4847605224963716,11.0
XGBoost,25,0.7199999999999999,0.735042735042735,0.6923076923076923,0.7777777777777778,0.75,0.7358490566037735,0.120464441219158,14.0
