Gene,Cluster
ABL1,1
ACVR1,1
ADCYAP1,1
ADCYAP1R1,1
AHNAK,1
AIM2,1
AJAP1,1
ANGPTL2,1
APCS,1
ATXN1,1
BCAS3,1
BDNF,1
BMP7,1
C4BPA,1
CADM3,1
CAPZB,1
CAV2,1
CCDC8,1
CCND2,1
CD1B,1
CD1C,1
CD1D,1
CD247,1
CD40,1
CDK2AP1,1
CDK6,1
CIT,1
CLEC14A,1
CPEB1,1
CRMP1,1
CRTC1,1
CRYM,1
CSMD1,1
CYTL1,1
DAB2,1
DDR2,1
DGKI,1
DNM3,1
DOCK2,1
DPYS,1
DPYSL2,1
EEF1A2,1
EPHA1,1
EPHB1,1
EZR,1
FAIM2,1
FBXO39,1
FCGRT,1
FES,1
FGF18,1
FGF8,1
FLRT2,1
FLT4,1
FMNL2,1
FRZB,1
GAS1,1
GCK,1
GNG4,1
TAMALIN,1
GSTA4,1
HCK,1
HOPX,1
ID4,1
IGF1,1
IGF2BP1,1
IGFBP4,1
INA,1
ITGAM,1
ITIH5,1
ITPKA,1
KIF5C,1
L1TD1,1
LEMD2,1
LEP,1
LEPR,1
MAGI2,1
MAML3,1
MAP3K11,1
MAST1,1
MIR124-2,1
MIR129-2,1
MIR196A1,1
MYH11,1
NBEAL2,1
NCOR2,1
NEFM,1
NKAPL,1
NLRP3,1
NOTCH3,1
NOX4,1
NPY,1
NTM,1
OPCML,1
PACS2,1
PDPN,1
PENK,1
PHLDB1,1
PIP4K2A,1
PLEKHF1,1
PLTP,1
PLXNC1,1
PMEPA1,1
POLR1D,1
PPP1R13L,1
PPP1R14A,1
PPP1R7,1
PRKCB,1
PRR5,1
PTN,1
RAB11FIP1,1
RAB22A,1
RAD54B,1
RARRES2,1
RBM47,1
RBPMS,1
RECK,1
RGS12,1
RGS17,1
RGS2,1
RGS20,1
RGS22,1
RGS7,1
RPTOR,1
RUSC1,1
SCARB2,1
SCT,1
SEMA4A,1
SERPING1,1
SFRP2,1
SFRP5,1
SH3PXD2A,1
SHF,1
SHISA3,1
NHERF1,1
SLITRK1,1
SPAG6,1
SPTBN1,1
SRGAP3,1
SRRM4,1
SST,1
ST7,1
ST8SIA3,1
STAG3,1
SYN2,1
TAC1,1
TACC1,1
TBL1XR1,1
TCERG1L,1
TCL1A,1
TGFB2,1
TGFBR3,1
TIMP2,1
TMEM45B,1
TNFAIP8L3,1
TOX2,1
TRH,1
TSSK6,1
TXNRD1,1
UTF1,1
VGLL4,1
VSTM2A,1
WNT3A,1
AFAP1,1
AFAP1L1,1
NOL4,1
RALYL,1
SPHKAP,1
TMEM132D,1
KLHL35,1
PRR15,1
