estimator_name,gene_0,gene_1,gene_2,fpr,tpr,threshold
DecisionTree,FNDC1,MIR1178,SALL1,"[0.0, 0.23809523809523808, 0.2857142857142857, 0.3333333333333333, 1.0]","[0.0, 0.9404761904761905, 0.9404761904761905, 0.9523809523809523, 1.0]",[       inf 1.         0.5        0.33333333 0.        ]
DecisionTree,SERPINB5,MIR1178,SALL1,"[0.0, 0.09523809523809523, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.19047619047619047, 1.0]","[0.0, 0.8928571428571429, 0.9047619047619048, 0.9523809523809523, 0.9642857142857143, 0.9880952380952381, 1.0]","[       inf 1.         0.8        0.66666667 0.6        0.33333333
 0.        ]"
DecisionTree,FNDC1,KLF6,PIK3R5,"[0.0, 0.14285714285714285, 1.0]","[0.0, 0.9761904761904762, 1.0]",[inf  1.  0.]
DecisionTree,FNDC1,PRDM2,PIK3R5,"[0.0, 0.047619047619047616, 0.14285714285714285, 0.14285714285714285, 0.23809523809523808, 1.0]","[0.0, 0.9642857142857143, 0.9642857142857143, 0.9761904761904762, 0.9761904761904762, 1.0]",[       inf 1.         0.6        0.5        0.33333333 0.        ]
DecisionTree,DLX5,MIR1178,SERPINB5,"[0.0, 0.23809523809523808, 0.23809523809523808, 0.23809523809523808, 0.3333333333333333, 1.0]","[0.0, 0.9642857142857143, 0.9761904761904762, 1.0, 1.0, 1.0]",[       inf 1.         0.8        0.66666667 0.25       0.        ]
DecisionTree,SALL1,MIR1178,SERPINB5,"[0.0, 0.09523809523809523, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.19047619047619047, 1.0]","[0.0, 0.8928571428571429, 0.9047619047619048, 0.9523809523809523, 0.9642857142857143, 0.9880952380952381, 1.0]","[       inf 1.         0.8        0.66666667 0.6        0.33333333
 0.        ]"
DecisionTree,IMMP2L,KLF6,SERPINB5,"[0.0, 0.23809523809523808, 0.2857142857142857, 0.42857142857142855, 0.47619047619047616, 1.0]","[0.0, 0.9047619047619048, 0.9404761904761905, 0.9523809523809523, 0.9523809523809523, 1.0]",[ inf 1.   0.75 0.5  0.25 0.  ]
DecisionTree,IMMP2L,SALL1,SERPINB5,"[0.0, 0.047619047619047616, 0.14285714285714285, 0.14285714285714285, 0.19047619047619047, 0.2857142857142857, 1.0]","[0.0, 0.9166666666666666, 0.9285714285714286, 0.9404761904761905, 0.9404761904761905, 0.9404761904761905, 1.0]","[       inf 1.         0.75       0.66666667 0.33333333 0.25
 0.        ]"
DecisionTree,KLF6,MIR196A1,SERPINB5,"[0.0, 0.2857142857142857, 1.0]","[0.0, 0.9523809523809523, 1.0]",[inf  1.  0.]
DecisionTree,ZNF529,MIR196A1,SERPINB5,"[0.0, 0.19047619047619047, 0.19047619047619047, 0.23809523809523808, 1.0]","[0.0, 0.9285714285714286, 0.9523809523809523, 0.9523809523809523, 1.0]",[       inf 1.         0.66666667 0.25       0.        ]
DecisionTree,CSPP1,MIR137,ZNF793,"[0.0, 0.09523809523809523, 0.14285714285714285, 1.0]","[0.0, 0.9642857142857143, 0.9642857142857143, 1.0]",[ inf 1.   0.75 0.  ]
DecisionTree,NPY,MIR137,ZNF793,"[0.0, 0.23809523809523808, 0.23809523809523808, 0.3333333333333333, 1.0]","[0.0, 0.9642857142857143, 0.9880952380952381, 0.9880952380952381, 1.0]",[       inf 1.         0.66666667 0.5        0.        ]
DecisionTree,RAB5A,MIR137,ZNF793,"[0.0, 0.23809523809523808, 0.2857142857142857, 1.0]","[0.0, 0.9761904761904762, 0.9761904761904762, 1.0]",[inf 1.  0.5 0. ]
DecisionTree,PIK3R5,RAB5A,ZNF626,"[0.0, 0.14285714285714285, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
DecisionTree,PIK3R5,RAB5A,ZNF793,"[0.0, 0.09523809523809523, 0.14285714285714285, 1.0]","[0.0, 0.9880952380952381, 1.0, 1.0]",[ inf 1.   0.75 0.  ]
DecisionTree,COL23A1,HOXD8,IMMP2L,"[0.0, 0.09523809523809523, 0.09523809523809523, 0.14285714285714285, 0.23809523809523808, 1.0]","[0.0, 0.9285714285714286, 0.9523809523809523, 0.9761904761904762, 0.9761904761904762, 1.0]",[       inf 1.         0.75       0.66666667 0.5        0.        ]
DecisionTree,CSPP1,HOXD8,IMMP2L,"[0.0, 0.09523809523809523, 0.14285714285714285, 0.38095238095238093, 0.42857142857142855, 1.0]","[0.0, 0.9523809523809523, 0.9642857142857143, 0.9761904761904762, 0.9761904761904762, 1.0]",[       inf 1.         0.66666667 0.5        0.33333333 0.        ]
DecisionTree,RAB5A,HOXD8,IMMP2L,"[0.0, 0.2857142857142857, 1.0]","[0.0, 0.9761904761904762, 1.0]",[inf  1.  0.]
DecisionTree,IMMP2L,RAB5A,ZNF793,"[0.0, 0.14285714285714285, 0.14285714285714285, 0.19047619047619047, 0.3333333333333333, 1.0]","[0.0, 0.9166666666666666, 0.9404761904761905, 0.9642857142857143, 0.9880952380952381, 1.0]",[       inf 1.         0.75       0.66666667 0.4        0.        ]
DecisionTree,IMMP2L,NPY,ZNF793,"[0.0, 0.23809523809523808, 0.23809523809523808, 1.0]","[0.0, 0.9166666666666666, 0.9880952380952381, 1.0]",[ inf 1.   0.25 0.  ]
DecisionTree,IMMP2L,RAB5A,ZNF793,"[0.0, 0.14285714285714285, 0.14285714285714285, 0.19047619047619047, 0.3333333333333333, 1.0]","[0.0, 0.9166666666666666, 0.9404761904761905, 0.9642857142857143, 0.9880952380952381, 1.0]",[       inf 1.         0.75       0.66666667 0.4        0.        ]
