estimator_name,gene_0,gene_1,gene_2,fpr,tpr,threshold
RandomForest,FNDC1,MIR1178,SALL1,"[0.0, 0.0, 0.0, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.09523809523809523, 0.09523809523809523, 0.19047619047619047, 0.19047619047619047, 0.23809523809523808, 0.2857142857142857, 0.3333333333333333, 0.47619047619047616, 0.5714285714285714, 0.6190476190476191, 0.8571428571428571, 1.0]","[0.0, 0.6309523809523809, 0.7619047619047619, 0.8333333333333334, 0.8452380952380952, 0.8690476190476191, 0.9285714285714286, 0.9642857142857143, 0.9642857142857143, 0.9880952380952381, 0.9880952380952381, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[ inf 1.   0.98 0.96 0.94 0.92 0.9  0.82 0.6  0.28 0.14 0.12 0.1  0.08
 0.06 0.04 0.02 0.  ]"
RandomForest,SERPINB5,MIR1178,SALL1,"[0.0, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.09523809523809523, 0.09523809523809523, 0.14285714285714285, 0.14285714285714285, 0.19047619047619047, 0.19047619047619047, 0.47619047619047616, 0.5714285714285714, 0.6666666666666666, 0.7619047619047619, 1.0]","[0.0, 0.6428571428571429, 0.6666666666666666, 0.6785714285714286, 0.7023809523809523, 0.7142857142857143, 0.7380952380952381, 0.75, 0.7738095238095238, 0.8809523809523809, 0.8809523809523809, 0.9761904761904762, 0.9761904761904762, 0.9880952380952381, 0.9880952380952381, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.98333333 0.98333333 0.975      0.96666667
 0.95833333 0.955      0.95       0.88       0.87880952 0.65
 0.60416667 0.53333333 0.48333333 0.345      0.075      0.05
 0.03333333 0.02       0.        ]"
RandomForest,FNDC1,KLF6,PIK3R5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.14285714285714285, 0.14285714285714285, 0.3333333333333333, 0.3333333333333333, 0.6190476190476191, 0.7142857142857143, 1.0]","[0.0, 0.6785714285714286, 0.6904761904761905, 0.7380952380952381, 0.75, 0.7976190476190477, 0.8333333333333334, 0.8452380952380952, 0.8809523809523809, 0.9047619047619048, 0.9761904761904762, 0.9761904761904762, 0.9880952380952381, 0.9880952380952381, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.98333333 0.98333333 0.975      0.97142857
 0.96666667 0.94333333 0.94       0.93333333 0.85       0.76666667
 0.75059524 0.38055556 0.34611111 0.04444444 0.03333333 0.        ]"
RandomForest,FNDC1,PRDM2,PIK3R5,"[0.0, 0.0, 0.0, 0.0, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.09523809523809523, 0.09523809523809523, 0.09523809523809523, 0.6190476190476191, 0.7142857142857143, 0.9047619047619048, 1.0]","[0.0, 0.6547619047619048, 0.6785714285714286, 0.7023809523809523, 0.7619047619047619, 0.7857142857142857, 0.8333333333333334, 0.8333333333333334, 0.8571428571428571, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.98       0.97857143 0.975      0.96666667
 0.91857143 0.91666667 0.9        0.45357143 0.1125     0.1
 0.06       0.025     ]"
RandomForest,DLX5,MIR1178,SERPINB5,"[0.0, 0.0, 0.0, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.6666666666666666, 0.7619047619047619, 1.0]","[0.0, 0.6309523809523809, 0.6547619047619048, 0.6547619047619048, 0.6904761904761905, 0.7619047619047619, 0.7738095238095238, 0.7976190476190477, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.995      0.99333333 0.98666667 0.98
 0.97333333 0.955      0.63866667 0.055      0.03       0.        ]"
RandomForest,SALL1,MIR1178,SERPINB5,"[0.0, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.09523809523809523, 0.09523809523809523, 0.14285714285714285, 0.14285714285714285, 0.19047619047619047, 0.19047619047619047, 0.47619047619047616, 0.5714285714285714, 0.6666666666666666, 0.7619047619047619, 1.0]","[0.0, 0.6428571428571429, 0.6666666666666666, 0.6785714285714286, 0.7023809523809523, 0.7142857142857143, 0.7380952380952381, 0.75, 0.7738095238095238, 0.8809523809523809, 0.8809523809523809, 0.9761904761904762, 0.9761904761904762, 0.9880952380952381, 0.9880952380952381, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.98333333 0.98333333 0.975      0.96666667
 0.95833333 0.955      0.95       0.88       0.87880952 0.65
 0.60416667 0.53333333 0.48333333 0.345      0.075      0.05
 0.03333333 0.02       0.        ]"
RandomForest,IMMP2L,KLF6,SERPINB5,"[0.0, 0.0, 0.0, 0.0, 0.047619047619047616, 0.047619047619047616, 0.09523809523809523, 0.09523809523809523, 0.14285714285714285, 0.14285714285714285, 0.19047619047619047, 0.19047619047619047, 0.2857142857142857, 0.2857142857142857, 0.5238095238095238, 0.5238095238095238, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.7023809523809523, 0.7261904761904762, 0.7380952380952381, 0.75, 0.8214285714285714, 0.8214285714285714, 0.8928571428571429, 0.8928571428571429, 0.9047619047619048, 0.9047619047619048, 0.9285714285714286, 0.9285714285714286, 0.9523809523809523, 0.9523809523809523, 0.9761904761904762, 0.9761904761904762, 1.0, 1.0]","[       inf 1.         0.9875     0.97857143 0.97       0.93392857
 0.92375    0.7702381  0.75827381 0.75297619 0.64458333 0.61938492
 0.47333333 0.42996032 0.28363095 0.26708333 0.23373016 0.18095238
 0.04791667]"
RandomForest,IMMP2L,SALL1,SERPINB5,"[0.0, 0.0, 0.09523809523809523, 0.19047619047619047, 0.23809523809523808, 0.3333333333333333, 0.5714285714285714, 0.9047619047619048, 1.0]","[0.0, 0.8214285714285714, 0.9404761904761905, 0.9523809523809523, 0.9642857142857143, 0.9642857142857143, 0.9880952380952381, 0.9880952380952381, 1.0]",[inf 1.  0.8 0.6 0.5 0.3 0.2 0.1 0. ]
RandomForest,KLF6,MIR196A1,SERPINB5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.09523809523809523, 0.09523809523809523, 0.14285714285714285, 0.14285714285714285, 0.3333333333333333, 0.3333333333333333, 0.5714285714285714, 0.7619047619047619, 1.0]","[0.0, 0.7023809523809523, 0.7142857142857143, 0.7380952380952381, 0.7738095238095238, 0.7738095238095238, 0.7857142857142857, 0.8214285714285714, 0.8571428571428571, 0.8809523809523809, 0.9285714285714286, 0.9285714285714286, 0.9642857142857143, 0.9642857142857143, 0.9880952380952381, 0.9880952380952381, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.98888889 0.98333333 0.96571429 0.96333333
 0.94333333 0.94       0.89583333 0.895      0.80071429 0.79035714
 0.70416667 0.68460317 0.63916667 0.35       0.31833333 0.0575
 0.04       0.        ]"
RandomForest,ZNF529,MIR196A1,SERPINB5,"[0.0, 0.0, 0.0, 0.0, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.09523809523809523, 0.09523809523809523, 0.09523809523809523, 0.2857142857142857, 0.47619047619047616, 0.5238095238095238, 1.0]","[0.0, 0.7023809523809523, 0.7380952380952381, 0.7619047619047619, 0.8214285714285714, 0.8452380952380952, 0.8809523809523809, 0.9285714285714286, 0.9523809523809523, 0.9523809523809523, 0.9642857142857143, 0.9880952380952381, 0.9880952380952381, 1.0, 1.0, 1.0]","[       inf 1.         0.95       0.925      0.9        0.89
 0.85       0.8        0.75       0.7        0.65       0.6
 0.2        0.1        0.06666667 0.        ]"
