estimator_name,gene_0,gene_1,gene_2,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
SVM,FNDC1,MIR1178,SALL1,0.8857142857142858,0.961904761904762,0.8095238095238095,0.834550724637681,0.8935002195871761,0.9755102040816327,0.7812780555876954,0.9332615647457454
SVM,SERPINB5,MIR1178,SALL1,0.9142857142857144,0.9714285714285715,0.857142857142857,0.8716897233201581,0.9186751233262862,0.9324263038548753,0.8345778228316257,0.9495655283214794
SVM,FNDC1,KLF6,PIK3R5,0.9190476190476191,0.980952380952381,0.857142857142857,0.8728260869565219,0.9236363636363636,0.9839002267573695,0.8449033560704222,0.9571651090342679
SVM,FNDC1,PRDM2,PIK3R5,0.9380952380952381,0.9714285714285715,0.9047619047619049,0.9106719367588931,0.9399577167019029,0.9870748299319729,0.8784271018511742,0.9585611003350379
SVM,DLX5,MIR1178,SERPINB5,0.9238095238095239,0.9904761904761905,0.857142857142857,0.8739130434782609,0.9284848484848485,0.98140589569161,0.8554643799274304,0.9646936656282449
SVM,SALL1,MIR1178,SERPINB5,0.9142857142857144,0.9714285714285715,0.857142857142857,0.8716897233201581,0.9186751233262862,0.9324263038548753,0.8345778228316257,0.9495655283214794
SVM,IMMP2L,KLF6,SERPINB5,0.869047619047619,0.9285714285714286,0.8095238095238095,0.8295283267457181,0.8759255854806914,0.9238095238095237,0.7444003329820033,0.9066766296661193
SVM,IMMP2L,SALL1,SERPINB5,0.930952380952381,0.9571428571428571,0.9047619047619049,0.9094108789760963,0.932432296385785,0.9739229024943311,0.8636309048091941,0.9470430175244141
SVM,KLF6,MIR196A1,SERPINB5,0.9214285714285715,0.9857142857142858,0.857142857142857,0.8733695652173914,0.9260606060606061,0.989342403628118,0.8501838679989262,0.9609293873312564
SVM,ZNF529,MIR196A1,SERPINB5,0.930952380952381,0.9571428571428571,0.9047619047619049,0.9094108789760963,0.932432296385785,0.9782312925170068,0.8636309048091941,0.9470430175244141
SVM,CSPP1,MIR137,ZNF793,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,NPY,MIR137,ZNF793,0.9714285714285713,0.9904761904761905,0.9523809523809523,0.9541125541125544,0.9718715393133998,0.9850340136054422,0.9437224523488551,0.9829290206648699
SVM,RAB5A,MIR137,ZNF793,0.9190476190476191,0.980952380952381,0.857142857142857,0.8728260869565219,0.9236363636363636,0.9589569160997732,0.8449033560704222,0.9571651090342677
SVM,PIK3R5,RAB5A,ZNF626,0.9190476190476191,0.980952380952381,0.857142857142857,0.8728260869565219,0.9236363636363636,0.9709750566893425,0.8449033560704222,0.9571651090342679
SVM,PIK3R5,RAB5A,ZNF793,0.9285714285714286,1.0,0.857142857142857,0.875,0.9333333333333333,0.9634920634920634,0.8660254037844386,0.9722222222222221
SVM,COL23A1,HOXD8,IMMP2L,0.9428571428571428,0.980952380952381,0.9047619047619049,0.9114624505928852,0.9448202959830867,0.9891156462585032,0.8885824876162447,0.9661435372950097
SVM,CSPP1,HOXD8,IMMP2L,0.9261904761904762,0.9952380952380953,0.857142857142857,0.8744565217391305,0.930909090909091,0.9918367346938777,0.8607448918559344,0.9684579439252335
SVM,RAB5A,HOXD8,IMMP2L,0.9428571428571428,0.980952380952381,0.9047619047619049,0.9114624505928853,0.9448202959830867,0.9623582766439908,0.8885824876162447,0.9661435372950098
SVM,IMMP2L,RAB5A,ZNF793,0.9285714285714286,0.9523809523809523,0.9047619047619049,0.9088970449840014,0.9296452082612039,0.9709750566893425,0.8591739717992736,0.9430330749013521
SVM,IMMP2L,NPY,ZNF793,0.9333333333333333,0.9619047619047618,0.9047619047619049,0.9098061358930923,0.9348635860263768,0.9845804988662131,0.8687085976917294,0.9508342360044001
SVM,IMMP2L,RAB5A,ZNF793,0.9285714285714286,0.9523809523809523,0.9047619047619049,0.9088970449840014,0.9296452082612039,0.9709750566893425,0.8591739717992736,0.9430330749013521
