estimator_name,gene_0,gene_1,gene_2,fpr,tpr,threshold
LogisticRegressionElastic,FNDC1,MIR1178,SALL1,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.03571428571428571, 0.03571428571428571, 0.047619047619047616, 0.047619047619047616, 0.05952380952380952, 0.05952380952380952, 0.07142857142857142, 0.07142857142857142, 0.08333333333333333, 0.08333333333333333, 0.09523809523809523, 0.09523809523809523, 0.11904761904761904, 0.11904761904761904, 0.13095238095238096, 0.13095238095238096, 0.15476190476190477, 0.15476190476190477, 0.25, 0.25, 0.47619047619047616, 0.47619047619047616, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.0030303030303030303, 0.7151515151515152, 0.7151515151515152, 0.7454545454545455, 0.7454545454545455, 0.8727272727272727, 0.8727272727272727, 0.8787878787878788, 0.8787878787878788, 0.9363636363636364, 0.9363636363636364, 0.9545454545454546, 0.9545454545454546, 0.9575757575757575, 0.9575757575757575, 0.9636363636363636, 0.9636363636363636, 0.9818181818181818, 0.9818181818181818, 0.9848484848484849, 0.9848484848484849, 0.9878787878787879, 0.9878787878787879, 0.990909090909091, 0.990909090909091, 0.996969696969697, 0.996969696969697, 1.0, 1.0]","[       inf 0.99988241 0.98158136 0.98141603 0.9755059  0.97324314
 0.88419736 0.87573268 0.87215232 0.86835253 0.81676519 0.81467751
 0.78078835 0.77099088 0.76908497 0.74094142 0.73434831 0.71745351
 0.5272957  0.45710262 0.43748904 0.41744079 0.4084707  0.26277286
 0.23687152 0.05850836 0.05003705 0.03417272 0.03204334 0.00710672]"
LogisticRegressionElastic,SERPINB5,MIR1178,SALL1,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.023809523809523808, 0.03571428571428571, 0.03571428571428571, 0.047619047619047616, 0.047619047619047616, 0.05952380952380952, 0.05952380952380952, 0.07142857142857142, 0.07142857142857142, 0.21428571428571427, 0.21428571428571427, 0.2619047619047619, 0.2619047619047619, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 1.0]","[0.0, 0.0030303030303030303, 0.7909090909090909, 0.7909090909090909, 0.8151515151515152, 0.8151515151515152, 0.9, 0.9, 0.9484848484848485, 0.9484848484848485, 0.9515151515151515, 0.9515151515151515, 0.9818181818181818, 0.9818181818181818, 0.9878787878787879, 0.9878787878787879, 0.990909090909091, 0.990909090909091, 0.9939393939393939, 0.9939393939393939, 0.996969696969697, 0.996969696969697, 1.0, 1.0]","[       inf 0.999944   0.96173188 0.96161004 0.95229374 0.94911459
 0.88630528 0.88572287 0.79924315 0.79832272 0.79197567 0.78868609
 0.6665142  0.64378315 0.59943985 0.28326984 0.27692309 0.2414264
 0.23721118 0.03386072 0.03363765 0.01697004 0.01514411 0.00114062]"
LogisticRegressionElastic,FNDC1,KLF6,PIK3R5,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.023809523809523808, 0.05952380952380952, 0.05952380952380952, 0.07142857142857142, 0.07142857142857142, 0.11904761904761904, 0.11904761904761904, 0.13095238095238096, 0.13095238095238096, 0.14285714285714285, 0.14285714285714285, 0.16666666666666666, 0.16666666666666666, 0.17857142857142858, 0.17857142857142858, 0.20238095238095238, 0.20238095238095238, 0.23809523809523808, 0.23809523809523808, 0.27380952380952384, 0.27380952380952384, 0.39285714285714285, 0.39285714285714285, 0.47619047619047616, 0.47619047619047616, 0.75, 0.75, 1.0]","[0.0, 0.0030303030303030303, 0.6666666666666666, 0.6666666666666666, 0.8121212121212121, 0.8121212121212121, 0.9424242424242424, 0.9424242424242424, 0.9484848484848485, 0.9484848484848485, 0.9545454545454546, 0.9545454545454546, 0.9666666666666667, 0.9666666666666667, 0.9727272727272728, 0.9727272727272728, 0.9757575757575757, 0.9757575757575757, 0.9787878787878788, 0.9787878787878788, 0.9818181818181818, 0.9818181818181818, 0.9848484848484849, 0.9848484848484849, 0.9878787878787879, 0.9878787878787879, 0.990909090909091, 0.990909090909091, 0.9939393939393939, 0.9939393939393939, 0.996969696969697, 0.996969696969697, 1.0, 1.0]","[       inf 1.         0.99523732 0.99521246 0.97094593 0.9708194
 0.64725137 0.6033828  0.5686325  0.56324998 0.50152739 0.4254603
 0.36364021 0.35104775 0.33182582 0.33123046 0.33008438 0.30346179
 0.29616923 0.28974769 0.28921215 0.27800803 0.27051049 0.25895237
 0.25279184 0.20804924 0.20531279 0.17289002 0.17283508 0.16221248
 0.15981706 0.11399354 0.11343155 0.06693507]"
LogisticRegressionElastic,FNDC1,PRDM2,PIK3R5,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.023809523809523808, 0.03571428571428571, 0.03571428571428571, 0.047619047619047616, 0.047619047619047616, 0.05952380952380952, 0.05952380952380952, 0.08333333333333333, 0.08333333333333333, 0.09523809523809523, 0.09523809523809523, 0.11904761904761904, 0.11904761904761904, 0.14285714285714285, 0.14285714285714285, 0.15476190476190477, 0.15476190476190477, 0.2857142857142857, 0.2857142857142857, 0.3333333333333333, 0.3333333333333333, 0.35714285714285715, 0.35714285714285715, 0.4166666666666667, 0.4166666666666667, 0.4523809523809524, 0.4523809523809524, 0.4642857142857143, 0.4642857142857143, 0.5119047619047619, 0.5119047619047619, 0.5238095238095238, 0.5238095238095238, 0.6666666666666666, 0.6666666666666666, 0.7738095238095238, 0.7738095238095238, 0.8452380952380952, 0.8452380952380952, 0.8690476190476191, 0.8690476190476191, 0.8809523809523809, 0.8809523809523809, 0.8928571428571429, 0.8928571428571429, 1.0, 1.0]","[0.0, 0.0030303030303030303, 0.6575757575757576, 0.6575757575757576, 0.8272727272727273, 0.8272727272727273, 0.8454545454545455, 0.8454545454545455, 0.8939393939393939, 0.8939393939393939, 0.896969696969697, 0.896969696969697, 0.9030303030303031, 0.9030303030303031, 0.9090909090909091, 0.9090909090909091, 0.9181818181818182, 0.9181818181818182, 0.9272727272727272, 0.9272727272727272, 0.9303030303030303, 0.9303030303030303, 0.9393939393939394, 0.9393939393939394, 0.9424242424242424, 0.9424242424242424, 0.9454545454545454, 0.9454545454545454, 0.9515151515151515, 0.9515151515151515, 0.9545454545454546, 0.9545454545454546, 0.9575757575757575, 0.9575757575757575, 0.9606060606060606, 0.9606060606060606, 0.9636363636363636, 0.9636363636363636, 0.9666666666666667, 0.9666666666666667, 0.9696969696969697, 0.9696969696969697, 0.9727272727272728, 0.9727272727272728, 0.9757575757575757, 0.9757575757575757, 0.9787878787878788, 0.9787878787878788, 0.9818181818181818, 0.9818181818181818, 0.9848484848484849, 0.9848484848484849, 1.0]","[       inf 0.99999998 0.99138088 0.99123512 0.92589795 0.92549107
 0.89239796 0.89167096 0.70198596 0.65155016 0.64854723 0.61547439
 0.61405582 0.609117   0.58750484 0.5852967  0.51244359 0.47743028
 0.45815505 0.43770787 0.4358837  0.43531837 0.4153377  0.35507617
 0.35503418 0.33256431 0.33248588 0.3285986  0.32231609 0.30864013
 0.30684756 0.30378412 0.30183983 0.29676523 0.28613513 0.27840255
 0.27634019 0.27430718 0.27028801 0.2473607  0.24506725 0.23486295
 0.23097349 0.22647394 0.22641758 0.22525364 0.22100662 0.21325557
 0.2099805  0.20595274 0.20419117 0.17859734 0.1333313 ]"
LogisticRegressionElastic,DLX5,MIR1178,SERPINB5,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.023809523809523808, 0.03571428571428571, 0.03571428571428571, 0.047619047619047616, 0.047619047619047616, 0.05952380952380952, 0.05952380952380952, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5357142857142857, 0.5357142857142857, 0.6785714285714286, 0.6785714285714286, 1.0]","[0.0, 0.0030303030303030303, 0.8636363636363636, 0.8636363636363636, 0.8878787878787879, 0.8878787878787879, 0.9484848484848485, 0.9484848484848485, 0.9575757575757575, 0.9575757575757575, 0.9848484848484849, 0.9848484848484849, 0.9878787878787879, 0.9878787878787879, 0.990909090909091, 0.990909090909091, 0.9939393939393939, 0.9939393939393939, 0.996969696969697, 0.996969696969697, 1.0, 1.0]","[           inf 9.99992857e-01 9.63287575e-01 9.62503447e-01
 9.48303112e-01 9.44933204e-01 8.54250694e-01 8.46303029e-01
 8.14395227e-01 8.14264480e-01 6.82376376e-01 6.64607235e-01
 5.22902803e-01 2.21061711e-01 2.18997240e-01 9.75343719e-02
 9.26916385e-02 2.60328563e-02 2.55231420e-02 8.20950223e-03
 7.57253528e-03 4.36608228e-04]"
LogisticRegressionElastic,SALL1,MIR1178,SERPINB5,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.023809523809523808, 0.03571428571428571, 0.03571428571428571, 0.047619047619047616, 0.047619047619047616, 0.05952380952380952, 0.05952380952380952, 0.07142857142857142, 0.07142857142857142, 0.21428571428571427, 0.21428571428571427, 0.2619047619047619, 0.2619047619047619, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 1.0]","[0.0, 0.0030303030303030303, 0.7909090909090909, 0.7909090909090909, 0.8151515151515152, 0.8151515151515152, 0.9, 0.9, 0.9484848484848485, 0.9484848484848485, 0.9515151515151515, 0.9515151515151515, 0.9818181818181818, 0.9818181818181818, 0.9878787878787879, 0.9878787878787879, 0.990909090909091, 0.990909090909091, 0.9939393939393939, 0.9939393939393939, 0.996969696969697, 0.996969696969697, 1.0, 1.0]","[       inf 0.999944   0.96173188 0.96161004 0.95229374 0.94911459
 0.88630528 0.88572287 0.79924315 0.79832272 0.79197567 0.78868609
 0.6665142  0.64378315 0.59943985 0.28326984 0.27692309 0.2414264
 0.23721118 0.03386072 0.03363765 0.01697004 0.01514411 0.00114062]"
LogisticRegressionElastic,IMMP2L,KLF6,SERPINB5,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.023809523809523808, 0.03571428571428571, 0.03571428571428571, 0.047619047619047616, 0.047619047619047616, 0.05952380952380952, 0.05952380952380952, 0.07142857142857142, 0.07142857142857142, 0.08333333333333333, 0.08333333333333333, 0.09523809523809523, 0.09523809523809523, 0.10714285714285714, 0.10714285714285714, 0.11904761904761904, 0.11904761904761904, 0.14285714285714285, 0.14285714285714285, 0.17857142857142858, 0.17857142857142858, 0.27380952380952384, 0.27380952380952384, 0.2976190476190476, 0.2976190476190476, 0.32142857142857145, 0.32142857142857145, 0.38095238095238093, 0.38095238095238093, 0.42857142857142855, 0.42857142857142855, 0.44047619047619047, 0.44047619047619047, 0.5, 0.5, 0.5476190476190477, 0.5476190476190477, 0.5595238095238095, 0.5595238095238095, 0.7023809523809523, 0.7023809523809523, 0.8214285714285714, 0.8214285714285714, 0.8452380952380952, 0.8452380952380952, 0.9880952380952381, 0.9880952380952381, 1.0]","[0.0, 0.0030303030303030303, 0.7757575757575758, 0.7757575757575758, 0.8090909090909091, 0.8090909090909091, 0.8242424242424242, 0.8242424242424242, 0.8424242424242424, 0.8424242424242424, 0.8454545454545455, 0.8454545454545455, 0.8545454545454545, 0.8545454545454545, 0.8818181818181818, 0.8818181818181818, 0.8939393939393939, 0.8939393939393939, 0.896969696969697, 0.896969696969697, 0.9030303030303031, 0.9030303030303031, 0.9151515151515152, 0.9151515151515152, 0.9242424242424242, 0.9242424242424242, 0.9363636363636364, 0.9363636363636364, 0.9393939393939394, 0.9393939393939394, 0.9424242424242424, 0.9424242424242424, 0.9484848484848485, 0.9484848484848485, 0.9515151515151515, 0.9515151515151515, 0.9575757575757575, 0.9575757575757575, 0.9666666666666667, 0.9666666666666667, 0.9757575757575757, 0.9757575757575757, 0.9787878787878788, 0.9787878787878788, 0.9848484848484849, 0.9848484848484849, 0.9878787878787879, 0.9878787878787879, 0.990909090909091, 0.990909090909091, 0.9939393939393939, 0.9939393939393939, 1.0, 1.0]","[       inf 0.99999999 0.92330504 0.92153433 0.86451166 0.84816937
 0.81810769 0.80603941 0.75444564 0.74124103 0.7359356  0.71955361
 0.67938214 0.67577804 0.62687107 0.62416577 0.60166613 0.57865346
 0.57518712 0.56127532 0.55762943 0.54442059 0.53504637 0.51509221
 0.5109106  0.48936971 0.47105899 0.46059418 0.45718364 0.44292276
 0.44030398 0.41077982 0.40685705 0.39852178 0.3943971  0.3839614
 0.38329352 0.38316976 0.38175985 0.35299332 0.34859063 0.33326157
 0.33312533 0.33288505 0.32503363 0.2796789  0.27707612 0.24262753
 0.23798703 0.22748219 0.2267445  0.16147418 0.11927038 0.11350452]"
LogisticRegressionElastic,IMMP2L,SALL1,SERPINB5,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.023809523809523808, 0.05952380952380952, 0.05952380952380952, 0.09523809523809523, 0.09523809523809523, 0.10714285714285714, 0.10714285714285714, 0.15476190476190477, 0.15476190476190477, 0.17857142857142858, 0.17857142857142858, 0.19047619047619047, 0.19047619047619047, 0.2261904761904762, 0.2261904761904762, 0.23809523809523808, 0.23809523809523808, 0.34523809523809523, 0.34523809523809523, 0.39285714285714285, 0.39285714285714285, 0.44047619047619047, 0.44047619047619047, 0.4642857142857143, 0.4642857142857143, 0.5119047619047619, 0.5119047619047619, 0.5357142857142857, 0.5357142857142857, 0.5476190476190477, 0.5476190476190477, 0.5952380952380952, 0.5952380952380952, 0.7738095238095238, 0.7738095238095238, 0.7857142857142857, 0.7857142857142857, 0.8452380952380952, 0.8452380952380952, 0.8809523809523809, 0.8809523809523809, 1.0]","[0.0, 0.0030303030303030303, 0.7242424242424242, 0.7242424242424242, 0.8333333333333334, 0.8333333333333334, 0.9, 0.9, 0.9030303030303031, 0.9030303030303031, 0.906060606060606, 0.906060606060606, 0.9181818181818182, 0.9181818181818182, 0.9212121212121213, 0.9212121212121213, 0.9333333333333333, 0.9333333333333333, 0.9363636363636364, 0.9363636363636364, 0.9393939393939394, 0.9393939393939394, 0.9545454545454546, 0.9545454545454546, 0.9575757575757575, 0.9575757575757575, 0.9606060606060606, 0.9606060606060606, 0.9666666666666667, 0.9666666666666667, 0.9696969696969697, 0.9696969696969697, 0.9727272727272728, 0.9727272727272728, 0.9757575757575757, 0.9757575757575757, 0.9818181818181818, 0.9818181818181818, 0.9848484848484849, 0.9848484848484849, 0.9878787878787879, 0.9878787878787879, 0.9939393939393939, 0.9939393939393939, 0.996969696969697, 0.996969696969697, 1.0, 1.0]","[       inf 0.9999991  0.9528215  0.95279494 0.84694853 0.84196651
 0.68830455 0.67888668 0.67393084 0.66598878 0.66203081 0.6577781
 0.62385859 0.58064233 0.57580966 0.56897776 0.55098668 0.5506721
 0.54265565 0.52560868 0.52244682 0.51891816 0.46951324 0.39995525
 0.39393601 0.3678381  0.36762789 0.34862067 0.34422714 0.32187903
 0.31294896 0.28808817 0.28541657 0.28221772 0.28201225 0.27779257
 0.25425662 0.24144998 0.23990122 0.17354055 0.17306184 0.16707604
 0.15305627 0.12929187 0.12865163 0.11524134 0.11436729 0.06943678]"
LogisticRegressionElastic,KLF6,MIR196A1,SERPINB5,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.023809523809523808, 0.047619047619047616, 0.047619047619047616, 0.05952380952380952, 0.05952380952380952, 0.07142857142857142, 0.07142857142857142, 0.08333333333333333, 0.08333333333333333, 0.09523809523809523, 0.09523809523809523, 0.14285714285714285, 0.14285714285714285, 0.16666666666666666, 0.16666666666666666, 0.19047619047619047, 0.19047619047619047, 0.20238095238095238, 0.20238095238095238, 0.23809523809523808, 0.23809523809523808, 0.3333333333333333, 0.3333333333333333, 0.34523809523809523, 0.34523809523809523, 0.7023809523809523, 0.7023809523809523, 0.8928571428571429, 0.8928571428571429, 1.0]","[0.0, 0.0030303030303030303, 0.8696969696969697, 0.8696969696969697, 0.9212121212121213, 0.9212121212121213, 0.9242424242424242, 0.9242424242424242, 0.9363636363636364, 0.9363636363636364, 0.9424242424242424, 0.9424242424242424, 0.9454545454545454, 0.9454545454545454, 0.9636363636363636, 0.9636363636363636, 0.9727272727272728, 0.9727272727272728, 0.9757575757575757, 0.9757575757575757, 0.9787878787878788, 0.9787878787878788, 0.9818181818181818, 0.9818181818181818, 0.9848484848484849, 0.9848484848484849, 0.9878787878787879, 0.9878787878787879, 0.990909090909091, 0.990909090909091, 0.9939393939393939, 0.9939393939393939, 0.996969696969697, 0.996969696969697, 1.0, 1.0]","[       inf 0.99999993 0.91339135 0.91226387 0.8192302  0.80092894
 0.76110909 0.7558586  0.73114547 0.71843305 0.68783713 0.63816189
 0.61807084 0.61347979 0.52898797 0.52332736 0.47216385 0.37633176
 0.37022527 0.36013458 0.35988476 0.34686073 0.34515067 0.34379549
 0.3347143  0.27537026 0.27154709 0.20675635 0.20025182 0.19053371
 0.18958486 0.09190457 0.08679157 0.04036383 0.04034688 0.01362005]"
LogisticRegressionElastic,ZNF529,MIR196A1,SERPINB5,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.023809523809523808, 0.047619047619047616, 0.047619047619047616, 0.05952380952380952, 0.05952380952380952, 0.07142857142857142, 0.07142857142857142, 0.10714285714285714, 0.10714285714285714, 0.14285714285714285, 0.14285714285714285, 0.17857142857142858, 0.17857142857142858, 0.23809523809523808, 0.23809523809523808, 0.40476190476190477, 0.40476190476190477, 0.4523809523809524, 0.4523809523809524, 0.5833333333333334, 0.5833333333333334, 0.7023809523809523, 0.7023809523809523, 0.7142857142857143, 0.7142857142857143, 0.8095238095238095, 0.8095238095238095, 0.8214285714285714, 0.8214285714285714, 0.9166666666666666, 0.9166666666666666, 1.0]","[0.0, 0.0030303030303030303, 0.793939393939394, 0.793939393939394, 0.896969696969697, 0.896969696969697, 0.906060606060606, 0.906060606060606, 0.9212121212121213, 0.9212121212121213, 0.9333333333333333, 0.9333333333333333, 0.9545454545454546, 0.9545454545454546, 0.9666666666666667, 0.9666666666666667, 0.9696969696969697, 0.9696969696969697, 0.9727272727272728, 0.9727272727272728, 0.9757575757575757, 0.9757575757575757, 0.9787878787878788, 0.9787878787878788, 0.9818181818181818, 0.9818181818181818, 0.9848484848484849, 0.9848484848484849, 0.9878787878787879, 0.9878787878787879, 0.990909090909091, 0.990909090909091, 0.9939393939393939, 0.9939393939393939, 0.996969696969697, 0.996969696969697, 1.0, 1.0]","[       inf 0.99984145 0.92377282 0.91986311 0.79935136 0.79263674
 0.77003557 0.75864821 0.73110941 0.72021224 0.6996985  0.68978763
 0.63891884 0.60408436 0.5788283  0.46573586 0.46423789 0.44033613
 0.43692496 0.40273857 0.38187267 0.29992725 0.28804372 0.24956393
 0.23598181 0.19885251 0.19809669 0.16688588 0.15922706 0.15168589
 0.14707125 0.11006233 0.10882258 0.10848648 0.10773865 0.07382227
 0.06906877 0.04816765]"
