estimator_name,gene_0,gene_1,gene_2,fpr,tpr,threshold
LogisticRegression,FNDC1,MIR1178,SALL1,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.023809523809523808, 0.03571428571428571, 0.03571428571428571, 0.047619047619047616, 0.047619047619047616, 0.05952380952380952, 0.05952380952380952, 0.07142857142857142, 0.07142857142857142, 0.08333333333333333, 0.08333333333333333, 0.09523809523809523, 0.09523809523809523, 0.11904761904761904, 0.11904761904761904, 0.13095238095238096, 0.13095238095238096, 0.15476190476190477, 0.15476190476190477, 0.25, 0.25, 0.47619047619047616, 0.47619047619047616, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.0030303030303030303, 0.7151515151515152, 0.7151515151515152, 0.7424242424242424, 0.7424242424242424, 0.7454545454545455, 0.7454545454545455, 0.8727272727272727, 0.8727272727272727, 0.8787878787878788, 0.8787878787878788, 0.9363636363636364, 0.9363636363636364, 0.9545454545454546, 0.9545454545454546, 0.9606060606060606, 0.9606060606060606, 0.9636363636363636, 0.9636363636363636, 0.9818181818181818, 0.9818181818181818, 0.9848484848484849, 0.9848484848484849, 0.9878787878787879, 0.9878787878787879, 0.990909090909091, 0.990909090909091, 0.996969696969697, 0.996969696969697, 1.0, 1.0]","[       inf 0.99989683 0.98237438 0.98217935 0.97703835 0.9766222
 0.97650561 0.97439436 0.88927214 0.87787954 0.87361344 0.86968609
 0.81731634 0.81550894 0.78884163 0.77269515 0.74470421 0.74337688
 0.73773786 0.71982328 0.52624925 0.45642461 0.43454549 0.4160693
 0.40660063 0.25987695 0.23348906 0.05674294 0.04861939 0.03300399
 0.03094142 0.00673033]"
LogisticRegression,SERPINB5,MIR1178,SALL1,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.023809523809523808, 0.03571428571428571, 0.03571428571428571, 0.047619047619047616, 0.047619047619047616, 0.05952380952380952, 0.05952380952380952, 0.07142857142857142, 0.07142857142857142, 0.2261904761904762, 0.2261904761904762, 0.2857142857142857, 0.2857142857142857, 0.5595238095238095, 0.5595238095238095, 0.7142857142857143, 0.7142857142857143, 1.0]","[0.0, 0.0030303030303030303, 0.7787878787878788, 0.7787878787878788, 0.8151515151515152, 0.8151515151515152, 0.9030303030303031, 0.9030303030303031, 0.9454545454545454, 0.9454545454545454, 0.9636363636363636, 0.9636363636363636, 0.9848484848484849, 0.9848484848484849, 0.9878787878787879, 0.9878787878787879, 0.990909090909091, 0.990909090909091, 0.9939393939393939, 0.9939393939393939, 0.996969696969697, 0.996969696969697, 1.0, 1.0]","[       inf 0.99987545 0.95596123 0.95445014 0.93851397 0.93833481
 0.86899142 0.86763035 0.79147495 0.7857856  0.76195095 0.75990723
 0.63961276 0.63219282 0.62927771 0.30949426 0.3051682  0.26591181
 0.26579119 0.05794459 0.0506616  0.02760577 0.02453457 0.00251606]"
LogisticRegression,FNDC1,KLF6,PIK3R5,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.023809523809523808, 0.03571428571428571, 0.03571428571428571, 0.047619047619047616, 0.047619047619047616, 0.10714285714285714, 0.10714285714285714, 0.13095238095238096, 0.13095238095238096, 0.14285714285714285, 0.14285714285714285, 0.15476190476190477, 0.15476190476190477, 0.16666666666666666, 0.16666666666666666, 0.17857142857142858, 0.17857142857142858, 0.21428571428571427, 0.21428571428571427, 0.34523809523809523, 0.34523809523809523, 0.4523809523809524, 0.4523809523809524, 0.5119047619047619, 0.5119047619047619, 0.6428571428571429, 0.6428571428571429, 1.0]","[0.0, 0.0030303030303030303, 0.6484848484848484, 0.6484848484848484, 0.806060606060606, 0.806060606060606, 0.9303030303030303, 0.9303030303030303, 0.9393939393939394, 0.9393939393939394, 0.9515151515151515, 0.9515151515151515, 0.9636363636363636, 0.9636363636363636, 0.9666666666666667, 0.9666666666666667, 0.9696969696969697, 0.9696969696969697, 0.9757575757575757, 0.9757575757575757, 0.9787878787878788, 0.9787878787878788, 0.9848484848484849, 0.9848484848484849, 0.9878787878787879, 0.9878787878787879, 0.990909090909091, 0.990909090909091, 0.9939393939393939, 0.9939393939393939, 0.996969696969697, 0.996969696969697, 1.0, 1.0]","[       inf 0.99999826 0.98180712 0.97929092 0.92914323 0.92842185
 0.64794168 0.64050809 0.60824953 0.59563721 0.52669055 0.42518804
 0.38257152 0.3787487  0.36969786 0.36434564 0.36364902 0.36075755
 0.32915237 0.32470248 0.32048091 0.32033966 0.31316958 0.2930117
 0.29262562 0.25997575 0.25697575 0.23381587 0.23191684 0.21557867
 0.21199588 0.1993647  0.19914042 0.12897879]"
LogisticRegression,FNDC1,PRDM2,PIK3R5,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.023809523809523808, 0.03571428571428571, 0.03571428571428571, 0.047619047619047616, 0.047619047619047616, 0.05952380952380952, 0.05952380952380952, 0.07142857142857142, 0.07142857142857142, 0.08333333333333333, 0.08333333333333333, 0.09523809523809523, 0.09523809523809523, 0.11904761904761904, 0.11904761904761904, 0.13095238095238096, 0.13095238095238096, 0.16666666666666666, 0.16666666666666666, 0.19047619047619047, 0.19047619047619047, 0.23809523809523808, 0.23809523809523808, 0.2976190476190476, 0.2976190476190476, 0.35714285714285715, 0.35714285714285715, 0.44047619047619047, 0.44047619047619047, 0.4880952380952381, 0.4880952380952381, 0.5714285714285714, 0.5714285714285714, 0.6309523809523809, 0.6309523809523809, 0.7023809523809523, 0.7023809523809523, 0.7619047619047619, 0.7619047619047619, 0.8333333333333334, 0.8333333333333334, 0.8571428571428571, 0.8571428571428571, 0.8928571428571429, 0.8928571428571429, 1.0, 1.0]","[0.0, 0.0030303030303030303, 0.6818181818181818, 0.6818181818181818, 0.8181818181818182, 0.8181818181818182, 0.8484848484848485, 0.8484848484848485, 0.8878787878787879, 0.8878787878787879, 0.9, 0.9, 0.9030303030303031, 0.9030303030303031, 0.906060606060606, 0.906060606060606, 0.9121212121212121, 0.9121212121212121, 0.9181818181818182, 0.9181818181818182, 0.9212121212121213, 0.9212121212121213, 0.9242424242424242, 0.9242424242424242, 0.9272727272727272, 0.9272727272727272, 0.9363636363636364, 0.9363636363636364, 0.9393939393939394, 0.9393939393939394, 0.9484848484848485, 0.9484848484848485, 0.9515151515151515, 0.9515151515151515, 0.9575757575757575, 0.9575757575757575, 0.9606060606060606, 0.9606060606060606, 0.9636363636363636, 0.9636363636363636, 0.9666666666666667, 0.9666666666666667, 0.9696969696969697, 0.9696969696969697, 0.9727272727272728, 0.9727272727272728, 0.9757575757575757, 0.9757575757575757, 0.9787878787878788, 0.9787878787878788, 0.9848484848484849, 0.9848484848484849, 1.0]","[       inf 0.99998686 0.96609024 0.96595128 0.88462006 0.87989263
 0.84066336 0.81490219 0.64624237 0.641098   0.61026981 0.60953263
 0.60316459 0.6012124  0.59896624 0.58923749 0.58427266 0.57620426
 0.52030232 0.49644762 0.48086091 0.48022724 0.47928946 0.46476033
 0.46163359 0.44989829 0.44936599 0.42932507 0.42916031 0.39798255
 0.39391496 0.37832272 0.37648745 0.364305   0.35499636 0.34285361
 0.34161429 0.32940615 0.32879423 0.32367134 0.31967356 0.30828558
 0.30648959 0.30176923 0.30031221 0.29288573 0.29193417 0.2890717
 0.2873029  0.27906019 0.27424817 0.24667631 0.20267469]"
LogisticRegression,DLX5,MIR1178,SERPINB5,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.023809523809523808, 0.03571428571428571, 0.03571428571428571, 0.047619047619047616, 0.047619047619047616, 0.05952380952380952, 0.05952380952380952, 0.16666666666666666, 0.16666666666666666, 0.32142857142857145, 0.32142857142857145, 0.5357142857142857, 0.5357142857142857, 0.6785714285714286, 0.6785714285714286, 1.0]","[0.0, 0.0030303030303030303, 0.8545454545454545, 0.8545454545454545, 0.8909090909090909, 0.8909090909090909, 0.9515151515151515, 0.9515151515151515, 0.9575757575757575, 0.9575757575757575, 0.9848484848484849, 0.9848484848484849, 0.9878787878787879, 0.9878787878787879, 0.990909090909091, 0.990909090909091, 0.9939393939393939, 0.9939393939393939, 0.996969696969697, 0.996969696969697, 1.0, 1.0]","[           inf 9.99992525e-01 9.62944895e-01 9.62421755e-01
 9.45304139e-01 9.44917487e-01 8.51534186e-01 8.42823628e-01
 8.20605528e-01 8.12531477e-01 6.78388046e-01 6.70569800e-01
 5.32042183e-01 2.19735929e-01 2.18972976e-01 1.08987091e-01
 9.84947188e-02 2.77031920e-02 2.71611771e-02 9.05272438e-03
 7.91003932e-03 4.61959404e-04]"
LogisticRegression,SALL1,MIR1178,SERPINB5,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.023809523809523808, 0.03571428571428571, 0.03571428571428571, 0.047619047619047616, 0.047619047619047616, 0.05952380952380952, 0.05952380952380952, 0.07142857142857142, 0.07142857142857142, 0.2261904761904762, 0.2261904761904762, 0.2857142857142857, 0.2857142857142857, 0.5595238095238095, 0.5595238095238095, 0.7142857142857143, 0.7142857142857143, 1.0]","[0.0, 0.0030303030303030303, 0.7787878787878788, 0.7787878787878788, 0.8151515151515152, 0.8151515151515152, 0.9030303030303031, 0.9030303030303031, 0.9454545454545454, 0.9454545454545454, 0.9636363636363636, 0.9636363636363636, 0.9848484848484849, 0.9848484848484849, 0.9878787878787879, 0.9878787878787879, 0.990909090909091, 0.990909090909091, 0.9939393939393939, 0.9939393939393939, 0.996969696969697, 0.996969696969697, 1.0, 1.0]","[       inf 0.99987545 0.95596123 0.95445014 0.93851397 0.93833481
 0.86899142 0.86763035 0.79147495 0.7857856  0.76195095 0.75990723
 0.63961276 0.63219282 0.62927771 0.30949426 0.3051682  0.26591181
 0.26579119 0.05794459 0.0506616  0.02760577 0.02453457 0.00251606]"
LogisticRegression,IMMP2L,KLF6,SERPINB5,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.023809523809523808, 0.03571428571428571, 0.03571428571428571, 0.05952380952380952, 0.05952380952380952, 0.07142857142857142, 0.07142857142857142, 0.08333333333333333, 0.08333333333333333, 0.09523809523809523, 0.09523809523809523, 0.10714285714285714, 0.10714285714285714, 0.11904761904761904, 0.11904761904761904, 0.15476190476190477, 0.15476190476190477, 0.2261904761904762, 0.2261904761904762, 0.2619047619047619, 0.2619047619047619, 0.30952380952380953, 0.30952380952380953, 0.35714285714285715, 0.35714285714285715, 0.38095238095238093, 0.38095238095238093, 0.39285714285714285, 0.39285714285714285, 0.47619047619047616, 0.47619047619047616, 0.4880952380952381, 0.4880952380952381, 0.5357142857142857, 0.5357142857142857, 0.5952380952380952, 0.5952380952380952, 0.6904761904761905, 0.6904761904761905, 0.8095238095238095, 0.8095238095238095, 0.8690476190476191, 0.8690476190476191, 0.9880952380952381, 0.9880952380952381, 1.0]","[0.0, 0.0030303030303030303, 0.7727272727272727, 0.7727272727272727, 0.8212121212121212, 0.8212121212121212, 0.8272727272727273, 0.8272727272727273, 0.8545454545454545, 0.8545454545454545, 0.8757575757575757, 0.8757575757575757, 0.8848484848484849, 0.8848484848484849, 0.9030303030303031, 0.9030303030303031, 0.906060606060606, 0.906060606060606, 0.9181818181818182, 0.9181818181818182, 0.9212121212121213, 0.9212121212121213, 0.9303030303030303, 0.9303030303030303, 0.9333333333333333, 0.9333333333333333, 0.9363636363636364, 0.9363636363636364, 0.9515151515151515, 0.9515151515151515, 0.9545454545454546, 0.9545454545454546, 0.9606060606060606, 0.9606060606060606, 0.9666666666666667, 0.9666666666666667, 0.9696969696969697, 0.9696969696969697, 0.9727272727272728, 0.9727272727272728, 0.9757575757575757, 0.9757575757575757, 0.9848484848484849, 0.9848484848484849, 0.9878787878787879, 0.9878787878787879, 0.990909090909091, 0.990909090909091, 0.9939393939393939, 0.9939393939393939, 1.0, 1.0]","[       inf 1.         0.96440065 0.96213157 0.91032487 0.89582132
 0.87960262 0.86834632 0.75850271 0.74403479 0.67092346 0.66233849
 0.65089833 0.64210864 0.59113242 0.55923579 0.55802103 0.55437074
 0.52564066 0.51456623 0.51328102 0.50133046 0.49028438 0.45103487
 0.43906491 0.43044071 0.42882266 0.41455946 0.39382946 0.38475463
 0.38109831 0.36424038 0.35293779 0.34991289 0.34673724 0.32936446
 0.32897053 0.32374527 0.32265587 0.29418561 0.2940823  0.28556189
 0.2725191  0.23734568 0.23572671 0.20557412 0.20380858 0.18356962
 0.17754014 0.11465166 0.07110514 0.06821556]"
LogisticRegression,IMMP2L,SALL1,SERPINB5,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.023809523809523808, 0.05952380952380952, 0.05952380952380952, 0.09523809523809523, 0.09523809523809523, 0.10714285714285714, 0.10714285714285714, 0.11904761904761904, 0.11904761904761904, 0.13095238095238096, 0.13095238095238096, 0.16666666666666666, 0.16666666666666666, 0.19047619047619047, 0.19047619047619047, 0.21428571428571427, 0.21428571428571427, 0.2261904761904762, 0.2261904761904762, 0.23809523809523808, 0.23809523809523808, 0.3333333333333333, 0.3333333333333333, 0.38095238095238093, 0.38095238095238093, 0.40476190476190477, 0.40476190476190477, 0.47619047619047616, 0.47619047619047616, 0.4880952380952381, 0.4880952380952381, 0.5476190476190477, 0.5476190476190477, 0.5714285714285714, 0.5714285714285714, 0.6071428571428571, 0.6071428571428571, 0.7738095238095238, 0.7738095238095238, 0.7857142857142857, 0.7857142857142857, 0.8214285714285714, 0.8214285714285714, 0.8690476190476191, 0.8690476190476191, 1.0]","[0.0, 0.0030303030303030303, 0.7212121212121212, 0.7212121212121212, 0.8272727272727273, 0.8272727272727273, 0.9, 0.9, 0.9030303030303031, 0.9030303030303031, 0.9121212121212121, 0.9121212121212121, 0.9151515151515152, 0.9151515151515152, 0.9181818181818182, 0.9181818181818182, 0.9242424242424242, 0.9242424242424242, 0.9303030303030303, 0.9303030303030303, 0.9363636363636364, 0.9363636363636364, 0.9393939393939394, 0.9393939393939394, 0.9454545454545454, 0.9454545454545454, 0.9545454545454546, 0.9545454545454546, 0.9575757575757575, 0.9575757575757575, 0.9606060606060606, 0.9606060606060606, 0.9636363636363636, 0.9636363636363636, 0.9696969696969697, 0.9696969696969697, 0.9757575757575757, 0.9757575757575757, 0.9787878787878788, 0.9787878787878788, 0.9818181818181818, 0.9818181818181818, 0.9848484848484849, 0.9848484848484849, 0.990909090909091, 0.990909090909091, 0.9939393939393939, 0.9939393939393939, 0.996969696969697, 0.996969696969697, 1.0, 1.0]","[       inf 0.99999914 0.95670421 0.95562252 0.85677793 0.84563107
 0.70586924 0.69125702 0.68918458 0.67709754 0.64195098 0.63626988
 0.62584285 0.61176073 0.605087   0.59287615 0.59204997 0.58422386
 0.57511712 0.55788167 0.54885644 0.52928182 0.52646757 0.52060111
 0.51013895 0.49614802 0.46980789 0.39747187 0.39347081 0.35590318
 0.35255256 0.33948443 0.33505481 0.30740247 0.29356563 0.28445181
 0.28259242 0.26255771 0.26113962 0.2463794  0.24023639 0.23303142
 0.23247718 0.15730662 0.15036818 0.14719572 0.13957895 0.12717653
 0.12161136 0.11452196 0.11094616 0.06612334]"
LogisticRegression,KLF6,MIR196A1,SERPINB5,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.023809523809523808, 0.047619047619047616, 0.047619047619047616, 0.05952380952380952, 0.05952380952380952, 0.07142857142857142, 0.07142857142857142, 0.08333333333333333, 0.08333333333333333, 0.09523809523809523, 0.09523809523809523, 0.13095238095238096, 0.13095238095238096, 0.23809523809523808, 0.23809523809523808, 0.2857142857142857, 0.2857142857142857, 0.32142857142857145, 0.32142857142857145, 0.4642857142857143, 0.4642857142857143, 0.7142857142857143, 0.7142857142857143, 0.8809523809523809, 0.8809523809523809, 1.0]","[0.0, 0.0030303030303030303, 0.896969696969697, 0.896969696969697, 0.9030303030303031, 0.9030303030303031, 0.9090909090909091, 0.9090909090909091, 0.9393939393939394, 0.9393939393939394, 0.9424242424242424, 0.9424242424242424, 0.9454545454545454, 0.9454545454545454, 0.9484848484848485, 0.9484848484848485, 0.9757575757575757, 0.9757575757575757, 0.9787878787878788, 0.9787878787878788, 0.9818181818181818, 0.9818181818181818, 0.9848484848484849, 0.9848484848484849, 0.990909090909091, 0.990909090909091, 0.9939393939393939, 0.9939393939393939, 0.996969696969697, 0.996969696969697, 1.0, 1.0]","[       inf 0.99999488 0.83807649 0.83537013 0.8317707  0.8284292
 0.77421613 0.7656535  0.68360235 0.68116943 0.65470308 0.65407216
 0.65198866 0.64027523 0.62382119 0.57774137 0.41983406 0.40349139
 0.39458276 0.32478644 0.3193693  0.29096441 0.27758261 0.26470679
 0.24224    0.19947332 0.19606201 0.12590874 0.12489963 0.07155637
 0.0615104  0.0291625 ]"
LogisticRegression,ZNF529,MIR196A1,SERPINB5,"[0.0, 0.0, 0.0, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.023809523809523808, 0.047619047619047616, 0.047619047619047616, 0.05952380952380952, 0.05952380952380952, 0.07142857142857142, 0.07142857142857142, 0.08333333333333333, 0.08333333333333333, 0.10714285714285714, 0.10714285714285714, 0.11904761904761904, 0.11904761904761904, 0.15476190476190477, 0.15476190476190477, 0.19047619047619047, 0.19047619047619047, 0.23809523809523808, 0.23809523809523808, 0.40476190476190477, 0.40476190476190477, 0.47619047619047616, 0.47619047619047616, 0.5714285714285714, 0.5714285714285714, 0.6785714285714286, 0.6785714285714286, 0.7142857142857143, 0.7142857142857143, 0.7380952380952381, 0.7380952380952381, 0.8214285714285714, 0.8214285714285714, 0.9166666666666666, 0.9166666666666666, 1.0]","[0.0, 0.0030303030303030303, 0.796969696969697, 0.796969696969697, 0.906060606060606, 0.906060606060606, 0.9121212121212121, 0.9121212121212121, 0.9212121212121213, 0.9212121212121213, 0.9363636363636364, 0.9363636363636364, 0.9454545454545454, 0.9454545454545454, 0.9545454545454546, 0.9545454545454546, 0.9636363636363636, 0.9636363636363636, 0.9666666666666667, 0.9666666666666667, 0.9696969696969697, 0.9696969696969697, 0.9727272727272728, 0.9727272727272728, 0.9757575757575757, 0.9757575757575757, 0.9787878787878788, 0.9787878787878788, 0.9818181818181818, 0.9818181818181818, 0.9848484848484849, 0.9848484848484849, 0.9878787878787879, 0.9878787878787879, 0.990909090909091, 0.990909090909091, 0.9939393939393939, 0.9939393939393939, 0.996969696969697, 0.996969696969697, 1.0, 1.0]","[       inf 0.99996549 0.93887853 0.93855262 0.80841684 0.80753082
 0.78509091 0.77785566 0.74798034 0.74349154 0.71364284 0.71233787
 0.67289554 0.67084476 0.64430192 0.61137588 0.57129132 0.56637115
 0.5645433  0.459688   0.44132862 0.40697004 0.4029328  0.36453881
 0.35360177 0.26032506 0.24587777 0.19812409 0.19711448 0.15770008
 0.15720907 0.13133395 0.13092113 0.12014764 0.11111357 0.10351166
 0.09283441 0.07490844 0.07452172 0.04365591 0.04197667 0.02638932]"
