selection_model,train_model,features,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
SVM,XGBoost,2,0.9921875,0.9968847352024922,0.9682539682539683,0.9937888198757764,0.995334370139969,0.9995796864955744,0.9713790711369464,0.9962640099626401
SVM,RandomForest,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,SVM,2,0.9869791666666666,0.9875389408099688,0.9841269841269841,0.9968553459119497,0.9921752738654147,0.9985659892201948,0.9537932311451511,0.9893882646691635
SVM,DecisionTree,2,0.9973958333333334,0.9968847352024922,1.0,1.0,0.9984399375975039,0.9999752756762104,0.9906101206907556,0.9975062344139651
SVM,XGBoost,3,0.984375,1.0,0.9047619047619048,0.981651376146789,0.9907407407407407,0.9996538594669435,0.9424228185346075,0.9962756052141527
SVM,RandomForest,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,SVM,3,0.9921875,0.9968847352024922,0.9682539682539683,0.9937888198757764,0.995334370139969,0.9990110270484103,0.9713790711369464,0.9962640099626401
SVM,DecisionTree,3,0.9895833333333334,0.9937694704049844,0.9682539682539683,0.9937694704049844,0.9937694704049844,0.9994560648766256,0.9620234386589527,0.9937694704049844
SVM,XGBoost,4,0.9895833333333334,0.9968847352024922,0.9523809523809523,0.9907120743034056,0.9937888198757764,0.9996538594669435,0.9617105831940854,0.9956440572495333
SVM,RandomForest,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,SVM,4,0.9921875,0.9937694704049844,0.9841269841269841,0.996875,0.9953198127925117,0.9987637838105128,0.9717413564871221,0.9943890274314214
SVM,DecisionTree,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,XGBoost,5,0.9895833333333334,0.9968847352024922,0.9523809523809523,0.9907120743034056,0.9937888198757764,0.999505513524205,0.9617105831940854,0.9956440572495333
SVM,RandomForest,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,SVM,5,0.9921875,0.9937694704049844,0.9841269841269841,0.996875,0.9953198127925117,0.9989615784008307,0.9717413564871221,0.9943890274314214
SVM,DecisionTree,5,0.9895833333333334,0.9906542056074766,0.9841269841269841,0.9968652037617555,0.99375,0.9994313405528359,0.9626710488339733,0.991890205864005
SVM,XGBoost,6,0.9947916666666666,0.9968847352024922,0.9841269841269841,0.9968847352024922,0.9968847352024922,0.9998516540572615,0.9810117193294763,0.9968847352024922
SVM,RandomForest,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,SVM,6,0.9921875,0.9937694704049844,0.9841269841269841,0.996875,0.9953198127925117,0.9995549621717845,0.9717413564871221,0.9943890274314214
SVM,DecisionTree,6,0.9921875,0.9937694704049844,0.9841269841269841,0.996875,0.9953198127925117,0.9996291351431539,0.9717413564871221,0.9943890274314214
