estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
SVM,ACVR1C,C17orf93,C18orf1,ZNF132,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.2631578947368421, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 0.7894736842105263, 0.7894736842105263, 1.0]","[0.0, 0.05263157894736842, 0.631578947368421, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 0.99999997 0.99998379 0.99691484 0.99597375 0.98795046
 0.96563371 0.74867068 0.43492276 0.35535649 0.27578638 0.13294648
 0.10482477 0.07093991]"
SVM,ACVR1C,C17orf93,RAB3GAP1,ZNF132,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.21052631578947367, 0.21052631578947367, 0.5263157894736842, 0.5263157894736842, 0.9473684210526315, 0.9473684210526315, 1.0]","[0.0, 0.05263157894736842, 0.6842105263157895, 0.6842105263157895, 0.7368421052631579, 0.7368421052631579, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 1.         0.99363863 0.99199291 0.98508938 0.9292412
 0.79485842 0.15214636 0.13330096 0.03332869 0.02949641 0.01255237]"
SVM,ACVR1C,C17orf93,RSPO3,ZNF132,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.3157894736842105, 0.3157894736842105, 0.5263157894736842, 0.5263157894736842, 0.7894736842105263, 0.7894736842105263, 1.0]","[0.0, 0.05263157894736842, 0.631578947368421, 0.631578947368421, 0.7368421052631579, 0.7368421052631579, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 1.         0.9948714  0.99134019 0.96987774 0.32849076
 0.27091028 0.16005331 0.13189027 0.10349815 0.0886046  0.08123203]"
SVM,ACAN,AHR,ASAM,C17orf93,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 0.5263157894736842, 0.5263157894736842, 1.0]","[0.0, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.6842105263157895, 0.6842105263157895, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 0.99999994 0.99999994 0.99999986 0.99463921 0.97749042
 0.97100912 0.95386918 0.93923434 0.92585125 0.80908824 0.10131327
 0.06010237 0.00258443]"
SVM,RSPO3,AHR,ASAM,C17orf93,"[0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 0.5263157894736842, 0.5263157894736842, 1.0]","[0.0, 0.0, 0.631578947368421, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.7368421052631579, 0.7368421052631579, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 0.9999999  0.99617306 0.98705278 0.97066415 0.96325167
 0.95259416 0.9368194  0.86125165 0.62779308 0.60949564 0.18025111
 0.09374515 0.00626571]"
SVM,CRHR2,FSCN3,MIR589,PRDM2,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 0.42105263157894735, 0.42105263157894735, 0.47368421052631576, 0.47368421052631576, 0.5789473684210527, 0.5789473684210527, 1.0]","[0.0, 0.05263157894736842, 0.3684210526315789, 0.3684210526315789, 0.5263157894736842, 0.5263157894736842, 0.5789473684210527, 0.5789473684210527, 0.631578947368421, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 1.         0.9999999  0.99999972 0.99999559 0.99999386
 0.99206208 0.98883577 0.96368183 0.96123261 0.94168013 0.93123923
 0.6448048  0.37323983 0.35836323 0.31687028 0.29840015 0.18687539
 0.16744884 0.03799502]"
SVM,CRHR2,RSPO3,MIR589,PRDM2,"[0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.21052631578947367, 0.3157894736842105, 0.3157894736842105, 0.3684210526315789, 0.3684210526315789, 0.5263157894736842, 0.5263157894736842, 1.0]","[0.0, 0.05263157894736842, 0.05263157894736842, 0.3157894736842105, 0.3157894736842105, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 0.99998953 0.99998472 0.99561782 0.99546304 0.97886399
 0.94337001 0.84568903 0.81857242 0.7010663  0.52184936 0.51319876
 0.31279799 0.27183528 0.00305558]"
SVM,ACVR1C,AHR,CD96,DYDC1,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.2631578947368421, 0.2631578947368421, 0.3157894736842105, 0.42105263157894735, 0.47368421052631576, 0.47368421052631576, 0.8947368421052632, 0.8947368421052632, 1.0]","[0.0, 0.05263157894736842, 0.3157894736842105, 0.3157894736842105, 0.5263157894736842, 0.5263157894736842, 0.7894736842105263, 0.7894736842105263, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 0.99999999 0.99999615 0.99999562 0.99620594 0.99300256
 0.98076846 0.91855482 0.74832634 0.74349978 0.5        0.46637256
 0.4107128  0.10081664 0.09087126 0.07849807]"
SVM,ACVR1C,AHR,CD96,RSPO3,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.15789473684210525, 0.15789473684210525, 0.2631578947368421, 0.2631578947368421, 0.6842105263157895, 0.6842105263157895, 1.0]","[0.0, 0.05263157894736842, 0.6842105263157895, 0.6842105263157895, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 1.         0.98667168 0.96865468 0.95374046 0.89758355
 0.88397712 0.8591479  0.67498959 0.09547798 0.08886291 0.02004768]"
SVM,ACVR1C,AHR,FNDC1,DYDC1,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.21052631578947367, 0.3157894736842105, 0.3157894736842105, 0.631578947368421, 0.631578947368421, 1.0]","[0.0, 0.05263157894736842, 0.47368421052631576, 0.47368421052631576, 0.631578947368421, 0.631578947368421, 0.7894736842105263, 0.7894736842105263, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 0.99998792 0.99552177 0.99399036 0.99178044 0.9824005
 0.97436283 0.96788593 0.90722184 0.7291283  0.63019964 0.20350635
 0.11255817 0.05291535]"
