estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
Voting,ACVR1C,C17orf93,C18orf1,ZNF132,"[0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.21052631578947367, 0.3684210526315789, 0.3684210526315789, 0.42105263157894735, 0.42105263157894735, 0.6842105263157895, 0.6842105263157895, 0.8947368421052632, 0.8947368421052632, 1.0]","[0.0, 0.0, 0.42105263157894735, 0.42105263157894735, 0.6842105263157895, 0.6842105263157895, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 0.99987888 0.9995219  0.99902268 0.98390525 0.97660964
 0.9559522  0.76035266 0.74213054 0.69440681 0.64277756 0.40208791
 0.38556448 0.0924891  0.07574993 0.04676096 0.02416513 0.02037088]"
Voting,ACVR1C,C17orf93,RAB3GAP1,ZNF132,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.21052631578947367, 0.3684210526315789, 0.3684210526315789, 0.5789473684210527, 0.5789473684210527, 0.8421052631578947, 0.8421052631578947, 1.0]","[0.0, 0.05263157894736842, 0.3157894736842105, 0.3157894736842105, 0.42105263157894735, 0.42105263157894735, 0.5263157894736842, 0.5263157894736842, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 0.99988643 0.99985106 0.99984766 0.9973077  0.99707907
 0.98638968 0.98387211 0.94837619 0.89884811 0.88012171 0.74661795
 0.72246374 0.27697372 0.15956501 0.01413322 0.00670265 0.00485828]"
Voting,ACVR1C,C17orf93,RSPO3,ZNF132,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.3684210526315789, 0.3684210526315789, 0.47368421052631576, 0.47368421052631576, 0.8421052631578947, 0.8421052631578947, 1.0]","[0.0, 0.05263157894736842, 0.2631578947368421, 0.2631578947368421, 0.42105263157894735, 0.42105263157894735, 0.5789473684210527, 0.5789473684210527, 0.7368421052631579, 0.7368421052631579, 0.8421052631578947, 0.8421052631578947, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 0.99977673 0.99977573 0.9997732  0.99965173 0.99854219
 0.98886078 0.9869943  0.92157663 0.47936881 0.2250446  0.13847889
 0.07376082 0.02997359 0.02424637 0.01882206]"
Voting,ACAN,AHR,ASAM,C17orf93,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 0.6842105263157895, 0.6842105263157895, 1.0]","[0.0, 0.05263157894736842, 0.5263157894736842, 0.5263157894736842, 0.5789473684210527, 0.5789473684210527, 0.631578947368421, 0.631578947368421, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 0.99986558 0.99242868 0.99231543 0.99087007 0.98521138
 0.98365389 0.97020957 0.90936284 0.8710418  0.81015357 0.03549199
 0.01244395 0.00147816]"
Voting,RSPO3,AHR,ASAM,C17orf93,"[0.0, 0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 0.7894736842105263, 0.7894736842105263, 1.0]","[0.0, 0.05263157894736842, 0.3684210526315789, 0.3684210526315789, 0.47368421052631576, 0.47368421052631576, 0.631578947368421, 0.631578947368421, 0.8421052631578947, 0.8421052631578947, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 0.99978215 0.99764546 0.9935387  0.98862404 0.98792234
 0.96612932 0.96572136 0.93137013 0.77935959 0.69062535 0.00867911
 0.00743607 0.00150553]"
Voting,CRHR2,FSCN3,MIR589,PRDM2,"[0.0, 0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.2631578947368421, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 0.3684210526315789, 0.3684210526315789, 0.47368421052631576, 0.47368421052631576, 0.631578947368421, 0.631578947368421, 1.0]","[0.0, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.3684210526315789, 0.3684210526315789, 0.631578947368421, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.7894736842105263, 0.7894736842105263, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 0.99983193 0.99903175 0.9987203  0.99832243 0.99826174
 0.98058294 0.95673828 0.91180489 0.86024617 0.79209543 0.69716379
 0.66896796 0.45241604 0.37729313 0.19802165 0.17969399 0.00475397]"
Voting,CRHR2,RSPO3,MIR589,PRDM2,"[0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.2631578947368421, 0.2631578947368421, 0.3684210526315789, 0.3684210526315789, 0.7368421052631579, 0.7368421052631579, 1.0]","[0.0, 0.05263157894736842, 0.05263157894736842, 0.5263157894736842, 0.5263157894736842, 0.6842105263157895, 0.6842105263157895, 0.8421052631578947, 0.8421052631578947, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 0.99974247 0.99974126 0.99626763 0.99611085 0.98129071
 0.94400245 0.8636362  0.73882721 0.46665195 0.09391444 0.080306
 0.0012889 ]"
Voting,ACVR1C,AHR,CD96,DYDC1,"[0.0, 0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.3157894736842105, 0.3157894736842105, 0.3684210526315789, 0.3684210526315789, 0.5789473684210527, 0.5789473684210527, 0.8421052631578947, 0.8421052631578947, 1.0]","[0.0, 0.05263157894736842, 0.6842105263157895, 0.6842105263157895, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 0.99990863 0.99480918 0.9900326  0.97677421 0.96049429
 0.9467381  0.74610165 0.69352011 0.69171734 0.61736444 0.31628474
 0.28225106 0.05752458 0.0458335  0.02821509]"
Voting,ACVR1C,AHR,CD96,RSPO3,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.42105263157894735, 0.42105263157894735, 0.7894736842105263, 0.7894736842105263, 1.0]","[0.0, 0.05263157894736842, 0.47368421052631576, 0.47368421052631576, 0.6842105263157895, 0.6842105263157895, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 0.99974144 0.99894463 0.99719852 0.99203464 0.9757528
 0.92585412 0.92534508 0.86425151 0.61390801 0.5430118  0.03178228
 0.02554929 0.01225949]"
Voting,ACVR1C,AHR,FNDC1,DYDC1,"[0.0, 0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.21052631578947367, 0.21052631578947367, 0.3157894736842105, 0.3157894736842105, 0.8421052631578947, 0.8421052631578947, 1.0]","[0.0, 0.05263157894736842, 0.47368421052631576, 0.47368421052631576, 0.6842105263157895, 0.6842105263157895, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[       inf 0.99980478 0.99782912 0.99578328 0.98431346 0.97847124
 0.93568624 0.8747027  0.8723761  0.03206311 0.03124942 0.01350045]"
