estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
SVM,ABHD4,CLDN10,FGF12,HES3,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.25, 0.5, 0.5, 1.0, 1.0]",[       inf 0.83798148 0.68791523 0.64773231 0.38076748 0.28065027]
SVM,ABHD4,CLDN10,FGF12,RAX,"[0.0, 0.0, 0.0, 0.25, 0.25, 0.75, 0.75, 1.0]","[0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]","[       inf 0.92368829 0.81682854 0.80881462 0.55721203 0.2871645
 0.17693715 0.12929568]"
SVM,ABHD4,CLDN10,FGF12,TBX20,"[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.75, 0.75, 1.0]",[       inf 0.52380121 0.5192827  0.48530357 0.48410689 0.47023611]
SVM,ABHD4,CLDN10,FGF12,TP73,"[0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 1.0]","[0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]","[       inf 0.91400996 0.80759521 0.78847309 0.54340389 0.31848763
 0.27454626 0.19650719]"
SVM,ABHD4,CLDN10,POMC,HES3,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.25, 0.5, 0.5, 1.0, 1.0]",[       inf 0.89229144 0.76222941 0.64858779 0.33504802 0.22893388]
SVM,ABHD4,CLDN10,POMC,RAX,"[0.0, 0.25, 0.25, 0.75, 0.75, 1.0, 1.0]","[0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 1.0]","[       inf 0.52983324 0.5251041  0.52408029 0.50966107 0.48434071
 0.45898994]"
SVM,ABHD4,CLDN10,POMC,TBX20,"[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]",[       inf 0.52729727 0.52350037 0.50557132 0.48679556 0.46781174]
SVM,ABHD4,CLDN10,POMC,TP73,"[0.0, 0.0, 0.0, 0.25, 0.25, 0.75, 0.75, 1.0]","[0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]","[       inf 0.91213164 0.73974843 0.66347592 0.35228593 0.27928148
 0.26658558 0.15994167]"
SVM,ABHD4,CLDN10,SERPINB5,HES3,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.25, 0.5, 0.5, 1.0, 1.0]",[       inf 0.89204324 0.7596747  0.71670549 0.45815596 0.2517275 ]
SVM,ABHD4,CLDN10,SERPINB5,RAX,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.25, 0.5, 0.5, 1.0, 1.0]",[       inf 0.83383491 0.69578524 0.69277618 0.51009469 0.22362759]
SVM,ABHD4,CLDN10,SERPINB5,TBX20,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.25, 0.5, 0.5, 1.0, 1.0]",[       inf 0.8643217  0.7167125  0.71359221 0.5        0.23502038]
SVM,ABHD4,CLDN10,SERPINB5,TP73,"[0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.25, 0.25, 1.0, 1.0]",[       inf 0.80951861 0.71727444 0.51424297 0.22377554]
SVM,ABHD4,CLDN10,SH3D19,HES3,"[0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.25, 0.25, 1.0, 1.0]",[       inf 0.77880907 0.67832964 0.47829453 0.22895332]
SVM,ABHD4,CLDN10,SH3D19,RAX,"[0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.25, 0.25, 1.0, 1.0]",[       inf 0.84769525 0.74583372 0.45697644 0.11344124]
SVM,ABHD4,CLDN10,SH3D19,TBX20,"[0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 1.0]","[0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]","[       inf 0.88413506 0.82438629 0.7788895  0.55213178 0.50663458
 0.37963403 0.10979502]"
SVM,ABHD4,CLDN10,SH3D19,TP73,"[0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 1.0]","[0.0, 0.25, 0.25, 0.75, 0.75, 1.0, 1.0]","[       inf 0.91540598 0.80237181 0.66109211 0.45708887 0.43384092
 0.12760607]"
SVM,ABHD4,CLDN10,SIAH3,HES3,"[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]",[       inf 0.52729272 0.52050795 0.50794837 0.48866504 0.46351425]
SVM,ABHD4,CLDN10,SIAH3,RAX,"[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]",[       inf 0.53350046 0.52341097 0.51019053 0.48414715 0.45684658]
SVM,ABHD4,CLDN10,SIAH3,TBX20,"[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]",[       inf 0.53134357 0.52203788 0.5051011  0.48378967 0.46182075]
SVM,ABHD4,CLDN10,SIAH3,TP73,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0, 1.0]","[0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0]","[       inf 0.76219003 0.65800092 0.61198713 0.39412997 0.23413512
 0.19461258]"
SVM,ABHD4,CLDN10,TAC1,HES3,"[0.0, 0.0, 0.0, 0.75, 0.75, 1.0, 1.0]","[0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0]","[       inf 0.8611631  0.60760698 0.29353857 0.24856097 0.21434243
 0.20889646]"
SVM,ABHD4,CLDN10,TAC1,RAX,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0, 1.0]","[0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0]","[       inf 0.77940872 0.58924876 0.37109511 0.34641178 0.21682196
 0.10969927]"
SVM,ABHD4,CLDN10,TAC1,TBX20,"[0.0, 0.25, 0.25, 0.75, 0.75, 1.0, 1.0]","[0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 1.0]","[       inf 0.53321733 0.52592657 0.52141833 0.5        0.49004185
 0.47080729]"
SVM,ABHD4,CLDN10,TAC1,TP73,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0, 1.0]","[0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0]","[       inf 0.75917943 0.65797601 0.34237579 0.33670932 0.14669515
 0.12806937]"
SVM,ABHD4,CLDN10,TNFRSF8,HES3,"[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]",[       inf 0.52188133 0.51826794 0.5        0.48782798 0.46594172]
SVM,ABHD4,CLDN10,TNFRSF8,RAX,"[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.75, 0.75, 1.0]",[       inf 0.53086695 0.52470344 0.48791475 0.48469629 0.45817827]
SVM,ABHD4,CLDN10,TNFRSF8,TBX20,"[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.75, 0.75, 1.0]",[       inf 0.52760362 0.52336426 0.48736412 0.4850345  0.46542761]
SVM,ABHD4,CLDN10,TNFRSF8,TP73,"[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.75, 0.75, 1.0]",[       inf 0.53042622 0.52426438 0.4882271  0.48808863 0.45945447]
SVM,ABHD4,CLDN10,TSPYL5,HES3,"[0.0, 0.25, 0.75, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.5, 1.0]",[       inf 0.5101434  0.50890713 0.5        0.48700844]
SVM,ABHD4,CLDN10,TSPYL5,RAX,"[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]",[       inf 0.53385304 0.52362536 0.5        0.49172616 0.47458698]
SVM,ABHD4,CLDN10,TSPYL5,TBX20,"[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.25, 0.5, 1.0]",[       inf 0.50958836 0.50708151 0.50502847 0.5        0.4888208 ]
SVM,ABHD4,CLDN10,TSPYL5,TP73,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.25, 0.5, 0.5, 1.0, 1.0]",[       inf 0.89670775 0.78280195 0.69302456 0.40354056 0.17063732]
