estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
Voting,FNDC1,KCNA1,RSPO3,SMAD9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,FNDC1,KCNA1,TIAM1,SMAD9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,FNDC1,KCNA1,TMEM108,SMAD9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,FNDC1,SLC13A5,RSPO3,SMAD9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,FNDC1,SLC13A5,TIAM1,SMAD9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,FNDC1,SLC13A5,TMEM108,SMAD9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,FNDC1,SLC22A16,RSPO3,SMAD9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,FNDC1,SLC22A16,TIAM1,SMAD9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,FNDC1,SLC22A16,TMEM108,SMAD9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ACVR1C,C17orf93,C18orf1,ZNF132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ACVR1C,C17orf93,RAB3GAP1,ZNF132,0.9958419958419958,0.9974683544303797,0.9883720930232558,0.9974683544303797,0.9974683544303797,0.9999705622608184,0.9858404474536355,0.9974683544303797
Voting,ACVR1C,C17orf93,RSPO3,ZNF132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ACAN,AHR,ASAM,C17orf93,0.997920997920998,0.9974683544303797,1.0,1.0,0.9987325728770595,1.0,0.9929769387710773,0.9979736575481256
Voting,RSPO3,AHR,ASAM,C17orf93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,CRHR2,FSCN3,MIR589,PRDM2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,CRHR2,RSPO3,MIR589,PRDM2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ACVR1C,AHR,CD96,DYDC1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ACVR1C,AHR,CD96,RSPO3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ACVR1C,AHR,FNDC1,DYDC1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ACVR1C,AHR,FNDC1,RSPO3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,SLC13A5,AHR,CD96,DYDC1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,SLC13A5,AHR,CD96,RSPO3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,SLC13A5,AHR,FNDC1,DYDC1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,SLC13A5,AHR,FNDC1,RSPO3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
