estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
Voting,FNDC1,KCNA1,RSPO3,SMAD9,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99996222 0.66104    0.00330547]
Voting,FNDC1,KCNA1,TIAM1,SMAD9,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99997264 0.62127043 0.00380949]
Voting,FNDC1,KCNA1,TMEM108,SMAD9,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99996921 0.61249118 0.00291688]
Voting,FNDC1,SLC13A5,RSPO3,SMAD9,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.9999508  0.66509498 0.00692031]
Voting,FNDC1,SLC13A5,TIAM1,SMAD9,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99995999 0.64204506 0.00610781]
Voting,FNDC1,SLC13A5,TMEM108,SMAD9,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99994952 0.63762345 0.00492784]
Voting,FNDC1,SLC22A16,RSPO3,SMAD9,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99994483 0.67249981 0.00434017]
Voting,FNDC1,SLC22A16,TIAM1,SMAD9,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99994885 0.62702264 0.00461462]
Voting,FNDC1,SLC22A16,TMEM108,SMAD9,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99997572 0.62196141 0.00383215]
Voting,ACVR1C,C17orf93,C18orf1,ZNF132,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99992086 0.62462064 0.01334381]
Voting,ACVR1C,C17orf93,RAB3GAP1,ZNF132,"[0.0, 0.0, 0.0, 0.011627906976744186, 0.011627906976744186, 1.0]","[0.0, 0.002531645569620253, 0.9974683544303797, 0.9974683544303797, 1.0, 1.0]",[       inf 0.99993395 0.7082308  0.50290094 0.47512973 0.00331089]
Voting,ACVR1C,C17orf93,RSPO3,ZNF132,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99998365 0.62334212 0.01659541]
Voting,ACAN,AHR,ASAM,C17orf93,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99994266 0.49660046 0.00117972]
Voting,RSPO3,AHR,ASAM,C17orf93,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.9999144  0.5674314  0.00159196]
Voting,CRHR2,FSCN3,MIR589,PRDM2,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99983338 0.58655018 0.00387429]
Voting,CRHR2,RSPO3,MIR589,PRDM2,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[           inf 9.99962613e-01 6.16634786e-01 8.04175859e-04]
Voting,ACVR1C,AHR,CD96,DYDC1,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99992687 0.60540971 0.01505992]
Voting,ACVR1C,AHR,CD96,RSPO3,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99993883 0.60227133 0.0136632 ]
Voting,ACVR1C,AHR,FNDC1,DYDC1,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99996957 0.57527647 0.01258055]
Voting,ACVR1C,AHR,FNDC1,RSPO3,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99996128 0.60867094 0.01240301]
Voting,SLC13A5,AHR,CD96,DYDC1,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99997164 0.60921783 0.01256252]
Voting,SLC13A5,AHR,CD96,RSPO3,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99988659 0.60323921 0.01103458]
Voting,SLC13A5,AHR,FNDC1,DYDC1,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99996159 0.57123145 0.0084783 ]
Voting,SLC13A5,AHR,FNDC1,RSPO3,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.002531645569620253, 1.0, 1.0]",[       inf 0.99996915 0.5835767  0.00799562]
