estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
DecisionTree,ABHD4,CLDN10,FGF12,HES3,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9444444444444444,0.7333333333333333,0.8666666666666667
DecisionTree,ABHD4,CLDN10,FGF12,RAX,0.8666666666666667,0.9333333333333333,0.8,0.8235294117647058,0.875,0.9511111111111111,0.7399400733959437,0.9090909090909091
DecisionTree,ABHD4,CLDN10,FGF12,TBX20,0.9666666666666667,1.0,0.9333333333333333,0.9375,0.967741935483871,0.9955555555555555,0.9354143466934853,0.9868421052631579
DecisionTree,ABHD4,CLDN10,FGF12,TP73,0.9,1.0,0.8,0.8333333333333334,0.9090909090909091,0.9600000000000001,0.816496580927726,0.9615384615384616
DecisionTree,ABHD4,CLDN10,POMC,HES3,0.9,1.0,0.8,0.8333333333333334,0.9090909090909091,0.9600000000000001,0.816496580927726,0.9615384615384616
DecisionTree,ABHD4,CLDN10,POMC,RAX,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,ABHD4,CLDN10,POMC,TBX20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,ABHD4,CLDN10,POMC,TP73,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9866666666666668,0.8666666666666667,0.9333333333333333
DecisionTree,ABHD4,CLDN10,SERPINB5,HES3,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9555555555555556,0.7333333333333333,0.8666666666666667
DecisionTree,ABHD4,CLDN10,SERPINB5,RAX,0.8666666666666667,0.9333333333333333,0.8,0.8235294117647058,0.875,0.9511111111111111,0.7399400733959437,0.9090909090909091
