ID,gene,dbeta,feature
cg00336946,A2LD1,-0.339044,TSS1500
cg14019050,ABCA1,0.380878,TSS1500
cg13603551,ABP1,-0.338003,TSS200
cg24613080,ACCN1,0.495892,TSS1500
cg02828779,ACTRT2,-0.332863,TSS1500
cg12075442,ACYP1,-0.330493,TSS1500
cg14287235,ADCY4,0.371151,TSS1500
cg04101806,AFF3,-0.454877,TSS1500
cg10720080,AHSG,-0.371246,TSS200
cg07195224,AIM2,-0.352639,TSS1500
cg08076018,ANGPTL2,0.357255,TSS200
cg22889914,ANKRD2,-0.407314,TSS1500
cg25468058,ANXA9,-0.360026,TSS1500
cg03179496,APBA2,-0.350967,TSS1500
cg13968061,APCS,-0.375882,TSS1500
cg17187764,APOBEC1,-0.34496,TSS200
cg26074140,ARTN,-0.37453,TSS1500
cg11823511,BARHL2,0.38699,TSS1500
cg09233392,C10orf53,0.42578,TSS200
cg22618337,C10orf81,0.343037,TSS1500
cg10616411,C10orf82,-0.365882,TSS1500
cg03479289,C11orf41,-0.357637,TSS1500
cg24844971,C15orf50,0.359177,TSS200
cg03478444,C16orf78,-0.346406,TSS1500
cg01713348,C16orf91,-0.386447,TSS1500
cg08926571,C1QL3,-0.382643,TSS1500
cg25330016,C1QTNF1,0.353665,TSS200
cg00002719,C1orf114,0.598478,TSS200
cg03847796,C1orf161,-0.331953,TSS1500
cg04837847,C1orf49,-0.362299,TSS200
cg16510654,C1orf64,-0.338752,TSS200
cg20727124,C21orf130,-0.432326,TSS1500
cg11056129,C21orf54,-0.343466,TSS1500
cg24181605,C2CD4B,-0.382934,TSS1500
cg15770125,C3orf32,-0.396982,TSS200
cg04757243,C3orf36,-0.397403,TSS200
cg03334213,C4orf26,-0.356701,TSS1500
cg02379427,C5orf20,-0.427789,TSS1500
cg11208222,C5orf49,-0.373017,TSS1500
cg23348723,C7orf16,-0.539379,TSS1500
cg13403967,C8orf71,-0.362399,TSS200
cg10091775,CA12,-0.370901,TSS1500
cg18674980,CA3,0.426991,TSS1500
cg02981703,CA6,0.35538,TSS200
cg07010146,CALHM3,-0.346573,TSS1500
cg08439122,CAPN2,-0.373257,TSS1500
cg23138772,CBY3,-0.431556,TSS200
cg05281206,CCL13,-0.351678,TSS1500
cg02478603,CD1B,-0.435424,TSS200
cg11939496,CD244,-0.398142,TSS1500
cg09857273,CDH17,-0.341513,TSS1500
cg04106785,CDK5R1,0.36414,TSS1500
cg17204129,CFTR,0.375479,TSS1500
cg01257383,CHRM4,-0.332068,TSS1500
cg12426652,CLDN14,0.353703,TSS200
cg13358636,CNTNAP5,0.386061,TSS1500
cg22358102,CRCT1,-0.341174,TSS1500
cg26196496,CRHBP,-0.338875,TSS1500
cg05619712,CRYGC,-0.394016,TSS200
cg03789645,CUL1,0.347249,TSS1500
cg20427865,CX3CL1,0.404699,TSS200
cg11324259,CYP11B2,-0.460479,TSS200
cg09440270,CYP26C1,0.349941,TSS1500
cg10808936,DARC,-0.377169,TSS1500
