Probe_ID,import_level_in_forest,gene
cg26444528,0.05205890604608732,PCDH17
cg18675097,0.04630497608968813,NKAPL
cg25352836,0.043848020557277746,TSSK6
cg23049458,0.0413615033935225,L1TD1
cg24848035,0.032887194870518104,RGS22
cg05047401,0.026450735652584306,SEMA4A
cg02164046,0.025983562403324986,SST
cg15215348,0.02327250873583767,PDE4C
cg26132320,0.019153214346890293,MMP9
cg12377139,0.01567878335156208,SPAG6
cg16783744,0.013137052833416386,DPYS
cg24932457,0.012637330146021128,TNR
cg07445246,0.012546106693054258,TCL1A
cg17241776,0.012182206788542286,DLEU7
cg05057720,0.011530204987439693,CLEC14A
cg19811337,0.010245869223238021,MAP3K11
cg25839439,0.00943276752846946,CAPZB
cg10896862,0.007337444039038613,MPZ
cg17508991,0.006078187910122384,HCK
cg26870725,0.005804371525538998,MAST1
cg15031661,0.00572153462358836,FMN2
cg17080882,0.005198335397031808,TGFBR3
cg13670057,0.004640923397431201,ABL1
cg06571407,0.004383146066660249,CD40
cg00907288,0.003963113531304011,SRGAP3
cg03348397,0.0035902787837928333,RGS20
cg21637392,0.003585294495884775,RNF216
cg00875805,0.003263948000050231,MAML3
cg15341350,0.0032159178505907714,SRRM4
cg04918402,0.0031683829257057963,LIMD2
cg16751493,0.003097117626243364,PPP1R7
cg07469637,0.0030812536671148837,CDK6
cg20965743,0.002942333114788173,ASPG
cg03520644,0.002850683217965068,COL11A1
cg01009664,0.002688212640640337,TRH
cg14284618,0.002496224379719526,TACC1
cg02745847,0.002487125308017611,IGF2BP1
cg23750206,0.002333338031186702,AFAP1
cg07517893,0.0022904147847990796,PPP1R13L
cg27494647,0.0021988507361723844,RARRES2
cg21739530,0.0021615374014036176,GALNT7
cg08481075,0.002157936930690483,COL11A2
cg19678828,0.0021457489209084847,CYYR1
cg09649610,0.002142349337985414,GNG4
cg18582992,0.002137166732348666,SHF
cg03544320,0.0019488238238238233,CRMP1
cg11814235,0.0017079744082168268,DSC3
cg00840332,0.00166294588692065,LEP
cg23290344,0.001661184447607388,NEFM
cg26860604,0.0016313038542537961,WWP2
cg04191427,0.0016206588736830678,RPTOR
cg00044665,0.0015576229055859789,CDH5
cg19619405,0.0015482229920782845,ADAMTS20
cg21514227,0.0015222674374236877,NOTCH3
cg00765705,0.0014761620265398775,NCOR2
cg07581623,0.0013450803180933013,DPYSL2
cg19593767,0.0012414433629188832,TOX2
cg04946749,0.0012327613978155773,MGAT5B
cg25774643,0.00113884960350854,SCT
cg18770350,0.0010871468335769262,ACTN2
cg02534363,0.0009419429434472111,NBEAL2
cg06970510,0.0009210451398668193,GRASP
cg27083087,0.0008724952779830827,VGLL4
cg12001304,0.000855911205932854,SPHKAP
cg16596604,0.0008322124003507881,CRYM
cg26405020,0.0008240740740740743,FES
cg22877509,0.0007312098590229665,RUSC1
cg21179088,0.0007228949672544387,VSTM2A
cg03635766,0.000706095325928877,IGFBP4
cg26029902,0.0006685320463465476,RAB22A
cg23165899,0.0006380521769607633,ID4
cg22694191,0.0006314602905589513,HAPLN4
cg11859607,0.000623642654096254,ADCYAP1
cg04037038,0.000614216701173223,FRZB
cg25272143,0.0006120913838681254,AHNAK
cg02732252,0.0005998719374515555,CLDN6
cg12034943,0.0005816993464052291,CRTC1
cg18952796,0.0005788093010466152,NPTX2
cg26573704,0.0005463780469846957,ADAMTS12
cg15925365,0.0005201960955442975,GSTA4
cg22831607,0.0005120377227205851,SFRP5
cg09211763,0.000474566016852812,COL5A2
cg11718030,0.00045049035115469804,BDNF
cg09743950,0.00041375396520133053,ITGAM
cg09053680,0.0004098186271852663,UTF1
cg07810039,0.0003802403204272363,TGFB2
cg13391820,0.0003585095669687814,CCND2
cg20486569,0.00033399005535228443,CLDN5
cg27317046,0.0003041658624942891,LTBP2
cg13782615,0.00027194255595447257,STIM1
cg17265829,0.0002607026939305422,FAT4
cg24319381,0.00026013883814395315,CPEB1
cg06276663,0.0002577788811651772,SH3PXD2A
cg18081258,0.0002504925415142133,NDRG2
cg05164933,0.00022970705897535168,SFRP2
cg12338417,0.00022672030399201816,TRIM71
cg10588135,0.00022531645569620252,BCAS3
cg09293816,0.00022495197654433328,FCGRT
cg13799919,0.0002243697478991597,POLR1D
cg03306374,0.00021789192621665248,PRKCB
