Probe_ID,import_level_in_forest,gene,iteration,Probe_ID,import_level_in_forest,gene,iteration,Probe_ID,import_level_in_forest,gene,iteration,Probe_ID,import_level_in_forest,gene,iteration,Probe_ID,import_level_in_forest,gene,iteration
cg26444528,0.05205890604608732,PCDH17,1,cg26444528,0.046215600104169564,PCDH17,2,cg26444528,0.04533406105229006,PCDH17,3,cg26444528,0.03074454808289007,PCDH17,4,cg26444528,0.07706281742823434,PCDH17,5
cg18675097,0.04630497608968813,NKAPL,1,cg18675097,0.030815019098804967,NKAPL,2,cg18675097,0.07657362656836211,NKAPL,3,cg18675097,0.05486789709756236,NKAPL,4,cg18675097,0.04959337766279308,NKAPL,5
cg25352836,0.043848020557277746,TSSK6,1,cg25352836,0.06298898551569064,TSSK6,2,cg25352836,0.03159753329723104,TSSK6,3,cg25352836,0.05276478270602859,TSSK6,4,cg25352836,0.03943772374704241,TSSK6,5
cg23049458,0.0413615033935225,L1TD1,1,cg23049458,0.008860527068580844,L1TD1,2,cg23049458,0.02180242110082573,L1TD1,3,cg23049458,0.007780818051896727,L1TD1,4,cg23049458,0.00945198245638088,L1TD1,5
cg24848035,0.032887194870518104,RGS22,1,cg24848035,0.05096401266245011,RGS22,2,cg24848035,0.014714986185369686,RGS22,3,cg24848035,0.020786174951048904,RGS22,4,cg24848035,0.03622691646053258,RGS22,5
cg05047401,0.026450735652584306,SEMA4A,1,cg05047401,0.027964311473131973,SEMA4A,2,cg05047401,0.07687141504360205,SEMA4A,3,cg05047401,0.04545315171770739,SEMA4A,4,cg05047401,0.030167167828303955,SEMA4A,5
cg02164046,0.025983562403324986,SST,1,cg02164046,0.008955888283085536,SST,2,cg02164046,0.014020872880789029,SST,3,cg02164046,0.012978272806736735,SST,4,cg02164046,0.007075532543661337,SST,5
cg15215348,0.02327250873583767,PDE4C,1,cg15215348,0.01694913861533121,PDE4C,2,cg15215348,0.01619311427265785,PDE4C,3,cg15215348,0.012246569387973038,PDE4C,4,cg15215348,0.015358575717063503,PDE4C,5
cg26132320,0.019153214346890293,MMP9,1,cg26132320,0.02779426388675512,MMP9,2,cg26132320,0.0071408489838026504,MMP9,3,cg26132320,0.009143347767960112,MMP9,4,cg26132320,0.016035404141049373,MMP9,5
cg12377139,0.01567878335156208,SPAG6,1,cg12377139,0.0059648118373879355,SPAG6,2,cg12377139,0.02379545484136404,SPAG6,3,cg12377139,0.02911845866307207,SPAG6,4,cg12377139,0.02483759174194526,SPAG6,5
cg16783744,0.013137052833416386,DPYS,1,cg16783744,0.002943971286492194,DPYS,2,cg16783744,0.009349472609800133,DPYS,3,cg16783744,0.008070062193539023,DPYS,4,cg16783744,0.008348921250486842,DPYS,5
cg24932457,0.012637330146021128,TNR,1,cg24932457,0.01589209731694976,TNR,2,cg24932457,0.010787391351664065,TNR,3,cg24932457,0.00024002157497303152,TNR,4,cg24932457,0.009238045955311152,TNR,5
cg07445246,0.012546106693054258,TCL1A,1,cg07445246,0.03743059493636704,TCL1A,2,cg07445246,0.021240699779530647,TCL1A,3,cg07445246,0.014829408463687126,TCL1A,4,cg07445246,0.03043898814886725,TCL1A,5
cg17241776,0.012182206788542286,DLEU7,1,cg17241776,0.020158370292390107,DLEU7,2,cg17241776,0.010433665633279065,DLEU7,3,cg17241776,0.012900585245373013,DLEU7,4,cg17241776,0.010214240390736285,DLEU7,5
cg05057720,0.011530204987439693,CLEC14A,1,cg05057720,0.01565766590243884,CLEC14A,2,cg05057720,0.0010954689000741479,CLEC14A,3,cg05057720,0.019250181342593965,CLEC14A,4,cg05057720,0.0007669239249784751,CLEC14A,5
cg19811337,0.010245869223238021,MAP3K11,1,cg19811337,0.007253783291098661,MAP3K11,2,cg19811337,0.005499312004426297,MAP3K11,3,cg19811337,0.03028271832105943,MAP3K11,4,cg19811337,0.002146587378934492,MAP3K11,5
cg25839439,0.00943276752846946,CAPZB,1,cg25839439,0.007889595462061966,CAPZB,2,cg25839439,0.044028753718473666,CAPZB,3,cg25839439,0.004033984866880433,CAPZB,4,cg25839439,0.00027661227661227657,CAPZB,5
cg10896862,0.007337444039038613,MPZ,1,cg10896862,0.0001877637130801688,MPZ,2,cg10896862,0.0026285812966683497,MPZ,3,cg10896862,0.0057033092790515485,MPZ,4,cg10896862,0.0005447816173368221,MPZ,5
cg17508991,0.006078187910122384,HCK,1,cg17508991,0.003155347793423772,HCK,2,cg17508991,0.004466981130306177,HCK,3,cg17508991,0.002572819524056628,HCK,4,cg17508991,0.0025779587484514445,HCK,5
cg26870725,0.005804371525538998,MAST1,1,cg26870725,0.0022351249464665555,MAST1,2,cg26870725,0.0024846931560061716,MAST1,3,cg26870725,0.014055817812549293,MAST1,4,cg26870725,0.0049324115325193475,MAST1,5
cg15031661,0.00572153462358836,FMN2,1,cg15031661,0.0024119241192411926,FMN2,2,cg15031661,0.002095196621148291,FMN2,3,cg15031661,0.0004977147637364354,FMN2,4,cg15031661,0.00010683475688795376,FMN2,5
cg17080882,0.005198335397031808,TGFBR3,1,cg17080882,0.0009222845877433993,TGFBR3,2,cg17080882,0.0015310529173695278,TGFBR3,3,cg17080882,5.244830172506187e-05,TGFBR3,4,cg17080882,0.009566315068473672,TGFBR3,5
cg13670057,0.004640923397431201,ABL1,1,cg13670057,0.017389257135411503,ABL1,2,cg13670057,0.006191327811824231,ABL1,3,cg13670057,0.0008288896235460657,ABL1,4,cg13670057,0.0014581206938022173,ABL1,5
cg06571407,0.004383146066660249,CD40,1,cg06571407,0.0,CD40,2,cg06571407,0.0,CD40,3,cg06571407,0.0037827461823455246,CD40,4,cg06571407,0.001081347406793994,CD40,5
cg00907288,0.003963113531304011,SRGAP3,1,cg00907288,0.0025829121226368813,SRGAP3,2,cg00907288,0.00031214927048260377,SRGAP3,3,cg00907288,0.0006752520714784871,SRGAP3,4,cg00907288,0.0048352924977793435,SRGAP3,5
cg03348397,0.0035902787837928333,RGS20,1,cg03348397,0.0024935000896539362,RGS20,2,cg03348397,0.002231173731398409,RGS20,3,cg03348397,0.0001366322953713891,RGS20,4,cg03348397,0.00034157154673283694,RGS20,5
cg21637392,0.003585294495884775,RNF216,1,cg21637392,0.0005563156616146568,RNF216,2,cg21637392,0.005397253734128153,RNF216,3,cg21637392,0.0018274677908298599,RNF216,4,cg21637392,0.00018723702664796637,RNF216,5
cg00875805,0.003263948000050231,MAML3,1,cg00875805,0.0,MAML3,2,cg00875805,0.0015387452171355496,MAML3,3,cg00875805,0.00043233564836893114,MAML3,4,cg00875805,0.00015109073932603355,MAML3,5
cg15341350,0.0032159178505907714,SRRM4,1,cg15341350,0.0019325292506857748,SRRM4,2,cg15341350,0.0011572112840722223,SRRM4,3,cg15341350,0.0006030672289003317,SRRM4,4,cg15341350,0.0,SRRM4,5
cg04918402,0.0031683829257057963,LIMD2,1,cg04918402,0.001597143818279857,LIMD2,2,cg04918402,0.00028387598367314397,LIMD2,3,cg04918402,0.0005794270833333334,LIMD2,4,cg04918402,0.0,LIMD2,5
cg16751493,0.003097117626243364,PPP1R7,1,cg16751493,0.0007729258259374764,PPP1R7,2,cg16751493,0.0019429548087881135,PPP1R7,3,cg16751493,0.001511234403763964,PPP1R7,4,cg16751493,0.0006084584195997263,PPP1R7,5
cg07469637,0.0030812536671148837,CDK6,1,cg07469637,0.0,CDK6,2,cg07469637,0.001233813448311959,CDK6,3,cg07469637,0.000232226921362485,CDK6,4,cg07469637,0.0005573597430598425,CDK6,5
cg20965743,0.002942333114788173,ASPG,1,cg20965743,0.00011260121457489881,ASPG,2,cg20965743,0.00045541399159713795,ASPG,3,cg20965743,0.0004342656539607397,ASPG,4,cg20965743,0.0006580761439695609,ASPG,5
cg03520644,0.002850683217965068,COL11A1,1,cg03520644,0.006157814064357086,COL11A1,2,cg03520644,0.007103807927660898,COL11A1,3,cg03520644,0.0006927430524905981,COL11A1,4,cg03520644,0.005957521486331156,COL11A1,5
