gene,dbeta,feature,ID,cluster
ADRA1B,0.341259799139554,TSS1500,cg05963618,2
AGTRAP,0.324733303335705,TSS200,cg13862210,2
AKR1A1,0.3976055640966811,TSS200,cg01020792,2
ALPP,0.3751644097588843,TSS1500,cg25138484,2
ANKRD27,0.3341193419243829,TSS1500,cg09991298,2
ANKRD30B,0.3218353812535721,TSS1500,cg16770238,3
APP,0.3920376824260015,TSS200,cg08015776,2
ARFGAP1,0.31935949287,TSS1500,cg25195100,2
ARID2,0.5040694422448297,TSS1500,cg07276957,1
ARSJ,0.3921632414909647,TSS200,cg25451082,3
ASAP2,0.325284051042257,TSS200,cg16430616,2
ASB1,0.4054601397915848,TSS1500,cg14266287,2
ASH2L,0.4059969265038439,TSS1500,cg03189282,1
ATAD3B,0.3814061581532811,TSS1500,cg10228629,3
BAD,0.3208499240178264,TSS200,cg25163015,2
BAIAP2L1,0.3125581046396087,TSS1500,cg18852765,2
BARX2,0.3626322747290362,TSS1500,cg04094148,1
BMF,0.3113212365839781,TSS200,cg15269751,2
C17orf37,0.3216945144730578,TSS200,cg18956540,2
C20orf194,0.3207143337077444,TSS200,cg17676765,3
C7orf63,0.369915628010423,TSS1500,cg14950193,3
CALCA,0.3215593875565888,TSS1500,cg08176386,2
CAPN10,0.3795892071684337,TSS1500,cg24132500,2
CCDC102B,0.3641062769525882,TSS200,cg18556345,2
CDH8,0.3473510957699139,TSS200,cg06831576,2
CMTM2,0.3892414873522711,TSS200,cg07153665,2
COBRA1,0.3433831466181933,TSS1500,cg02068676,1
COL11A2,0.3713600576121126,TSS200,cg00090619,3
CSRNP1,0.4407335662374468,TSS1500,cg26164440,1
DOK5,0.3328926148292918,TSS200,cg00741836,2
EFCAB5,0.3430315798744849,TSS200,cg02881331,3
ERLIN1,0.3527950151671003,TSS200,cg10055386,3
ESR1,0.4080809646008271,TSS1500,cg23467008,1
FAM46C,0.3235229021378064,TSS1500,cg04568265,1
FBXO25,0.3262997454605398,TSS200,cg11898212,2
FEZF2,0.3141631692518408,TSS1500,cg04927889,1
FGF3,0.4710116757683228,TSS200,cg24359323,2
GCC2,0.40287215962726,TSS200,cg22681281,2
HBXIP,0.3642860713301901,TSS1500,cg00410422,2
HDAC4,0.459584099466377,TSS1500,cg12746717,1
HOOK2,0.3299871392747092,TSS200,cg07072166,2
LAMC2,0.4269724745858238,TSS1500,cg00208830,3
LARP1B,0.385871271380486,TSS200,cg16584945,1
MAPK4,0.315534893915758,TSS200,cg25615585,2
MFSD4,0.3271888581655432,TSS1500,cg03585778,3
MGST3,0.3939041199183759,TSS1500,cg09330427,3
MIR636,0.3276006181639853,TSS1500,cg17205803,3
MIR657,0.3520200301796459,TSS1500,cg18637486,3
MORG1,0.3245893575267901,TSS200,cg14317062,1
MYBL1,0.3123691187864361,TSS200,cg11118357,1
MYBPHL,0.3388986831014244,TSS1500,cg09332784,3
MYEOV2,0.3189361002533755,TSS1500,cg19757382,1
NDC80,0.325675994485202,TSS200,cg07333223,2
NKX1-2,0.3726253706789327,TSS200,cg16019809,1
NSL1,0.3304892920033553,TSS200,cg24590633,2
OLFM3,0.3301422606746212,TSS200,cg09864076,2
OSBPL5,0.3609180050547211,TSS1500,cg05982473,3
PLEKHG4,0.4893357473750917,TSS1500,cg07498606,2
PNKD,0.4385270970077922,TSS200,cg13576809,3
POLE,0.3532539791092851,TSS200,cg13505011,1
PPP1R14A,0.3626859845705749,TSS200,cg14131526,2
RAD23A,0.346773895701403,TSS1500,cg22984992,1
RALA,0.312732247660106,TSS1500,cg21159241,2
RPS27,0.3417138179239267,TSS200,cg00040380,1
SDCCAG8,0.4031896725968542,TSS1500,cg08547694,2
SNX9,0.3228359087277492,TSS200,cg14789351,2
STEAP3,0.3525554855821919,TSS200,cg25845374,2
SULF2,0.3860057204647827,TSS200,cg19272617,3
TATDN3,0.3607238601345977,TSS200,cg27390425,3
TBX18,0.3832674505908627,TSS200,cg04515996,1
TCEA1,0.3923927451956689,TSS1500,cg12850379,1
TCHH,0.336266542718852,TSS1500,cg11166365,3
TFIP11,0.3389459980296633,TSS200,cg09163702,1
THADA,0.3936173931124663,TSS200,cg16098064,3
TIPRL,0.3444470708177573,TSS1500,cg04846842,2
TJP1,0.3271640553974898,TSS200,cg12685846,2
TMBIM4,0.3321727684127519,TSS200,cg04826284,2
TMCO4,0.38828749786969,TSS1500,cg06362348,2
TMEM169,0.345101069062507,TSS200,cg17346426,2
TOM1,0.4327217352688765,TSS200,cg06302857,2
TP53BP2,0.3542868072722382,TSS1500,cg02655745,2
TXNRD1,0.3633385977831276,TSS200,cg14142965,2
TYSND1,0.3241376662542292,TSS200,cg27249304,3
VAT1L,0.3139243805221603,TSS200,cg04658772,2
WDR90,0.3648935561135043,TSS1500,cg01120509,2
ZBTB25,0.358840663305347,TSS1500,cg16776006,1
ZDHHC2,0.3252016584516761,TSS200,cg03356157,3
