ID,gene,dbeta,feature
cg09448875,ABCC2,-0.263918,TSS200
cg14914908,ACAN,-0.235108,TSS1500
cg18968090,ADAMTS14,-0.256733,TSS200
cg15170605,ADD2,0.243897,TSS200
cg09383816,ADHFE1,0.307724,TSS200
cg02263377,ADSSL1,-0.237842,TSS1500
cg03614649,AFG3L1,-0.222276,TSS1500
cg17461448,AGXT,-0.231767,TSS1500
cg11697038,AHDC1,-0.223222,TSS1500
cg07268332,AMPD3,-0.281227,TSS200
cg14610958,ANGEL2,-0.252854,TSS1500
cg01632240,AP3M2,-0.220391,TSS1500
cg18107697,APH1A,-0.221545,TSS1500
cg04518186,AQP11,-0.224041,TSS1500
cg08251901,ARHGDIB,0.324358,TSS1500
cg11287647,ARL4A,-0.244268,TSS1500
cg21360975,ASB1,-0.240435,TSS1500
cg07333715,ASCL2,-0.29556,TSS1500
cg03992114,ATP11A,-0.222999,TSS1500
cg08596308,ATP6V1G2,-0.221539,TSS1500
cg01923514,BASE,-0.236059,TSS200
cg06873806,BHLHE22,0.221513,TSS200
cg13724496,BMP2,-0.241649,TSS200
cg26917673,BMP3,0.308965,TSS200
cg24589459,BOLL,0.296851,TSS1500
cg06137032,C11orf9,0.221238,TSS200
cg07409200,C13orf30,-0.255492,TSS1500
cg18174881,C14orf106,-0.227737,TSS1500
cg03440799,C1orf125,-0.3201,TSS1500
cg17242490,C1orf175,-0.235271,TSS1500
cg17000021,C20orf108,-0.236869,TSS1500
cg19448292,C20orf118,-0.291533,TSS1500
cg09076077,C20orf197,-0.298963,TSS1500
cg12166520,C21orf34,-0.250772,TSS200
cg15726514,C2orf43,-0.264719,TSS1500
cg03170013,C2orf85,-0.252563,TSS200
cg26306909,C4orf19,-0.267318,TSS200
cg12861945,C4orf39,0.329719,TSS200
cg21168884,C6orf122,-0.224942,TSS200
cg09125623,C6orf123,-0.235185,TSS1500
cg18454916,C8orf84,-0.244987,TSS200
cg07337434,C9orf135,-0.237104,TSS1500
cg12047752,CA1,-0.257988,TSS1500
cg06874144,CAB39,-0.234657,TSS1500
cg26955996,CABP5,-0.242553,TSS1500
cg06979771,CACNG3,-0.22263,TSS200
cg06938878,CALCB,-0.223935,TSS1500
cg05859533,CCDC135,-0.22716,TSS1500
cg03154774,CCDC150,-0.234992,TSS1500
cg07748159,CCDC90B,-0.228976,TSS1500
cg13575161,CCND2,-0.235371,TSS1500
cg04039397,CD96,0.265298,TSS200
cg08516516,CDO1,0.275972,TSS200
cg03355213,CHMP4B,-0.269293,TSS1500
cg06523556,CHRNA6,-0.232255,TSS200
cg13291862,CHUK,-0.224948,TSS1500
cg22306196,CILP2,-0.234084,TSS1500
cg08499756,CLCN7,-0.252602,TSS1500
cg06428163,CLDN10,0.286633,TSS200
cg21769117,CLIC1,-0.242466,TSS1500
cg15241708,CNOT6,-0.269256,TSS1500
cg14186641,CNR1,0.330345,TSS1500
cg04016086,COBL,-0.272046,TSS200
cg25437410,COL23A1,0.252138,TSS200
cg05317275,COL5A3,-0.259596,TSS200
cg24319381,CPEB1,0.285808,TSS200
cg24325996,CRABP1,0.223299,TSS1500
cg00269606,CRH,-0.253654,TSS1500
cg07896832,CSPP1,-0.33847,TSS1500
cg26450106,CST7,-0.253066,TSS1500
cg23752828,DCTN2,-0.267976,TSS1500
cg23727983,DDX25,0.234554,TSS200
cg10305299,DEFB115,-0.258646,TSS1500
cg06372145,DEFB119,-0.232822,TSS1500
cg14727409,DEFB121,-0.227714,TSS1500
cg03265268,DEFB135,-0.238389,TSS200
cg18062196,DHX40,-0.230119,TSS1500
cg10243939,DLX5,0.253603,TSS1500
cg17889831,DSTYK,-0.231401,TSS1500
cg21281799,DYRK2,-0.24115,TSS1500
cg07665487,EFR3A,-0.24031,TSS1500
cg14126601,EIF2AK2,-0.225137,TSS1500
cg16450309,EIF5A2,-0.270954,TSS1500
cg03564754,ENDOG,-0.269272,TSS1500
cg06014401,EOMES,0.228507,TSS1500
cg24402300,EPS8L1,-0.26869,TSS1500
cg27100227,EVX1,0.340353,TSS1500
cg08632909,FADD,-0.262793,TSS1500
cg11279444,FAM159A,0.240068,TSS200
cg25864024,FAM174B,-0.230033,TSS200
cg25894334,FAM47E,-0.23409,TSS200
cg05658771,FANCA,-0.27875,TSS1500
cg14696870,FCER1A,-0.242923,TSS1500
cg23207710,FGF12,0.259892,TSS200
cg08351100,FLJ32063,0.240767,TSS1500
cg00945293,FLJ42875,-0.277225,TSS1500
cg09107912,FNDC1,0.254106,TSS1500
cg16963144,FOXA2,-0.266341,TSS1500
cg08215954,GAL3ST1,-0.262955,TSS1500
cg06562865,GALR1,0.223514,TSS1500
cg18121355,GDNF,0.240205,TSS1500
cg07148716,GJB6,-0.233105,TSS200
cg03852144,GLRX,-0.312104,TSS1500
cg00626466,GNS,-0.237224,TSS1500
cg01095157,GORASP2,-0.228305,TSS1500
cg07789083,GPRC5C,-0.228419,TSS200
cg02584498,GREB1,-0.289347,TSS200
cg18145505,GREM1,0.377632,TSS1500
cg24654264,GULP1,-0.248034,TSS200
cg17508991,HCK,0.295901,TSS1500
cg25513173,HDGFRP3,0.221934,TSS1500
cg10184431,HIST1H2AJ,0.241637,TSS1500
cg05646373,HIST1H2BB,0.366592,TSS1500
cg17515024,HIST3H2BB,-0.262972,TSS1500
cg24709033,HOXA11AS,-0.260244,TSS1500
cg19643053,HOXA5,0.245714,TSS1500
cg19816811,HOXA6,-0.236398,TSS1500
cg09017619,HOXA7,0.247127,TSS200
cg20741169,HOXA9,0.24805,TSS200
cg15817960,HOXC4,0.300859,TSS1500
cg14301713,HOXC8,0.223909,TSS1500
cg13217260,HOXD10,0.255662,TSS200
cg02470521,HOXD11,0.281014,TSS1500
cg18022224,HOXD12,0.234643,TSS200
cg07802350,HOXD13,0.254203,TSS1500
cg09387749,HOXD3,0.258052,TSS200
cg18448949,HOXD8,0.245371,TSS1500
cg09968620,HOXD9,0.239183,TSS200
cg20075156,HS3ST1,-0.30141,TSS200
cg18954700,HTRA1,-0.24366,TSS200
cg20641531,ICA1,-0.229981,TSS1500
cg08939418,IGF2BP3,-0.229983,TSS1500
cg01959562,IGFBP7,-0.248031,TSS200
cg14692768,IHH,-0.236044,TSS1500
cg18607529,IKZF1,0.350527,TSS1500
cg20758542,IL17RA,-0.228164,TSS1500
cg21342392,IMMP2L,-0.291716,TSS1500
cg23003534,INA,0.236149,TSS200
cg15885788,INTS2,-0.228748,TSS1500
cg03999372,IRX3,-0.233731,TSS1500
cg26750188,JMJD8,-0.297301,TSS1500
cg07808555,KCNA3,0.382585,TSS200
cg25191850,KCNK1,-0.225455,TSS200
cg04431946,KCNK12,0.235877,TSS200
cg16430072,KCNN2,0.329128,TSS1500
cg25299371,KIAA1486,-0.228221,TSS1500
cg01306806,KIR2DL4,-0.252969,TSS1500
cg07639900,KLF6,-0.240937,TSS1500
cg05456789,KLHL35,-0.258711,TSS1500
cg10007134,LAIR2,-0.221068,TSS200
