ID,gene,dbeta,feature
cg05399607,AAA1,-0.3570176843771133,TSS1500
cg24613080,ACCN1,0.39399370457023125,TSS1500
cg02131967,ACE,0.3805133411026997,TSS1500
cg10266490,ACOT11,0.3836739324969439,TSS200
cg14672994,ACSF2,0.38384890628912005,TSS1500
cg25558103,ADAM11,0.3516534543255778,TSS1500
cg26573704,ADAMTS12,0.5623463082966281,TSS200
cg26459372,ADCY1,0.40970798214104676,TSS1500
cg23179456,ADCY4,0.5921199086878063,TSS200
cg09651145,AFAP1L1,0.4835660108175843,TSS1500
cg07330230,ALDH1L1,0.47230171432444445,TSS1500
cg14375499,ALOX12,0.3714004791405029,TSS200
cg08076018,ANGPTL2,0.40365825539586825,TSS200
cg14904662,ANK1,0.42661186448119603,TSS1500
cg21215929,ANKH,0.4239877264478837,TSS1500
cg20118643,ANXA2,0.5187282239677973,TSS1500
cg15076145,ATOH1,0.39210437261638764,TSS1500
cg04418091,ATP5G2,0.3556190752224096,TSS1500
cg11617147,ATXN7L1,0.42830236093317,TSS1500
cg22777979,B3GAT1,0.3589932986486337,TSS1500
cg25959149,BANF2,0.4173736223103718,TSS200
cg24715680,BARD1,0.3743851635726283,TSS1500
cg03276883,BDH2,-0.3840288183327992,TSS1500
cg09696939,BICC1,0.44774409202432536,TSS1500
cg18759209,BMP7,0.42978640946392915,TSS1500
cg04542030,BOLA3,0.3819890522522175,TSS1500
cg18425434,C10orf82,0.353393641618361,TSS200
cg11623855,C11orf41,-0.36850721393733393,TSS200
cg26459819,C11orf93,0.39075940739272685,TSS1500
cg04986616,C11orf95,0.42446151929391,TSS1500
cg25029264,C15orf26,0.37031010622149657,TSS1500
cg25374649,C18orf1,0.3805850526697764,TSS1500
cg08047907,C1orf114,0.46959795012592404,TSS200
cg19856273,C1orf190,0.386731183582292,TSS1500
cg08350814,C2orf88,0.5410117891286467,TSS1500
cg08504812,C3orf55,0.3511118622710937,TSS1500
cg10908188,C3orf63,-0.41138735144992217,TSS1500
cg18188717,C5orf4,0.4861641651622597,TSS200
cg23348723,C7orf16,-0.40504865967339737,TSS1500
cg18674980,CA3,0.4017503903096516,TSS1500
cg06390484,CALD1,0.36579913085043103,TSS1500
cg20608990,CASP8,-0.42189476107185253,TSS1500
cg17469978,CAV1,0.405021114777828,TSS200
cg20779964,CBLN4,0.35417276441275686,TSS200
cg20687242,CBX5,0.5306901513818552,TSS200
cg08096786,CCDC102A,0.3666225463501606,TSS1500
cg03576469,CCDC8,0.5532284358123426,TSS200
cg21580421,CCDC80,-0.3612961742423253,TSS1500
cg11142705,CCK,0.4288854497434552,TSS1500
cg05281206,CCL13,-0.38978352837453945,TSS1500
cg01520122,CCL7,-0.39306659780864817,TSS1500
cg27000831,CCL8,-0.35970538693206844,TSS1500
cg21462428,CCND2,0.3931111698574083,TSS1500
cg16993682,CD1C,-0.377065971279162,TSS1500
cg20143092,CD44,0.3705402956531087,TSS200
cg22222281,CD9,0.39761365058102316,TSS1500
cg09857273,CDH17,-0.3927647991110202,TSS1500
cg24331301,CDH23,0.48624617725934743,TSS1500
cg23180938,CDO1,0.35853432454053785,TSS200
cg07984133,CDX2,0.38095681065656345,TSS1500
cg24816460,CDYL,0.4305029693786909,TSS1500
cg12441967,CECR6,0.40841949577685616,TSS1500
cg18119407,CFLAR,-0.3594546699791039,TSS1500
cg00735923,CFTR,0.3976040255851291,TSS200
cg05746024,CHRNB2,0.38289527543270385,TSS200
cg09469554,CLDN10,0.3815687489567776,TSS200
cg25737323,CLIP4,0.5157595121774902,TSS1500
cg18344652,CNN3,0.4216837614563403,TSS1500
cg20559608,CPNE4,0.3929225200397573,TSS200
cg02032778,CPVL,0.4403746156726597,TSS200
cg21773872,CRHR2,0.3680307682014095,TSS200
cg04991805,CRTAC1,0.3525131133766326,TSS1500
cg12178980,CUGBP2,0.4038196833528715,TSS200
cg03789645,CUL1,0.4293179060035828,TSS1500
cg20427865,CX3CL1,0.3783700857478325,TSS200
cg02029926,CXCL1,0.44615291796009526,TSS1500
cg08843517,CYBA,0.583395301555189,TSS200
cg13570656,CYP1A1,0.3637529869759148,TSS1500
cg06145435,CYP2W1,0.3510247529692018,TSS200
cg01687040,DCD,-0.37134005778901985,TSS1500
cg20303028,DCTN1,0.4064417141523014,TSS200
cg08663159,DDIT4L,0.3994864218584865,TSS1500
cg00035630,DEPDC7,-0.36836620970490996,TSS1500
cg12512013,DLC1,-0.36091141826826983,TSS1500
cg03753331,DPP10,0.36157162808992016,TSS1500
cg17494438,DRGX,-0.350732300477057,TSS1500
cg16886987,DSCR6,0.4218171974484639,TSS1500
cg09025324,DSE,0.4479651805941646,TSS1500
cg26530706,DTNA,0.4252538008303224,TSS200
cg13605988,DUOX1,0.40233517549610726,TSS1500
cg23214755,E2F6,-0.3768209728679273,TSS1500
cg11095319,E2F8,0.3547824679417963,TSS1500
cg05385513,EFEMP1,0.5441504261023485,TSS200
cg18844382,EFS,0.4989869825641672,TSS200
cg16317273,EGFLAM,0.49667866821819834,TSS1500
cg07100532,ENOSF1,-0.3690916247749357,TSS1500
cg06998282,ENPP2,0.49301934491509436,TSS1500
cg26010734,EPHX3,0.39252502214207907,TSS200
cg20787173,EYA4,0.5016606519394996,TSS200
cg06947913,FAIM2,0.5122963946151298,TSS200
cg06443533,FAM132A,0.40722186354403883,TSS1500
cg07696699,FAM184B,0.42248000567535493,TSS1500
cg18478850,FAM193B,-0.41660420844064483,TSS1500
cg03686593,FAM38B,0.40285255608453163,TSS1500
cg25489866,FAM81A,0.440084560725337,TSS1500
cg08268017,FAM92A1,0.3609499308382725,TSS1500
cg08151731,FBN1,0.370279136499168,TSS1500
cg27223047,FBN2,0.4798270907321764,TSS1500
cg06244497,FBXO17,0.46853950362006125,TSS200
cg23095615,FBXO30,0.5350145652200544,TSS1500
cg14696870,FCER1A,-0.4177328564375379,TSS1500
cg02582940,FER1L5,0.4475069028705267,TSS200
cg04332818,FGF2,0.35239655923466084,TSS200
cg25209842,FGF8,0.3903195369676645,TSS1500
cg23083315,FJX1,0.4234831769323093,TSS200
cg01779765,FLJ43390,0.4562674848605067,TSS1500
cg04744713,FLJ43860,-0.39785999760340035,TSS200
cg13804182,FLOT1,0.4164938109734228,TSS1500
cg25078444,FOXG1,0.3846163214753437,TSS1500
cg13463203,FREQ,0.42858644535227336,TSS1500
cg14250833,GCM2,0.4486114388470436,TSS200
cg12242450,GCNT2,0.4099628807892637,TSS200
cg09994356,GDAP1L1,0.5156331516603071,TSS200
cg03802272,GFM1,-0.3576974660212797,TSS1500
cg09350274,GFRA3,0.4229347583794295,TSS200
cg12080909,GIT1,0.3737343929416338,TSS1500
cg25726664,GLI3,0.4341076778977313,TSS1500
cg18551877,GLYATL2,0.3642238674352942,TSS200
cg06223162,GPR88,0.36844493571803894,TSS200
cg13081720,GPX3,0.35810338521100443,TSS200
cg03884132,GREM1,0.389096026221974,TSS1500
cg14616251,GRHL3,0.45686604914008716,TSS1500
cg20676696,GSTM2,0.5160136965152183,TSS200
cg13506653,GSX2,0.467904428291019,TSS1500
cg08421126,HAAO,0.4577192563472286,TSS200
cg02453462,HCN4,0.3626784116907104,TSS1500
cg12081743,HDAC9,0.35239021390823805,TSS1500
cg09827752,HES5,0.4494121273968553,TSS200
cg26621699,HHIP,0.36091574330690895,TSS1500
cg14117138,HIF3A,0.5831296184728455,TSS1500
cg14703002,HIST1H1A,0.38482478057936603,TSS200
cg00036011,HIST1H3G,0.4185004055707932,TSS200
cg17718302,HIST1H3J,0.35830414969116436,TSS200
cg19884345,HIST1H4D,0.37748105073789434,TSS200
cg09473613,HMGCL,-0.35753639886353344,TSS1500
cg21336434,HPVC1,-0.3935930796415709,TSS1500
cg22325530,HVCN1,0.466213707721873,TSS1500
cg14993276,ICAM4,0.3757981738768577,TSS200
cg21406461,IFI16,-0.4160008542200493,TSS1500
cg22212414,IFNGR2,0.39192126719344833,TSS200
cg19045644,IGFBP7,0.3898772037974203,TSS1500
cg07589773,IKZF1,0.4883333425011813,TSS1500
cg07935264,IL1B,0.36807561395275995,TSS200
cg18673954,INA,0.3735088638525409,TSS1500
cg17397592,IQCA1,0.3512668939905132,TSS1500
cg16852483,ITGBL1,-0.4232486243923744,TSS1500
cg10119075,ITIH5,0.5041225322577653,TSS1500
cg10101773,JDP2,0.38226493751140805,TSS1500
cg24926465,KCNAB1,-0.36792320176170545,TSS1500
cg20883831,KCNH2,0.5627125483730105,TSS200
cg24040450,KCNT2,-0.40050169481449777,TSS1500
cg00668150,KIAA0664,0.38707312556221535,TSS1500
cg26067203,KIAA1751,0.4252171992015651,TSS200
cg07429623,KLHDC8A,0.39119075547108667,TSS200
cg20104456,KLK13,0.43847246048737515,TSS200
cg20640433,LAMA2,0.4495347780297112,TSS200
cg09417355,LCE6A,-0.35062385673386265,TSS1500
cg25170591,LDB1,0.48682050395080784,TSS1500
cg00298977,LELP1,-0.4083056379592109,TSS200
cg00840332,LEP,0.3795453845595678,TSS200
cg20129082,LOC100126784,0.35038970121386814,TSS200
cg24257776,LOC100129354,0.3519577275814451,TSS1500
cg19664945,LOC100302652,0.4086480362901858,TSS200
cg25908973,LOC145663,0.4000298543725028,TSS200
cg03596016,LOC149134,0.5765188698334507,TSS1500
cg01876288,LOC154822,-0.35154542595230726,TSS200
cg08596532,LOC340094,-0.4006117769008503,TSS1500
cg14820415,LOC400940,0.35571774505683423,TSS1500
cg23853165,LOC441666,-0.35246419752145886,TSS1500
cg07833342,LOC643406,-0.3534507580131564,TSS1500
cg07570113,LOC644649,-0.35625458785311087,TSS1500
cg23689428,LOC84931,0.3537960610811686,TSS200
cg14102988,LPAR1,0.4527582030696238,TSS1500
cg02454806,LRFN5,0.3784770393528959,TSS1500
cg21340845,LRP1B,-0.3899147185700002,TSS1500
cg09242181,LRP4,0.374456164968558,TSS1500
cg00353923,LRRC4,0.3501167401786126,TSS200
cg14254720,LRRC8C,0.3652559565904717,TSS1500
cg26307117,LTF,0.370549151390178,TSS200
cg26530485,LUZP1,0.3628464395754027,TSS1500
cg00349607,MACF1,0.4578807432776574,TSS1500
cg24021956,MAGI2,0.36464670212047096,TSS1500
cg11009736,MARCO,-0.3692718960416039,TSS200
cg05323709,MARK4,-0.37182918199716847,TSS1500
cg06679087,MARVELD1,0.46330785074403663,TSS1500
cg24488391,METTL11B,-0.3536532190076277,TSS1500
cg20431135,MFAP4,0.3601901429883539,TSS1500
cg13727849,MGC16275,0.381773513053994,TSS1500
cg21098557,MGC42105,0.4021231091167195,TSS1500
cg05687686,MIR1258,0.3741312364596807,TSS1500
cg08174890,MIR548I2,-0.358624058968232,TSS200
cg10715092,MIR663,0.3612963148413324,TSS1500
cg26371731,MIR9-1,0.41629710987825214,TSS200
cg07483086,MMADHC,-0.37551739791876215,TSS1500
cg01508380,MMP14,0.4069080686390583,TSS1500
cg25119415,MNDA,-0.3558195050896111,TSS1500
cg12296772,MTMR7,0.37485370410860297,TSS200
cg15355146,MYCL1,0.37693137774532737,TSS1500
cg22287064,MYO15B,0.3698352945350038,TSS200
cg05933736,MYO16,0.36752119028823615,TSS200
cg01373189,N4BP2L1,0.41531810792079205,TSS1500
cg19300568,NAT8L,0.4204279229815842,TSS1500
cg19113375,NCRNA00092,0.43113214530447513,TSS1500
cg20902783,NDRG2,0.40405283188241997,TSS1500
cg18363192,NEU1,0.4008294560331007,TSS1500
cg00402172,NFATC3,0.4057500312601952,TSS1500
cg23483765,NIPAL4,0.40774321813182257,TSS200
cg03694713,NKX2-6,0.39321665778545223,TSS1500
cg15866977,NOTUM,0.4357700009221007,TSS1500
cg26205771,NPBWR1,0.37595657246144126,TSS1500
cg08564874,NPSR1,-0.38621421912989434,TSS1500
cg00536939,NR1H3,0.449149727568382,TSS200
cg02852959,NRIP2,0.40972729481082376,TSS1500
cg00990022,NT5C1A,0.3594725556227381,TSS1500
cg18525352,NUAK1,0.4262453737242874,TSS200
cg20335735,NUP43,-0.35364044860501703,TSS1500
cg25626375,OC90,-0.3900080587669796,TSS1500
cg18099058,OR10AG1,-0.35439221822618133,TSS1500
cg26110281,OR10G4,-0.4098628556153255,TSS1500
cg15700197,OR10J1,-0.42818970734141365,TSS1500
cg07037019,OR10J5,-0.35526060190979997,TSS1500
cg02735829,OR2Y1,-0.3696435623889023,TSS1500
cg26786795,OR4K2,0.3639965947372307,TSS200
cg14269191,OR51B2,-0.37853479461672973,TSS1500
cg24803687,OR51I1,-0.39428165132851506,TSS200
cg27093637,OR51M1,-0.3555275274149412,TSS200
cg27480913,OR52L1,-0.3720912087279975,TSS200
cg25451456,OR56A3,-0.3802337496428793,TSS1500
cg13869366,OR5E1P,-0.382196820093991,TSS1500
cg16226642,OR5P3,-0.4079819499313099,TSS1500
cg02245566,OR6K2,-0.3882811556361676,TSS200
cg14514991,OR6N1,-0.40347820625550695,TSS1500
cg24360034,OR8B12,-0.39907116566738793,TSS1500
cg13012115,OR8B2,-0.36045659562122945,TSS1500
cg21039708,OTX2OS1,0.40751226633766163,TSS1500
cg13563074,OVCH2,-0.38549290896950894,TSS1500
cg08300419,PACSIN3,0.40145790840448625,TSS1500
cg24167314,PAH,0.43627281904654297,TSS200
cg00970325,PAQR9,0.4246510716916011,TSS1500
cg18077971,PAX3,0.3692942773850488,TSS1500
cg22488256,PDE4B,0.4129845521370959,TSS200
cg00691999,PDGFRA,0.3525113150225623,TSS1500
cg12727795,PDGFRB,0.4053042069315715,TSS1500
cg04518342,PDLIM4,0.3580438920825041,TSS1500
cg18877506,PDPN,0.38460980271091677,TSS1500
cg26582768,PDZD7,0.4161566877116745,TSS1500
cg10708955,PER1,0.3763576043628822,TSS1500
cg22154859,PFDN4,-0.355637708693082,TSS1500
cg07198194,PFKP,0.4866845937585612,TSS1500
cg06275635,PGLYRP3,-0.381230433079723,TSS1500
cg01267270,PHAX,-0.35724581941511424,TSS1500
cg24530250,PHOX2A,0.43145223186439746,TSS1500
cg04705659,PLEKHA6,0.37747623464365704,TSS200
cg24182521,PLTP,0.3622488469754727,TSS1500
cg18709349,PNMAL2,0.41932292016962797,TSS200
cg04765848,PODN,0.5106700727073005,TSS1500
cg23230584,PON3,0.43394865641661945,TSS200
cg19513834,POU3F3,0.40514279198126296,TSS1500
cg14130039,PPT2,0.5145276888191326,TSS200
cg04203238,PROM1,0.45397268935356,TSS200
cg03970036,PTPRN,0.38041210158872957,TSS200
cg12100791,PYCARD,0.4253996964648591,TSS200
cg06353069,RAB17,-0.43830259703892976,TSS1500
cg25813864,RAPGEFL1,0.4164680289401035,TSS200
cg18349298,RARRES1,0.3640374929092195,TSS1500
cg27494647,RARRES2,0.42993678535936103,TSS200
cg16032102,RASSF5,0.35492316815138925,TSS1500
cg15229124,RBP1,0.3944910984719156,TSS1500
cg11479165,RBPMS2,0.35536392777607967,TSS1500
cg16425038,REC8,0.3528047826371375,TSS200
cg18244845,RFX2,-0.35920145048690505,TSS1500
cg08857201,RFX7,0.449081353842305,TSS1500
cg10292430,RGS10,-0.38035958716551327,TSS1500
cg01837657,RHCG,0.4729111455976939,TSS200
cg07980518,RNF152,0.44814712908637655,TSS200
cg19516515,RUSC1,0.3650797311772444,TSS200
cg10959711,S100A6,0.36002071135357827,TSS1500
cg14220224,SDR16C6,-0.3517027714129694,TSS1500
cg03702236,SEMA5A,0.42811540552988997,TSS1500
cg19630689,SERPINA12,0.3718571228656965,TSS1500
cg07834955,SFRP5,0.45734236597550015,TSS200
cg23396786,SFXN5,0.38242961406746223,TSS200
cg00920348,SGIP1,0.39766213339613676,TSS1500
cg26474043,SH3TC2,0.35506291865386197,TSS200
cg27252696,SIM1,0.38106003296750135,TSS1500
cg02711647,SIX2,0.48869078871971233,TSS1500
cg06263461,SLC13A3,0.431968235896353,TSS200
cg06563300,SLC17A8,0.4587939188805395,TSS200
cg15173134,SLC18A2,0.38599787871641295,TSS200
cg09691340,SLC25A39,0.5169637683673528,TSS1500
cg24302235,SLC2A2,0.4873995844724667,TSS1500
cg26870192,SLC35D3,0.3660912168303625,TSS1500
cg10748765,SLC4A11,0.39993432963396713,TSS1500
cg26001902,SLC5A7,0.39290049472219213,TSS200
cg16703956,SLC6A3,0.46568150431390437,TSS1500
cg19788741,SLCO4C1,0.46502782868312,TSS200
cg18108623,SLFN11,0.4564778597840299,TSS1500
cg25831075,SLITRK3,0.3604053292963915,TSS1500
cg26876834,SNHG9,-0.4376615097129044,TSS1500
cg00175153,SNORA10,-0.36924226145421896,TSS1500
cg18334392,SNORD123,0.43102130997376376,TSS1500
cg14557554,SNORD36C,-0.3528956430300282,TSS1500
cg09581551,SOBP,0.3524909532979834,TSS1500
cg11097433,SORCS1,0.3889935971585567,TSS1500
cg06363129,SOSTDC1,0.5148544650945461,TSS200
cg24604013,SOX1,0.3879066469793325,TSS1500
cg18959554,SPATS1,0.3663691155644539,TSS200
cg07804289,SPRR2C,-0.3585093682448349,TSS1500
cg11267802,SPRR2G,-0.3726869046825241,TSS200
cg04138756,SPRR3,-0.35491059874974445,TSS1500
cg08948808,SPRR4,-0.38410891839924244,TSS1500
cg14619259,SPRY4,0.4481801777574894,TSS1500
cg07676859,SSTR4,0.42976896705451745,TSS200
cg14202783,ST6GALNAC6,-0.38573373983507847,TSS1500
cg26904169,STEAP2,-0.37015580529559383,TSS1500
cg19901801,SYT6,0.3522999115219604,TSS1500
cg06463958,T,0.37572303184638844,TSS1500
cg17437939,TAC1,0.49882622997117004,TSS200
cg17985646,TBX20,0.4679280392246802,TSS200
cg12176783,TCEA2,0.41170433833933234,TSS200
cg08924430,TET2,0.38197394710516064,TSS1500
cg00795341,THBS4,0.3807990201502836,TSS200
cg15853125,TIAM1,0.3515677107723697,TSS1500
cg05306745,TIMP2,0.4601564232191874,TSS1500
cg20672708,TM9SF4,-0.3788169097616293,TSS1500
cg05017199,TMEM176B,0.3526196646329487,TSS1500
cg04111071,TMEM196,0.3568221994765092,TSS1500
cg09682051,TP53AIP1,0.3534227158357043,TSS200
cg08979352,TSPAN5,0.3886944041026812,TSS1500
cg27363327,TTBK1,0.38865263568395436,TSS200
cg08640923,TUBA4B,0.47245965747021873,TSS200
cg17395064,TXNRD1,0.43250877568306945,TSS200
cg09355820,UBE4B,-0.3564715404819143,TSS1500
cg24685601,UBXN10,0.35549783994118034,TSS200
cg15575433,UFSP1,0.4337942928010463,TSS1500
cg06530558,UNC13C,-0.35076137131888063,TSS1500
cg10400707,VANGL2,0.37396497268252427,TSS1500
cg08614290,VIPR2,0.36988401358465356,TSS1500
cg11509669,VSNL1,0.3694600153471512,TSS1500
cg01893212,VWC2,0.4789878446720476,TSS200
cg06282270,VWCE,0.3559464055645795,TSS200
cg00063174,WDR69,0.36820334503752217,TSS200
cg16482474,WDR86,0.4144300917040458,TSS1500
cg11626007,WFDC5,0.3714043733690049,TSS200
cg13999188,WIPF1,0.3891281618147392,TSS1500
cg05470554,WNT16,0.3526123086023259,TSS200
cg06274159,ZFP42,0.4206915916306529,TSS200
cg16014085,ZNF48,0.3778592709339816,TSS1500
cg16731240,ZNF577,0.5592721773906614,TSS200
cg13498800,ZNF648,-0.35614799050479995,TSS1500
cg05165378,ZNF655,0.38441037704549047,TSS1500
cg26810908,ZP4,-0.3896347901988333,TSS1500
