ID,gene,dbeta,feature
cg21968765,ABI3BP,-0.0120764194925374,TSS200
cg10523679,ACADM,-0.0167084114268473,TSS1500
cg13572911,ACO1,0.0103146322915559,TSS1500
cg06478823,ACSM3,-0.0104040494650017,TSS1500
cg05641529,ADH1B,-0.0110735757299174,TSS1500
cg16967583,AGXT,0.0114414345008594,TSS1500
cg17470095,AIFM3,-0.0133108408612303,TSS1500
cg23392390,ALDH3A1,0.0102458499715287,TSS1500
cg03760483,ALOX12,0.0131411141190934,TSS200
cg03218374,ANGPT4,-0.0168281077407814,TSS200
cg14305401,ANGPTL6,0.0118245892044578,TSS1500
cg01978534,APEH,-0.0148712506900196,TSS1500
cg00074348,APLNR,-0.0108734735803517,TSS1500
cg01738638,APLP2,0.0106338723421028,TSS1500
cg11098259,AQP9,0.0126545543131864,TSS200
cg25759064,ARHGEF7,0.0101859450195588,TSS1500
cg15166900,ARL6IP5,-0.0144933490942487,TSS1500
cg02964724,ASCL2,0.010933790995231,TSS200
cg02147126,AZU1,0.0121095068475471,TSS200
cg23730617,B3GALNT1,0.0101071100107305,TSS1500
cg04517722,B3GNT3,-0.0150052647382724,TSS1500
cg14423692,BCAN,-0.0114790538671794,TSS1500
cg27563121,BCL2L10,0.0121496798900024,TSS1500
cg23643529,BRAF,0.0112001417420773,TSS1500
cg14345882,BTN3A2,-0.0143279695480777,TSS1500
cg18060330,BTNL2,0.0117053468633314,TSS1500
cg17306401,C16orf82,-0.0105953730894062,TSS200
cg20674480,C1orf87,0.0154901370328991,TSS1500
cg27423177,C3AR1,-0.0149176901746553,TSS1500
cg10352418,CA7,-0.0113260399673594,TSS1500
cg08800414,CACNA1I,-0.0126262341732728,TSS1500
cg24017912,CAP2,-0.0108194331940772,TSS1500
cg06713671,CAPS,0.0104527863080401,TSS200
cg07107756,CARD14,-0.0102637302790062,TSS1500
cg23782952,CBS,0.0122151701823412,TSS200
cg09988528,CCDC154,0.0102457740480617,TSS1500
cg16764236,CCL11,-0.0112876914628749,TSS1500
cg00038857,CCL8,-0.0101026581578739,TSS1500
cg06667091,CCNC,0.0232455499498775,TSS1500
cg11398323,CCND1,-0.012828422078687,TSS1500
cg06280059,CCR2,-0.0103902253121797,TSS1500
cg20975414,CD160,-0.0108478481490446,TSS200
cg16719404,CD2,-0.0104916892883265,TSS1500
