ID,gene,dbeta,feature
cg07218357,A2LD1,0.057881,TSS200
cg00134295,A2M,-0.106726,TSS1500
cg23669440,A4GNT,-0.086762,TSS1500
cg05224385,AAAS,-0.015001,TSS1500
cg21473545,AACSL,-0.059975,TSS200
cg25159668,AADACL2,-0.009877,TSS1500
cg19620994,AADACL3,-0.062929,TSS1500
cg00150882,AADAT,-0.092492,TSS1500
cg00910127,AARS2,-0.114824,TSS1500
cg12283482,AASDH,-0.099413,TSS1500
cg14019050,ABCA1,0.054552,TSS1500
cg06895831,ABCA4,-0.120163,TSS1500
cg01517431,ABCA9,-0.05025,TSS1500
cg06716437,ABCB6,-0.074958,TSS1500
cg09147400,ABCC11,-0.080545,TSS1500
cg09448875,ABCC2,-0.068201,TSS200
cg26751094,ABCC4,-0.046114,TSS1500
cg16378421,ABCC5,-0.026566,TSS1500
cg06289735,ABCC6P1,-0.014739,TSS1500
cg15595551,ABCE1,-0.011812,TSS200
cg03020891,ABCF1,-0.0708,TSS1500
cg02148324,ABCF2,-0.08186,TSS1500
cg09866366,ABCF3,-0.075022,TSS1500
cg10672681,ABHD10,-0.075188,TSS1500
cg12623930,ABHD14B,0.024278,TSS200
cg20000047,ABHD4,-0.013527,TSS1500
cg12639574,ABL2,0.072116,TSS1500
cg14909495,ABP1,-0.104112,TSS200
cg08837344,ABRA,-0.065154,TSS200
cg25793571,ACAD9,-0.021081,TSS1500
cg06062084,ACADL,-0.056079,TSS200
cg05258079,ACADM,-0.028506,TSS1500
cg06675190,ACAN,0.088379,TSS1500
cg16358350,ACBD6,-0.050534,TSS1500
cg05385306,ACCN5,-0.056846,TSS1500
cg08834429,ACD,-0.009666,TSS200
cg19440035,ACER1,-0.082915,TSS200
cg02499308,ACMSD,-0.072221,TSS1500
cg12965421,ACN9,-0.04086,TSS1500
cg13572911,ACO1,-0.016526,TSS1500
cg02905900,ACOT11,0.084104,TSS1500
cg08101264,ACOT8,-0.103003,TSS1500
cg13705284,ACOX2,-0.063821,TSS1500
cg04566159,ACP5,-0.069054,TSS1500
cg01834614,ACP6,-0.036311,TSS1500
cg22251124,ACPL2,-0.004664,TSS200
cg15958424,ACPP,-0.058955,TSS200
cg21050637,ACPT,-0.070802,TSS1500
cg26034629,ACR,-0.065495,TSS1500
cg23983517,ACRBP,-0.068687,TSS200
cg09588284,ACRV1,0.002274,TSS1500
cg06478823,ACSM3,-0.096573,TSS1500
cg21343895,ACSM4,-0.076149,TSS1500
cg06686156,ACSM5,-0.085941,TSS1500
cg04490349,ACTB,-0.077473,TSS1500
cg20772593,ACTBL2,-0.076933,TSS200
cg05036147,ACTG1,-0.010385,TSS200
cg22619386,ACTL6A,-0.008341,TSS200
cg19863405,ACTL7B,-0.048027,TSS1500
cg02339243,ACTL9,-0.11136,TSS1500
cg06698844,ACTR1B,-0.049003,TSS1500
cg11740103,ACTR3C,-0.100456,TSS200
cg14374842,ACTR5,0.006164,TSS1500
cg06203251,ACTR8,-0.012577,TSS1500
cg15211996,ACTRT2,-0.105399,TSS1500
cg18061904,ACVR1C,0.060389,TSS200
cg01903327,ACYP1,0.025504,TSS1500
cg27059379,ADAD2,-0.078462,TSS200
cg03716937,ADAM2,-0.063399,TSS200
cg03512208,ADAM21,-0.045922,TSS1500
cg24399540,ADAM23,-0.065033,TSS1500
cg18757155,ADAM28,-0.124591,TSS200
cg19659741,ADAM5P,0.080649,TSS200
cg17897391,ADAM7,-0.047848,TSS1500
cg01759110,ADAMDEC1,0.023603,TSS200
cg00127167,ADAMTS16,0.127224,TSS1500
cg12270485,ADAMTS8,-0.123234,TSS1500
cg11255443,ADAP2,-0.030379,TSS1500
cg08949490,ADAT1,-0.042094,TSS1500
cg02350320,ADC,-0.071346,TSS1500
cg16040900,ADCK1,0.011653,TSS1500
cg16888658,ADCY3,-0.084223,TSS200
cg23179456,ADCY4,-0.08013,TSS200
cg05362860,ADCY7,-0.056524,TSS1500
cg24347663,ADD2,-0.069873,TSS200
cg23949936,ADH1A,-0.069142,TSS1500
cg00689360,ADH1C,-0.06134,TSS200
cg12011299,ADH4,-0.071029,TSS200
cg13816419,ADIG,-0.106862,TSS1500
cg02235049,ADIPOQ,-0.05809,TSS1500
cg17218466,ADIPOR1,-0.05339,TSS1500
cg02181247,ADM,-0.070871,TSS1500
cg24959938,ADNP2,-0.117257,TSS200
cg24141663,ADORA1,-0.096776,TSS1500
cg08025954,ADORA2A,-0.069725,TSS200
cg10862018,ADPGK,-0.063946,TSS1500
cg26561254,AEN,-0.065722,TSS1500
cg09651145,AFAP1L1,-0.069002,TSS1500
cg00739593,AFAP1L2,-0.094269,TSS200
cg19777710,AFARP1,-0.032351,TSS1500
cg17273588,AFF3,-0.149839,TSS1500
cg10778295,AFP,-0.032024,TSS1500
cg17792740,AGAP11,-0.073796,TSS1500
cg09205595,AGAP3,0.047955,TSS1500
cg16299440,AGAP7,-0.027959,TSS1500
cg27064238,AGGF1,-0.045393,TSS1500
cg02137183,AGK,0.073772,TSS1500
cg25758167,AGL,-0.05688,TSS1500
cg17385448,AGMAT,-0.059949,TSS200
cg07074571,AGPAT4,-0.088994,TSS1500
cg07965586,AGPHD1,-0.012125,TSS200
cg12565635,AGR2,-0.10123,TSS1500
cg11039314,AGR3,-0.088471,TSS200
cg05382012,AGRP,-0.028479,TSS200
cg15527643,AGTRAP,-0.069859,TSS200
cg16967583,AGXT,-0.113471,TSS1500
cg09414557,AGXT2,-0.078718,TSS200
cg18042806,AGXT2L2,-0.035708,TSS200
cg07507951,AHCTF1,-0.073124,TSS1500
cg25813109,AHCY,-0.082063,TSS1500
cg19595244,AHCYL1,-0.067606,TSS1500
cg13676215,AHR,-0.099413,TSS1500
cg10720080,AHSG,-0.068899,TSS200
cg05772125,AHSP,-0.116753,TSS200
cg21440587,AIF1,-0.037753,TSS1500
cg07195224,AIM2,-0.16978,TSS1500
cg21052656,AIP,-0.104383,TSS1500
cg11725802,AK3,-0.016927,TSS200
cg25533247,AKAP8L,-0.08805,TSS1500
cg16037806,AKAP9,-0.009595,TSS200
cg13549152,AKIRIN1,-0.043674,TSS1500
cg14260530,AKNA,0.119327,TSS1500
cg24332710,AKR1A1,-0.030124,TSS1500
cg12001930,AKR1B10,-0.080514,TSS200
cg10764388,AKR1CL1,-0.072293,TSS200
cg12255897,AKR1E2,-0.080765,TSS200
cg13494428,AKR7A2,0.04369,TSS1500
cg05726935,AKT1,-0.089835,TSS1500
cg07161888,AKTIP,-0.018681,TSS200
cg11012543,ALAS1,-0.076186,TSS1500
cg11542394,ALDH1A3,0.051023,TSS1500
cg07034362,ALDH1L1,-0.045769,TSS200
cg15726326,ALDH3A1,-0.061279,TSS1500
cg23839074,ALDH5A1,-0.026137,TSS1500
cg11567608,ALDH8A1,-0.064779,TSS1500
cg26181372,ALDOB,-0.067901,TSS1500
cg26551417,ALG11,-0.008283,TSS200
cg14528835,ALG9,-0.07313,TSS1500
cg05509800,ALKBH2,-0.015319,TSS1500
cg02432107,ALKBH4,-0.012054,TSS1500
cg05968233,ALKBH7,-0.048421,TSS200
cg03074839,ALKBH8,-0.01211,TSS200
cg08552812,ALMS1,-0.044679,TSS1500
cg19536664,ALOX12,0.085686,TSS1500
cg09000800,ALOX15,-0.050722,TSS200
cg20103124,ALOX5AP,-0.083857,TSS200
cg04519870,ALPI,-0.068153,TSS200
cg02269083,ALPK2,-0.086503,TSS1500
cg09760618,ALPP,-0.078956,TSS200
cg12260435,ALS2CR11,0.055586,TSS1500
cg13612106,ALS2CR8,-0.009661,TSS1500
cg25800765,ALX1,0.06411,TSS1500
cg01781446,AMAC1L3,-0.004485,TSS1500
cg13523386,AMBN,-0.033199,TSS200
cg13003878,AMBP,-0.052238,TSS200
cg15185106,AMD1,-0.020531,TSS1500
cg08166588,AMIGO3,0.04862,TSS1500
cg20217702,AMOTL2,-0.093054,TSS1500
cg23523368,AMPD1,-0.063913,TSS1500
cg25772143,AMPD2,0.022561,TSS200
cg17536071,AMTN,-0.059201,TSS1500
cg26910488,AMZ2,-0.012976,TSS1500
cg00980776,ANAPC1,-0.014787,TSS1500
cg13918811,ANAPC4,-0.042947,TSS1500
cg15417488,ANAPC5,-0.037385,TSS1500
cg12090942,ANGEL1,-0.069308,TSS1500
cg14610958,ANGEL2,-0.085655,TSS1500
cg12593411,ANGPTL6,-0.036501,TSS1500
cg22468803,ANKRD12,-0.012931,TSS1500
cg00537121,ANKRD13D,-0.089222,TSS1500
cg23363202,ANKRD20B,0.037173,TSS200
cg01561719,ANKRD22,-0.110291,TSS200
cg26646567,ANKRD26P1,-0.039452,TSS1500
cg18493238,ANKRD30A,-0.023929,TSS1500
