ID,gene,dbeta,feature
cg21968765,ABI3BP,0.1303905102224756,TSS200
cg10523679,ACADM,0.04420447947262675,TSS1500
cg13572911,ACO1,-0.021293232096217578,TSS1500
cg06478823,ACSM3,-0.039811438469040304,TSS1500
cg05641529,ADH1B,0.08788485424297192,TSS1500
cg16967583,AGXT,-0.05375467897956095,TSS1500
cg17470095,AIFM3,-0.019068891121885784,TSS1500
cg23392390,ALDH3A1,0.07401692086439195,TSS1500
cg03760483,ALOX12,0.15717502577038175,TSS200
cg03218374,ANGPT4,0.032554842681017326,TSS200
cg00074348,APLNR,-0.18743351293405472,TSS1500
cg01738638,APLP2,-0.02339599723865498,TSS1500
cg11098259,AQP9,0.08330076500382659,TSS200
cg25759064,ARHGEF7,0.12439115639214278,TSS1500
cg02964724,ASCL2,0.14831223166290752,TSS200
cg02147126,AZU1,-0.09249812771063264,TSS200
cg04517722,B3GNT3,0.03449704403138852,TSS1500
cg14423692,BCAN,0.1383494906199856,TSS1500
cg27563121,BCL2L10,0.022384060569892415,TSS1500
cg14345882,BTN3A2,-0.025976608340010372,TSS1500
cg17306401,C16orf82,-0.10526125254472929,TSS200
cg10352418,CA7,-0.029816714716297578,TSS1500
cg08800414,CACNA1I,-0.03417737333691264,TSS1500
cg24017912,CAP2,0.0029987141654434822,TSS1500
cg06713671,CAPS,-0.12448065451150289,TSS200
cg07107756,CARD14,-0.0953080923453198,TSS1500
cg09988528,CCDC154,-0.016153200109283013,TSS1500
cg06280059,CCR2,-0.05434978067593713,TSS1500
cg20975414,CD160,-0.036186174964687866,TSS200
cg04290171,CD46,-0.20109843854804654,TSS1500
cg03023237,CDH16,-0.07157665932752365,TSS1500
cg00044665,CDH5,0.20656788381329888,TSS200
cg06321045,CDSN,-0.13368908765190507,TSS200
cg05891548,CEACAM4,-0.09406451529326433,TSS1500
cg14666310,CEACAM5,-0.21034058401930586,TSS1500
cg26542660,CEP135,-0.06587882531797885,TSS1500
cg06834035,CFI,-0.09235849723041453,TSS1500
cg02590572,CHI3L2,0.044982727765477584,TSS1500
cg07157107,CHRNA6,-0.24218964065534176,TSS200
cg10375110,CHRNA9,-0.02504047128597359,TSS200
cg02295216,CKLF,0.17259010672745717,TSS1500
cg14461434,CLDN18,-0.055158107199901635,TSS1500
cg01472101,CLEC10A,0.07463725669890449,TSS1500
cg19223467,CLEC9A,-0.1523389324290177,TSS200
cg23631930,CMTM5,0.17207465077351386,TSS200
cg14128973,CNN1,0.11782355962553978,TSS200
cg04617640,COL18A1,-0.00891979080870156,TSS1500
cg02186748,COL1A1,-0.053308176149655884,TSS1500
cg19538614,CPT1C,0.07065497063845795,TSS1500
cg05508558,CR2,-0.0631862091385408,TSS1500
cg08929103,CRHR1,-0.10488871458255773,TSS1500
cg12440062,CRISP2,0.20027313317132742,TSS200
cg21290814,CRTC1,-0.16094254082777637,TSS1500
cg02325250,CSF2,-0.110803384344818,TSS200
cg01136458,CSMD1,-0.18352456670465714,TSS1500
cg10482632,CSRP1,0.06311523421738087,TSS1500
cg05274674,CST3,-0.04411597995613455,TSS1500
cg05724197,CX3CL1,0.19813581788716103,TSS1500
cg03003745,CXCL17,-0.23825590141912723,TSS1500
cg26013975,CXCL2,-0.0678685365125057,TSS1500
cg12678834,CXCR5,-0.028360006558365982,TSS1500
cg00213123,CYP1A1,0.19504693397163886,TSS1500
cg25020204,DBH,-0.11960116180493856,TSS1500
cg20051772,DGKA,-0.18666939213566067,TSS1500
cg20065520,DIO3OS,-0.007778996204968195,TSS1500
cg25787984,DKK3,0.008130609490070495,TSS1500
cg19962750,DLX5,-0.0420077109827603,TSS1500
cg16043345,DMP1,-0.02467653568705109,TSS200
cg13586051,DNASE1L3,-0.11907367446715977,TSS200
cg27648075,DSC3,0.09655192738143083,TSS200
cg17638730,E2F5,-0.0074576583940785335,TSS1500
cg16736826,EDN2,-0.09132517698868699,TSS1500
cg13379236,EGF,-0.15102553846812763,TSS1500
cg01055871,EHD2,0.06105118477530734,TSS1500
cg17314888,ELN,0.1423713370448394,TSS200
cg10512376,EMCN,-0.04769707227199261,TSS1500
cg13919438,EMILIN3,0.05024347808137755,TSS200
cg01519765,ETV5,0.11975830972990721,TSS1500
cg20271029,FAAH,0.01355989998728328,TSS200
cg04992588,FAM107A,0.06732273769710721,TSS200
cg06668555,FAM135B,0.13920598099781856,TSS200
cg08089513,FAM3B,0.08909240243316238,TSS1500
cg12633680,FASTK,-0.09852419082728756,TSS1500
cg18808506,FGF1,-0.08820032332420735,TSS1500
cg17393267,FGF12,0.055925243607466285,TSS1500
cg14719352,FGF21,-0.06880419276963641,TSS1500
cg11741201,FJX1,-0.10472613557128158,TSS1500
cg21503476,FOXI1,-0.05696079944448844,TSS1500
cg08928933,FOXN1,-0.02384081894948118,TSS1500
cg13816423,FOXP4,-0.20618582843084765,TSS1500
cg24314434,FUT3,-0.12058378914973275,TSS1500
cg02585931,GALR3,-0.0847401806783381,TSS200
cg11375072,GHRH,-0.11060617128856602,TSS200
cg06088858,GJB4,-0.08023034443899779,TSS1500
cg07014349,GJB5,0.16204093045903872,TSS200
cg19772011,GLP1R,-0.17403021033425528,TSS1500
cg24675730,GMEB1,-0.0064080733454128895,TSS1500
cg17413194,GNA13,0.17481563546465048,TSS1500
cg21121119,GNAT1,-0.04782711635617578,TSS200
cg24815792,GNMT,0.026515317135983076,TSS1500
cg02203656,GPNMB,-0.11110392755650256,TSS1500
cg11939825,GPR75,0.04550001369908093,TSS1500
cg19352605,GPT,0.017051124550850665,TSS1500
cg01699740,GRAMD1B,-0.023376607868416485,TSS200
cg16535493,GRB10,-0.09382074250032335,TSS1500
cg11183072,GRB7,0.017870237679525943,TSS200
cg23210268,GREM2,-0.07152608590930266,TSS1500
cg11837471,GUCA2B,-0.028650082803608964,TSS1500
cg14554776,HAMP,-0.003971121326228592,TSS1500
cg03324101,HAP1,-0.09529846614242378,TSS1500
cg19646897,HAVCR2,-0.07288671013883476,TSS1500
cg01839639,HBZ,0.042899143998262716,TSS1500
cg12464820,HDAC10,0.1010505220398393,TSS1500
cg04225088,HIPK3,0.1500014426601371,TSS1500
cg11201654,HLA-F,-0.061370978573670534,TSS1500
cg05818394,HMGB1,-0.2917053130403636,TSS1500
cg23661013,HNF1A,-0.02407161371729303,TSS1500
cg00727675,HOXA3,-0.18256688132232876,TSS1500
cg03207666,HOXA5,0.1381380327797848,TSS1500
cg07168142,HSPB9,0.09258587324962075,TSS200
cg19500607,HTR4,-0.06522953589904826,TSS1500
cg23791011,HTRA1,-0.11136645214969948,TSS1500
cg20641531,ICA1,-0.06068039854899321,TSS1500
cg00372692,ICOS,-0.03245254932046148,TSS1500
cg13304609,IFI44L,0.019881818304997155,TSS1500
cg11694510,IFITM1,-0.12003713318453448,TSS1500
cg16385335,IL18BP,0.04616291696417983,TSS200
cg23407561,IL1A,-0.046253059025671686,TSS1500
cg08879111,IL1R2,-0.10526754242373662,TSS1500
cg00239353,IL32,0.230341051009543,TSS1500
cg12575771,IL9,-0.06608321651930332,TSS200
cg23390871,INS,-0.07122523099100408,TSS1500
cg21138405,IRF1,-0.0655173764819129,TSS1500
cg02135861,IRX2,0.05790865147256557,TSS1500
cg15059851,IVL,-0.20837050027091808,TSS1500
