ID,gene,dbeta,feature
cg00336946,A2LD1,-0.24872520061826042,TSS1500
cg00134295,A2M,-0.18774073914821443,TSS1500
cg23669440,A4GNT,-0.1705480067707633,TSS1500
cg05399607,AAA1,-0.3570176843771133,TSS1500
cg05224385,AAAS,-0.020672900469685847,TSS1500
cg21473545,AACSL,-0.029769850101580415,TSS200
cg13001012,AADAC,-0.03095278747158788,TSS1500
cg25159668,AADACL2,-0.020544509353453713,TSS1500
cg06751920,AADACL4,0.10107610367329527,TSS1500
cg18673409,AANAT,-0.13362508939505632,TSS1500
cg05523882,AARS,-0.06858322862265648,TSS1500
cg00910127,AARS2,-0.19147599228787773,TSS1500
cg12283482,AASDH,-0.0938038058645043,TSS1500
cg09142578,AATK,0.31933204865109044,TSS1500
cg14019050,ABCA1,0.09313075402107353,TSS1500
cg16937333,ABCA11P,0.0038983690003664756,TSS1500
cg18313106,ABCB10,-0.008528940770284921,TSS200
cg04388863,ABCC11,-0.1831123609952993,TSS1500
cg00826767,ABCC2,-0.17828780145614656,TSS1500
cg06289735,ABCC6P1,-0.09456958810575572,TSS1500
cg25747468,ABCC9,-0.09686513305502835,TSS1500
cg17906523,ABCD3,-0.006476641188948481,TSS1500
cg01013312,ABCE1,0.006562395639348078,TSS200
cg02148324,ABCF2,-0.1694776457464033,TSS1500
cg13491563,ABCF3,-0.11020842600311001,TSS1500
cg03222066,ABCG4,0.11377436228888567,TSS1500
cg01255747,ABHD13,0.00825484694163162,TSS1500
cg06813554,ABHD4,-0.17424329013484438,TSS1500
cg07704718,ABHD6,-0.0425785123228042,TSS1500
cg24530660,ABI2,0.10982971052951837,TSS1500
cg18433086,ABL2,0.08316751315373826,TSS1500
cg24267699,ABO,0.25211671973266947,TSS1500
cg07897701,ABP1,0.10564524896323171,TSS1500
cg07005767,ABRA,0.0913225925725029,TSS200
cg18353563,ABTB1,0.12365518960023149,TSS1500
cg02022322,ACACB,-0.20034554934680415,TSS1500
cg20003976,ACADM,-0.02856472166214725,TSS1500
cg21721566,ACADS,0.12219893143503095,TSS1500
cg21636577,ACADVL,-0.08980797630364672,TSS1500
cg26111327,ACAP2,-0.3004879922934291,TSS1500
cg24613080,ACCN1,0.39399370457023125,TSS1500
cg01106572,ACCN3,0.31246907409400493,TSS1500
cg05385306,ACCN5,0.053474601733188354,TSS1500
cg18265608,ACCS,0.3424119362728098,TSS1500
cg02131967,ACE,0.3805133411026997,TSS1500
cg02499308,ACMSD,-0.28231505458567085,TSS1500
cg20642712,ACN9,-0.21455544038055588,TSS1500
cg10266490,ACOT11,0.3836739324969439,TSS200
cg21233517,ACOT4,0.013348027493575842,TSS200
cg08101264,ACOT8,0.03152785814978135,TSS1500
cg16587010,ACOX2,0.3178208640517805,TSS1500
cg05739167,ACOXL,-0.21784894693017645,TSS1500
cg02874942,ACP5,0.2791619350942698,TSS1500
cg09264377,ACP6,-0.059294740034750784,TSS1500
cg03774468,ACPL2,0.31643085052090064,TSS1500
cg19541865,ACPP,-0.22052696996059928,TSS1500
cg26034629,ACR,-0.13672356742535177,TSS1500
cg12007596,ACRBP,0.10362477133768191,TSS200
cg14672994,ACSF2,0.38384890628912005,TSS1500
cg05521982,ACSF3,-0.12051048518824205,TSS1500
cg07870237,ACSL6,0.29546880499136635,TSS1500
cg00394823,ACSM3,-0.03947099618569699,TSS200
cg03612990,ACSM4,-0.16771856575164393,TSS1500
cg06686156,ACSM5,0.19475596579169022,TSS1500
cg03321508,ACSS1,-0.06929193617955713,TSS200
cg04490349,ACTB,0.06512670145365396,TSS1500
cg25198545,ACTL6A,0.00866785895686424,TSS200
cg22482658,ACTL7A,-0.03195399883049617,TSS200
cg19863405,ACTL7B,-0.025463915172039157,TSS1500
cg02339243,ACTL9,-0.26267026121045167,TSS1500
cg06698844,ACTR1B,-0.08029580473709233,TSS1500
cg07998951,ACTR3B,-0.18293808070709605,TSS1500
cg21577356,ACTR3C,0.24627961871456752,TSS1500
cg15211996,ACTRT2,-0.34706684121196907,TSS1500
cg14425722,ACVR2A,0.28251333798421435,TSS1500
cg12193731,ACVRL1,0.2945173352524094,TSS1500
cg18509826,ACY1,0.011884644023802548,TSS200
cg01903327,ACYP1,-0.21504903939146217,TSS1500
cg02155558,ADAL,0.16985416495154368,TSS1500
cg08898775,ADAM10,-0.07208413335068517,TSS1500
cg25558103,ADAM11,0.3516534543255778,TSS1500
cg05276226,ADAM18,-0.035990461369331705,TSS200
cg11186850,ADAM2,-0.025453275997822246,TSS200
cg03512208,ADAM21,-0.0022324757653640784,TSS1500
cg19992629,ADAM21P1,-0.02033122610968001,TSS1500
cg27380819,ADAM23,0.13352092092834641,TSS1500
cg10327428,ADAM5P,0.3269517450601389,TSS200
cg08383526,ADAM7,-0.052733032457997424,TSS1500
cg01759110,ADAMDEC1,-0.018138775627941344,TSS200
cg15621322,ADAMTS1,0.17125156715334988,TSS1500
cg26573704,ADAMTS12,0.5623463082966281,TSS200
cg19813025,ADAMTS16,0.1320239655131409,TSS1500
