ID,gene,dbeta,feature
cg03181582,ABCC8,0.05097725110607325,TSS200
cg05441651,ABCG1,0.05727987112542395,TSS1500
cg25326776,ABLIM3,0.05335800946495211,TSS200
cg24613080,ACCN1,0.059163824421738585,TSS1500
cg09264377,ACP6,0.06667700095937044,TSS1500
cg06177278,ACTN2,0.06240575534094635,TSS1500
cg13711528,ACTN4,0.06205777939512575,TSS200
cg15811753,ACTR2,0.07661200388580115,TSS200
cg08761693,ADAM22,-0.05706072271524932,TSS200
cg04136610,ADAMTS16,0.0649662715425145,TSS1500
cg01604611,ADSL,0.05652331106336914,TSS1500
cg09250727,AHCY,0.09505922437392539,TSS200
cg21079345,AKR1B1,0.06688434664420315,TSS200
cg02564134,ALDH1L1,-0.05234709517523191,TSS1500
cg22784964,ANG,0.054337629685924774,TSS1500
cg09930748,APLP1,0.08279339850461069,TSS200
cg22713359,AQR,0.07338838371066447,TSS200
cg20513950,ARAP1,0.05135510556147267,TSS1500
cg13051728,ARG2,0.07252817328852833,TSS1500
cg21978521,ASAM,0.053678133019842256,TSS200
cg00472445,ASCC3,0.07546103669457589,TSS200
cg08927739,ASCL1,0.07625287682243145,TSS1500
cg10526374,ASCL2,0.05550927812687133,TSS1500
cg22270384,ASNA1,0.05963146837911106,TSS200
cg19296855,ATG4B,0.07138461503517111,TSS1500
cg09662694,ATOH8,0.055725685094771084,TSS200
cg13417268,ATP10A,-0.060486468062021556,TSS1500
cg19842134,ATP5G2,0.15801668248296227,TSS1500
cg20306062,B4GALNT4,0.06548482733017437,TSS1500
cg06888900,BCAR1,-0.0628506951607982,TSS1500
cg03732185,BICD1,0.050022110710913975,TSS1500
cg01745690,BLVRA,0.06872777721145933,TSS200
cg26654798,BNC1,0.06139442682522749,TSS1500
cg13648682,BRD3,0.05603867251741964,TSS1500
cg14259179,BTBD8,0.06301195564544591,TSS200
cg19858718,C12orf65,0.056607423711475764,TSS1500
cg18679920,C14orf80,0.06511381737159028,TSS200
cg09775628,C19orf25,0.05544488726006714,TSS1500
cg10579718,C1orf159,0.05627505703900301,TSS1500
cg03983498,C1orf175,0.06521636963396694,TSS200
cg01364423,C1orf31,-0.1037082397419318,TSS1500
cg09176275,C1orf87,0.07538639672371734,TSS200
cg00151788,C2orf15,0.05050572716535712,TSS1500
cg08172461,C2orf60,0.05869820238315502,TSS200
cg24681695,C2orf77,0.05152927521220358,TSS200
cg19401472,C2orf89,0.06760860696230685,TSS1500
cg09433699,C3orf19,0.05568400029707749,TSS200
cg01807202,C4orf33,0.07719622658501049,TSS200
cg24617363,C6orf130,0.05042920673674149,TSS200
cg22174408,C6orf173,0.052011708937969046,TSS200
cg02096492,C8orf45,0.05836412502505506,TSS1500
cg01393233,CACHD1,-0.07041470782603508,TSS1500
cg13948585,CACNA1E,0.06176249951946349,TSS1500
cg25551918,CAGE1,0.07095609513697927,TSS200
cg19026959,CALR,0.05917131870047617,TSS1500
cg00282249,CCNA1,0.06774213850130474,TSS1500
cg00814733,CCND2,0.0752069449650321,TSS1500
cg10736404,CCT4,-0.05322948809695597,TSS200
cg06699519,CD81,-0.05792118153434605,TSS1500
cg02060627,CDC42,0.06027813446478472,TSS1500
cg14790772,CDC73,0.0664788986707789,TSS1500
cg01718742,CDH8,0.064337547340532,TSS200
cg25876406,CEBPG,0.07261066280339552,TSS200
cg21830459,CECR1,0.05890249674352521,TSS200
cg07824364,CENPL,0.06219136630366653,TSS1500
cg00670539,CETN1,-0.0758337849646768,TSS200
cg17175208,CHD5,0.05198995543224556,TSS1500
cg16143176,CHD7,0.05399905193490045,TSS200
cg17257676,CHEK2,0.05778175343778111,TSS200
cg10305311,CLDN10,0.06480852794261809,TSS200
cg05499834,CLU,0.05427972054983624,TSS200
cg06156157,CMPK1,0.06673379053283081,TSS200
cg01273125,COBRA1,0.06595265875188326,TSS200
cg04074140,COL12A1,0.05947258704993819,TSS200
cg11341307,CPEB2,0.060423077683179706,TSS200
cg15210612,CPOX,0.056284561649200766,TSS200
cg08473090,CRHR1,0.08742626465966262,TSS1500
cg22513962,CSPP1,0.062158864820464205,TSS200
cg01448341,CTNNBL1,0.05628070507574279,TSS200
cg17420983,CUX2,0.05608735350595352,TSS1500
cg04482003,CYP2U1,0.10385971052613749,TSS200
cg04887807,CYTL1,0.05468357951454514,TSS200
cg24964536,CYTSA,0.06637122735969295,TSS1500
cg14277917,DAAM1,0.06711462683585812,TSS200
cg06710648,DAB1,0.09069493160347354,TSS200
cg27642470,DCBLD1,0.08361417781126101,TSS1500
cg08911391,DDOST,-0.05915710230572061,TSS1500
cg00209951,DENND2C,0.07067555550538906,TSS200
cg08413469,DEPDC1,0.07259873889551105,TSS200
cg02567082,DGKG,0.06267808850231286,TSS200
cg02608231,DHX30,0.05015025167407806,TSS200
cg01664864,DIO3,0.05692229975271705,TSS200
cg16148134,DIRAS3,0.06094181880084793,TSS1500
cg01413097,DNAH6,0.06886529366944764,TSS200
cg23757738,DOK7,0.06179368025043805,TSS200
cg13755614,DOLK,0.05544910426029863,TSS200
cg02959006,DPEP2,0.07100540323979009,TSS1500
cg03753331,DPP10,0.05434558056255511,TSS1500
cg02699780,DYNLL1,0.05546121605679139,TSS1500
cg01109508,ECHS1,0.05122951857187648,TSS200
cg14370314,EFS,0.061304070886359086,TSS200
cg26950557,EGFLAM,0.06471158748887854,TSS200
cg13259811,EGR3,0.05703714709740303,TSS200
cg22370082,EIF2AK2,0.08812002352442737,TSS200
cg26819140,EIF3D,0.10060394188472292,TSS200
cg06739182,EIF4H,0.09642009478716479,TSS200
cg25012761,ELOVL6,0.059592084325771934,TSS1500
cg12649615,ENSA,0.06517665408656999,TSS1500
cg10038542,ENTPD4,0.06945960025802125,TSS200
cg11286060,ERAL1,0.060609054603080983,TSS200
cg03474219,ESRRA,0.06553028107652518,TSS1500
cg05909475,ETV3,0.05064864064528717,TSS1500
cg01012394,EYA3,0.05913859438685271,TSS1500
cg16197272,FAM120B,0.05049956868861402,TSS200
cg25098707,FAM134A,0.11021949341204691,TSS200
cg22612764,FAM3B,0.07042361062767544,TSS200
cg07813254,FAM43B,0.05040758480184688,TSS1500
cg22557350,FAM53B,0.055351511831654765,TSS200
cg20846447,FAM5B,0.11268218611459267,TSS1500
cg03272326,FAM78B,0.07680124037295223,TSS1500
cg21227040,FAM83B,0.053144762419186066,TSS200
cg01244944,FAT1,0.052349872669082385,TSS200
cg21638374,FBXO38,0.07314756209887818,TSS200
cg03785281,FOXO1,0.06585427602305931,TSS1500
cg27336026,FOXQ1,0.11869865509434288,TSS200
cg06755955,FZD8,-0.05032137408910181,TSS200
cg21089669,G3BP2,0.07885071590071602,TSS1500
cg02267312,GABARAPL1,0.08681263063732213,TSS200
