ID,gene,dbeta,feature
cg00134295,A2M,0.231751,TSS1500
cg15769388,A2ML1,-0.14387,TSS1500
cg23669440,A4GNT,-0.20704,TSS1500
cg05224385,AAAS,0.01518,TSS1500
cg21473545,AACSL,-0.09426,TSS200
cg13001012,AADAC,-0.06134,TSS1500
cg11157076,AADACL4,0.069164,TSS1500
cg00150882,AADAT,0.110964,TSS1500
cg08497199,AASDH,0.003839,TSS200
cg11262262,AATF,0.087934,TSS1500
cg14019050,ABCA1,0.317619,TSS1500
cg01517431,ABCA9,-0.240797,TSS1500
cg18313106,ABCB10,0.017044,TSS200
cg00295325,ABCB11,0.082316,TSS200
cg20966504,ABCB5,0.132615,TSS1500
cg06716437,ABCB6,0.127906,TSS1500
cg25545088,ABCC10,0.082786,TSS1500
cg04388863,ABCC11,-0.27882,TSS1500
cg02148324,ABCF2,-0.159035,TSS1500
cg05629195,ABCF3,0.133173,TSS1500
cg03222066,ABCG4,0.126255,TSS1500
cg22488352,ABHD10,0.053912,TSS1500
cg06813554,ABHD4,-0.056665,TSS1500
cg17850367,ABI1,-0.16336,TSS1500
cg04508114,ABLIM1,0.342903,TSS200
cg24267699,ABO,0.341948,TSS1500
cg08540215,ABP1,-0.259574,TSS1500
cg17049320,ABRA,-0.099694,TSS1500
cg25525163,ACAA1,-0.016548,TSS200
cg22875332,ACADM,0.100872,TSS1500
cg21721566,ACADS,0.189371,TSS1500
cg24825722,ACADVL,0.117822,TSS1500
cg26111327,ACAP2,-0.219645,TSS1500
cg17952826,ACAT2,0.082598,TSS1500
cg02583796,ACBD3,0.050436,TSS1500
cg02317321,ACBD7,0.021775,TSS1500
cg24613080,ACCN1,0.434244,TSS1500
cg18265608,ACCS,0.279042,TSS1500
cg08403064,ACCSL,-0.210211,TSS1500
cg00555456,ACN9,-0.144302,TSS1500
cg03907864,ACO2,0.004293,TSS200
cg10266490,ACOT11,0.409651,TSS200
cg16381688,ACOT13,-0.025692,TSS1500
cg21233517,ACOT4,0.012211,TSS200
cg08101264,ACOT8,0.26737,TSS1500
cg16587010,ACOX2,0.198012,TSS1500
cg26398848,ACP1,-0.019281,TSS1500
cg03302259,ACP5,-0.118298,TSS1500
cg01834614,ACP6,-0.096135,TSS1500
cg15958424,ACPP,-0.291153,TSS200
cg15782391,ACPT,-0.183264,TSS1500
cg05521982,ACSF3,0.107728,TSS1500
cg07942479,ACSL1,-0.178709,TSS1500
cg07870237,ACSL6,0.299189,TSS1500
cg00394823,ACSM3,-0.14293,TSS200
cg21343895,ACSM4,-0.088318,TSS1500
cg06686156,ACSM5,0.233627,TSS1500
cg06342430,ACSS2,-0.184955,TSS1500
cg04490349,ACTB,-0.081864,TSS1500
cg26657920,ACTBL2,-0.189867,TSS1500
cg20335959,ACTG1,0.011399,TSS1500
cg22482658,ACTL7A,-0.022255,TSS200
cg19863405,ACTL7B,-0.057236,TSS1500
cg08825816,ACTR10,0.008514,TSS200
cg06698844,ACTR1B,-0.046526,TSS1500
cg11740103,ACTR3C,-0.105827,TSS200
cg12056857,ACTR6,0.005378,TSS1500
cg20879770,ACTR8,0.114485,TSS1500
cg15211996,ACTRT2,-0.291529,TSS1500
cg14425722,ACVR2A,0.163519,TSS1500
cg12193731,ACVRL1,0.332164,TSS1500
cg25835179,ACY3,-0.143276,TSS200
cg12075442,ACYP1,-0.125014,TSS1500
cg00225858,ADAD2,-0.140626,TSS1500
cg25558103,ADAM11,0.262149,TSS1500
cg24935121,ADAM15,-0.116841,TSS1500
cg01393184,ADAM17,0.005707,TSS200
cg05276226,ADAM18,-0.019569,TSS200
cg11186850,ADAM2,-0.013952,TSS200
cg03512208,ADAM21,-0.016442,TSS1500
cg19992629,ADAM21P1,-0.030554,TSS1500
cg17969683,ADAM28,-0.098959,TSS200
cg22848598,ADAM32,0.188997,TSS200
cg06251395,ADAM33,0.205697,TSS1500
cg10327428,ADAM5P,0.3659,TSS200
cg26573704,ADAMTS12,0.407496,TSS200
cg13701109,ADAMTS19,0.09836,TSS1500
cg19619405,ADAMTS20,0.454846,TSS200
cg01664241,ADAMTS3,0.291849,TSS1500
cg04137171,ADAMTS7,0.288358,TSS1500
cg04268950,ADAMTS8,0.228834,TSS1500
cg16714091,ADAMTSL1,0.320812,TSS1500
cg23179456,ADCY4,0.428719,TSS200
cg15457390,ADD1,0.110448,TSS1500
cg03806087,ADH1A,-0.043752,TSS1500
cg05641529,ADH1B,0.106248,TSS1500
cg15785860,ADH1C,-0.041764,TSS1500
cg09954820,ADH7,-0.05993,TSS1500
cg16642695,ADHFE1,-0.220914,TSS1500
cg17218466,ADIPOR1,-0.305673,TSS1500
cg12093180,ADNP,0.112601,TSS1500
cg26914205,ADNP2,0.163982,TSS1500
cg03547181,ADORA1,0.247191,TSS200
cg26001125,ADORA2A,-0.088816,TSS1500
cg00484488,ADPGK,0.154688,TSS1500
cg22461835,ADRA1A,0.223014,TSS1500
cg21542793,ADRA2B,0.198369,TSS200
cg09651145,AFAP1L1,0.415544,TSS1500
cg06346505,AFAP1L2,0.23272,TSS200
cg19777710,AFARP1,-0.12612,TSS1500
cg03766998,AFG3L2,-0.046159,TSS1500
cg14209784,AGAP11,0.160115,TSS1500
cg16299440,AGAP7,-0.0053,TSS1500
cg24097460,AGBL3,0.105262,TSS1500
cg05914981,AGER,0.131129,TSS200
cg06118116,AGFG1,-0.104188,TSS1500
cg27064238,AGGF1,-0.022331,TSS1500
