GO,ID,dbeta,gene,"J,J","J,CZ","J,ER","J,F1","CZ,J","CZ,CZ","CZ,ER","CZ,F1","ER,J","ER,CZ","ER,ER","ER,F1","F1,J","F1,CZ","F1,ER","F1,F1","J,J_rank","J,CZ_rank","J,ER_rank","J,F1_rank","CZ,J_rank","CZ,CZ_rank","CZ,ER_rank","CZ,F1_rank","ER,J_rank","ER,CZ_rank","ER,ER_rank","ER,F1_rank","F1,J_rank","F1,CZ_rank","F1,ER_rank","F1,F1_rank",train_AUC,test_AUC,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,methylation_level,regulation
4,cg16126280,0.370425233,EBF1,0.6425,0.6425,0.6425,0.6425,0.6707,0.6707,0.6707,0.6707,0.267219479,0.267219479,0.267219479,0.267219479,0.816681887,0.816681887,0.816681887,0.816681887,287,285.5,253.5,283,285,285,257.5,284,279,282,259.5,282,286,286,260.5,285,0.789233723,0.762675,0.355497674,0.357433568,12.36948521,1.44E-32,2.23E-31,62.76763102,0.041435636,0.39693331,0.355497674,5,158527573,R,I,TSS1500,island,TSS1500-island,chr5:158527374-158527983,,,,,,Hyper,Up
4,cg13267264,0.392551288,PRDM14,0.605,0.605,0.34,0.605,0.6437,0.6437,0.4128,0.6437,0.280401498,0.280401498,0.538516481,0.280401498,0.80211838,0.80211838,0.616119403,0.80211838,328.5,327.5,377,321.5,320,319,378,315,304,303,378,302,314,313,378,309,0.705033861,0.789725,0.358132435,0.410107933,12.8767689,6.05E-35,1.07E-33,68.20324188,0.091767991,0.449900426,0.358132435,8,70983600,F,I,TSS200,island,TSS200-island,chr8:70981873-70984888,TRUE,,,,,Hyper,Up
4,cg01146232,0.414785832,SALL1,0.745,0.745,0.745,0.745,0.7605,0.7605,0.7605,0.7605,0.184458667,0.184458667,0.184458667,0.184458667,0.871633238,0.871633238,0.871633238,0.871633238,167.5,163.5,141.5,159.5,163.5,161.5,139.5,159.5,139.5,143.5,129.5,143.5,157.5,156.5,139.5,157.5,0.878686077,0.83885,0.442725623,0.565351154,18.4342556,1.29E-64,1.08E-62,136.1870327,0.171817267,0.61454289,0.442725623,16,51185147,F,II,TSS1500,island,TSS1500-island,chr16:51183699-51188763,TRUE,,,,,Hyper,Up
4,cg24604013,0.447486233,SOX1,0.545,0.545,0.48,0.5425,0.575,0.575,0.5476,0.583,0.383438391,0.383438391,0.367695526,0.358198618,0.74433657,0.74433657,0.74,0.755915721,359.5,354.5,353,349.5,367,363,352,352,370,368,343,359,371,368,347,355,0.761531488,0.650725,0.418723745,0.515534232,27.7145985,1.08E-122,1.63E-119,269.4853985,0.143335348,0.562059093,0.418723745,13,112721325,F,I,TSS1500,island,TSS1500-island,chr13:112720564-112723582,,,,,,Hyper,Up
4,cg06274159,0.420303432,ZFP42,0.57,0.5725,0.5725,0.5725,0.609,0.6069,0.6069,0.6069,0.326955654,0.337574066,0.337574066,0.337574066,0.775796178,0.771891892,0.771891892,0.771891892,349.5,345,314.5,339,349,349,317,343,346,350,323,347,348,350,319,344,0.884258519,0.874225,0.309467555,0.495804782,11.15645908,3.68E-27,4.17E-26,50.41326569,0.220722511,0.530190066,0.309467555,4,188916867,R,II,TSS200,island,TSS200-island,chr4:188916605-188916876,,,,,,Hyper,Up
4,cg14231297,0.401590812,ZSCAN18,0.6925,0.6925,0.6275,0.6925,0.7032,0.7032,0.66005,0.7032,0.270474121,0.270474121,0.27139685,0.270474121,0.830960118,0.830960118,0.811121352,0.830960118,233,233,271.5,230,245,245,270,242,286,288,267,288,259,259,273,256,0.769130272,0.808675,0.394577513,0.559091046,29.70782236,1.13E-135,3.48E-132,299.2813373,0.208355479,0.602932992,0.394577513,19,58629901,F,I,TSS200,island,TSS200-island,chr19:58629309-58630241,,,,rs8109359,,Hyper,Up
3,cg05863502,0.420555562,CACNA1B,0.7025,0.7025,0.7025,0.7025,0.72225,0.72225,0.72225,0.72225,0.221373553,0.221373553,0.221373553,0.221373553,0.84845815,0.84845815,0.84845815,0.84845815,222.5,222,192.5,217,224,222,193.5,217,214,216,197.5,216,221,220,194.5,216,0.659574468,0.84825,0.37651941,0.52220535,19.67634226,5.89E-72,7.04E-70,153.0264388,0.18752143,0.56404084,0.37651941,9,140771990,R,I,TSS1500,island,TSS1500-island,chr9:140771300-140773513,,,high-CpG:139891799-139892298,,,Hyper,Up
3,cg17152757,0.353777712,GHSR,0.6125,0.6125,0.3775,0.6175,0.64125,0.64125,0.45225,0.6531,0.304394892,0.304394892,0.487858842,0.274055195,0.795348837,0.795348837,0.656624319,0.807542504,317.5,317.5,374,311,321,320,371,307,327,327,370,294,323,323,370,307,0.705033861,0.751925,0.373213184,0.422243054,16.64558593,1.95E-54,9.73E-53,112.8437638,0.090498002,0.463711186,0.373213184,3,172166258,R,II,TSS200,island,TSS200-island,chr3:172165372-172166738,,,,,,Hyper,Up
3,cg04574090,0.425523955,KCNE3,0.8825,0.8825,0.8825,0.8825,0.8825,0.8825,0.8825,0.8825,0.1175,0.1175,0.1175,0.1175,0.937583001,0.937583001,0.937583001,0.937583001,11,11,10.5,10,11,11,12,10,29,29,32,30,12,12,12,11,0.839865622,0.872225,0.425013927,0.523479661,18.99166753,6.95E-68,6.86E-66,143.6863895,0.145689504,0.570703431,0.425013927,11,74178749,F,II,TSS200,island,TSS200-island,chr11:74178175-74178801,,TRUE,,,,Hyper,Up
3,cg13545212,0.352052578,SLC13A5,0.46,0.46,0.46,0.46,0.4968,0.4968,0.4968,0.4968,0.466904701,0.466904701,0.466904701,0.466904701,0.680547945,0.680547945,0.680547945,0.680547945,379,378,359,373,381,381,364,376,382,382,366,377,381,381,365,376,0.788327201,0.855925,0.297219602,0.423225113,12.0222071,5.59E-31,7.91E-30,59.13591609,0.159029911,0.456249513,0.297219602,17,6617192,F,I,TSS1500,island,TSS1500-island,chr17:6616422-6617471,TRUE,,,rs7207927,,Hyper,Up
