ID,gene,dbeta,feature,methylation_level
cg06716437,ABCB6,-0.0103217546470068,TSS1500,Hyper
cg13792075,ABCC5,-0.0107976043897624,TSS200,Hyper
cg03181582,ABCC8,-0.0123856310587997,TSS200,Hyper
cg27016262,ABR,-0.0130614811676375,Body,Hyper
cg06675190,ACAN,-0.0127140220808458,TSS1500,Hyper
cg03719155,ACP5,-0.0120380910727923,TSS1500,Hyper
cg02970384,ACTA1,-0.0124823457640051,Body,Hyper
cg00813162,ACTN1,-0.0109214889581422,Body,Hyper
cg02625641,ADAM10,-0.0118102655343475,Body,Hyper
cg26124318,ADAM32,-0.0149572188896924,1stExon,Hyper
cg02800810,ADAMTS5,-0.0139814113251882,TSS1500,Hyper
cg11850773,ADCYAP1,-0.011171995600911,5'UTR,Hyper
cg03780905,ADM,-0.0109906991579373,TSS200,Hyper
cg21538902,ADO,-0.0138157753331853,1stExon,Hyper
cg19245381,ADORA2B,-0.0180729365799703,TSS1500,Hyper
cg13848598,ADRB1,-0.0110118362414467,1stExon,Hyper
cg06305175,AGFG1,-0.0130547249318144,1stExon,Hyper
cg25403205,AIF1,-0.0104335969328634,Body,Hyper
cg13615592,ALDH1A3,-0.0106077116796003,Body,Hyper
cg18780217,ALDH2,-0.0102093262608488,5'UTR,Hyper
cg23166955,ALDOA,-0.012308143548798,5'UTR,Hyper
cg07780095,ALX1,-0.0109556143695208,Body,Hyper
cg13803688,ALX3,-0.0102254011879459,Body,Hyper
cg22931182,ALX4,-0.0127442459149714,5'UTR,Hyper
cg11325997,AMH,-0.0159309793259583,Body,Hyper
cg04398950,AMN,-0.0137361783672311,Body,Hyper
cg08184047,ANAPC11,-0.0123451274237928,5'UTR,Hyper
cg19955402,ANKHD1,-0.0108480245012166,TSS200,Hyper
cg10094078,APC2,-0.0122703805503361,Body,Hyper
cg13169373,APP,-0.0111363663843941,Body,Hyper
cg14074715,ARHGDIA,-0.0121533236952511,TSS200,Hyper
cg08308556,ARID1B,-0.0113374795205343,Body,Hyper
cg10119082,ARPC1B,-0.0225446017787063,Body,Hyper
cg02286380,ARRB2,-0.0119365237943053,Body,Hyper
cg26114324,ARTN,-0.0135857048877417,1stExon,Hyper
cg02964724,ASCL2,-0.0129026092246663,TSS200,Hyper
cg10038250,ASPG,-0.0116789428042989,Body,Hyper
cg00335712,ATOH1,-0.0172432979115633,TSS1500,Hyper
cg08709672,AVPR1B,-0.0121805530310777,5'UTR,Hyper
cg25469234,B3GALNT1,-0.0115302163604452,5'UTR,Hyper
cg05771369,B4GALNT1,-0.0148513809621544,Body,Hyper
cg03167683,B4GALNT2,-0.0145927057739553,1stExon,Hyper
cg05779272,B4GALT1,-0.0125078379627814,TSS1500,Hyper
cg04192862,BAMBI,-0.0137116133743545,1stExon,Hyper
