Probe_ID,import_level_in_forest,gene,iteration,Probe_ID,import_level_in_forest,gene,iteration,Probe_ID,import_level_in_forest,gene,iteration,Probe_ID,import_level_in_forest,gene,iteration,Probe_ID,import_level_in_forest,gene,iteration
cg13023623,0.064726112,OTX2,1,cg14231297,0.096165749,ZSCAN18,2,cg14231297,0.098122262,ZSCAN18,3,cg26995244,0.079047424,PRR5,4,cg14231297,0.136879943,ZSCAN18,5
cg26995244,0.051071659,PRR5,1,cg26995244,0.07423173,PRR5,2,cg26995244,0.073720785,PRR5,3,cg14231297,0.063345266,ZSCAN18,4,cg24604013,0.062482721,SOX1,5
cg06173663,0.048712227,CUX1,1,cg11174855,0.052650259,NKX6-2,2,cg06173663,0.068449498,CUX1,3,cg11174855,0.054890445,NKX6-2,4,cg26995244,0.059157049,PRR5,5
cg24604013,0.045745859,SOX1,1,cg24604013,0.052309801,SOX1,2,cg13023623,0.055459091,OTX2,3,cg06083330,0.038532959,POU4F2,4,cg16768018,0.038308572,ZIC4,5
cg06083330,0.040903132,POU4F2,1,cg06173663,0.051166996,CUX1,2,cg16768018,0.04622743,ZIC4,3,cg24604013,0.037142854,SOX1,4,cg05860723,0.036891228,MYF6,5
cg05860723,0.036707231,MYF6,1,cg06083330,0.03929203,POU4F2,2,cg25547580,0.043669298,ONECUT2,3,cg16768018,0.036238285,ZIC4,4,cg06173663,0.035844425,CUX1,5
cg25547580,0.032576194,ONECUT2,1,cg13023623,0.034374333,OTX2,2,cg11174855,0.039944893,NKX6-2,3,cg14425564,0.035331451,LHX2,4,cg04415798,0.03328263,PAX9,5
cg16768018,0.027150541,ZIC4,1,cg16768018,0.033860802,ZIC4,2,cg24604013,0.03771669,SOX1,3,cg13023623,0.029617132,OTX2,4,cg11174855,0.031935861,NKX6-2,5
cg07489048,0.027112952,FOXG1,1,cg05860723,0.031058382,MYF6,2,cg18642503,0.033831486,RFX1,3,cg25547580,0.028485195,ONECUT2,4,cg13023623,0.029546523,OTX2,5
cg14231297,0.026955551,ZSCAN18,1,cg25547580,0.025225199,ONECUT2,2,cg05860723,0.021556149,MYF6,3,cg06173663,0.025794805,CUX1,4,cg00396667,0.028823687,PITX1,5
cg20072171,0.024117261,FEZF2,1,cg26299169,0.022864658,PDX1,2,cg18369516,0.021041622,ZBTB46,3,cg17302155,0.024151599,PRDM13,4,cg25547580,0.027541647,ONECUT2,5
cg11174855,0.022819832,NKX6-2,1,cg20072171,0.01823535,FEZF2,2,cg06215569,0.019352336,ALX3,3,cg07489048,0.023275921,FOXG1,4,cg18369516,0.024273616,ZBTB46,5
cg15540820,0.021105824,EOMES,1,cg13019491,0.017800157,SIX6,2,cg06083330,0.018597369,POU4F2,3,cg20072171,0.020174191,FEZF2,4,cg10244666,0.023974762,WT1,5
cg00396667,0.016541978,PITX1,1,cg04415798,0.015463739,PAX9,2,cg14425564,0.016257309,LHX2,3,cg13019491,0.019608595,SIX6,4,cg18642503,0.023866567,RFX1,5
cg16727923,0.014552944,SLITRK1,1,cg02177231,0.015192676,TBX15,2,cg04415798,0.014798925,PAX9,3,cg05860723,0.019603687,MYF6,4,cg06083330,0.023411473,POU4F2,5
cg18642503,0.014486471,RFX1,1,cg07489048,0.012299207,FOXG1,2,cg06714480,0.013972307,NEUROD1,3,cg04415798,0.019358649,PAX9,4,cg14425564,0.022655365,LHX2,5
cg09238180,0.013948812,HOXD8,1,cg18372607,0.010932122,PAX6,2,cg04778012,0.012198893,STAG3,3,cg18642503,0.018675683,RFX1,4,cg15540820,0.019530574,EOMES,5
cg14425564,0.013771144,LHX2,1,cg13482308,0.009233434,PAX5,2,cg00396667,0.00958014,PITX1,3,cg00396667,0.018256416,PITX1,4,cg15564098,0.018190431,EVX1,5
cg00097146,0.012881232,SIX3,1,cg14861089,0.007621734,TLX1,2,cg20072171,0.009345783,FEZF2,3,cg15540820,0.013590682,EOMES,4,cg13019491,0.012754417,SIX6,5
cg06714480,0.012415997,NEUROD1,1,cg06215569,0.007568421,ALX3,2,cg15540820,0.009267021,EOMES,3,cg02177231,0.012654381,TBX15,4,cg02177231,0.011614709,TBX15,5
cg17302155,0.01222412,PRDM13,1,cg14425564,0.007386704,LHX2,2,cg07974511,0.008262043,OTX1,3,cg04436818,0.012511082,PAX2,4,cg04738965,0.011276112,ZIC1,5
cg26299169,0.012013789,PDX1,1,cg18642503,0.007346076,RFX1,2,cg10717463,0.007569048,SALL3,3,cg26299169,0.010249006,PDX1,4,cg16727923,0.010213645,SLITRK1,5
cg04415798,0.011460886,PAX9,1,cg17302155,0.007262826,PRDM13,2,cg00097146,0.006835081,SIX3,3,cg18369516,0.010229306,ZBTB46,4,cg17302155,0.008352375,PRDM13,5
cg02177231,0.009889691,TBX15,1,cg10717463,0.007224815,SALL3,2,cg04738965,0.006455692,ZIC1,3,cg15564098,0.008685375,EVX1,4,cg26844246,0.007660227,TLX3,5
cg13019491,0.009073355,SIX6,1,cg04738965,0.006579579,ZIC1,2,cg18710784,0.005633668,OPCML,3,cg06215569,0.008228366,ALX3,4,cg13713922,0.007283287,GLI2,5
cg08044097,0.009013319,SOX17,1,cg10364040,0.006395958,HOXD10,2,cg18372607,0.005224522,PAX6,3,cg04738965,0.008023849,ZIC1,4,cg20072171,0.007056649,FEZF2,5
cg18369516,0.008091203,ZBTB46,1,cg01146232,0.006030773,SALL1,2,cg18722841,0.00490413,PHOX2A,3,cg21185289,0.007870627,TLX2,4,cg07979401,0.006753307,LEMD2,5
cg15564098,0.007093917,EVX1,1,cg15540820,0.005989889,EOMES,2,cg10244666,0.004654025,WT1,3,cg16727923,0.007551663,SLITRK1,4,cg14002960,0.006719319,NOL4,5
cg10244666,0.006830481,WT1,1,cg14625175,0.005534845,HOXA10,2,cg16727923,0.004486594,SLITRK1,3,cg00097146,0.007215259,SIX3,4,cg06714480,0.00662391,NEUROD1,5
