ID,gene,dbeta,feature
cg01806590,ABHD4,0.323172,TSS1500
cg16968596,ACAN,0.340565,TSS200
cg18061904,ACVR1C,0.355465,TSS200
cg02725069,ADAM19,0.31579,TSS200
cg16508480,ADAMTS16,0.386209,TSS1500
cg19619405,ADAMTS20,0.30588,TSS200
cg11243196,ADAMTS3,0.337061,TSS1500
cg08190291,ADAMTS5,0.310268,TSS200
cg23684973,ADARB2,0.362636,TSS1500
cg23179456,ADCY4,0.439738,TSS200
cg15170605,ADD2,0.50457,TSS200
cg01588438,ADHFE1,0.521081,TSS200
cg02263377,ADSSL1,-0.359248,TSS1500
cg18356276,AHR,0.430166,TSS1500
cg13495205,AJAP1,0.358643,TSS1500
cg11630242,AKAP10,0.318053,TSS1500
cg02888131,ALDH1A2,0.313938,TSS200
cg19585816,ANK1,0.40254,TSS1500
cg17014785,ANKRD45,0.318997,TSS200
cg08251901,ARHGDIB,0.384341,TSS1500
cg19096475,ASAM,0.326385,TSS1500
cg07333715,ASCL2,-0.303863,TSS1500
cg24348705,B3GAT2,0.307076,TSS200
cg11014463,BEND6,0.345021,TSS1500
cg26492446,BHLHE23,0.402838,TSS200
cg26917673,BMP3,0.372134,TSS200
cg18952647,BNC1,0.309358,TSS1500
cg24589459,BOLL,0.399589,TSS1500
cg05964918,C10orf129,0.319533,TSS200
cg03882242,C12orf42,0.378017,TSS200
cg26702670,C15orf38,-0.366511,TSS1500
cg12781700,C17orf104,0.303777,TSS200
cg12374721,C17orf93,0.337396,TSS1500
cg14825976,C18orf1,0.306203,TSS1500
cg23051392,C1QTNF3,0.377867,TSS200
cg11256132,C1orf100,0.38203,TSS200
cg08047907,C1orf114,0.301715,TSS200
cg04787024,C2orf55,0.35733,TSS1500
cg12861945,C4orf39,0.389381,TSS200
cg26377880,C5orf49,0.352189,TSS1500
cg20737185,C6orf186,0.400166,TSS200
cg05142982,C8orf42,0.32631,TSS1500
cg21328033,CA10,0.312743,TSS1500
cg02974928,CACNA1E,0.358116,TSS1500
cg18143243,CACNA2D3,0.358351,TSS1500
cg16245265,CALCA,0.341763,TSS1500
cg00260012,CAPN13,0.314937,TSS1500
cg26775079,CCDC106,0.309985,TSS200
cg00410895,CCDC23,0.362939,TSS1500
cg11641611,CCDC48,0.326797,TSS200
cg04465731,CCDC89,0.360645,TSS1500
cg01031032,CD200,0.387385,TSS200
cg05655806,CD96,0.374182,TSS200
cg16201038,CDX2,0.303009,TSS1500
cg08436313,CH25H,0.322199,TSS1500
cg04044684,CHFR,0.340158,TSS1500
cg03853987,CHST10,0.37129,TSS200
