Unnamed: 0,dbeta,gene,"J,J","J,CZ","J,ER","J,F1","CZ,J","CZ,CZ","CZ,ER","CZ,F1","ER,J","ER,CZ","ER,ER","ER,F1","F1,J","F1,CZ","F1,ER","F1,F1","J,J_rank","J,CZ_rank","J,ER_rank","J,F1_rank","CZ,J_rank","CZ,CZ_rank","CZ,ER_rank","CZ,F1_rank","ER,J_rank","ER,CZ_rank","ER,ER_rank","ER,F1_rank","F1,J_rank","F1,CZ_rank","F1,ER_rank","F1,F1_rank",train_AUC,test_AUC,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10
cg10266490,0.4034024083818783,ACOT11,0.6749999999999998,0.6749999999999998,0.6749999999999998,0.6749999999999998,0.7009,0.7009,0.7009,0.7009,0.2320021551624036,0.2320021551624036,0.2320021551624036,0.2320021551624036,0.8368955223880598,0.8368955223880598,0.8368955223880598,0.8368955223880598,259.0,258.0,231.0,255.0,250.0,250.0,224.0,246.0,230.0,230.0,210.0,227.0,243.0,243.0,221.0,240.0,0.915826801045166,0.8287999999999999,0.397852777121372,0.609750969389138,24.1214225263042,1.5701973261401e-99,7.403082505912692e-97,216.310290544781,0.256104056392363,0.653956833513735,0.397852777121372,1,55013709,R,II,TSS200,opensea,TSS200-opensea,,,,,,
cg19619405,0.4464036345843648,ADAMTS20,0.74,0.74,0.6775,0.74,0.756,0.756,0.70005,0.756,0.188679622641132,0.188679622641132,0.2427060979868449,0.188679622641132,0.8689655172413793,0.8689655172413793,0.8346348733233978,0.8689655172413793,173.0,170.5,223.5,167.5,170.0,167.0,225.0,163.5,149.5,153.5,230.0,156.5,164.5,164.5,228.0,162.5,0.7847277768890311,0.8761,0.445127075755061,0.510165687858122,19.1247561150116,1.13489263344057e-68,1.15865672624412e-66,145.491171825147,0.114497176075845,0.559624251830906,0.445127075755062,12,43945892,F,I,TSS200,island,TSS200-island,chr12:43944719-43946285,,,,rs275603,rs71455455
cg00044665,0.3717058945254657,CDH5,0.7675000000000001,0.7675000000000001,0.7675000000000001,0.7675000000000001,0.7778499999999999,0.7778499999999999,0.7778499999999999,0.7778499999999999,0.1826369349282888,0.1826369349282888,0.1826369349282888,0.1826369349282888,0.88016973125884,0.88016973125884,0.88016973125884,0.88016973125884,130.0,129.0,103.5,123.5,127.5,127.5,108.0,125.5,133.5,136.5,123.0,135.5,128.5,128.5,109.0,126.5,0.7985389004425959,0.7094,0.400148155878921,0.598670245359313,19.4295019815756,1.7577139193237798e-70,1.95176860625978e-68,149.643524700118,0.242982995689161,0.643131151568082,0.40014815587892,16,66400411,F,II,TSS200,opensea,TSS200-opensea,,,,,,
cg03520644,0.356679775409668,COL11A1,0.6375,0.6375,0.6475,0.6375,0.6666,0.6666,0.6754,0.6666,0.2705665352551938,0.2705665352551938,0.2616414531376861,0.2705665352551938,0.8141679389312977,0.8141679389312977,0.8199089529590289,0.8141679389312977,299.0,298.5,250.5,294.0,295.0,294.5,251.0,294.0,287.0,289.5,252.0,290.0,290.0,290.5,248.0,290.0,0.9095078120834,0.7991999999999999,0.361942841430628,0.558151716665037,21.7406646565567,1.50279449216023e-84,3.33643995100834e-82,181.924661190368,0.236424746504477,0.598367587935107,0.36194284143063,1,103574523,F,I,TSS1500,opensea,TSS1500-opensea,,,True,,,
cg09554951,0.358400870297035,KCNQ1DN,0.8525,0.8525,0.8599999999999999,0.8525,0.8525,0.8525,0.8623999999999999,0.8525,0.1474999999999999,0.1474999999999999,0.1216552506059644,0.1474999999999999,0.9203778677462888,0.9203778677462888,0.9273118279569892,0.9203778677462888,26.0,26.0,20.0,25.5,32.5,32.5,20.0,32.5,69.5,70.5,36.0,69.5,33.5,33.5,22.0,33.5,0.7913933770596705,0.9464250000000002,0.197768392337956,0.538637540246688,9.37042380481039,5.66795300469341e-20,4.151647953659621e-19,34.0254376917758,0.362843413724061,0.560611806062016,0.197768392337956,11,2890725,R,I,TSS1500,island,TSS1500-island,chr11:2890388-2891337,,,,,
cg11934419,0.3528085250435483,LAMA4,0.7525,0.7525,0.7525,0.7525,0.7678,0.7678,0.7678,0.7678,0.1750892629489312,0.1750892629489312,0.1750892629489312,0.1750892629489312,0.8762339514978603,0.8762339514978603,0.8762339514978603,0.8762339514978603,150.5,146.5,127.0,144.5,145.0,144.0,123.0,142.0,121.0,122.0,110.0,120.0,140.0,141.0,118.0,139.0,0.876553084839759,0.844775,0.39006978994845,0.621502580314881,20.8231458231297,6.73299288795974e-79,1.12735660505016e-76,168.95554397048,0.274773878138481,0.664843668086931,0.39006978994845,6,112575850,R,II,TSS200,shore,TSS200-shore,chr6:112575091-112575483,,,low-CpG:112682038-112682667,,
cg18081258,0.3858189201022055,NDRG2,0.865,0.865,0.8900000000000001,0.865,0.8688,0.8688,0.8928,0.8688,0.1030776406404415,0.1030776406404415,0.0806225774829854,0.1030776406404415,0.9316890080428956,0.9316890080428956,0.9447619047619048,0.9316890080428956,18.5,18.0,7.0,18.0,18.0,18.0,7.0,18.0,14.0,15.0,7.0,14.0,18.0,18.0,7.0,18.0,0.8561563483176026,0.92725,0.381727291917641,0.64105256191807,19.4705583390437,1.0004826785148599e-70,1.12402681792982e-68,150.205001944607,0.301739413546833,0.683466705464475,0.381727291917642,14,21494161,R,II,TSS1500,island,TSS1500-island,chr14:21492735-21494270,True,,,,
cg22881914,0.4466591993751312,NID2,0.5175000000000001,0.5175000000000001,0.5175000000000001,0.5175000000000001,0.5690999999999999,0.5690999999999999,0.5757,0.5690999999999999,0.3600086804509025,0.3600086804509025,0.3411836015989045,0.3600086804509025,0.7500494233937396,0.7500494233937396,0.7587479406919274,0.7500494233937396,373.5,369.5,344.0,364.0,372.0,368.0,336.0,363.0,366.0,363.0,324.0,360.0,368.0,365.0,332.0,360.0,0.8707673438916438,0.78215,0.409052663777572,0.582789344105066,13.8357899826356,1.30334910349056e-39,2.99312014631031e-38,78.8823096906372,0.21918697630278,0.628239640080352,0.409052663777572,14,52536147,R,II,TSS1500,island,TSS1500-island,chr14:52534581-52536722,True,,,,
cg16294013,0.3789019489282609,PDE4B,0.7974999999999999,0.7974999999999999,0.7974999999999999,0.7974999999999999,0.80775,0.80775,0.80775,0.80775,0.1432000349161968,0.1432000349161968,0.1432000349161968,0.1432000349161968,0.8987482614742699,0.8987482614742699,0.8987482614742699,0.8987482614742699,82.0,80.5,68.0,77.5,78.0,78.0,68.0,75.0,63.0,64.0,62.0,63.0,74.0,74.0,66.0,71.0,0.9039087079400628,0.87685,0.376388808887656,0.442948549489539,15.6910174544387,3.1831506877946e-49,1.21912529851459e-47,100.89821185452,0.108380719367177,0.484769528254834,0.376388808887657,1,66258022,R,II,TSS200,shore,TSS200-shore,chr1:66258440-66258918,,,,,
cg08047457,0.4358567592324423,RASSF1,0.1049999999999999,0.2949999999999999,0.2949999999999999,0.2949999999999999,0.2107,0.3741,0.3741,0.3741,0.7678704317786953,0.5820867632922088,0.5820867632922088,0.5820867632922088,0.3813574660633484,0.5777606177606178,0.5777606177606178,0.5777606177606178,388.0,387.0,382.0,385.0,388.0,386.0,381.0,384.0,388.0,386.0,382.0,384.0,388.0,386.0,382.0,384.0,0.7957126859702449,0.6918000000000001,0.286468887449837,0.491927561394773,10.6236102494833,6.46340528214589e-25,6.44116484540923e-24,45.2900825088727,0.237288550328251,0.523757437778089,0.286468887449838,3,50378413,R,II,TSS200,island,TSS200-island,chr3:50377803-50378540,True,,,,
