ID,gene,dbeta,feature
cg01806590,ABHD4,0.33431,TSS1500
cg16968596,ACAN,0.336745,TSS200
cg18061904,ACVR1C,0.349474,TSS200
cg16508480,ADAMTS16,0.389441,TSS1500
cg19619405,ADAMTS20,0.319915,TSS200
cg11243196,ADAMTS3,0.344258,TSS1500
cg23684973,ADARB2,0.361504,TSS1500
cg23179456,ADCY4,0.456999,TSS200
cg15170605,ADD2,0.515789,TSS200
cg01588438,ADHFE1,0.525348,TSS200
cg02263377,ADSSL1,-0.360102,TSS1500
cg18356276,AHR,0.465085,TSS1500
cg13495205,AJAP1,0.378514,TSS1500
cg11630242,AKAP10,0.319975,TSS1500
cg02888131,ALDH1A2,0.319408,TSS200
cg19585816,ANK1,0.391753,TSS1500
cg15680620,ANKRD45,0.310064,TSS200
cg08251901,ARHGDIB,0.367434,TSS1500
cg19096475,ASAM,0.33359,TSS1500
cg11014463,BEND6,0.327845,TSS1500
cg26492446,BHLHE23,0.409428,TSS200
cg26429925,BNC1,0.322306,TSS1500
cg13356896,BOLL,0.412031,TSS200
cg05964918,C10orf129,0.331851,TSS200
cg03882242,C12orf42,0.371883,TSS200
cg26702670,C15orf38,-0.361855,TSS1500
cg12374721,C17orf93,0.34115,TSS1500
cg23051392,C1QTNF3,0.39243,TSS200
cg11256132,C1orf100,0.377683,TSS200
cg04787024,C2orf55,0.336956,TSS1500
cg16204414,C3orf42,0.311222,TSS1500
cg12861945,C4orf39,0.393963,TSS200
cg26377880,C5orf49,0.346128,TSS1500
cg20737185,C6orf186,0.395843,TSS200
cg19019537,C8orf42,0.37444,TSS1500
cg21328033,CA10,0.324214,TSS1500
cg02974928,CACNA1E,0.349626,TSS1500
cg18143243,CACNA2D3,0.348281,TSS1500
cg16245265,CALCA,0.343658,TSS1500
cg00260012,CAPN13,0.311808,TSS1500
cg00410895,CCDC23,0.367833,TSS1500
cg24939733,CCDC89,0.368435,TSS1500
cg01031032,CD200,0.377634,TSS200
cg05655806,CD96,0.387013,TSS200
cg08436313,CH25H,0.316389,TSS1500
cg04044684,CHFR,0.332668,TSS1500
cg06523556,CHRNA6,-0.320406,TSS200
cg03853987,CHST10,0.351221,TSS200
cg16232183,CLDN10,0.318245,TSS200
cg14461434,CLDN18,0.329249,TSS1500
cg25737323,CLIP4,0.339103,TSS1500
cg02315940,CLSTN2,0.329828,TSS200
cg14186641,CNR1,0.508649,TSS1500
cg06122148,CNTN5,0.318041,TSS1500
cg12919006,CNTNAP5,0.319924,TSS200
cg10730712,COL23A1,0.373727,TSS1500
cg07095995,COL25A1,0.337225,TSS200
cg17054969,COL2A1,0.328697,TSS200
cg19461621,COLEC12,0.381839,TSS1500
cg21773872,CRHR2,0.400928,TSS200
cg04991805,CRTAC1,0.333994,TSS1500
cg07896832,CSPP1,-0.310948,TSS1500
cg07195011,CTNND2,0.427025,TSS200
cg14267754,CYP3A43,0.315691,TSS1500
cg01687040,DCD,-0.31088,TSS1500
cg23727983,DDX25,0.320124,TSS200
cg07700514,DKFZP434H168,0.340395,TSS200
cg19962750,DLX5,0.380188,TSS1500
cg26489108,DMRT3,0.33563,TSS1500
cg16303846,DOCK10,0.326676,TSS1500
cg27347269,DOK6,0.362255,TSS1500
cg17029156,DPYSL5,0.32585,TSS1500
cg16886987,DSCR6,0.3251,TSS1500
cg11939071,DTX1,0.315596,TSS1500
cg13434989,EDNRB,0.394284,TSS1500
cg14185025,EML1,0.323499,TSS1500
cg11090352,EPHA6,0.363885,TSS1500
cg21784383,ESRRG,0.318708,TSS200
cg27100227,EVX1,0.405969,TSS1500
cg20286200,EYA4,0.494722,TSS1500
cg11279444,FAM159A,0.385328,TSS200
cg13631916,FAM162B,0.311822,TSS200
cg03686593,FAM38B,0.356334,TSS1500
cg04463607,FAM55B,-0.310691,TSS200
cg23010538,FAM5C,0.317855,TSS1500
cg11965976,FBN2,0.396106,TSS1500
cg09293816,FCGRT,-0.320248,TSS200
cg08002883,FGF12,0.484957,TSS1500
cg25209842,FGF8,0.334435,TSS1500
cg04744713,FLJ43860,-0.354513,TSS200
cg09107912,FNDC1,0.406124,TSS1500
cg14487131,FOXB2,0.314661,TSS1500
cg16642284,FOXI2,0.351375,TSS200
cg19544662,FOXI3,0.466594,TSS200
cg17495719,FREM3,0.327285,TSS200
cg04037038,FRZB,0.426151,TSS1500
cg05424970,FSCN3,0.352063,TSS200
cg10486998,GALR1,0.340936,TSS1500
cg10451078,GATA4,-0.328691,TSS1500
cg21319053,GDNF,0.340969,TSS1500
cg14768785,GHSR,0.350314,TSS1500
cg02597299,GLRA1,0.321806,TSS200
cg06728579,GNAO1,0.355494,TSS1500
cg02848961,GPR37L1,0.330269,TSS200
cg02584498,GREB1,-0.326457,TSS200
cg03884132,GREM1,0.352584,TSS1500
cg01229798,GRID1,0.313955,TSS1500
cg23774356,GSC2,0.319424,TSS200
cg16335858,GYLTL1B,0.361167,TSS1500
cg19743103,HES3,0.313146,TSS200
cg19643053,HOXA5,0.384208,TSS1500
cg10364040,HOXD10,0.348189,TSS1500
cg07802350,HOXD13,0.326175,TSS1500
cg27160395,HOXD4,0.376467,TSS1500
cg18448949,HOXD8,0.342928,TSS1500
cg09578028,HOXD9,0.37868,TSS200
cg03713642,HS3ST2,0.395213,TSS1500
cg12177001,IFI27,0.415604,TSS1500
cg07589773,IKZF1,0.513666,TSS1500
cg08282819,IL21R,-0.38235,TSS1500
cg21342392,IMMP2L,-0.336445,TSS1500
cg24680586,INA,0.372169,TSS200
cg05534710,IRX1,0.343557,TSS1500
cg07882671,IRX4,0.34637,TSS200
cg26104297,ITGA8,0.335913,TSS1500
cg10119075,ITIH5,0.328949,TSS1500
cg04891086,KCNA1,0.315286,TSS1500
cg04144226,KCND2,0.312315,TSS1500
cg04431946,KCNK12,0.492807,TSS200
cg16430072,KCNN2,0.424209,TSS1500
cg27365825,KCNS3,0.356951,TSS1500
cg04398581,KHDRBS2,0.350751,TSS1500
cg26541867,KIAA1239,0.3311,TSS200
cg10043865,LHX1,0.331173,TSS200
cg23971170,LMX1A,0.397129,TSS1500
cg06908618,LOC100129637,0.385139,TSS200
cg06528559,LOC100132215,0.362966,TSS1500
cg02029665,LOC100271722,0.32815,TSS1500
cg19664945,LOC100302652,0.331617,TSS200
cg08535928,LOC149134,0.335505,TSS1500
cg01709312,LOC282997,0.376365,TSS200
cg03278146,LOC642597,0.312599,TSS200
cg16606320,LOC644145,0.399475,TSS1500
cg02454806,LRFN5,0.316327,TSS1500
cg07871590,LRRC4,0.466277,TSS200
cg03890037,LVRN,0.341182,TSS200
cg24021956,MAGI2,0.335426,TSS1500
cg19418951,MAP3K13,0.331649,TSS200
cg18856581,MDGA2,0.380062,TSS1500
cg20522370,MEI1,0.310273,TSS200
cg03985727,MEOX2,0.37638,TSS1500
cg24603926,MIR1178,0.399356,TSS200
cg11201447,MIR1204,-0.401525,TSS200
cg01940297,MIR1207,0.349587,TSS1500
cg05474726,MIR124-2,0.317549,TSS200
cg02650317,MIR124-3,0.399595,TSS1500
cg14416371,MIR129-2,0.496045,TSS200
cg22333214,MIR137,0.314577,TSS200
cg17419731,MIR589,0.320936,TSS200
cg06007966,MIR663,0.316654,TSS200
cg03275648,MIRLET7D,0.357322,TSS1500
cg12296772,MTMR7,0.347581,TSS200
cg22287064,MYO15B,0.358193,TSS200
cg10677144,MYOM1,0.337647,TSS200
cg15202954,NALCN,0.328259,TSS200
cg19178853,NBLA00301,0.33613,TSS1500
cg04942472,NDRG4,0.389524,TSS1500
cg22881914,NID2,0.441553,TSS1500
cg13426829,NKAIN2,0.341436,TSS200
cg08111446,NKAIN4,0.317027,TSS200
cg05227131,NKX2-4,0.35152,TSS200
cg03694713,NKX2-6,0.330072,TSS1500
cg15531403,NPBWR1,0.383122,TSS1500
cg24194775,NPR2,0.318922,TSS1500
cg07663789,NPR3,0.380033,TSS1500
cg08315202,NPTX2,0.316207,TSS1500
cg00355281,NPY,0.477628,TSS200
cg09561125,NRCAM,0.332948,TSS1500
cg03430846,NRG1,0.414428,TSS200
cg16785690,NTNG2,0.358542,TSS200
cg05901579,NTRK3,0.342914,TSS1500
cg13877670,ONECUT1,0.335289,TSS1500
cg08260406,OR2L13,0.372128,TSS200
cg14081924,PAQR9,0.334909,TSS1500
cg23655970,PAX9,0.380515,TSS200
cg16678602,PCDH21,0.350419,TSS200
cg04511041,PCDHB18,0.310023,TSS200
cg22488256,PDE4B,0.313267,TSS200
cg05131623,PEX5L,0.339642,TSS1500
cg23080354,PHF21B,0.311179,TSS1500
cg19148281,PHLDB2,-0.347753,TSS200
cg26239391,PIK3R5,0.433603,TSS1500
cg16244664,PIWIL1,-0.310851,TSS1500
cg17078686,POU3F3,0.314667,TSS200
cg21264189,POU4F1,0.42153,TSS200
cg11172693,PPP1R16B,0.410842,TSS200
cg19742470,PPP1R1C,0.371416,TSS1500
cg25344503,PPYR1,0.341594,TSS200
cg20945566,PRAC,0.396766,TSS200
cg13267264,PRDM14,0.384215,TSS200
cg00922376,PRDM2,0.356511,TSS200
cg27467929,PREX2,0.386038,TSS200
cg19623717,PROKR2,0.326424,TSS1500
cg04124457,PRTG,0.38503,TSS1500
cg13062406,PTPN5,0.326185,TSS200
cg17339905,RAB3GAP1,0.351742,TSS1500
cg15227848,RAB5A,-0.361626,TSS1500
cg27189087,RAX,0.336141,TSS1500
cg16425038,REC8,0.314533,TSS200
cg01950845,RGMA,0.317067,TSS1500
cg10861751,RGS1,0.357467,TSS200
cg17264670,RGS17,0.34824,TSS1500
cg00090261,RGS22,0.350873,TSS1500
cg11092616,RIMS1,0.337132,TSS200
cg20129213,RIMS2,0.436394,TSS1500
cg21500133,RIMS4,0.326675,TSS1500
cg02853497,RPS15AP10,0.410634,TSS1500
cg19365062,RSPO3,0.38787,TSS200
cg25470148,RUNX3,0.322631,TSS1500
cg13349651,RXFP3,0.321899,TSS200
cg05151154,SALL1,0.391502,TSS1500
cg13634602,SALL3,0.363598,TSS1500
cg25774643,SCT,0.356145,TSS200
cg19022006,SERPINB5,-0.33356,TSS200
cg10406295,SFRP1,0.359369,TSS200
cg14270293,SH3D19,0.409414,TSS1500
cg04779631,SH3GL3,0.323297,TSS200
cg26667946,SIAH3,0.376746,TSS200
cg12146546,SLC13A5,0.321041,TSS200
cg10523671,SLC15A2,0.321115,TSS1500
cg23987444,SLC18A3,0.361434,TSS1500
cg24766334,SLC24A4,0.314275,TSS200
cg01800148,SLC2A5,0.312714,TSS1500
cg00095976,SLC35F1,0.38205,TSS1500
cg03064067,SLC6A15,0.407964,TSS1500
cg10362591,SLC6A2,0.33338,TSS1500
cg04621020,SLCO4C1,0.373832,TSS200
cg02380585,SLFN13,0.35768,TSS1500
cg26110710,SLITRK5,0.366622,TSS1500
cg01034396,SMAD9,0.349873,TSS1500
cg01281718,SMAP1,0.380343,TSS1500
cg13971154,SMO,0.312539,TSS1500
cg11218434,SNORA31,0.316716,TSS200
cg01769968,SNORA42,0.325775,TSS1500
cg22060153,SNORD89,0.343513,TSS200
cg11198128,SNX32,0.335801,TSS200
cg07894334,SOCS5,-0.371197,TSS1500
cg27301032,SOX1,0.31184,TSS1500
cg24928391,SOX17,0.331938,TSS200
cg03625010,SOX5,0.31767,TSS200
cg27515369,SPSB4,0.395617,TSS200
cg18197392,SSTR4,0.330845,TSS200
cg26501107,ST5,0.330898,TSS1500
cg13823136,ST6GALNAC5,0.393298,TSS200
cg17079833,ST8SIA1,0.433474,TSS200
cg09275869,ST8SIA5,0.4407,TSS200
cg17437939,TAC1,0.380178,TSS200
cg04515996,TBX18,0.337546,TSS200
cg18011916,TBX20,0.330702,TSS1500
cg26196480,TBX5,0.36681,TSS200
cg23632875,TCERG1L,0.369325,TSS1500
cg23482397,TCF4,0.335253,TSS1500
cg14207728,TCTEX1D1,0.33434,TSS1500
cg01808545,TMEFF2,0.360399,TSS200
cg02745211,TMEM108,0.331402,TSS200
cg13852398,TMEM132A,0.316917,TSS1500
cg12122146,TMEM132D,0.324897,TSS200
cg03227184,TMEM155,0.348582,TSS200
cg26530341,TNFRSF10A,-0.323495,TSS1500
cg06962944,TOX2,0.379846,TSS200
cg23528400,TRIM71,0.401658,TSS200
cg01610488,TRPA1,0.36436,TSS200
cg27296293,TRPC6,0.338896,TSS200
cg04917181,TSPYL5,0.315851,TSS200
cg03507241,TUBB6,0.328086,TSS1500
cg12584684,UNC5C,0.327034,TSS1500
cg13879483,USP44,0.479026,TSS1500
cg08708684,UTF1,0.319315,TSS1500
cg07821427,VAT1L,0.384963,TSS200
cg23572908,VIPR2,0.391468,TSS1500
cg04904331,VWC2,0.439378,TSS1500
cg02300154,WBSCR17,0.338392,TSS1500
cg04021697,WDR8,0.366747,TSS1500
cg10770742,WDR86,0.326226,TSS200
cg24166864,WIF1,0.369767,TSS200
cg02789515,WSB1,-0.391313,TSS1500
cg25963041,ZFP28,0.393381,TSS1500
cg18579862,ZIK1,0.383385,TSS200
cg07878486,ZNF132,0.364369,TSS1500
cg06454760,ZNF135,0.362339,TSS200
cg12506930,ZNF154,0.45961,TSS200
cg07952047,ZNF331,0.370993,TSS200
cg15167155,ZNF347,0.319557,TSS1500
cg06695611,ZNF385B,0.320521,TSS200
