ID,gene,dbeta,feature
cg02499308,ACMSD,-0.502799,TSS1500
cg20772593,ACTBL2,-0.40309,TSS200
cg15048991,ADAMTS16,0.425632,TSS1500
cg08190291,ADAMTS5,0.590044,TSS200
cg23684973,ADARB2,0.539682,TSS1500
cg14287235,ADCY4,0.448028,TSS1500
cg15170605,ADD2,0.499741,TSS200
cg01588438,ADHFE1,0.691966,TSS200
cg13801416,AKR1B1,0.459924,TSS200
cg12740757,ALK,0.401792,TSS200
cg00268840,ALX4,0.473057,TSS1500
cg19523082,ARMC3,0.442673,TSS200
cg00282195,B3GALT1,-0.415014,TSS1500
cg24348705,B3GAT2,0.395042,TSS200
cg12161192,BASE,-0.413168,TSS1500
cg15081844,BFSP2,-0.434358,TSS1500
cg11114757,BIRC2,-0.414164,TSS1500
cg24589459,BOLL,0.584633,TSS1500
cg17319486,BRUNOL4,0.482245,TSS1500
cg18515591,BTG4,0.458295,TSS1500
cg14159026,BVES,0.444969,TSS1500
cg09621603,C10orf90,-0.436953,TSS200
cg07409200,C13orf30,-0.405403,TSS1500
cg05245861,C18orf34,0.485384,TSS1500
cg03138124,C1D,-0.397899,TSS1500
cg16849609,C1QL2,0.435895,TSS200
cg05003411,C1QTNF7,-0.406687,TSS1500
cg12769118,C1orf150,-0.460929,TSS200
cg01671881,C20orf71,-0.415785,TSS1500
cg11800608,C20orf85,-0.391307,TSS1500
cg12861945,C4orf39,0.393209,TSS200
cg20737185,C6orf186,0.650096,TSS200
cg14838115,C7orf71,-0.464226,TSS200
cg05142982,C8orf42,0.496098,TSS1500
cg22869944,C8orf85,-0.451615,TSS1500
cg25039722,CA10,0.414235,TSS1500
cg01815671,CCDC37,0.423069,TSS200
cg11641611,CCDC48,0.682136,TSS200
cg01520122,CCL7,-0.415848,TSS1500
cg23350385,CCRL2,-0.404812,TSS1500
cg27534912,CD1C,-0.416196,TSS1500
cg19785066,CD40,0.398791,TSS1500
cg01295518,CHL1,0.511482,TSS1500
cg20539142,CHRNA6,-0.425338,TSS200
cg03853987,CHST10,0.500704,TSS200
cg14976646,CIDEA,0.392953,TSS1500
cg09469554,CLDN10,0.457132,TSS200
cg24936695,CLDN17,-0.421716,TSS200
cg24721964,CLRN1,-0.437493,TSS1500
cg02315940,CLSTN2,0.40532,TSS200
cg16626067,CMTM2,0.473423,TSS200
cg02622052,CNTN1,0.441899,TSS200
cg23708361,CNTNAP2,0.469378,TSS200
cg07765621,COL23A1,0.432213,TSS1500
cg07095995,COL25A1,0.583691,TSS200
