ID,gene,dbeta,feature
cg22286978,A1BG,0.03886515048006295,Body
cg27394794,A1CF,0.04642114954020965,Body
cg04671611,A2BP1,-0.06100972654812259,5'UTR
cg19815813,A2LD1,0.0658925224810254,TSS200
cg15688197,A2M,-0.04072314341337274,Body
cg12168926,A2ML1,-0.04577238464160433,TSS1500
cg20706071,A4GALT,-0.08191586153310194,TSS200
cg23669440,A4GNT,-0.05036270626977418,TSS1500
cg19194095,AAA1,0.02078274682671792,Body
cg10448052,AAAS,-0.008857285173309781,TSS1500
cg00522288,AACS,0.05479316807033721,Body
cg21473545,AACSL,-0.02890024975136689,TSS200
cg25159668,AADACL2,-0.00920688226779685,TSS1500
cg04505750,AADACL3,-0.02962107694709499,TSS1500
cg22673583,AADACL4,-0.00971387146900882,Body
cg00150882,AADAT,-0.025847976363842912,TSS1500
cg14437562,AAGAB,0.018595743618376397,Body
cg24171555,AAK1,-0.051550457416327994,Body
cg21613754,AAMP,0.03475818172826293,Body
cg00912149,AANAT,-0.047338577098801064,5'UTR
cg05523882,AARS,-0.035875008070860505,TSS1500
cg00910127,AARS2,-0.04204735207551798,TSS1500
cg22396850,AARSD1,-0.05427322648562178,3'UTR
cg12283482,AASDH,-0.05764203353814642,TSS1500
cg19292625,AASDHPPT,0.023982057254302032,Body
cg02315971,AASS,-0.06956549982890924,1stExon
cg02975268,AATF,0.029710846145855813,Body
cg09142578,AATK,-0.060215916246827386,TSS1500
cg08241330,ABAT,0.0410677116895988,5'UTR
cg14019050,ABCA1,0.04003290680623841,TSS1500
cg14019757,ABCA10,-0.013530089643843567,5'UTR
cg04530015,ABCA12,-0.03940708445766283,3'UTR
cg07045469,ABCA13,0.039946895928052055,Body
cg02847766,ABCA17P,-0.05164517045190892,Body
cg13806966,ABCA2,-0.03970970735017682,TSS1500
cg05814755,ABCA3,0.037594238606868134,Body
cg06895831,ABCA4,-0.04566619220002269,TSS1500
cg17302455,ABCA5,0.019354133761420596,5'UTR
cg18529892,ABCA7,0.04961533546727339,Body
cg20561863,ABCA8,-0.041151243570715146,Body
cg22093121,ABCA9,0.02105451048144137,TSS200
cg12270822,ABCB1,-0.07049223917341146,5'UTR
cg00355656,ABCB10,0.035076526085169465,Body
cg21346679,ABCB11,0.019225044038513488,TSS1500
cg04219946,ABCB4,-0.05025859832217752,Body
cg25840822,ABCB5,0.024995766148846545,Body
cg06716437,ABCB6,-0.02583019635722182,TSS1500
cg17112266,ABCB8,0.041279096575766436,Body
cg15656257,ABCB9,0.037530782780781084,5'UTR
cg00649632,ABCC1,0.05476565716956004,Body
cg25545088,ABCC10,0.02423483576500894,TSS1500
cg09228051,ABCC11,-0.06074336810863492,1stExon
cg09648454,ABCC12,-0.04952700880535418,Body
cg12162424,ABCC13,-0.017003717446974743,Body
cg14947634,ABCC2,-0.05334854648922388,1stExon
cg14592673,ABCC3,-0.03421479670447468,3'UTR
cg26751094,ABCC4,-0.05262107502206953,TSS1500
cg15127656,ABCC5,0.016679930433849216,Body
cg07965331,ABCC6,0.04080632154481901,Body
cg06289735,ABCC6P1,-0.016726941665913275,TSS1500
cg10469152,ABCC8,-0.08578840277922148,1stExon
cg20025970,ABCC9,-0.043015084927462255,1stExon
cg11790681,ABCD2,-0.05711285778723351,1stExon
cg15562706,ABCD3,-0.005829598689085737,TSS1500
cg05878073,ABCD4,0.01529169815454473,Body
cg19952095,ABCE1,-0.003703007235446747,5'UTR
cg22953267,ABCF1,0.05011888970974078,Body
cg07824710,ABCF2,-0.04667722671296124,Body
cg09866366,ABCF3,-0.03482807309912413,TSS1500
cg21410080,ABCG1,-0.04126343561975321,Body
cg24207176,ABCG2,-0.02314705953961805,1stExon
cg06622994,ABCG4,-0.027205031142108697,3'UTR
cg13341470,ABCG5,0.03618825715463067,Body
cg25029903,ABCG8,-0.06040278051070789,3'UTR
cg25101396,ABHD1,-0.03571102827567901,TSS1500
cg10672681,ABHD10,-0.04195734711972188,TSS1500
cg05221465,ABHD11,0.02343930904348812,3'UTR
cg24626310,ABHD12,0.04008975799486743,Body
cg21052932,ABHD12B,-0.06828446067494195,5'UTR
cg13922111,ABHD13,-0.003356402639569809,5'UTR
cg11491074,ABHD14A,0.009922380526679648,TSS200
cg03638479,ABHD14B,-0.014295410737818677,TSS1500
cg00574412,ABHD15,-0.03397498515306288,Body
cg10173620,ABHD2,-0.029357897209408554,5'UTR
cg05948372,ABHD3,-0.03041569717950997,Body
cg18131870,ABHD4,0.006438299171959927,Body
cg21475256,ABHD5,-0.007941638321744339,TSS1500
cg27143326,ABHD6,0.02972454650868855,5'UTR
cg11906827,ABHD8,-0.06447854340544325,TSS200
cg18825419,ABI1,-0.02662344173397565,TSS1500
cg24747427,ABI2,0.0215352507114071,3'UTR
cg25616535,ABI3,-0.04424163689697585,Body
cg15028548,ABI3BP,-0.08222017893201959,5'UTR
cg02915920,ABL1,0.05303033265808407,Body
cg13927605,ABL2,-0.028959732192065466,TSS1500
cg07317843,ABLIM1,0.05920161052900663,Body
cg10531263,ABLIM2,0.058007544156314796,Body
cg04669407,ABLIM3,-0.0750068889479331,5'UTR
cg24267699,ABO,-0.05171009837155337,TSS1500
cg13603551,ABP1,-0.04274572617296462,TSS200
cg11686528,ABR,-0.07967166052427294,1stExon
cg08837344,ABRA,-0.017263377369008053,TSS200
cg05696715,ABT1,0.050629469246516984,Body
cg24768999,ABTB1,0.0581286564825342,Body
cg01888411,ABTB2,-0.06351424752961951,1stExon
cg10548708,ACAA1,-0.01348246365243936,Body
cg06135495,ACAA2,-0.03841245160791418,Body
cg17939040,ACACA,0.07302625128201229,Body
cg15996769,ACACB,-0.06526435811068547,Body
cg09427417,ACAD10,0.0061075135760069775,3'UTR
cg12293095,ACAD11,0.009252378318664135,Body
cg01692842,ACAD8,0.026227393996193168,Body
cg14957639,ACAD9,-0.004763574096278734,TSS200
cg00289546,ACADL,-0.0793321128178247,Body
cg05258079,ACADM,0.022640622757094293,TSS1500
cg14666369,ACADS,0.06982949086949328,Body
cg18474502,ACADSB,0.01020468708792037,Body
cg01377644,ACADVL,0.041618357558755495,Body
cg16968596,ACAN,0.06088651331935203,TSS200
cg25900902,ACAP1,-0.045005621607613934,Body
cg05141059,ACAP2,0.04393378953002072,Body
cg22675767,ACAP3,0.05934233296393552,Body
cg04180462,ACAT1,-0.058085170665202225,Body
cg25736982,ACAT2,-0.051346202578667184,TSS1500
