ID,gene,dbeta,feature
cg03630821,A1BG,0.255303,Body
cg24411946,A1CF,-0.108983,5'UTR
cg07027430,A2BP1,0.324634,Body
cg00336946,A2LD1,-0.054812,TSS1500
cg08300930,A2M,0.156611,Body
cg04884118,A2ML1,-0.244561,Body
cg02053339,A4GALT,-0.051639,3'UTR
cg17687282,A4GNT,-0.113313,5'UTR
cg05399607,AAA1,-0.173654,TSS1500
cg02766259,AACS,-0.1898,3'UTR
cg15296538,AACSL,-0.044746,TSS200
cg13001012,AADAC,-0.008932,TSS1500
cg25159668,AADACL2,-0.016407,TSS1500
cg15092772,AADACL3,-0.209897,Body
cg06751920,AADACL4,-0.107708,TSS1500
cg00150882,AADAT,0.076542,TSS1500
cg22940988,AAGAB,-0.001167,Body
cg11423556,AAK1,0.108336,Body
cg14699839,AANAT,-0.142332,5'UTR
cg05322632,AARS,-0.014117,Body
cg00910127,AARS2,-0.150552,TSS1500
cg00016255,AARSD1,-0.07657,TSS1500
cg12283482,AASDH,-0.107939,TSS1500
cg09688422,AASDHPPT,0.00185,Body
cg11738782,AASS,-0.038394,Body
cg11414044,AATF,-0.024248,Body
cg11684549,AATK,-0.325556,Body
cg00231389,ABAT,0.193613,5'UTR
cg14170545,ABCA1,-0.072397,5'UTR
cg08441248,ABCA13,-0.018989,Body
cg02847766,ABCA17P,-0.137231,Body
cg13806966,ABCA2,-0.282799,TSS1500
cg06780216,ABCA3,0.2492,Body
cg09168805,ABCA4,0.199751,Body
cg10187674,ABCA5,-0.191598,TSS1500
cg02253236,ABCA7,-0.1897,Body
cg01517431,ABCA9,-0.18979,TSS1500
cg12270822,ABCB1,0.254849,5'UTR
cg00355656,ABCB10,-0.082472,Body
cg18912768,ABCB11,-0.097188,5'UTR
cg04219946,ABCB4,0.095814,Body
cg25826515,ABCB5,-0.109594,Body
cg23153680,ABCB6,0.071482,TSS1500
cg26175729,ABCB8,-0.077925,Body
cg22341471,ABCB9,-0.123279,5'UTR
cg00649632,ABCC1,0.190281,Body
cg00050375,ABCC10,-0.159377,Body
cg04388863,ABCC11,-0.151666,TSS1500
cg09648454,ABCC12,-0.245041,Body
cg11429658,ABCC13,0.064248,Body
cg13617376,ABCC2,-0.16389,Body
cg01054938,ABCC3,-0.291027,Body
cg16708465,ABCC4,0.118622,Body
cg05044414,ABCC5,-0.253484,5'UTR
cg07965331,ABCC6,-0.083915,Body
cg06535308,ABCC8,0.245398,Body
cg11237362,ABCD3,-0.134842,Body
cg05878073,ABCD4,0.123041,Body
cg22409504,ABCF1,-0.092804,Body
cg07824710,ABCF2,-0.085881,Body
cg13461600,ABCF3,0.010355,TSS1500
cg27243685,ABCG1,0.160472,Body
cg24352530,ABCG2,-0.010518,TSS1500
cg06622994,ABCG4,-0.160078,3'UTR
cg18303215,ABCG5,0.163623,Body
cg13724820,ABCG8,-0.221729,Body
