Unnamed: 0_tissue,dbeta_tissue,gene,Unnamed: 0_liquid,dbeta_liquid,dbeta_tissue_normalized,dbeta_liquid_normalized
cg01556466,-0.362418419,ADCYAP1R1,cg02418899,-0.0226201601842389,0.09391005709562456,0.6087836665341736
cg26231761,-0.3778983,AJAP1,cg12665669,-0.036589979556421,0.0778546702233604,0.5696429555450879
cg14856606,-0.375462304,C4BPA,cg26430305,-0.0200902468612586,0.08038123087323157,0.6158719905535516
cg00350503,-0.359148438,CACNA1A,cg22187630,-0.0200820698669059,0.09730160836271456,0.6158949008979298
cg12496211,-0.405980877,CACNA1C,cg27470433,-0.0425406139138223,0.04872804850675,0.5529704379283918
cg11388802,-0.382487025,CACNA1E,cg18533386,-0.0228432482659748,0.07309534713002208,0.608158617211795
cg06203976,-0.380759255,CADM3,cg03789420,-0.0213117328548457,0.0748873515889899,0.6124496248823524
cg09149672,-0.364094162,CD1C,cg16993682,-0.0142736520586189,0.09217201387917545,0.632168955463784
cg05799811,-0.39125384,CD247,cg02648847,-0.0316458313199113,0.06400260239493216,0.5834954952277249
cg08337166,-0.373463915,CMKLR1,cg08110272,-0.0218312159031959,0.08245391531546192,0.6109941346345906
cg19313373,-0.374184431,DDR2,cg04510153,-0.0249360245731008,0.08170661221102227,0.6022950659073926
cg22719314,-0.366671189,FLG,cg22719314,-0.0119579475567555,0.08949917902564719,0.6386571081183593
cg24749089,-0.352747442,FMNL2,cg00612751,-0.0285251029913262,0.10394057846512134,0.5922391677356053
cg21253043,-0.354227832,GALNT6,cg01777341,-0.0510537626840005,0.10240515101759567,0.5291182543930663
cg01549227,-0.39048488,LHX6,cg13817952,-0.0331795257921896,0.06480015053430721,0.5791983822525536
cg02196651,-0.383818323,LNX1,cg13998003,-0.0315725777895252,0.0717145545753331,0.5837007373418415
cg11201447,-0.399030089,MIR1204,cg23283234,-0.0143345618430475,0.05593725059345156,0.6319982981198906
cg12280471,-0.391068171,NLRP3,cg21991396,-0.0304935829011843,0.06419517413532128,0.5867238707094317
cg06880420,-0.452962267,NR5A2,cg00001583,-0.0194750791059032,0.0,0.6175955707002009
cg25581330,-0.363809032,PDLIM3,cg16785698,-0.0128659899917225,0.09246774434757438,0.6361129502043606
cg06974428,-0.43151157,PIP4K2A,cg20641026,-0.0205211235584003,0.022248183885568207,0.6146647580313946
cg12636785,-0.376016621,PLD5,cg07137606,-0.0420425788523423,0.07980630565999042,0.5543658350974231
cg03082523,-0.382252891,PRDM16,cg21609526,-0.1431798199054549,0.07333818568607758,0.27099899857439386
cg25305774,-0.351587219,RAD54B,cg25305774,-0.0100422610359984,0.10514393585030402,0.6440244883583608
cg21646032,-0.377417377,RARB,cg18094781,-0.0195761521566048,0.07835347281885652,0.6173123837125313
cg10019467,-0.371359533,RBM47,cg20789700,-0.021476275082487,0.08463653333022758,0.6119886096318308
cg00936935,-0.38737773,SGMS1,cg18776286,-0.0162805737329727,0.06802281712458369,0.6265459521062722
cg13590228,-0.369181029,SIAH2,cg00676042,-0.0102573401285492,0.08689602902808047,0.6434218786626271
cg06389019,-0.372967109,SLC9A3R1,cg08698015,-0.0270112588957563,0.08296919140385445,0.5964806638243252
cg18282388,-0.371558062,TMEM45B,cg25124966,-0.016893841315461,0.0844306234850315,0.6248276958736292
