gene,dbeta,feature,ID,cluster
A2M,-0.1067257660139117,TSS1500,cg00134295,2
AARS2,-0.1148238339400253,TSS1500,cg00910127,2
ABCA4,-0.1201634744488341,TSS1500,cg06895831,1
ACOT8,-0.1030025202052583,TSS1500,cg08101264,2
ACTL9,-0.1113597033154122,TSS1500,cg02339243,1
ACTR3C,-0.100455606614516,TSS200,cg11740103,2
ACTRT2,-0.1053989686186679,TSS1500,cg15211996,2
ADAM28,-0.1245909618679913,TSS200,cg18757155,1
ADAMTS16,0.1272238957389826,TSS1500,cg00127167,2
ADAMTS8,-0.1232341911072111,TSS1500,cg12270485,2
ADIG,-0.1068619547305895,TSS1500,cg13816419,4
ADNP2,-0.1172571689955889,TSS200,cg24959938,2
AFF3,-0.1498389440525306,TSS1500,cg17273588,4
AGR2,-0.1012298146016047,TSS1500,cg12565635,2
AGXT,-0.1134710816298464,TSS1500,cg16967583,2
AHSP,-0.1167528298734149,TSS200,cg05772125,2
AIM2,-0.169779744854288,TSS1500,cg07195224,2
AIP,-0.1043832010818106,TSS1500,cg21052656,2
AKNA,0.1193265339356219,TSS1500,cg14260530,1
AMIGO2,-0.1185950652437341,TSS1500,cg08135379,1
ANLN,-0.1044347008702643,TSS1500,cg25028542,2
AP1S1,-0.1013851704387109,TSS1500,cg00042882,2
APCS,-0.1197012687959994,TSS1500,cg05919685,2
APEH,-0.1276995118412778,TSS1500,cg04264726,2
APOBEC1,-0.1130594037742189,TSS1500,cg16879115,4
APOC2,-0.1026173835160968,TSS1500,cg10169327,1
AQP8,-0.1012462179046021,TSS1500,cg02916147,1
ARHGAP25,-0.1306837356240095,TSS1500,cg15700582,1
ASB10,-0.1315097622001093,TSS1500,cg09539720,2
ASB18,-0.1326549755078006,TSS1500,cg06473675,2
ASGR1,-0.1635556675616492,TSS200,cg14018648,1
ASGR2,-0.141726393198956,TSS1500,cg12951282,1
ATG9B,-0.1368053459350395,TSS200,cg12229082,1
AZGP1,-0.1110018839329103,TSS1500,cg10372302,1
BCL9L,-0.1252027539613656,TSS1500,cg17260706,4
BEND4,-0.1013841087593627,TSS1500,cg14632941,2
BGLAP,-0.1131374994427018,TSS1500,cg17419597,2
BHLHE23,0.1034549126459344,TSS200,cg26492446,4
BIN3,-0.1039941976641557,TSS1500,cg07164659,2
BLOC1S2,-0.1047715172313149,TSS1500,cg23341182,2
BMP4,-0.2009705872548104,TSS1500,cg04937184,2
BTF3,-0.1794755772381888,TSS1500,cg14012294,2
C10orf90,-0.1607079918427216,TSS200,cg10005270,2
C13orf28,-0.1030577444233007,TSS1500,cg03625684,2
C16orf38,-0.1061599657581492,TSS1500,cg27129984,1
C16orf45,-0.1018682614702394,TSS200,cg16497293,2
C19orf39,-0.1152840948891623,TSS1500,cg05202804,4
C1QTNF4,-0.1199753952252563,TSS1500,cg15575356,2
C1orf150,-0.1761873409305085,TSS200,cg17518550,1
C1orf173,-0.1035412502816398,TSS1500,cg09365529,2
C20orf118,-0.1100812362542151,TSS200,cg18062064,4
C20orf151,-0.1068365376855327,TSS1500,cg17976205,2
C20orf195,-0.1409163317210902,TSS200,cg04602939,2
C20orf54,-0.1069553651083527,TSS200,cg01319701,1
C20orf79,-0.1088814388510299,TSS200,cg11901715,2
C20orf85,-0.1382264031038042,TSS1500,cg11800608,2
C3orf32,-0.1068998886089782,TSS200,cg01104466,2
C3orf43,-0.1050505837740575,TSS200,cg07893474,1
C4BPA,-0.1084703610835326,TSS200,cg14856606,2
C4orf26,-0.1239390152066048,TSS200,cg22960952,2
C7orf16,-0.1414192378627956,TSS1500,cg23348723,2
C8orf38,-0.1081694952375377,TSS1500,cg21197871,2
C8orf73,-0.1498943600655352,TSS1500,cg20127859,2
C8orf85,-0.1402642112768278,TSS1500,cg08870893,1
CA14,-0.1107199319297769,TSS1500,cg27589731,1
CACNA1E,-0.108972702912439,TSS1500,cg15742412,1
CACNG3,-0.1023303390636423,TSS1500,cg04721098,1
CACNG5,-0.1312324508758533,TSS200,cg16375358,1
CACNG7,-0.1068822024957912,TSS200,cg08359013,1
CADPS,-0.1248938697109329,TSS200,cg02719752,1
CALB2,-0.10589655823885,TSS1500,cg27304754,1
CAMK2A,-0.1050823816963093,TSS1500,cg08631650,2
CANX,-0.1079299549853798,TSS1500,cg04652522,1
CAPN8,-0.108059220686438,TSS1500,cg23251790,2
CARKD,-0.1046306009246319,TSS1500,cg00023464,2
CBLN4,0.1018022034400662,TSS200,cg20779964,2
CCL1,-0.1193285033637663,TSS200,cg01387036,2
CCL25,-0.1028143503156365,TSS200,cg15436354,2
CCL8,-0.132547770135079,TSS200,cg06083483,2
CD1C,-0.1135461343911979,TSS1500,cg27534912,2
CD248,-0.1301960050474886,TSS1500,cg16182743,2
