Gene,Cluster,Probe_ID,gene_x,"J,J","J,CZ","J,J_rank","J,CZ_rank","J,ER_rank",train_AUC
ABL1,1,cg13670057,ABL1,0.940414508,0.940414508,15.0,15.0,10.0,0.854743241
ACVR1,1,cg09499849,ACVR1,0.732393617,0.732393617,260.0,261.0,241.0,0.793393057
ADCYAP1,1,cg11859607,ADCYAP1,0.722919937,0.722919937,272.0,273.0,338.0,0.839492348
ADCYAP1R1,1,cg01556466,ADCYAP1R1,0.688333333,0.688333333,306.0,305.0,293.0,0.776675732
AHNAK,1,cg25272143,AHNAK,0.622393617,0.622393617,339.0,338.0,318.0,0.758545299
AIM2,1,cg11003133,AIM2,0.844166667,0.844166667,99.0,101.0,265.0,0.759345171
AJAP1,1,cg26231761,AJAP1,0.5225,0.5225,365.0,364.0,371.0,0.780675092
ANGPTL2,1,cg08076018,ANGPTL2,0.640833333,0.640833333,329.0,328.0,355.0,0.822161787
ATXN1,1,cg24067911,ATXN1,0.341479592,0.341479592,374.0,374.0,374.0,0.86028902
BCAS3,1,cg10588135,BCAS3,0.566666667,0.566666667,355.0,353.0,364.0,0.788913774
BDNF,1,cg11718030,BDNF,0.925813351,0.925813351,23.0,22.0,32.0,0.816909295
BMP7,1,cg18759209,BMP7,0.729333333,0.729333333,262.0,264.0,243.0,0.823228283
BVES,1,cg20624391,BVES,0.775,0.775,205.0,204.0,175.0,0.728203487
C1QL1,1,cg00164949,C1QL1,0.739174596,0.739174596,249.0,250.0,227.0,0.851490428
C4BPA,1,cg14856606,C4BPA,0.865869565,0.865869565,79.0,79.0,230.0,0.844051618
CADM3,1,cg06203976,CADM3,0.737091837,0.737091837,255.0,255.0,220.0,0.796512558
CAPZB,1,cg25839439,CAPZB,0.553333333,0.532307692,358.0,359.0,354.0,0.848210953
CARTPT,1,cg08351336,CARTPT,0.745,0.757777778,241.0,227.0,202.5,0.723910841
CAV2,1,cg16260298,CAV2,0.765543478,0.765543478,219.0,220.0,191.0,0.74766704
CCDC8,1,cg03576469,CCDC8,0.72,0.72,278.0,279.0,239.0,0.70945982
CCND2,1,cg13391820,CCND2,0.69,0.546630435,302.5,357.0,349.0,0.769983469
CD1B,1,cg04574507,CD1B,0.922680412,0.922680412,28.0,28.0,17.0,0.799045486
CD1C,1,cg09149672,CD1C,0.82,0.801521739,143.0,163.0,145.0,0.786514158
CD1D,1,cg24432768,CD1D,0.665543478,0.665543478,316.0,315.0,335.0,0.276302458
CD247,1,cg05799811,CD247,0.392222222,0.392222222,371.0,371.0,369.0,0.792166587
CD40,1,cg06571407,CD40,0.769183673,0.769183673,215.0,215.0,263.0,0.735775609
CDK6,1,cg07469637,CDK6,0.7275,0.730277778,264.0,263.0,290.0,0.805524449
CIT,1,cg24973993,CIT,0.886010363,0.886010363,56.0,56.0,309.0,0.718631686
CLDN10,1,cg25032595,CLDN10,0.8354463,0.8354463,114.0,117.0,76.0,0.866767984
CLDN5,1,cg20486569,CLDN5,0.891472868,0.891472868,50.0,50.0,18.0,0.955393804
CLDN6,1,cg02732252,CLDN6,0.789166667,0.789166667,188.0,188.0,164.0,0.842558524
CLEC14A,1,cg05057720,CLEC14A,0.719782609,0.719782609,279.0,280.0,337.0,0.671225937
COL11A1,1,cg03520644,COL11A1,0.770569106,0.770569106,212.0,211.0,184.0,0.689089746
COL11A2,1,cg08481075,COL11A2,0.706170213,0.706170213,288.0,288.0,298.0,0.909507812
COL5A2,1,cg09211763,COL5A2,0.826371173,0.826371173,136.0,136.0,96.0,0.849250787
CPEB1,1,cg24319381,CPEB1,0.64356383,0.64356383,327.0,326.0,305.0,0.730176505
CRMP1,1,cg03544320,CRMP1,0.832446809,0.832446809,120.0,124.0,154.0,0.634858423
CRTC1,1,cg12034943,CRTC1,0.857109557,0.857109557,90.0,90.0,80.0,0.92081267
CRYM,1,cg16596604,CRYM,0.802792135,0.802792135,163.0,160.0,143.0,0.894576868
CSMD1,1,cg09159022,CSMD1,0.837739241,0.837739241,110.0,113.0,268.0,0.812989922
CYTL1,1,cg01114088,CYTL1,0.946091644,0.946091644,13.0,13.0,9.0,0.831040367
CYYR1,1,cg19678828,CYYR1,0.640459184,0.640459184,330.0,329.0,339.0,0.762704634
DAB2,1,cg12290311,DAB2,0.650833333,0.650833333,323.0,322.0,301.0,0.736202208
DDR2,1,cg19313373,DDR2,0.619897959,0.619897959,342.0,340.0,321.0,0.954114008
DGKI,1,cg00029246,DGKI,0.931216931,0.931216931,19.0,18.0,64.0,0.847117794
DLEU7,1,cg17241776,DLEU7,0.802272727,0.802272727,164.0,161.0,139.0,0.791180078
DNM3,1,cg17154724,DNM3,0.705,0.705,289.0,289.0,260.0,0.7381219
DOCK2,1,cg08862890,DOCK2,0.78,0.78,197.5,198.0,212.0,0.612541993
DPYS,1,cg16783744,DPYS,0.835760435,0.835760435,113.0,116.0,95.0,0.847357756
DPYSL2,1,cg07581623,DPYSL2,0.693333333,0.693333333,300.5,300.5,315.0,0.817122594
EEF1A2,1,cg26186239,EEF1A2,0.670780856,0.670780856,315.0,314.0,303.0,0.845091452
EPHB1,1,cg15000071,EPHB1,0.595,0.595,350.0,348.0,352.0,0.856662934
EZR,1,cg22871253,EZR,0.636437659,0.636437659,332.0,331.0,311.0,0.917133259
FAIM2,1,cg06947913,FAIM2,0.441020408,0.441020408,370.0,370.0,368.0,0.589372367
FBXO39,1,cg02374745,FBXO39,0.906832298,0.906832298,35.0,35.0,181.0,0.901402442
FCGRT,1,cg09293816,FCGRT,0.7975,0.7975,174.5,173.0,107.0,0.845091452
FES,1,cg26405020,FES,0.7975,0.7975,174.5,173.0,193.0,0.640110916
FGF18,1,cg07100000,FGF18,0.781666667,0.781666667,195.0,196.0,278.0,0.660294353
FGF8,1,cg06169131,FGF8,0.54845953,0.54845953,359.0,356.0,361.0,0.863808457
FLRT2,1,cg01537995,FLRT2,0.726486486,0.726486486,266.0,267.0,244.0,0.819548872
FLT4,1,cg00489401,FLT4,0.826890034,0.826890034,135.0,135.0,176.0,0.892257239
FMN2,1,cg15031661,FMN2,0.620971867,0.620971867,340.0,339.0,319.0,0.879805898
FMNL2,1,cg24749089,FMNL2,0.565,0.565,356.0,354.0,342.0,0.814962939
FRZB,1,cg04037038,FRZB,0.801356589,0.801356589,166.0,164.0,146.0,0.873406922
GAS1,1,cg14416311,GAS1,0.774456522,0.774456522,208.0,207.0,304.0,0.891084093
GCK,1,cg13476133,GCK,0.546492147,0.546492147,360.0,358.0,370.0,0.842371887
GNG4,1,cg09649610,GNG4,0.7375,0.7375,252.0,252.5,285.0,0.693755666
GSTA4,1,cg15925365,GSTA4,0.942169879,0.942169879,14.0,14.0,30.0,0.890284221
HAPLN4,1,cg22694191,HAPLN4,0.652287234,0.652287234,321.0,320.0,299.0,0.752199648
HCK,1,cg17508991,HCK,0.355751812,0.355751812,372.0,372.0,372.0,0.794219592
HOPX,1,cg21899596,HOPX,0.90032611,0.90032611,39.0,38.0,34.0,0.861115555
ID4,1,cg23165899,ID4,0.751521739,0.751521739,234.0,236.0,216.0,0.788780462
IGF2BP1,1,cg02745847,IGF2BP1,0.6825,0.72076087,310.0,278.0,251.0,0.798432251
IGFBP4,1,cg03635766,IGFBP4,0.688055556,0.688055556,307.0,306.0,322.0,0.436436837
INA,1,cg24680586,INA,0.920918367,0.920918367,29.0,29.0,14.0,0.836986082
ITGAM,1,cg09743950,ITGAM,0.807005076,0.807005076,158.0,155.0,140.0,0.797819016
ITIH5,1,cg10119075,ITIH5,0.758055556,0.758055556,225.0,226.0,204.0,0.703967365
ITPKA,1,cg08680048,ITPKA,0.760721649,0.760721649,221.0,222.0,197.0,0.918199755
KIF5C,1,cg19053239,KIF5C,0.881136951,0.881136951,62.0,62.0,42.0,0.791393377
L1TD1,1,cg23049458,L1TD1,0.575189873,0.575189873,353.0,351.0,340.0,0.812136725
LEMD2,1,cg07979401,LEMD2,0.935145119,0.935145119,16.0,16.0,125.0,0.824934677
LEP,1,cg00840332,LEP,0.818342776,0.818342776,145.0,143.0,122.0,0.876553085
LEPR,1,cg00630958,LEPR,0.735833333,0.735833333,257.5,257.5,234.5,0.677518264
LIMD2,1,cg04918402,LIMD2,0.906005222,0.906005222,36.0,36.0,37.0,0.901855703
MAGI2,1,cg01158680,MAGI2,0.820508658,0.820508658,142.0,142.0,119.0,0.835279689
MAML3,1,cg00875805,MAML3,0.829772727,0.829772727,129.0,130.0,104.0,0.659974404
MAP3K11,1,cg19811337,MAP3K11,0.6375,0.6375,331.0,330.0,310.0,0.771476564
MAST1,1,cg26870725,MAST1,0.9,0.9,41.0,40.0,24.0,0.853170159
MGAT5B,1,cg04946749,MGAT5B,0.831683673,0.831683673,122.0,126.0,102.0,0.748173626
MIR124-2,1,cg07792478,MIR124-2,0.805,0.805,159.5,156.5,141.0,0.739828294
MIR129-2,1,cg14416371,MIR129-2,0.785,0.785,193.5,192.5,198.0,0.835599637
MIR196A1,1,cg01452847,MIR196A1,0.8775,0.8775,68.0,67.0,56.0,0.837865941
MPZ,1,cg10896862,MPZ,0.84,0.84,107.0,109.5,134.0,0.763717805
NBEAL2,1,cg02534363,NBEAL2,0.708691099,0.708691099,286.0,286.0,279.0,0.774329441
NCOR2,1,cg00765705,NCOR2,0.755,0.77,226.5,212.5,218.0,0.787180718
NDRG2,1,cg18081258,NDRG2,0.89077551,0.89077551,51.0,51.0,41.0,0.86850104
NEFM,1,cg23290344,NEFM,0.884816754,0.884816754,58.0,58.0,54.0,0.813629819
NES,1,cg06355129,NES,0.876455696,0.876455696,69.0,68.0,33.0,0.856156348
NKAPL,1,cg18675097,NKAPL,0.880880773,0.880880773,63.0,63.0,51.0,0.919532875
NLRP3,1,cg12280471,NLRP3,0.954750656,0.954750656,8.0,8.0,6.0,0.789340372
NOTCH3,1,cg21514227,NOTCH3,0.67877551,0.472244898,312.0,367.0,363.0,0.804564603
NOX4,1,cg12161228,NOX4,0.7975,0.7975,174.5,173.0,82.0,0.775715885
NPY,1,cg05158615,NPY,0.834281812,0.834281812,116.0,119.0,98.0,0.908867914
NTM,1,cg05184519,NTM,0.818055556,0.818055556,147.0,145.0,124.0,0.872233776
OPCML,1,cg18710784,OPCML,0.772122251,0.772122251,210.0,209.0,47.0,0.887191383
PACS2,1,cg12425861,PACS2,0.688888889,0.681944444,305.0,310.0,282.0,0.890524183
PDLIM3,1,cg25581330,PDLIM3,0.867032967,0.867032967,77.0,77.0,66.0,0.903908708
PDPN,1,cg18877506,PDPN,0.6125,0.685,343.5,308.0,288.0,0.751399776
PENK,1,cg04127342,PENK,0.635,0.635,334.0,333.0,366.5,0.774516077
PHLDB1,1,cg04142864,PHLDB1,0.735833333,0.735833333,257.5,257.5,234.5,0.802404949
PIP4K2A,1,cg06974428,PIP4K2A,0.74076087,0.74076087,246.0,246.0,226.0,0.779155335
PLEKHF1,1,cg14945937,PLEKHF1,0.864661654,0.864661654,83.0,83.0,79.0,0.794512878
PLTP,1,cg24182521,PLTP,0.83702796,0.83702796,112.0,115.0,242.0,0.885138378
PLXNC1,1,cg00020799,PLXNC1,0.962162162,0.983783784,5.0,4.0,3.0,0.873380259
PMEPA1,1,cg10100887,PMEPA1,0.8075,0.8075,156.0,153.0,114.0,0.831760252
POLR1D,1,cg13799919,POLR1D,0.9,0.9,41.0,40.0,29.0,0.803924705
